	Acanthoeca_like_sp_10tr	Acropora_cervicornis	Aiptasia_pallida	Amoebidium	Amphimedon_queenslandica	Aphrocallistes_vastus	Aurelia_aurita	Beroe_abyssicola	Bolocera_tuediae	Botryllus_schlosseri	Branchiostoma_floridae	Buddenbrockia_plumatellae	Capitella_teleta	Capsaspora_owczarzaki_atcc30864	Chondrilla_nucula	Ciona_intestinalis	Clytia_hemisphaerica	Corticium_candelabrum	Craspedacusta_sowerbyi	Crassostrea_gigas	Cyanea_capillata	Daphnia_pulex	Ectopleura_larynx	Edwardsiella_lineata	Enteromyxum_leei	Ephydatia_muelleri	Eunicella_cavolinii	Euplectella_aspergillum	Euplokamis_dunlapae	Gorgonia_ventalina	Helobdella_robusta	Homo_sapiens	Hormathia_digitata	Hydra_magnipapillata	Hydractinia_polyclina	Ilyanassa_obsoleta	Ixodes_scapularis	Kudoa_iwatai	Latimeria_menadoensis	Leucetta_chagosensis	Ministeria_vibrans_atcc50519	Mnemiopsis_leidyi	Monosiga_brevicollis_mx1	Monosiga_ovata	Montastraea_faveolata	Myxobolus_cerebralis	Nanomia_bijuga	Nasonia_vitripennis	Nematostella_vectensis	Octopus_vulgaris	Oscarella	Oscarella_carmela	Patiria_miniata	Pediculus_humanus_corporis	Petromyzon_marinus	Petrosia_ficiformis	Pleurobrachia_pileus	Pocillopora_damicornis	Polypodium_hydriforme	Porites_australiensis	Saccoglossus_kowalevskii	Salpingoeca_sp_ATCC50818	Sarcotragus_fasciculatus	Sphaeroforma_arctica_jp610	Sphaeromyxa_zaharoni	Stephanoeca_diplocostata	Stomolophus_meleagris	Strigamia_maritima	Strongylocentrotus_purpuratus	Sycon_ciliatum	Sycon_coactum	Tetracapsuloides_bryosalmonae	Thelohanellus_kitauei	Trichoplax_adhaerens	Tripedalia_cystophora	Urticina_eques	Vallicula_multiformis
Acanthoeca_like_sp_10tr		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acropora_cervicornis	0		0	0	0	0	0	0	0	0	0	0.00603621730382294	0	0	0.00603621730382294	0	0	0	0	0	0.00603621730382294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00603621730382294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00603621730382294	0	0	0	0	0
Aiptasia_pallida	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amoebidium	0	0	0		0	0	0	0	0	0	0	0.00201207243460765	0	0	0.00201207243460765	0	0	0	0	0	0.00201207243460765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00201207243460765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00201207243460765	0	0	0.00201207243460765	0.00201207243460765	0
Amphimedon_queenslandica	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aphrocallistes_vastus	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aurelia_aurita	0	0	0	0	0	0		0	0	0	0	0.00402414486921529	0	0	0	0	0	0	0	0	0.00402414486921529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00402414486921529	0	0	0	0	0	0	0	0	0	0.00201207243460765	0	0	0.00201207243460765	0	0	0	0	0	0.00402414486921529	0	0	0.00402414486921529	0.00402414486921529	0	0.00402414486921529	0	0.00402414486921529	0	0	0.00201207243460765	0.00201207243460765	0.00402414486921529	0.00402414486921529	0	0.00402414486921529	0	0
Beroe_abyssicola	0	0	0	0	0	0	0		0	0.00201207243460765	0.00201207243460765	0.00402414486921529	0.00201207243460765	0	0	0.00201207243460765	0	0.00402414486921529	0	0.00201207243460765	0.00402414486921529	0.00201207243460765	0	0	0	0	0	0	0.00402414486921529	0	0.00201207243460765	0.00201207243460765	0	0	0	0.00201207243460765	0.00201207243460765	0	0.00201207243460765	0.00402414486921529	0	0.00402414486921529	0	0	0	0	0	0.00201207243460765	0	0.00201207243460765	0.00402414486921529	0.00402414486921529	0.00201207243460765	0.00201207243460765	0.00201207243460765	0	0.00402414486921529	0	0	0	0.00201207243460765	0	0	0	0	0	0	0.00201207243460765	0.00201207243460765	0	0	0.00402414486921529	0	0	0	0.00402414486921529	0.00402414486921529
Bolocera_tuediae	0	0	0	0	0	0	0	0		0	0	0.0181086519114688	0	0	0.0181086519114688	0	0	0	0	0	0.0181086519114688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0181086519114688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0181086519114688	0	0	0	0.0181086519114688	0
Botryllus_schlosseri	0	0	0	0	0	0	0	0.00201207243460765	0		0.00201207243460765	0.00201207243460765	0.00201207243460765	0	0	0.00201207243460765	0	0.00201207243460765	0	0.00201207243460765	0.00201207243460765	0.00201207243460765	0	0	0	0	0	0	0.00201207243460765	0	0.00201207243460765	0.00201207243460765	0	0	0	0.00201207243460765	0.00201207243460765	0	0.00201207243460765	0.00201207243460765	0	0.00201207243460765	0	0	0	0	0	0.00201207243460765	0	0.00201207243460765	0.00201207243460765	0.00201207243460765	0.00201207243460765	0.00201207243460765	0.00201207243460765	0	0.00201207243460765	0	0	0	0.00201207243460765	0	0	0	0	0	0	0.00201207243460765	0.00201207243460765	0	0	0.00201207243460765	0	0	0	0.00201207243460765	0.00201207243460765
Branchiostoma_floridae	0	0	0	0	0	0	0	0.00201207243460765	0	0.00201207243460765		0.00201207243460765	0.00201207243460765	0	0	0.00201207243460765	0	0.00201207243460765	0	0.00201207243460765	0.00201207243460765	0.00201207243460765	0	0	0	0	0	0	0.00201207243460765	0	0.00201207243460765	0.00201207243460765	0	0	0	0.00201207243460765	0.00201207243460765	0	0.00201207243460765	0.00201207243460765	0	0.00201207243460765	0	0	0	0	0	0.00201207243460765	0	0.00201207243460765	0.00201207243460765	0.00201207243460765	0.00201207243460765	0.00201207243460765	0.00201207243460765	0	0.00201207243460765	0	0	0	0.00201207243460765	0	0	0	0	0	0	0.00201207243460765	0.00201207243460765	0	0	0.00201207243460765	0	0	0	0.00201207243460765	0.00201207243460765
Buddenbrockia_plumatellae	0	0.00603621730382294	0	0.00201207243460765	0	0	0.00402414486921529	0.00402414486921529	0.0181086519114688	0.00201207243460765	0.00201207243460765		0.00201207243460765	0	0.531187122736419	0.00201207243460765	0	0.00402414486921529	0	0.00201207243460765	1	0.00201207243460765	0	0	0.00804828973843058	0	0.0422535211267606	0	0.00402414486921529	0	0.00201207243460765	0.00201207243460765	0	0	0	0.00201207243460765	0.00201207243460765	0.00201207243460765	0.00201207243460765	1	0.00402414486921529	0.00402414486921529	0	0	0	0	0	0.00201207243460765	0	0.00402414486921529	0.00402414486921529	0.00603621730382294	0.00402414486921529	0.0160965794768612	0.00201207243460765	0	0.00402414486921529	0.00201207243460765	0.00402414486921529	0	0.00201207243460765	0.158953722334004	0.142857142857143	0.00402414486921529	0.0382293762575453	0.00201207243460765	0.00402414486921529	0.00201207243460765	0.00201207243460765	0.00201207243460765	0.00201207243460765	1	0.0120724346076459	0	0.346076458752515	0.740442655935614	0.00402414486921529
