	Acanthoeca_like_sp_10tr	Acropora_cervicornis	Aiptasia_pallida	Amoebidium	Amphimedon_queenslandica	Aphrocallistes_vastus	Aurelia_aurita	Beroe_abyssicola	Bolocera_tuediae	Botryllus_schlosseri	Branchiostoma_floridae	Buddenbrockia_plumatellae	Capitella_teleta	Capsaspora_owczarzaki_atcc30864	Chondrilla_nucula	Ciona_intestinalis	Clytia_hemisphaerica	Corticium_candelabrum	Craspedacusta_sowerbyi	Crassostrea_gigas	Cyanea_capillata	Daphnia_pulex	Ectopleura_larynx	Edwardsiella_lineata	Enteromyxum_leei	Ephydatia_muelleri	Eunicella_cavolinii	Euplectella_aspergillum	Euplokamis_dunlapae	Gorgonia_ventalina	Helobdella_robusta	Homo_sapiens	Hormathia_digitata	Hydra_magnipapillata	Hydractinia_polyclina	Ilyanassa_obsoleta	Ixodes_scapularis	Kudoa_iwatai	Latimeria_menadoensis	Leucetta_chagosensis	Ministeria_vibrans_atcc50519	Mnemiopsis_leidyi	Monosiga_brevicollis_mx1	Monosiga_ovata	Montastraea_faveolata	Myxobolus_cerebralis	Nanomia_bijuga	Nasonia_vitripennis	Nematostella_vectensis	Octopus_vulgaris	Oscarella	Oscarella_carmela	Patiria_miniata	Pediculus_humanus_corporis	Petromyzon_marinus	Petrosia_ficiformis	Pleurobrachia_pileus	Pocillopora_damicornis	Polypodium_hydriforme	Porites_australiensis	Saccoglossus_kowalevskii	Salpingoeca_sp_ATCC50818	Sarcotragus_fasciculatus	Sphaeroforma_arctica_jp610	Sphaeromyxa_zaharoni	Stephanoeca_diplocostata	Stomolophus_meleagris	Strigamia_maritima	Strongylocentrotus_purpuratus	Sycon_ciliatum	Sycon_coactum	Tetracapsuloides_bryosalmonae	Thelohanellus_kitauei	Trichoplax_adhaerens	Tripedalia_cystophora	Urticina_eques	Vallicula_multiformis
Acanthoeca_like_sp_10tr		0.00200231035810551	0.00138621486330381	0.000635348479014247	5.77589526376588e-05	0.000442818636888718	0.015633423180593	0.00473623411628802	0.00943396226415094	0.0113400077011937	0	0.0381209087408548	3.85059684251059e-05	0.000577589526376588	0.000885637273777436	0.000673854447439353	0.000693107431651906	0.00175202156334232	0.00238737004235657	0.00281093569503273	0.0390065460146323	3.85059684251059e-05	0.00475548710050058	0.0118790912591452	0.0243935309973046	0.0003273007316134	0.0327493261455526	0.00974201001155179	0.0107624181748171	0.00192529842125529	0.00906815556411244	7.70119368502118e-05	0.00465922217943781	0.00175202156334232	0.00477474008471313	0.00743165190604544	0.000712360415864459	0.00109742010011552	3.85059684251059e-05	0.0207932229495572	0.0118213323065075	0.00246438197920678	0.0109549480169426	0.0139199075856758	1.92529842125529e-05	0.0149210627647285	0.000154023873700424	0.000134770889487871	1.92529842125529e-05	0.0045822102425876	0.0048710050057759	0.000558336542164035	0.00119368502117828	5.77589526376588e-05	0.00787447054293415	0.00142472083172892	0.00155949172121679	0.00775895263765884	7.70119368502118e-05	0.0171351559491721	0.00286869464767039	0.0128032345013477	0.00446669233731228	0.0124566807855218	0.0128224874855603	0.0157681940700809	0.00789372352714671	0.0068348093954563	0.000885637273777436	0.00219484020023104	0.000827878321139777	0.0439545629572584	0.0227570273392376	0.000154023873700424	0.0232383519445514	0.0190412013862149	0.000924143242202541
Acropora_cervicornis	0.00200231035810551		0.000250288794763188	3.85059684251059e-05	0.000442818636888718	5.77589526376588e-05	0.00412013862148633	0.00142472083172892	0.00225259915286869	0.00377358490566038	0	0.00870234886407393	1.92529842125529e-05	0.000616095494801694	0.00180978051597998	0	0.000173276857912977	0.000385059684251059	0.000308047747400847	0.00182903350019253	0.00881786676934925	1.92529842125529e-05	0.000231035810550635	0.00259915286869465	0.00541008856372738	0	0.00463996919522526	0.00290720061609549	0.00277242972660762	0.000385059684251059	0.00342703118983442	5.77589526376588e-05	0.00100115517905275	0.000693107431651906	0.000269541778975741	0.00182903350019253	0.000731613400077012	0.000731613400077012	0	0.00768194070080863	0.0036003080477474	0.00111667308432807	0.000134770889487871	0.00410088563727378	0.000500577589526377	0.00194455140546785	1.92529842125529e-05	1.92529842125529e-05	0.000134770889487871	3.85059684251059e-05	0.00209857527916827	0.000462071621101271	0.000750866384289565	0.000404312668463612	0.00219484020023104	0.000385059684251059	0.000885637273777436	0.00238737004235657	1.92529842125529e-05	0.00240662302656912	0.000134770889487871	0.00157874470542934	0.0019638043896804	0	0.00159799768964189	0.000596842510589141	0.000539083557951483	0.000693107431651906	0.000115517905275318	0.000154023873700424	0.000673854447439353	0.00858683095879861	0.00340777820562187	0.000231035810550635	0.00566037735849057	0.00469772814786292	0.000404312668463612
Aiptasia_pallida	0.00138621486330381	0.000250288794763188		9.62649210627647e-05	1.92529842125529e-05	7.70119368502118e-05	0.00662302656911821	0.00412013862148633	0.00179052753176742	0.0117828263380824	0	0.0259145167500963	1.92529842125529e-05	0.00119368502117828	0.00450519830573739	0.000308047747400847	0.00704659222179438	0.00184828648440508	5.77589526376588e-05	0	0.0277628032345013	1.92529842125529e-05	5.77589526376588e-05	0.00150173276857913	0.01726992683866	5.77589526376588e-05	0.00121293800539084	0.000866384289564883	0.00927993839045052	0.0003273007316134	0.00157874470542934	0.00396611474778591	0.00231035810550635	0	5.77589526376588e-05	0.00521755872160185	1.92529842125529e-05	0.000154023873700424	0	0.025625721986908	0.00250288794763188	0.000462071621101271	0.00155949172121679	0.00639199075856758	0.000250288794763188	0.000288794763188294	0	1.92529842125529e-05	0.000616095494801694	1.92529842125529e-05	0.000231035810550635	0.000250288794763188	0.00125144397381594	0.000250288794763188	0.00180978051597998	0.000134770889487871	0.000192529842125529	0.00127069695802849	0	0.00161725067385445	5.77589526376588e-05	0.000173276857912977	0.00292645360030805	0.000250288794763188	0.01546014632268	0.00308047747400847	0.000134770889487871	0.00379283788987293	1.92529842125529e-05	0.00677705044281864	0.000288794763188294	0.0280708509819022	0.00594917212167886	3.85059684251059e-05	0.00646900269541779	0.00841355410088564	0.000558336542164035
Amoebidium	0.000635348479014247	3.85059684251059e-05	9.62649210627647e-05		9.62649210627647e-05	0.000404312668463612	0.000750866384289565	0.000346553715825953	0.000673854447439353	0.000481324605313824	0	0.0022911051212938	0.000115517905275318	0.000750866384289565	0.000385059684251059	9.62649210627647e-05	9.62649210627647e-05	0.000288794763188294	0.000134770889487871	0.000154023873700424	0.00215633423180593	0	0.000211782826338082	0.000462071621101271	0.00142472083172892	0.000134770889487871	0.00115517905275318	0.00084713130535233	0.000539083557951483	9.62649210627647e-05	0.000539083557951483	1.92529842125529e-05	0.000288794763188294	5.77589526376588e-05	0.000211782826338082	0.0003273007316134	7.70119368502118e-05	0.000211782826338082	5.77589526376588e-05	0.00161725067385445	0.00117443203696573	0.000173276857912977	0.0006546014632268	0.000924143242202541	0	0.000365806700038506	0	1.92529842125529e-05	0	0.000211782826338082	0.000231035810550635	0.000115517905275318	0.000288794763188294	1.92529842125529e-05	0.000346553715825953	7.70119368502118e-05	0.000192529842125529	0.000231035810550635	1.92529842125529e-05	0.000789372352714671	0.000173276857912977	0.000635348479014247	0.000750866384289565	0.00180978051597998	0.00102040816326531	0.000750866384289565	0.000173276857912977	0.000346553715825953	9.62649210627647e-05	0.000115517905275318	0.000423565652676165	0.00259915286869465	0.00119368502117828	0.000134770889487871	0.00127069695802849	0.0013092029264536	0.000231035810550635
Amphimedon_queenslandica	5.77589526376588e-05	0.000442818636888718	1.92529842125529e-05	9.62649210627647e-05		0.000192529842125529	0.00512129380053908	0.00254139391605699	0.00175202156334232	0.00739314593762033	3.85059684251059e-05	0.00833654216403542	1.92529842125529e-05	0.000500577589526377	0.00379283788987293	3.85059684251059e-05	0	0.000423565652676165	3.85059684251059e-05	3.85059684251059e-05	0.00970350404312668	3.85059684251059e-05	3.85059684251059e-05	0.00348479014247208	0.00446669233731228	0.000115517905275318	0.00225259915286869	0.00221409318444359	0.00546784751636504	1.92529842125529e-05	0.00182903350019253	3.85059684251059e-05	0.00217558721601848	0	0	0.00206006931074317	0.00173276857912977	0.00346553715825953	3.85059684251059e-05	0.00908740854832499	0.00136696187909126	0.00200231035810551	5.77589526376588e-05	0.00515979976896419	0	0.00202156334231806	0	5.77589526376588e-05	0.00051983057373893	9.62649210627647e-05	0.000250288794763188	9.62649210627647e-05	0.000154023873700424	7.70119368502118e-05	0.00465922217943781	0.000154023873700424	0.00117443203696573	0.001636503658067	1.92529842125529e-05	0.00358105506353485	0.000346553715825953	0.000693107431651906	0.000154023873700424	9.62649210627647e-05	0.00103966114747786	0.00186753946861764	0.001636503658067	0.00103966114747786	3.85059684251059e-05	3.85059684251059e-05	0.000731613400077012	0.00976126299576434	0.00766268771659607	5.77589526376588e-05	0.0035618020793223	0.008182518290335	5.77589526376588e-05
Aphrocallistes_vastus	0.000442818636888718	5.77589526376588e-05	7.70119368502118e-05	0.000404312668463612	0.000192529842125529		0.000404312668463612	0.000269541778975741	0.000827878321139777	0.000558336542164035	3.85059684251059e-05	0.00198305737389295	5.77589526376588e-05	0.000192529842125529	0.00103966114747786	1.92529842125529e-05	7.70119368502118e-05	0.000308047747400847	0.000115517905275318	9.62649210627647e-05	0.00148247978436658	5.77589526376588e-05	0	0.000616095494801694	0.00171351559491721	0.000192529842125529	0.00134770889487871	0.00250288794763188	0.000481324605313824	0.000154023873700424	0.000924143242202541	7.70119368502118e-05	0.000385059684251059	1.92529842125529e-05	1.92529842125529e-05	0.000288794763188294	7.70119368502118e-05	0.000192529842125529	5.77589526376588e-05	0.00084713130535233	0.000693107431651906	0.000154023873700424	0.000308047747400847	0.000904890257989988	3.85059684251059e-05	0.000500577589526377	5.77589526376588e-05	5.77589526376588e-05	7.70119368502118e-05	0.000442818636888718	0.000385059684251059	0.000173276857912977	0.000115517905275318	5.77589526376588e-05	0.000250288794763188	9.62649210627647e-05	0.000173276857912977	0.000385059684251059	9.62649210627647e-05	0.000596842510589141	0.000115517905275318	0.0003273007316134	0.000693107431651906	0.000365806700038506	0.00140546784751637	0.000423565652676165	0.000539083557951483	0.000442818636888718	7.70119368502118e-05	0.000192529842125529	0.000423565652676165	0.00257989988448209	0.00111667308432807	0.000192529842125529	0.000770119368502118	0.00123219098960339	0.000173276857912977
Aurelia_aurita	0.015633423180593	0.00412013862148633	0.00662302656911821	0.000750866384289565	0.00512129380053908	0.000404312668463612		0.0626107046592222	0.0603966114747786	0.136773199845976	0.000481324605313824	0.209491721216789	9.62649210627647e-05	0.00331151328455911	0.0193107431651906	0.0133230650750866	0.0205814401232191	0.00223334616865614	0.000211782826338082	0.00319599537928379	0.217366191759723	7.70119368502118e-05	0.00483249903735079	0.0160184828648441	0.0962264150943396	0.00467847516365037	0.0731035810550635	0.0880824027724297	0.0953022718521371	0.00292645360030805	0.029803619561032	0.00103966114747786	0.0310358105506353	0.00463996919522526	0.00533307662687717	0.0296110897189064	0.00564112437427801	0.0102040816326531	0.000423565652676165	0.203176742395071	0.0770696958028494	0.0106469002695418	0.00820177127454755	0.0726415094339623	0.00113592606854062	0.0217173661917597	0.000308047747400847	0.00103966114747786	0.000693107431651906	0.00442818636888718	0.0145360030804775	0.00506353484790143	0.0375818251829034	0.000750866384289565	0.057450904890258	0.00427416249518675	0.0202733923758183	0.0311128224874856	0.000211782826338082	0.023642664613015	0.0179630342703119	0.0174624566807855	0.0659414709279938	0.00209857527916827	0.0577011936850212	0.0181170581440123	0.0325182903350019	0.0173084328070851	0.00608394301116673	0.00951097420100116	0.0029457065845206	0.213939160569888	0.0563534847901425	0.000211782826338082	0.163342318059299	0.174470542934155	0.001636503658067
Beroe_abyssicola	0.00473623411628802	0.00142472083172892	0.00412013862148633	0.000346553715825953	0.00254139391605699	0.000269541778975741	0.0626107046592222		0.0257604928763958	0.0648247978436658	1.92529842125529e-05	0.0814786291875241	7.70119368502118e-05	0.00113592606854062	0.00962649210627647	0.00897189064304967	0.00758567577974586	0.00223334616865614	0.000154023873700424	0.000231035810550635	0.0887947631882942	9.62649210627647e-05	0.000115517905275318	0.00914516750096265	0.0371775125144397	0.000616095494801694	0.052926453600308	0.0526376588371198	0.0583172891798229	0.00177127454755487	0.0159607239122064	1.92529842125529e-05	0.0168271082017713	0.00242587601078167	0.000308047747400847	0.00612244897959184	0.00381209087408548	0.00412013862148633	0.000346553715825953	0.0788217173661918	0.037081247593377	0.00808625336927224	0.00180978051597998	0.0356950327300732	0.000404312668463612	0.00937620331151329	0.000154023873700424	0.000269541778975741	0.000173276857912977	0.00051983057373893	0.00564112437427801	0.00204081632653061	0.01817481709665	0.000442818636888718	0.0259915286869465	0.00437042741624952	0.0222371967654987	0.0164227955333077	0.000173276857912977	0.0137851366961879	0.00693107431651906	0.00764343473238352	0.0394878706199461	0.00051983057373893	0.0240469772814786	0.00953022718521371	0.012187139006546	0.00479399306892568	0.00296495956873315	0.00232961108971891	0.00331151328455911	0.0872160184828648	0.0221024258760108	0.000154023873700424	0.0658837119753562	0.0713900654601463	0.00286869464767039
Bolocera_tuediae	0.00943396226415094	0.00225259915286869	0.00179052753176742	0.000673854447439353	0.00175202156334232	0.000827878321139777	0.0603966114747786	0.0257604928763958		0.0628417404697728	1.92529842125529e-05	0.114170196380439	0.000192529842125529	0.000943396226415094	0.0138043896804005	0.00854832499037351	0.00845206006931074	0.000404312668463612	0.00265691182133231	0.00413939160569888	0.111859838274933	3.85059684251059e-05	0.00429341547939931	0.0122641509433962	0.0585675779745861	0.00306122448979592	0.0356372737774355	0.044012321909896	0.0489988448209472	0.00186753946861764	0.0239507123604159	0.0009819021948402	0.0218521370812476	0.00155949172121679	0.00444743935309973	0.0195417789757412	0.00419715055833654	0.0055641124374278	0.000288794763188294	0.103754331921448	0.0388910281093569	0.00489025798998845	0.000385059684251059	0.0517905275317674	0.000866384289564883	0.00983827493261456	7.70119368502118e-05	0.000192529842125529	0.000481324605313824	0.00346553715825953	0.0114747785906816	0.00413939160569888	0.0157874470542934	0.000596842510589141	0.0241432422025414	0.00136696187909126	0.0108201771274548	0.0221409318444359	9.62649210627647e-05	0.0107046592221794	0.00974201001155179	0.00904890257989988	0.0311320754716981	0.00169426261070466	0.0273969965344628	0.00962649210627647	0.0125721986907971	0.00899114362726222	0.00298421255294571	0.00718136311128225	0.00257989988448209	0.114536003080477	0.0312475933769734	0.00134770889487871	0.0892568348093955	0.0893530997304582	0.0009819021948402
Botryllus_schlosseri	0.0113400077011937	0.00377358490566038	0.0117828263380824	0.000481324605313824	0.00739314593762033	0.000558336542164035	0.136773199845976	0.0648247978436658	0.0628417404697728		0.00051983057373893	0.205217558721602	3.85059684251059e-05	0.00121293800539084	0.0193299961494032	0.0137273777435502	0.0217751251443974	0.00200231035810551	3.85059684251059e-05	0.00367731998459761	0.20739314593762	9.62649210627647e-05	0.0009819021948402	0.0207739699653446	0.0876973430881787	0.0055256064690027	0.068348093954563	0.0892183288409703	0.0962071621101271	0.00290720061609549	0.0312475933769734	0.000173276857912977	0.0310743165190605	0.00525606469002695	0.00132845591066615	0.0339622641509434	0.0071621101270697	0.0103966114747786	0.000365806700038506	0.19894108586831	0.0745668078552176	0.0120523681170581	0.00435117443203697	0.0803041971505583	0.000712360415864459	0.0161340007701194	0.000154023873700424	0.00109742010011552	0.00111667308432807	0.00452445128994994	0.0135155949172122	0.00874085483249904	0.0360608394301117	0.00144397381594147	0.0521370812475934	0.00639199075856758	0.0179630342703119	0.0332499037350789	0.000134770889487871	0.020196380438968	0.0158837119753562	0.0199075856757797	0.0686561417019638	0.000712360415864459	0.0455910666153254	0.0132460531382364	0.0182133230650751	0.0178090103966115	0.00581440123219099	0.0074894108586831	0.00483249903735079	0.207142857142857	0.049826723142087	0.000866384289564883	0.154139391605699	0.174470542934155	0.00173276857912977
