	Acanthoeca_like_sp_10tr	Acropora_cervicornis	Aiptasia_pallida	Amoebidium	Amphimedon_queenslandica	Aphrocallistes_vastus	Aurelia_aurita	Beroe_abyssicola	Bolocera_tuediae	Botryllus_schlosseri	Branchiostoma_floridae	Buddenbrockia_plumatellae	Capitella_teleta	Capsaspora_owczarzaki_atcc30864	Chondrilla_nucula	Ciona_intestinalis	Clytia_hemisphaerica	Corticium_candelabrum	Craspedacusta_sowerbyi	Crassostrea_gigas	Cyanea_capillata	Daphnia_pulex	Ectopleura_larynx	Edwardsiella_lineata	Enteromyxum_leei	Ephydatia_muelleri	Eunicella_cavolinii	Euplectella_aspergillum	Euplokamis_dunlapae	Gorgonia_ventalina	Helobdella_robusta	Homo_sapiens	Hormathia_digitata	Hydra_magnipapillata	Hydractinia_polyclina	Ilyanassa_obsoleta	Ixodes_scapularis	Kudoa_iwatai	Latimeria_menadoensis	Leucetta_chagosensis	Ministeria_vibrans_atcc50519	Mnemiopsis_leidyi	Monosiga_brevicollis_mx1	Monosiga_ovata	Montastraea_faveolata	Myxobolus_cerebralis	Nanomia_bijuga	Nasonia_vitripennis	Nematostella_vectensis	Octopus_vulgaris	Oscarella	Oscarella_carmela	Patiria_miniata	Pediculus_humanus_corporis	Petromyzon_marinus	Petrosia_ficiformis	Pleurobrachia_pileus	Pocillopora_damicornis	Polypodium_hydriforme	Porites_australiensis	Saccoglossus_kowalevskii	Salpingoeca_sp_ATCC50818	Sarcotragus_fasciculatus	Sphaeroforma_arctica_jp610	Sphaeromyxa_zaharoni	Stephanoeca_diplocostata	Stomolophus_meleagris	Strigamia_maritima	Strongylocentrotus_purpuratus	Sycon_ciliatum	Sycon_coactum	Tetracapsuloides_bryosalmonae	Thelohanellus_kitauei	Trichoplax_adhaerens	Tripedalia_cystophora	Urticina_eques	Vallicula_multiformis
Acanthoeca_like_sp_10tr		0	0	0	0	0	0.0051150895140665	0	0	0	0	0.0051150895140665	0	0	0	0	0	0	0	0	0.0051150895140665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0051150895140665	0	0	0	0.0051150895140665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0051150895140665	0	0	0	0	0	0.0051150895140665	0	0	0.0051150895140665	0.0051150895140665	0
Acropora_cervicornis	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aiptasia_pallida	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amoebidium	0	0	0		0	0	0.00255754475703325	0	0	0.00255754475703325	0	0.00767263427109974	0	0	0	0	0	0.00255754475703325	0	0	0.00767263427109974	0	0	0	0	0	0.00255754475703325	0	0	0	0	0	0.00255754475703325	0	0	0	0	0	0	0.00767263427109974	0	0	0	0.0051150895140665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00255754475703325	0	0.0051150895140665	0	0.00255754475703325	0	0.00255754475703325	0	0.00255754475703325	0.00255754475703325	0.00767263427109974	0	0	0.0051150895140665	0.00767263427109974	0
Amphimedon_queenslandica	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aphrocallistes_vastus	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aurelia_aurita	0.0051150895140665	0	0	0.00255754475703325	0	0		0.00255754475703325	0.191815856777494	0.184143222506394	0	0.634271099744246	0	0	0	0	0.00255754475703325	0.0281329923273657	0.00255754475703325	0	0.634271099744246	0	0.00255754475703325	0	0.0179028132992327	0.0664961636828645	0	0	0	0	0	0	0	0.00255754475703325	0.00255754475703325	0	0	0.00255754475703325	0	0.634271099744246	0	0.00255754475703325	0	0.281329923273657	0	0.00255754475703325	0.00255754475703325	0	0	0	0	0	0	0	0.040920716112532	0	0.00255754475703325	0	0.00255754475703325	0	0	0.00255754475703325	0	0.00255754475703325	0.030690537084399	0.010230179028133	0.00255754475703325	0.0971867007672634	0	0.00255754475703325	0.00255754475703325	0.634271099744246	0.00255754475703325	0	0.634271099744246	0.634271099744246	0
Beroe_abyssicola	0	0	0	0	0	0	0.00255754475703325		0	0	0	0.00255754475703325	0	0	0	0	0	0	0	0	0.00255754475703325	0	0	0	0.00255754475703325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00255754475703325	0	0.00255754475703325	0	0.00255754475703325	0	0	0	0	0	0	0	0	0	0	0	0	0.00255754475703325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00255754475703325	0	0	0.00255754475703325	0.00255754475703325	0
Bolocera_tuediae	0	0	0	0	0	0	0.191815856777494	0		0.104859335038363	0	0.245524296675192	0	0	0	0	0	0	0	0	0.245524296675192	0	0	0	0.00767263427109974	0	0	0	0	0	0	0	0.0434782608695652	0	0	0	0	0	0	0.245524296675192	0	0	0	0.0434782608695652	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00255754475703325	0	0	0	0	0	0	0.00255754475703325	0.00255754475703325	0	0.0716112531969309	0	0	0	0.245524296675192	0	0	0.245524296675192	0.245524296675192	0
Botryllus_schlosseri	0	0	0	0.00255754475703325	0	0	0.184143222506394	0	0.104859335038363		0	0.324808184143222	0	0	0	0	0	0.00255754475703325	0	0	0.324808184143222	0	0	0	0.00767263427109974	0.0920716112531969	0	0	0	0	0	0	0	0	0	0	0	0	0	0.324808184143222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.040920716112532	0	0	0.0153452685421995	0	0	0	0	0	0	0.0255754475703325	0.00767263427109974	0	0.0690537084398977	0	0	0	0.324808184143222	0	0	0.324808184143222	0.324808184143222	0
Branchiostoma_floridae	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Buddenbrockia_plumatellae	0.0051150895140665	0	0	0.00767263427109974	0	0	0.634271099744246	0.00255754475703325	0.245524296675192	0.324808184143222	0		0	0	0	0	0.00255754475703325	0.0716112531969309	0.00255754475703325	0	1	0	0.00255754475703325	0	0.0230179028132992	0.0920716112531969	0.0767263427109974	0	0	0	0	0	0.209718670076726	0.00255754475703325	0.00255754475703325	0	0	0.00255754475703325	0	1	0	0.00255754475703325	0	0.506393861892583	0	0.00255754475703325	0.00255754475703325	0	0	0	0	0	0	0	0.061381074168798	0	0.00255754475703325	0.0153452685421995	0.00255754475703325	0	0	0.00255754475703325	0	0.0051150895140665	0.030690537084399	0.0127877237851662	0.00255754475703325	0.125319693094629	0	0.00255754475703325	0.00255754475703325	1	0.00255754475703325	0	0.892583120204604	1	0
