	Acanthoeca_like_sp_10tr	Acropora_cervicornis	Aiptasia_pallida	Amoebidium	Amphimedon_queenslandica	Aphrocallistes_vastus	Aurelia_aurita	Beroe_abyssicola	Bolocera_tuediae	Botryllus_schlosseri	Branchiostoma_floridae	Buddenbrockia_plumatellae	Capitella_teleta	Capsaspora_owczarzaki_atcc30864	Chondrilla_nucula	Ciona_intestinalis	Clytia_hemisphaerica	Corticium_candelabrum	Craspedacusta_sowerbyi	Crassostrea_gigas	Cyanea_capillata	Daphnia_pulex	Ectopleura_larynx	Edwardsiella_lineata	Enteromyxum_leei	Ephydatia_muelleri	Eunicella_cavolinii	Euplectella_aspergillum	Euplokamis_dunlapae	Gorgonia_ventalina	Helobdella_robusta	Homo_sapiens	Hormathia_digitata	Hydra_magnipapillata	Hydractinia_polyclina	Ilyanassa_obsoleta	Ixodes_scapularis	Kudoa_iwatai	Latimeria_menadoensis	Leucetta_chagosensis	Ministeria_vibrans_atcc50519	Mnemiopsis_leidyi	Monosiga_brevicollis_mx1	Monosiga_ovata	Montastraea_faveolata	Myxobolus_cerebralis	Nanomia_bijuga	Nasonia_vitripennis	Nematostella_vectensis	Octopus_vulgaris	Oscarella	Oscarella_carmela	Patiria_miniata	Pediculus_humanus_corporis	Petromyzon_marinus	Petrosia_ficiformis	Pleurobrachia_pileus	Pocillopora_damicornis	Polypodium_hydriforme	Porites_australiensis	Saccoglossus_kowalevskii	Salpingoeca_sp_ATCC50818	Sarcotragus_fasciculatus	Sphaeroforma_arctica_jp610	Sphaeromyxa_zaharoni	Stephanoeca_diplocostata	Stomolophus_meleagris	Strigamia_maritima	Strongylocentrotus_purpuratus	Sycon_ciliatum	Sycon_coactum	Tetracapsuloides_bryosalmonae	Thelohanellus_kitauei	Trichoplax_adhaerens	Tripedalia_cystophora	Urticina_eques	Vallicula_multiformis
Acanthoeca_like_sp_10tr		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acropora_cervicornis	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aiptasia_pallida	0	0		0	0	0.00379506641366224	0.0740037950664137	0	0	0.933586337760911	0	0.933586337760911	0	0	0.0626185958254269	0	0.079696394686907	0.0170777988614801	0	0	0.933586337760911	0	0	0	0.49146110056926	0.00189753320683112	0	0.0512333965844402	0.565464895635674	0	0	0	0.0626185958254269	0	0	0.117647058823529	0	0	0	0.933586337760911	0.113851992409867	0	0	0.483870967741935	0	0	0	0	0.047438330170778	0	0	0.00379506641366224	0.0702087286527514	0	0	0	0	0.0759013282732448	0	0	0	0	0.0436432637571157	0	0	0.00379506641366224	0	0.208728652751423	0	0.00189753320683112	0.00189753320683112	0.933586337760911	0.00569259962049336	0	0.0929791271347249	0.381404174573055	0
Amoebidium	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amphimedon_queenslandica	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aphrocallistes_vastus	0	0	0.00379506641366224	0	0		0.00189753320683112	0	0	0.00379506641366224	0	0.00379506641366224	0	0	0.00189753320683112	0	0	0	0	0	0.00379506641366224	0	0	0	0	0.00189753320683112	0	0.00189753320683112	0	0	0	0	0	0	0	0	0	0	0	0.00379506641366224	0.00189753320683112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00189753320683112	0	0	0	0	0	0	0.00189753320683112	0.00189753320683112	0.00379506641366224	0	0	0.00189753320683112	0.00189753320683112	0
Aurelia_aurita	0	0	0.0740037950664137	0	0	0.00189753320683112		0	0	0.0740037950664137	0	0.0740037950664137	0	0	0	0	0	0.00189753320683112	0	0	0.0740037950664137	0	0	0	0.00569259962049336	0	0	0.00189753320683112	0.00759013282732448	0	0	0	0.00379506641366224	0	0	0	0	0	0	0.0740037950664137	0	0	0	0.0208728652751423	0	0	0	0	0	0	0	0.00189753320683112	0.0379506641366224	0	0	0	0	0.0094876660341556	0	0	0	0	0	0	0	0.00379506641366224	0	0.0360531309297913	0	0	0	0.0740037950664137	0	0	0.0360531309297913	0	0
Beroe_abyssicola	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bolocera_tuediae	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Botryllus_schlosseri	0	0	0.933586337760911	0	0	0.00379506641366224	0.0740037950664137	0	0		0	1	0	0	0.0626185958254269	0	0.079696394686907	0.0170777988614801	0	0	1	0	0	0	0.557874762808349	0.00189753320683112	0	0.0967741935483871	0.631878557874763	0	0	0	0.0626185958254269	0	0	0.117647058823529	0	0	0	1	0.113851992409867	0	0	0.550284629981025	0	0	0	0	0.047438330170778	0	0	0.00379506641366224	0.0702087286527514	0	0	0	0	0.0759013282732448	0	0	0	0	0.0436432637571157	0	0	0.00379506641366224	0	0.208728652751423	0	0.00189753320683112	0.00189753320683112	1	0.00569259962049336	0	0.0929791271347249	0.447817836812144	0
