	Acanthoeca_like_sp_10tr	Acropora_cervicornis	Aiptasia_pallida	Amoebidium	Amphimedon_queenslandica	Aphrocallistes_vastus	Aurelia_aurita	Beroe_abyssicola	Bolocera_tuediae	Botryllus_schlosseri	Branchiostoma_floridae	Buddenbrockia_plumatellae	Capitella_teleta	Capsaspora_owczarzaki_atcc30864	Chondrilla_nucula	Ciona_intestinalis	Clytia_hemisphaerica	Corticium_candelabrum	Craspedacusta_sowerbyi	Crassostrea_gigas	Cyanea_capillata	Daphnia_pulex	Ectopleura_larynx	Edwardsiella_lineata	Enteromyxum_leei	Ephydatia_muelleri	Eunicella_cavolinii	Euplectella_aspergillum	Euplokamis_dunlapae	Gorgonia_ventalina	Helobdella_robusta	Homo_sapiens	Hormathia_digitata	Hydra_magnipapillata	Hydractinia_polyclina	Ilyanassa_obsoleta	Ixodes_scapularis	Kudoa_iwatai	Latimeria_menadoensis	Leucetta_chagosensis	Ministeria_vibrans_atcc50519	Mnemiopsis_leidyi	Monosiga_brevicollis_mx1	Monosiga_ovata	Montastraea_faveolata	Myxobolus_cerebralis	Nanomia_bijuga	Nasonia_vitripennis	Nematostella_vectensis	Octopus_vulgaris	Oscarella	Oscarella_carmela	Patiria_miniata	Pediculus_humanus_corporis	Petromyzon_marinus	Petrosia_ficiformis	Pleurobrachia_pileus	Pocillopora_damicornis	Polypodium_hydriforme	Porites_australiensis	Saccoglossus_kowalevskii	Salpingoeca_sp_ATCC50818	Sarcotragus_fasciculatus	Sphaeroforma_arctica_jp610	Sphaeromyxa_zaharoni	Stephanoeca_diplocostata	Stomolophus_meleagris	Strigamia_maritima	Strongylocentrotus_purpuratus	Sycon_ciliatum	Sycon_coactum	Tetracapsuloides_bryosalmonae	Thelohanellus_kitauei	Trichoplax_adhaerens	Tripedalia_cystophora	Urticina_eques	Vallicula_multiformis
Acanthoeca_like_sp_10tr		0	0	0	0	0	0.017309205350118	0.017309205350118	0.003933910306845	0.017309205350118	0	0.017309205350118	0	0	0	0	0	0	0	0	0.017309205350118	0	0	0	0	0	0.017309205350118	0.017309205350118	0.016522423288749	0	0	0	0.000786782061369001	0	0	0	0	0	0	0.017309205350118	0.000786782061369001	0	0	0.016522423288749	0	0	0	0	0	0	0	0	0	0	0.000786782061369001	0	0.016522423288749	0.016522423288749	0	0	0	0	0.017309205350118	0	0	0.016522423288749	0.000786782061369001	0	0	0	0	0.017309205350118	0	0	0.017309205350118	0.017309205350118	0.00708103855232101
Acropora_cervicornis	0		0	0	0	0	0.004720692368214	0.004720692368214	0	0.004720692368214	0	0.004720692368214	0	0	0	0	0	0	0	0	0.004720692368214	0	0	0	0	0	0.004720692368214	0.004720692368214	0.004720692368214	0	0	0	0.004720692368214	0	0	0	0	0	0	0.004720692368214	0	0	0	0.004720692368214	0	0	0	0	0	0	0	0	0	0	0	0	0.004720692368214	0.004720692368214	0	0	0	0	0.004720692368214	0	0	0	0	0	0	0	0	0.004720692368214	0	0	0.004720692368214	0.004720692368214	0
Aiptasia_pallida	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amoebidium	0	0	0		0	0	0.003147128245476	0.003147128245476	0	0.003147128245476	0	0.003147128245476	0	0.002360346184107	0	0	0	0	0	0	0.003147128245476	0	0	0	0	0	0.003147128245476	0.003147128245476	0	0	0	0	0.002360346184107	0	0	0	0	0	0	0.003147128245476	0.003147128245476	0	0	0	0	0	0	0	0	0	0	0	0.003147128245476	0	0.002360346184107	0	0.000786782061369001	0	0	0	0	0	0.000786782061369001	0.003147128245476	0	0	0.002360346184107	0	0	0	0	0.003147128245476	0	0	0.000786782061369001	0.003147128245476	0
Amphimedon_queenslandica	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aphrocallistes_vastus	0	0	0	0	0		0.000786782061369001	0.000786782061369001	0.000786782061369001	0.000786782061369001	0	0.000786782061369001	0	0	0	0	0	0	0	0	0.000786782061369001	0	0	0	0.000786782061369001	0	0.000786782061369001	0.000786782061369001	0.000786782061369001	0	0	0	0.000786782061369001	0	0	0	0	0	0	0.000786782061369001	0.000786782061369001	0	0	0.000786782061369001	0	0	0	0	0	0	0	0	0	0	0.000786782061369001	0	0.000786782061369001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000786782061369001	0	0	0.000786782061369001	0.000786782061369001	0
Aurelia_aurita	0.017309205350118	0.004720692368214	0	0.003147128245476	0	0.000786782061369001		1	0.238394964594807	1	0	0.952006294256491	0	0.002360346184107	0.00865460267505901	0	0	0	0	0	1	0	0	0.00708103855232101	0.0936270653029111	0	0.940204563335956	1	0.650668764752164	0	0	0	0.411487018095987	0	0	0	0	0	0.011801730920535	1	0.332808811959087	0.0472069236821401	0.001573564122738	0.311565696302124	0	0	0	0	0	0	0.029897718332022	0.017309205350118	0.348544453186467	0	0.270653029110936	0	0.468135326514555	0.158143194335169	0	0	0	0.002360346184107	0.754523996852872	0.003147128245476	0	0.018095987411487	0.027537372147915	0.011801730920535	0	0	0	1	0	0	0.97639653815893	1	0.018882769472856
Beroe_abyssicola	0.017309205350118	0.004720692368214	0	0.003147128245476	0	0.000786782061369001	1		0.238394964594807	1	0	0.952006294256491	0	0.002360346184107	0.00865460267505901	0	0	0	0	0	1	0	0	0.00708103855232101	0.0936270653029111	0	0.940204563335956	1	0.650668764752164	0	0	0	0.411487018095987	0	0	0	0	0	0.011801730920535	1	0.332808811959087	0.0472069236821401	0.001573564122738	0.311565696302124	0	0	0	0	0	0	0.029897718332022	0.017309205350118	0.348544453186467	0	0.270653029110936	0	0.468135326514555	0.158143194335169	0	0	0	0.002360346184107	0.754523996852872	0.003147128245476	0	0.018095987411487	0.027537372147915	0.011801730920535	0	0	0	1	0	0	0.97639653815893	1	0.018882769472856
Bolocera_tuediae	0.003933910306845	0	0	0	0	0.000786782061369001	0.238394964594807	0.238394964594807		0.238394964594807	0	0.238394964594807	0	0	0.00865460267505901	0	0	0	0	0	0.238394964594807	0	0	0.00708103855232101	0.0928402832415421	0	0.238394964594807	0.238394964594807	0.227380015735641	0	0	0	0.166797797010228	0	0	0	0	0	0.011801730920535	0.238394964594807	0.0535011801730921	0.012588512981904	0	0.202202989771833	0	0	0	0	0	0	0.028324154209284	0.00944138473642801	0.0605822187254131	0	0.0629425649095201	0	0.231313926042486	0.0920535011801731	0	0	0	0	0.191974822974036	0	0	0.00550747442958301	0	0.011801730920535	0	0	0	0.238394964594807	0	0	0.238394964594807	0.238394964594807	0.011801730920535
Botryllus_schlosseri	0.017309205350118	0.004720692368214	0	0.003147128245476	0	0.000786782061369001	1	1	0.238394964594807		0	0.952006294256491	0	0.002360346184107	0.00865460267505901	0	0	0	0	0	1	0	0	0.00708103855232101	0.0936270653029111	0	0.940204563335956	1	0.650668764752164	0	0	0	0.411487018095987	0	0	0	0	0	0.011801730920535	1	0.332808811959087	0.0472069236821401	0.001573564122738	0.311565696302124	0	0	0	0	0	0	0.029897718332022	0.017309205350118	0.348544453186467	0	0.270653029110936	0	0.468135326514555	0.158143194335169	0	0	0	0.002360346184107	0.754523996852872	0.003147128245476	0	0.018095987411487	0.027537372147915	0.011801730920535	0	0	0	1	0	0	0.97639653815893	1	0.018882769472856
