	Acanthoeca_like_sp_10tr	Acropora_cervicornis	Aiptasia_pallida	Amoebidium	Amphimedon_queenslandica	Aphrocallistes_vastus	Aurelia_aurita	Beroe_abyssicola	Bolocera_tuediae	Botryllus_schlosseri	Branchiostoma_floridae	Buddenbrockia_plumatellae	Capitella_teleta	Capsaspora_owczarzaki_atcc30864	Chondrilla_nucula	Ciona_intestinalis	Clytia_hemisphaerica	Corticium_candelabrum	Craspedacusta_sowerbyi	Crassostrea_gigas	Cyanea_capillata	Daphnia_pulex	Ectopleura_larynx	Edwardsiella_lineata	Enteromyxum_leei	Ephydatia_muelleri	Eunicella_cavolinii	Euplectella_aspergillum	Euplokamis_dunlapae	Gorgonia_ventalina	Helobdella_robusta	Homo_sapiens	Hormathia_digitata	Hydra_magnipapillata	Hydractinia_polyclina	Ilyanassa_obsoleta	Ixodes_scapularis	Kudoa_iwatai	Latimeria_menadoensis	Leucetta_chagosensis	Ministeria_vibrans_atcc50519	Mnemiopsis_leidyi	Monosiga_brevicollis_mx1	Monosiga_ovata	Montastraea_faveolata	Myxobolus_cerebralis	Nanomia_bijuga	Nasonia_vitripennis	Nematostella_vectensis	Octopus_vulgaris	Oscarella	Oscarella_carmela	Patiria_miniata	Pediculus_humanus_corporis	Petromyzon_marinus	Petrosia_ficiformis	Pleurobrachia_pileus	Pocillopora_damicornis	Polypodium_hydriforme	Porites_australiensis	Saccoglossus_kowalevskii	Salpingoeca_sp_ATCC50818	Sarcotragus_fasciculatus	Sphaeroforma_arctica_jp610	Sphaeromyxa_zaharoni	Stephanoeca_diplocostata	Stomolophus_meleagris	Strigamia_maritima	Strongylocentrotus_purpuratus	Sycon_ciliatum	Sycon_coactum	Tetracapsuloides_bryosalmonae	Thelohanellus_kitauei	Trichoplax_adhaerens	Tripedalia_cystophora	Urticina_eques	Vallicula_multiformis
Acanthoeca_like_sp_10tr		0	0	0	0	0	0.00793650793650794	0	0.00793650793650794	0.00793650793650794	0	0.00992063492063492	0	0.00198412698412698	0	0	0	0	0	0	0.00992063492063492	0	0.00992063492063492	0	0.00992063492063492	0	0	0	0	0	0	0	0	0	0.00992063492063492	0	0	0	0	0.00992063492063492	0.00198412698412698	0	0.00198412698412698	0.00198412698412698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00992063492063492	0	0.00198412698412698	0	0	0.00992063492063492	0.00992063492063492	0.00198412698412698	0.00793650793650794	0	0	0	0.00992063492063492	0.00992063492063492	0	0.00992063492063492	0.00992063492063492	0
Acropora_cervicornis	0		0.00198412698412698	0	0	0	0.00198412698412698	0.00198412698412698	0.00198412698412698	0	0	0.00198412698412698	0.00198412698412698	0	0	0	0	0	0	0	0.00198412698412698	0.00198412698412698	0.00198412698412698	0.00198412698412698	0.00198412698412698	0	0.00198412698412698	0	0.00198412698412698	0.00198412698412698	0.00198412698412698	0	0.00198412698412698	0	0.00198412698412698	0	0	0	0	0.00198412698412698	0	0.00198412698412698	0	0	0.00198412698412698	0	0	0.00198412698412698	0.00198412698412698	0	0	0	0	0.00198412698412698	0	0	0.00198412698412698	0.00198412698412698	0	0.00198412698412698	0	0	0	0	0.00198412698412698	0	0	0	0	0	0	0.00198412698412698	0.00198412698412698	0	0.00198412698412698	0.00198412698412698	0.00198412698412698
Aiptasia_pallida	0	0.00198412698412698		0	0	0	0.00198412698412698	0.00198412698412698	0.00396825396825397	0	0	0.00396825396825397	0.00198412698412698	0	0	0	0	0	0	0	0.00396825396825397	0.00198412698412698	0.00396825396825397	0.00198412698412698	0.00396825396825397	0	0.00198412698412698	0	0.00198412698412698	0.00198412698412698	0.00396825396825397	0	0.00198412698412698	0	0.00396825396825397	0	0	0	0	0.00396825396825397	0	0.00198412698412698	0	0	0.00198412698412698	0	0	0.00198412698412698	0.00198412698412698	0	0	0	0	0.00198412698412698	0	0	0.00198412698412698	0.00198412698412698	0	0.00396825396825397	0	0	0	0	0.00396825396825397	0	0	0	0	0	0	0.00396825396825397	0.00396825396825397	0	0.00198412698412698	0.00396825396825397	0.00198412698412698
Amoebidium	0	0	0		0	0	0.0198412698412698	0	0.0198412698412698	0	0	0.0198412698412698	0	0.00198412698412698	0	0	0	0	0	0	0.0198412698412698	0	0.0198412698412698	0	0.0198412698412698	0	0	0	0	0	0.0198412698412698	0	0	0	0.0198412698412698	0	0	0	0	0.0198412698412698	0.00198412698412698	0	0	0	0	0.00198412698412698	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0198412698412698	0	0	0	0.0178571428571429	0.0198412698412698	0	0	0	0	0	0	0.0198412698412698	0.0198412698412698	0	0.0198412698412698	0	0
Amphimedon_queenslandica	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aphrocallistes_vastus	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aurelia_aurita	0.00793650793650794	0.00198412698412698	0.00198412698412698	0.0198412698412698	0	0		0.00198412698412698	0.275793650793651	0.0317460317460317	0	0.48015873015873	0.00198412698412698	0.00198412698412698	0	0	0	0	0	0	0.48015873015873	0.00198412698412698	0.48015873015873	0.00198412698412698	0.48015873015873	0	0.00198412698412698	0	0.00198412698412698	0.00198412698412698	0.251984126984127	0	0.00198412698412698	0	0.48015873015873	0	0	0	0	0.48015873015873	0.00198412698412698	0.00198412698412698	0	0.00793650793650794	0.00198412698412698	0.0912698412698413	0	0.00198412698412698	0.00198412698412698	0	0	0	0	0.00198412698412698	0.0297619047619048	0	0.00198412698412698	0.00198412698412698	0	0.48015873015873	0	0	0	0.0178571428571429	0.48015873015873	0.00793650793650794	0	0.0317460317460317	0	0	0	0.48015873015873	0.48015873015873	0	0.333333333333333	0.178571428571429	0.00198412698412698
Beroe_abyssicola	0	0.00198412698412698	0.00198412698412698	0	0	0	0.00198412698412698		0.00198412698412698	0	0	0.00198412698412698	0.00198412698412698	0	0	0	0	0	0	0	0.00198412698412698	0.00198412698412698	0.00198412698412698	0.00198412698412698	0.00198412698412698	0	0.00198412698412698	0	0.00198412698412698	0.00198412698412698	0.00198412698412698	0	0.00198412698412698	0	0.00198412698412698	0	0	0	0	0.00198412698412698	0	0.00198412698412698	0	0	0.00198412698412698	0	0	0.00198412698412698	0.00198412698412698	0	0	0	0	0.00198412698412698	0	0	0.00198412698412698	0.00198412698412698	0	0.00198412698412698	0	0	0	0	0.00198412698412698	0	0	0	0	0	0	0.00198412698412698	0.00198412698412698	0	0.00198412698412698	0.00198412698412698	0.00198412698412698
Bolocera_tuediae	0.00793650793650794	0.00198412698412698	0.00396825396825397	0.0198412698412698	0	0	0.275793650793651	0.00198412698412698		0.0317460317460317	0	0.371031746031746	0.00198412698412698	0.00198412698412698	0	0	0	0	0	0	0.371031746031746	0.00198412698412698	0.371031746031746	0.00198412698412698	0.371031746031746	0	0.00198412698412698	0	0.00198412698412698	0.00198412698412698	0.126984126984127	0	0.0615079365079365	0	0.371031746031746	0	0	0	0	0.371031746031746	0.00198412698412698	0.00198412698412698	0	0	0.00198412698412698	0.0357142857142857	0	0.00198412698412698	0.00198412698412698	0	0	0	0	0.00198412698412698	0	0	0.00198412698412698	0.00198412698412698	0	0.371031746031746	0	0	0	0.0178571428571429	0.371031746031746	0.00793650793650794	0	0.0317460317460317	0	0	0	0.371031746031746	0.371031746031746	0	0.341269841269841	0.162698412698413	0.00198412698412698
Botryllus_schlosseri	0.00793650793650794	0	0	0	0	0	0.0317460317460317	0	0.0317460317460317		0	0.0952380952380952	0	0	0	0	0	0	0	0	0.0952380952380952	0	0.0952380952380952	0	0.0952380952380952	0	0	0	0	0	0	0	0	0	0.0952380952380952	0	0	0	0	0.0952380952380952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0952380952380952	0	0	0	0	0.0952380952380952	0.00793650793650794	0.0297619047619048	0.0317460317460317	0	0	0	0.0952380952380952	0.0952380952380952	0	0.0952380952380952	0.0952380952380952	0
