	Acanthoeca_like_sp_10tr	Acropora_cervicornis	Aiptasia_pallida	Amoebidium	Amphimedon_queenslandica	Aphrocallistes_vastus	Aurelia_aurita	Beroe_abyssicola	Bolocera_tuediae	Botryllus_schlosseri	Branchiostoma_floridae	Buddenbrockia_plumatellae	Capitella_teleta	Capsaspora_owczarzaki_atcc30864	Chondrilla_nucula	Ciona_intestinalis	Clytia_hemisphaerica	Corticium_candelabrum	Craspedacusta_sowerbyi	Crassostrea_gigas	Cyanea_capillata	Daphnia_pulex	Ectopleura_larynx	Edwardsiella_lineata	Enteromyxum_leei	Ephydatia_muelleri	Eunicella_cavolinii	Euplectella_aspergillum	Euplokamis_dunlapae	Gorgonia_ventalina	Helobdella_robusta	Homo_sapiens	Hormathia_digitata	Hydra_magnipapillata	Hydractinia_polyclina	Ilyanassa_obsoleta	Ixodes_scapularis	Kudoa_iwatai	Latimeria_menadoensis	Leucetta_chagosensis	Ministeria_vibrans_atcc50519	Mnemiopsis_leidyi	Monosiga_brevicollis_mx1	Monosiga_ovata	Montastraea_faveolata	Myxobolus_cerebralis	Nanomia_bijuga	Nasonia_vitripennis	Nematostella_vectensis	Octopus_vulgaris	Oscarella	Oscarella_carmela	Patiria_miniata	Pediculus_humanus_corporis	Petromyzon_marinus	Petrosia_ficiformis	Pleurobrachia_pileus	Pocillopora_damicornis	Polypodium_hydriforme	Porites_australiensis	Saccoglossus_kowalevskii	Salpingoeca_sp_ATCC50818	Sarcotragus_fasciculatus	Sphaeroforma_arctica_jp610	Sphaeromyxa_zaharoni	Stephanoeca_diplocostata	Stomolophus_meleagris	Strigamia_maritima	Strongylocentrotus_purpuratus	Sycon_ciliatum	Sycon_coactum	Tetracapsuloides_bryosalmonae	Thelohanellus_kitauei	Trichoplax_adhaerens	Tripedalia_cystophora	Urticina_eques	Vallicula_multiformis
Acanthoeca_like_sp_10tr		0	0.0280898876404494	0.00561797752808989	0	0	0.0337078651685393	0	0	0	0	0.0337078651685393	0	0.0280898876404494	0	0	0	0	0	0	0.0337078651685393	0	0	0	0.0337078651685393	0	0	0	0.0337078651685393	0	0	0	0	0	0	0.00561797752808989	0	0	0	0.0337078651685393	0.00561797752808989	0	0.0337078651685393	0.0337078651685393	0	0	0	0	0	0	0	0	0	0	0.00561797752808989	0	0	0	0	0.0337078651685393	0	0.0337078651685393	0.00561797752808989	0.00561797752808989	0.0337078651685393	0.0337078651685393	0	0	0	0	0	0.0337078651685393	0.0337078651685393	0	0	0	0
Acropora_cervicornis	0		0.00561797752808989	0	0	0	0.00561797752808989	0	0.00561797752808989	0	0	0.00561797752808989	0	0	0	0	0	0	0	0	0.00561797752808989	0	0	0.00561797752808989	0.00561797752808989	0	0.00561797752808989	0	0.00561797752808989	0.00561797752808989	0	0	0.00561797752808989	0	0	0.00561797752808989	0	0	0	0.00561797752808989	0	0	0	0	0.00561797752808989	0.00561797752808989	0	0	0.00561797752808989	0	0	0	0	0	0.00561797752808989	0	0	0.00561797752808989	0	0.00561797752808989	0	0	0.00561797752808989	0	0.00561797752808989	0	0	0	0	0	0	0.00561797752808989	0.00561797752808989	0	0	0.00561797752808989	0
Aiptasia_pallida	0.0280898876404494	0.00561797752808989		0	0	0	0.370786516853933	0.050561797752809	0.00561797752808989	0	0	0.370786516853933	0	0.337078651685393	0	0	0	0.0955056179775281	0	0	0.370786516853933	0	0	0.00561797752808989	0.370786516853933	0	0.00561797752808989	0.0617977528089888	0.370786516853933	0.00561797752808989	0	0	0.00561797752808989	0	0	0.0393258426966292	0	0	0	0.370786516853933	0.0617977528089888	0.050561797752809	0.202247191011236	0.0280898876404494	0.00561797752808989	0.0112359550561798	0	0	0.00561797752808989	0	0	0	0	0	0.280898876404494	0.0337078651685393	0	0.00561797752808989	0	0.370786516853933	0	0.0280898876404494	0.247191011235955	0.0617977528089888	0.370786516853933	0.331460674157303	0	0	0	0	0	0.370786516853933	0.370786516853933	0	0.00561797752808989	0.00561797752808989	0.050561797752809
Amoebidium	0.00561797752808989	0	0		0	0	0.00561797752808989	0	0	0	0	0.00561797752808989	0	0.00561797752808989	0	0	0	0	0	0	0.00561797752808989	0	0	0	0.00561797752808989	0	0	0	0.00561797752808989	0	0	0	0	0	0	0.00561797752808989	0	0	0	0.00561797752808989	0.00561797752808989	0	0.00561797752808989	0.00561797752808989	0	0	0	0	0	0	0	0	0	0	0.00561797752808989	0	0	0	0	0.00561797752808989	0	0.00561797752808989	0.00561797752808989	0.00561797752808989	0.00561797752808989	0.00561797752808989	0	0	0	0	0	0.00561797752808989	0.00561797752808989	0	0	0	0
Amphimedon_queenslandica	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aphrocallistes_vastus	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aurelia_aurita	0.0337078651685393	0.00561797752808989	0.370786516853933	0.00561797752808989	0	0		0.050561797752809	0.00561797752808989	0	0	1	0	0.342696629213483	0	0	0	0.0955056179775281	0	0	1	0	0	0.00561797752808989	1	0	0.0112359550561798	0.0617977528089888	0.758426966292135	0.00561797752808989	0	0	0.00561797752808989	0	0	0.426966292134831	0	0	0	1	0.0730337078651685	0.050561797752809	0.207865168539326	0.0337078651685393	0.00561797752808989	0.0112359550561798	0	0	0.00561797752808989	0	0	0.101123595505618	0.00561797752808989	0	0.910112359550562	0.151685393258427	0	0.00561797752808989	0.00561797752808989	1	0.134831460674157	0.0337078651685393	0.657303370786517	0.0674157303370786	1	0.337078651685393	0	0.00561797752808989	0.00561797752808989	0	0	1	1	0	0.0168539325842697	0.0393258426966292	0.050561797752809
Beroe_abyssicola	0	0	0.050561797752809	0	0	0	0.050561797752809		0	0	0	0.050561797752809	0	0.050561797752809	0	0	0	0.050561797752809	0	0	0.050561797752809	0	0	0	0.050561797752809	0	0	0.050561797752809	0.050561797752809	0	0	0	0	0	0	0	0	0	0	0.050561797752809	0.050561797752809	0.050561797752809	0.050561797752809	0	0	0	0	0	0	0	0	0	0	0	0.050561797752809	0	0	0	0	0.050561797752809	0	0	0.050561797752809	0.050561797752809	0.050561797752809	0.050561797752809	0	0	0	0	0	0.050561797752809	0.050561797752809	0	0	0	0.050561797752809
Bolocera_tuediae	0	0.00561797752808989	0.00561797752808989	0	0	0	0.00561797752808989	0		0	0	0.00561797752808989	0	0	0	0	0	0	0	0	0.00561797752808989	0	0	0.00561797752808989	0.00561797752808989	0	0.00561797752808989	0	0.00561797752808989	0.00561797752808989	0	0	0.00561797752808989	0	0	0.00561797752808989	0	0	0	0.00561797752808989	0	0	0	0	0.00561797752808989	0.00561797752808989	0	0	0.00561797752808989	0	0	0	0	0	0.00561797752808989	0	0	0.00561797752808989	0	0.00561797752808989	0	0	0.00561797752808989	0	0.00561797752808989	0	0	0	0	0	0	0.00561797752808989	0.00561797752808989	0	0	0.00561797752808989	0
Botryllus_schlosseri	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
