	Acanthoeca_like_sp_10tr	Acropora_cervicornis	Aiptasia_pallida	Amoebidium	Amphimedon_queenslandica	Aphrocallistes_vastus	Aurelia_aurita	Beroe_abyssicola	Bolocera_tuediae	Botryllus_schlosseri	Branchiostoma_floridae	Buddenbrockia_plumatellae	Capitella_teleta	Capsaspora_owczarzaki_atcc30864	Chondrilla_nucula	Ciona_intestinalis	Clytia_hemisphaerica	Corticium_candelabrum	Craspedacusta_sowerbyi	Crassostrea_gigas	Cyanea_capillata	Daphnia_pulex	Ectopleura_larynx	Edwardsiella_lineata	Enteromyxum_leei	Ephydatia_muelleri	Eunicella_cavolinii	Euplectella_aspergillum	Euplokamis_dunlapae	Gorgonia_ventalina	Helobdella_robusta	Homo_sapiens	Hormathia_digitata	Hydra_magnipapillata	Hydractinia_polyclina	Ilyanassa_obsoleta	Ixodes_scapularis	Kudoa_iwatai	Latimeria_menadoensis	Leucetta_chagosensis	Ministeria_vibrans_atcc50519	Mnemiopsis_leidyi	Monosiga_brevicollis_mx1	Monosiga_ovata	Montastraea_faveolata	Myxobolus_cerebralis	Nanomia_bijuga	Nasonia_vitripennis	Nematostella_vectensis	Octopus_vulgaris	Oscarella	Oscarella_carmela	Patiria_miniata	Pediculus_humanus_corporis	Petromyzon_marinus	Petrosia_ficiformis	Pleurobrachia_pileus	Pocillopora_damicornis	Polypodium_hydriforme	Porites_australiensis	Saccoglossus_kowalevskii	Salpingoeca_sp_ATCC50818	Sarcotragus_fasciculatus	Sphaeroforma_arctica_jp610	Sphaeromyxa_zaharoni	Stephanoeca_diplocostata	Stomolophus_meleagris	Strigamia_maritima	Strongylocentrotus_purpuratus	Sycon_ciliatum	Sycon_coactum	Tetracapsuloides_bryosalmonae	Thelohanellus_kitauei	Trichoplax_adhaerens	Tripedalia_cystophora	Urticina_eques	Vallicula_multiformis
Acanthoeca_like_sp_10tr		0	0	0.00591715976331361	0	0	0	0.0029585798816568	0	0	0	0.00887573964497041	0	0.0029585798816568	0	0	0	0	0	0	0.00887573964497041	0	0	0	0	0	0	0	0.0029585798816568	0	0	0	0	0	0	0.00591715976331361	0	0	0.00591715976331361	0.00887573964497041	0.0029585798816568	0	0.0029585798816568	0.00887573964497041	0	0	0	0	0	0	0	0	0.00591715976331361	0	0	0	0	0	0	0	0	0.0029585798816568	0.00591715976331361	0.00591715976331361	0	0.00887573964497041	0	0	0	0	0	0.00887573964497041	0	0	0.00591715976331361	0.00887573964497041	0
Acropora_cervicornis	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aiptasia_pallida	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amoebidium	0.00591715976331361	0	0		0	0	0	0	0	0	0	0.00887573964497041	0	0.00591715976331361	0	0	0	0	0	0	0.00887573964497041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00591715976331361	0	0	0.00887573964497041	0.00887573964497041	0.00591715976331361	0	0.00591715976331361	0.00887573964497041	0	0	0	0	0	0	0	0	0.00887573964497041	0	0	0	0	0	0	0	0	0.00591715976331361	0.00887573964497041	0.00887573964497041	0	0.00591715976331361	0	0	0	0	0	0.00887573964497041	0	0	0.00887573964497041	0.00887573964497041	0
Amphimedon_queenslandica	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aphrocallistes_vastus	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aurelia_aurita	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Beroe_abyssicola	0.0029585798816568	0	0	0	0	0	0		0	0	0	0.0650887573964497	0	0	0	0	0	0	0	0	0.0650887573964497	0	0	0	0	0	0	0	0.0621301775147929	0	0	0	0	0	0	0	0	0	0	0.0650887573964497	0	0	0	0.0650887573964497	0	0	0	0	0	0	0	0	0.00591715976331361	0	0	0	0	0	0	0	0	0	0	0	0	0.0029585798816568	0	0	0	0	0	0.0650887573964497	0	0	0	0.0650887573964497	0
Bolocera_tuediae	0	0	0	0	0	0	0	0		0	0	0.269230769230769	0	0	0.186390532544379	0	0.0266272189349112	0	0	0	0.269230769230769	0	0	0	0.133136094674556	0	0	0	0.269230769230769	0	0	0	0	0	0	0	0	0	0	0.269230769230769	0	0	0	0.269230769230769	0	0	0	0	0	0	0.0355029585798817	0	0.0473372781065089	0	0	0	0.00591715976331361	0	0	0	0	0	0	0	0	0	0	0.00591715976331361	0	0	0	0.269230769230769	0.00591715976331361	0	0.242603550295858	0.269230769230769	0.00591715976331361
Botryllus_schlosseri	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
