	Acanthoeca_like_sp_10tr	Acropora_cervicornis	Aiptasia_pallida	Amoebidium	Amphimedon_queenslandica	Aphrocallistes_vastus	Aurelia_aurita	Beroe_abyssicola	Bolocera_tuediae	Botryllus_schlosseri	Branchiostoma_floridae	Buddenbrockia_plumatellae	Capitella_teleta	Capsaspora_owczarzaki_atcc30864	Chondrilla_nucula	Ciona_intestinalis	Clytia_hemisphaerica	Corticium_candelabrum	Craspedacusta_sowerbyi	Crassostrea_gigas	Cyanea_capillata	Daphnia_pulex	Ectopleura_larynx	Edwardsiella_lineata	Enteromyxum_leei	Ephydatia_muelleri	Eunicella_cavolinii	Euplectella_aspergillum	Euplokamis_dunlapae	Gorgonia_ventalina	Helobdella_robusta	Homo_sapiens	Hormathia_digitata	Hydra_magnipapillata	Hydractinia_polyclina	Ilyanassa_obsoleta	Ixodes_scapularis	Kudoa_iwatai	Latimeria_menadoensis	Leucetta_chagosensis	Ministeria_vibrans_atcc50519	Mnemiopsis_leidyi	Monosiga_brevicollis_mx1	Monosiga_ovata	Montastraea_faveolata	Myxobolus_cerebralis	Nanomia_bijuga	Nasonia_vitripennis	Nematostella_vectensis	Octopus_vulgaris	Oscarella	Oscarella_carmela	Patiria_miniata	Pediculus_humanus_corporis	Petromyzon_marinus	Petrosia_ficiformis	Pleurobrachia_pileus	Pocillopora_damicornis	Polypodium_hydriforme	Porites_australiensis	Saccoglossus_kowalevskii	Salpingoeca_sp_ATCC50818	Sarcotragus_fasciculatus	Sphaeroforma_arctica_jp610	Sphaeromyxa_zaharoni	Stephanoeca_diplocostata	Stomolophus_meleagris	Strigamia_maritima	Strongylocentrotus_purpuratus	Sycon_ciliatum	Sycon_coactum	Tetracapsuloides_bryosalmonae	Thelohanellus_kitauei	Trichoplax_adhaerens	Tripedalia_cystophora	Urticina_eques	Vallicula_multiformis
Acanthoeca_like_sp_10tr		0.0103986135181976	0	0.00173310225303293	0	0	0.0675909878682842	0.0675909878682842	0.0415944540727903	0.0433275563258232	0	0.0675909878682842	0	0.00173310225303293	0.024263431542461	0	0.0259965337954939	0	0	0	0.0675909878682842	0.00173310225303293	0	0	0.0259965337954939	0	0.024263431542461	0.0415944540727903	0.0658578856152513	0	0.0571923743500867	0	0	0	0	0	0	0	0	0.0675909878682842	0.0675909878682842	0	0.024263431542461	0	0	0	0	0	0	0	0	0.0103986135181976	0.0225303292894281	0	0	0	0.0415944540727903	0	0	0.0433275563258232	0	0.00173310225303293	0	0	0	0.0658578856152513	0.0415944540727903	0.0277296360485269	0.024263431542461	0	0	0.0675909878682842	0.0346620450606586	0	0.0433275563258232	0.0675909878682842	0
Acropora_cervicornis	0.0103986135181976		0	0	0	0	0.0103986135181976	0.0103986135181976	0	0	0	0.0103986135181976	0	0	0.0103986135181976	0	0.0103986135181976	0	0	0	0.0103986135181976	0	0	0	0.0103986135181976	0	0.0103986135181976	0	0.0103986135181976	0	0.0103986135181976	0	0	0	0	0	0	0	0	0.0103986135181976	0.0103986135181976	0	0.0103986135181976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0103986135181976	0	0.0103986135181976	0.0103986135181976	0	0	0.0103986135181976	0	0	0	0.0103986135181976	0
Aiptasia_pallida	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amoebidium	0.00173310225303293	0	0		0	0	0.00173310225303293	0.00173310225303293	0.00173310225303293	0.00173310225303293	0	0.00173310225303293	0	0	0	0	0	0	0	0	0.00173310225303293	0	0	0	0	0	0	0.00173310225303293	0.00173310225303293	0	0.00173310225303293	0	0	0	0	0	0	0	0	0.00173310225303293	0.00173310225303293	0	0	0	0	0	0	0	0	0	0	0	0.00173310225303293	0	0	0	0.00173310225303293	0	0	0.00173310225303293	0	0	0	0	0	0.00173310225303293	0.00173310225303293	0	0	0	0	0.00173310225303293	0.00173310225303293	0	0.00173310225303293	0.00173310225303293	0
Amphimedon_queenslandica	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aphrocallistes_vastus	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aurelia_aurita	0.0675909878682842	0.0103986135181976	0	0.00173310225303293	0	0		0.722703639514731	0.0831889081455806	0.37261698440208	0	0.722703639514731	0	0.00173310225303293	0.24263431542461	0	0.169844020797227	0	0	0	0.722703639514731	0.00173310225303293	0	0	0.190641247833622	0.00173310225303293	0.24263431542461	0.261698440207972	0.563258232235702	0	0.2842287694974	0	0.0311958405545927	0.048526863084922	0.0173310225303293	0	0	0	0	0.722703639514731	0.528596187175043	0	0.0606585788561525	0.024263431542461	0.0259965337954939	0	0.0103986135181976	0	0	0	0	0.024263431542461	0.0381282495667244	0	0.128249566724437	0.0294627383015598	0.336221837088388	0.0259965337954939	0	0.5736568457539	0	0.00173310225303293	0.155979202772964	0	0	0.30155979202773	0.298093587521664	0.0849220103986135	0.024263431542461	0	0	0.722703639514731	0.164644714038128	0	0.564991334488735	0.722703639514731	0
Beroe_abyssicola	0.0675909878682842	0.0103986135181976	0	0.00173310225303293	0	0	0.722703639514731		0.175043327556326	0.426343154246101	0	0.916811091854419	0	0.00173310225303293	0.24263431542461	0	0.223570190641248	0	0	0	0.916811091854419	0.00173310225303293	0	0	0.207972270363951	0.0381282495667244	0.24263431542461	0.353552859618718	0.703639514731369	0	0.459272097053726	0	0.0311958405545927	0.048526863084922	0.0173310225303293	0	0	0	0	0.916811091854419	0.547660311958406	0	0.0606585788561525	0.0797227036395147	0.0259965337954939	0	0.0103986135181976	0.00519930675909879	0	0.00693240901213172	0	0.024263431542461	0.0953206239168111	0	0.128249566724437	0.0294627383015598	0.476603119584055	0.0363951473136915	0	0.767764298093587	0	0.00173310225303293	0.17157712305026	0	0	0.339688041594454	0.438474870017331	0.143847487001733	0.024263431542461	0	0	0.916811091854419	0.178509532062392	0	0.759098786828423	0.916811091854419	0
Bolocera_tuediae	0.0415944540727903	0	0	0.00173310225303293	0	0	0.0831889081455806	0.175043327556326		0.0641247833622184	0	0.175043327556326	0	0.00173310225303293	0	0	0.0138648180242634	0	0	0	0.175043327556326	0.00173310225303293	0	0	0.0190641247833622	0	0	0.0797227036395147	0.161178509532062	0	0.157712305025997	0	0	0	0	0	0	0	0	0.175043327556326	0.0502599653379549	0	0	0.048526863084922	0	0	0	0.00519930675909879	0	0.00693240901213172	0	0.0103986135181976	0.0797227036395147	0	0	0.00693240901213172	0.161178509532062	0.0103986135181976	0	0.175043327556326	0	0.00173310225303293	0	0	0	0.0641247833622184	0.161178509532062	0.0623916811091854	0	0	0	0.175043327556326	0.0467937608318891	0	0.175043327556326	0.175043327556326	0
Botryllus_schlosseri	0.0433275563258232	0	0	0.00173310225303293	0	0	0.37261698440208	0.426343154246101	0.0641247833622184		0	0.509532062391681	0	0.00173310225303293	0.0589254766031196	0	0.178509532062392	0	0	0	0.509532062391681	0.00173310225303293	0	0	0.024263431542461	0	0.0277296360485269	0.232235701906412	0.235701906412478	0	0.133448873483536	0	0.0294627383015598	0.0259965337954939	0.0173310225303293	0	0	0	0	0.509532062391681	0.289428076256499	0	0	0.024263431542461	0	0	0.00693240901213172	0	0	0	0	0.024263431542461	0.0381282495667244	0	0.0606585788561525	0	0.235701906412478	0	0	0.509532062391681	0	0.00173310225303293	0.154246100519931	0	0	0.199306759098787	0.235701906412478	0.0225303292894281	0	0	0	0.509532062391681	0.133448873483536	0	0.509532062391681	0.509532062391681	0
