	Acanthoeca_like_sp_10tr	Acropora_cervicornis	Aiptasia_pallida	Amoebidium	Amphimedon_queenslandica	Aphrocallistes_vastus	Aurelia_aurita	Beroe_abyssicola	Bolocera_tuediae	Botryllus_schlosseri	Branchiostoma_floridae	Buddenbrockia_plumatellae	Capitella_teleta	Capsaspora_owczarzaki_atcc30864	Chondrilla_nucula	Ciona_intestinalis	Clytia_hemisphaerica	Corticium_candelabrum	Craspedacusta_sowerbyi	Crassostrea_gigas	Cyanea_capillata	Daphnia_pulex	Ectopleura_larynx	Edwardsiella_lineata	Enteromyxum_leei	Ephydatia_muelleri	Eunicella_cavolinii	Euplectella_aspergillum	Euplokamis_dunlapae	Gorgonia_ventalina	Helobdella_robusta	Homo_sapiens	Hormathia_digitata	Hydra_magnipapillata	Hydractinia_polyclina	Ilyanassa_obsoleta	Ixodes_scapularis	Kudoa_iwatai	Latimeria_menadoensis	Leucetta_chagosensis	Ministeria_vibrans_atcc50519	Mnemiopsis_leidyi	Monosiga_brevicollis_mx1	Monosiga_ovata	Montastraea_faveolata	Myxobolus_cerebralis	Nanomia_bijuga	Nasonia_vitripennis	Nematostella_vectensis	Octopus_vulgaris	Oscarella	Oscarella_carmela	Patiria_miniata	Pediculus_humanus_corporis	Petromyzon_marinus	Petrosia_ficiformis	Pleurobrachia_pileus	Pocillopora_damicornis	Polypodium_hydriforme	Porites_australiensis	Saccoglossus_kowalevskii	Salpingoeca_sp_ATCC50818	Sarcotragus_fasciculatus	Sphaeroforma_arctica_jp610	Sphaeromyxa_zaharoni	Stephanoeca_diplocostata	Stomolophus_meleagris	Strigamia_maritima	Strongylocentrotus_purpuratus	Sycon_ciliatum	Sycon_coactum	Tetracapsuloides_bryosalmonae	Thelohanellus_kitauei	Trichoplax_adhaerens	Tripedalia_cystophora	Urticina_eques	Vallicula_multiformis
Acanthoeca_like_sp_10tr		1	1	1	1	1	1	1	1	1	1	0	1	0.973523421588595	0.969450101832994	1	1	1	1	0.971486761710794	0	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0.712830957230143	0.826883910386965	1	1	1	1	0.9979633401222	1	1	1	0.437881873727088	1	1	1	0.979633401221996	1	1	1	0.993890020366599	1	1	1	1	0.95112016293279	1	1	1	1	1	1	1	1	0	1	0.987780040733198	0.885947046843177	0.727087576374745	1
Acropora_cervicornis	1		1	1	1	1	1	1	1	1	1	0	1	0.973523421588595	0.969450101832994	1	1	1	1	0.971486761710794	0	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0.712830957230143	0.826883910386965	1	1	1	1	0.9979633401222	1	1	1	0.437881873727088	1	1	1	0.979633401221996	1	1	1	0.993890020366599	1	1	1	1	0.95112016293279	1	1	1	1	1	1	1	1	0	1	0.987780040733198	0.885947046843177	0.727087576374745	1
Aiptasia_pallida	1	1		1	1	1	1	1	1	1	1	0	1	0.973523421588595	0.969450101832994	1	1	1	1	0.971486761710794	0	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0.712830957230143	0.826883910386965	1	1	1	1	0.9979633401222	1	1	1	0.437881873727088	1	1	1	0.979633401221996	1	1	1	0.993890020366599	1	1	1	1	0.95112016293279	1	1	1	1	1	1	1	1	0	1	0.987780040733198	0.885947046843177	0.727087576374745	1
Amoebidium	1	1	1		1	1	1	1	1	1	1	0	1	0.973523421588595	0.969450101832994	1	1	1	1	0.971486761710794	0	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0.712830957230143	0.826883910386965	1	1	1	1	0.9979633401222	1	1	1	0.437881873727088	1	1	1	0.979633401221996	1	1	1	0.993890020366599	1	1	1	1	0.95112016293279	1	1	1	1	1	1	1	1	0	1	0.987780040733198	0.885947046843177	0.727087576374745	1
Amphimedon_queenslandica	1	1	1	1		1	1	1	1	1	1	0	1	0.973523421588595	0.969450101832994	1	1	1	1	0.971486761710794	0	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0.712830957230143	0.826883910386965	1	1	1	1	0.9979633401222	1	1	1	0.437881873727088	1	1	1	0.979633401221996	1	1	1	0.993890020366599	1	1	1	1	0.95112016293279	1	1	1	1	1	1	1	1	0	1	0.987780040733198	0.885947046843177	0.727087576374745	1
Aphrocallistes_vastus	1	1	1	1	1		1	1	1	1	1	0	1	0.973523421588595	0.969450101832994	1	1	1	1	0.971486761710794	0	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0.712830957230143	0.826883910386965	1	1	1	1	0.9979633401222	1	1	1	0.437881873727088	1	1	1	0.979633401221996	1	1	1	0.993890020366599	1	1	1	1	0.95112016293279	1	1	1	1	1	1	1	1	0	1	0.987780040733198	0.885947046843177	0.727087576374745	1
Aurelia_aurita	1	1	1	1	1	1		1	1	1	1	0	1	0.973523421588595	0.969450101832994	1	1	1	1	0.971486761710794	0	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0.712830957230143	0.826883910386965	1	1	1	1	0.9979633401222	1	1	1	0.437881873727088	1	1	1	0.979633401221996	1	1	1	0.993890020366599	1	1	1	1	0.95112016293279	1	1	1	1	1	1	1	1	0	1	0.987780040733198	0.885947046843177	0.727087576374745	1
Beroe_abyssicola	1	1	1	1	1	1	1		1	1	1	0	1	0.973523421588595	0.969450101832994	1	1	1	1	0.971486761710794	0	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0.712830957230143	0.826883910386965	1	1	1	1	0.9979633401222	1	1	1	0.437881873727088	1	1	1	0.979633401221996	1	1	1	0.993890020366599	1	1	1	1	0.95112016293279	1	1	1	1	1	1	1	1	0	1	0.987780040733198	0.885947046843177	0.727087576374745	1
Bolocera_tuediae	1	1	1	1	1	1	1	1		1	1	0	1	0.973523421588595	0.969450101832994	1	1	1	1	0.971486761710794	0	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0.712830957230143	0.826883910386965	1	1	1	1	0.9979633401222	1	1	1	0.437881873727088	1	1	1	0.979633401221996	1	1	1	0.993890020366599	1	1	1	1	0.95112016293279	1	1	1	1	1	1	1	1	0	1	0.987780040733198	0.885947046843177	0.727087576374745	1
Botryllus_schlosseri	1	1	1	1	1	1	1	1	1		1	0	1	0.973523421588595	0.969450101832994	1	1	1	1	0.971486761710794	0	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0.712830957230143	0.826883910386965	1	1	1	1	0.9979633401222	1	1	1	0.437881873727088	1	1	1	0.979633401221996	1	1	1	0.993890020366599	1	1	1	1	0.95112016293279	1	1	1	1	1	1	1	1	0	1	0.987780040733198	0.885947046843177	0.727087576374745	1
Branchiostoma_floridae	1	1	1	1	1	1	1	1	1	1		0	1	0.973523421588595	0.969450101832994	1	1	1	1	0.971486761710794	0	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0.712830957230143	0.826883910386965	1	1	1	1	0.9979633401222	1	1	1	0.437881873727088	1	1	1	0.979633401221996	1	1	1	0.993890020366599	1	1	1	1	0.95112016293279	1	1	1	1	1	1	1	1	0	1	0.987780040733198	0.885947046843177	0.727087576374745	1
Buddenbrockia_plumatellae	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Capitella_teleta	1	1	1	1	1	1	1	1	1	1	1	0		0.973523421588595	0.969450101832994	1	1	1	1	0.971486761710794	0	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0.712830957230143	0.826883910386965	1	1	1	1	0.9979633401222	1	1	1	0.437881873727088	1	1	1	0.979633401221996	1	1	1	0.993890020366599	1	1	1	1	0.95112016293279	1	1	1	1	1	1	1	1	0	1	0.987780040733198	0.885947046843177	0.727087576374745	1
Capsaspora_owczarzaki_atcc30864	0.973523421588595	0.973523421588595	0.973523421588595	0.973523421588595	0.973523421588595	0.973523421588595	0.973523421588595	0.973523421588595	0.973523421588595	0.973523421588595	0.973523421588595	0	0.973523421588595		0.942973523421589	0.973523421588595	0.973523421588595	0.973523421588595	0.973523421588595	0.945010183299389	0	0.973523421588595	0.973523421588595	0.973523421588595	0	0.973523421588595	0	0.973523421588595	0.973523421588595	0.973523421588595	0.973523421588595	0.973523421588595	0.973523421588595	0.973523421588595	0.973523421588595	0.973523421588595	0.973523421588595	0.973523421588595	0.973523421588595	0.686354378818737	0.80040733197556	0.973523421588595	0.973523421588595	0.973523421588595	0.973523421588595	0.971486761710794	0.973523421588595	0.973523421588595	0.973523421588595	0.411405295315682	0.973523421588595	0.973523421588595	0.973523421588595	0.953156822810591	0.973523421588595	0.973523421588595	0.973523421588595	0.967413441955194	0.973523421588595	0.973523421588595	0.973523421588595	0.973523421588595	0.924643584521385	0.973523421588595	0.973523421588595	0.973523421588595	0.973523421588595	0.973523421588595	0.973523421588595	0.973523421588595	0.973523421588595	0	0.973523421588595	0.961303462321792	0.859470468431772	0.70061099796334	0.973523421588595
Chondrilla_nucula	0.969450101832994	0.969450101832994	0.969450101832994	0.969450101832994	0.969450101832994	0.969450101832994	0.969450101832994	0.969450101832994	0.969450101832994	0.969450101832994	0.969450101832994	0	0.969450101832994	0.942973523421589		0.969450101832994	0.969450101832994	0.969450101832994	0.969450101832994	0.940936863543788	0	0.969450101832994	0.969450101832994	0.969450101832994	0	0.969450101832994	0	0.969450101832994	0.969450101832994	0.969450101832994	0.969450101832994	0.969450101832994	0.969450101832994	0.969450101832994	0.969450101832994	0.969450101832994	0.969450101832994	0.969450101832994	0.969450101832994	0.712830957230143	0.818737270875764	0.969450101832994	0.969450101832994	0.969450101832994	0.969450101832994	0.967413441955194	0.969450101832994	0.969450101832994	0.969450101832994	0.437881873727088	0.969450101832994	0.969450101832994	0.969450101832994	0.94908350305499	0.969450101832994	0.969450101832994	0.969450101832994	0.963340122199593	0.969450101832994	0.969450101832994	0.969450101832994	0.969450101832994	0.920570264765784	0.969450101832994	0.969450101832994	0.969450101832994	0.969450101832994	0.969450101832994	0.969450101832994	0.969450101832994	0.969450101832994	0	0.969450101832994	0.957230142566191	0.885947046843177	0.696537678207739	0.969450101832994
Ciona_intestinalis	1	1	1	1	1	1	1	1	1	1	1	0	1	0.973523421588595	0.969450101832994		1	1	1	0.971486761710794	0	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0.712830957230143	0.826883910386965	1	1	1	1	0.9979633401222	1	1	1	0.437881873727088	1	1	1	0.979633401221996	1	1	1	0.993890020366599	1	1	1	1	0.95112016293279	1	1	1	1	1	1	1	1	0	1	0.987780040733198	0.885947046843177	0.727087576374745	1
Clytia_hemisphaerica	1	1	1	1	1	1	1	1	1	1	1	0	1	0.973523421588595	0.969450101832994	1		1	1	0.971486761710794	0	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0.712830957230143	0.826883910386965	1	1	1	1	0.9979633401222	1	1	1	0.437881873727088	1	1	1	0.979633401221996	1	1	1	0.993890020366599	1	1	1	1	0.95112016293279	1	1	1	1	1	1	1	1	0	1	0.987780040733198	0.885947046843177	0.727087576374745	1
