	Acanthoeca_like_sp_10tr	Acropora_cervicornis	Aiptasia_pallida	Amoebidium	Amphimedon_queenslandica	Aphrocallistes_vastus	Aurelia_aurita	Beroe_abyssicola	Bolocera_tuediae	Botryllus_schlosseri	Branchiostoma_floridae	Buddenbrockia_plumatellae	Capitella_teleta	Capsaspora_owczarzaki_atcc30864	Chondrilla_nucula	Ciona_intestinalis	Clytia_hemisphaerica	Corticium_candelabrum	Craspedacusta_sowerbyi	Crassostrea_gigas	Cyanea_capillata	Daphnia_pulex	Ectopleura_larynx	Edwardsiella_lineata	Enteromyxum_leei	Ephydatia_muelleri	Eunicella_cavolinii	Euplectella_aspergillum	Euplokamis_dunlapae	Gorgonia_ventalina	Helobdella_robusta	Homo_sapiens	Hormathia_digitata	Hydra_magnipapillata	Hydractinia_polyclina	Ilyanassa_obsoleta	Ixodes_scapularis	Kudoa_iwatai	Latimeria_menadoensis	Leucetta_chagosensis	Ministeria_vibrans_atcc50519	Mnemiopsis_leidyi	Monosiga_brevicollis_mx1	Monosiga_ovata	Montastraea_faveolata	Myxobolus_cerebralis	Nanomia_bijuga	Nasonia_vitripennis	Nematostella_vectensis	Octopus_vulgaris	Oscarella	Oscarella_carmela	Patiria_miniata	Pediculus_humanus_corporis	Petromyzon_marinus	Petrosia_ficiformis	Pleurobrachia_pileus	Pocillopora_damicornis	Polypodium_hydriforme	Porites_australiensis	Saccoglossus_kowalevskii	Salpingoeca_sp_ATCC50818	Sarcotragus_fasciculatus	Sphaeroforma_arctica_jp610	Sphaeromyxa_zaharoni	Stephanoeca_diplocostata	Stomolophus_meleagris	Strigamia_maritima	Strongylocentrotus_purpuratus	Sycon_ciliatum	Sycon_coactum	Tetracapsuloides_bryosalmonae	Thelohanellus_kitauei	Trichoplax_adhaerens	Tripedalia_cystophora	Urticina_eques	Vallicula_multiformis
Acanthoeca_like_sp_10tr		0.993963782696177	1	0.997987927565392	1	1	0.995975855130785	0.995975855130785	0.981891348088531	0.997987927565392	0.997987927565392	0	0.997987927565392	1	0.468812877263582	0.997987927565392	1	0.995975855130785	1	0.997987927565392	0	0.997987927565392	1	1	0.991951710261569	1	0.957746478873239	1	0.995975855130785	1	0.997987927565392	0.997987927565392	1	1	1	0.997987927565392	0.997987927565392	0.997987927565392	0.997987927565392	0	0.995975855130785	0.995975855130785	1	1	1	1	1	0.997987927565392	1	0.995975855130785	0.995975855130785	0.993963782696177	0.995975855130785	0.983903420523139	0.997987927565392	1	0.995975855130785	0.997987927565392	0.995975855130785	1	0.997987927565392	0.841046277665996	0.857142857142857	0.995975855130785	0.961770623742455	0.997987927565392	0.995975855130785	0.997987927565392	0.997987927565392	0.997987927565392	0.997987927565392	0	0.987927565392354	1	0.653923541247485	0.259557344064386	0.995975855130785
Acropora_cervicornis	0.993963782696177		0.993963782696177	0.991951710261569	0.993963782696177	0.993963782696177	0.989939637826962	0.989939637826962	0.975855130784708	0.991951710261569	0.991951710261569	0	0.991951710261569	0.993963782696177	0.468812877263582	0.991951710261569	0.993963782696177	0.989939637826962	0.993963782696177	0.991951710261569	0	0.991951710261569	0.993963782696177	0.993963782696177	0.985915492957746	0.993963782696177	0.951710261569417	0.993963782696177	0.989939637826962	0.993963782696177	0.991951710261569	0.991951710261569	0.993963782696177	0.993963782696177	0.993963782696177	0.991951710261569	0.991951710261569	0.991951710261569	0.991951710261569	0	0.989939637826962	0.989939637826962	0.993963782696177	0.993963782696177	0.993963782696177	0.993963782696177	0.993963782696177	0.991951710261569	0.993963782696177	0.989939637826962	0.989939637826962	0.987927565392354	0.989939637826962	0.977867203219316	0.991951710261569	0.993963782696177	0.989939637826962	0.991951710261569	0.989939637826962	0.993963782696177	0.991951710261569	0.835010060362173	0.851106639839034	0.989939637826962	0.955734406438632	0.991951710261569	0.989939637826962	0.991951710261569	0.991951710261569	0.991951710261569	0.991951710261569	0	0.981891348088531	0.993963782696177	0.647887323943662	0.253521126760563	0.989939637826962
Aiptasia_pallida	1	0.993963782696177		0.997987927565392	1	1	0.995975855130785	0.995975855130785	0.981891348088531	0.997987927565392	0.997987927565392	0	0.997987927565392	1	0.468812877263582	0.997987927565392	1	0.995975855130785	1	0.997987927565392	0	0.997987927565392	1	1	0.991951710261569	1	0.957746478873239	1	0.995975855130785	1	0.997987927565392	0.997987927565392	1	1	1	0.997987927565392	0.997987927565392	0.997987927565392	0.997987927565392	0	0.995975855130785	0.995975855130785	1	1	1	1	1	0.997987927565392	1	0.995975855130785	0.995975855130785	0.993963782696177	0.995975855130785	0.983903420523139	0.997987927565392	1	0.995975855130785	0.997987927565392	0.995975855130785	1	0.997987927565392	0.841046277665996	0.857142857142857	0.995975855130785	0.961770623742455	0.997987927565392	0.995975855130785	0.997987927565392	0.997987927565392	0.997987927565392	0.997987927565392	0	0.987927565392354	1	0.653923541247485	0.259557344064386	0.995975855130785
Amoebidium	0.997987927565392	0.991951710261569	0.997987927565392		0.997987927565392	0.997987927565392	0.993963782696177	0.993963782696177	0.979879275653924	0.995975855130785	0.995975855130785	0	0.995975855130785	0.997987927565392	0.468812877263582	0.995975855130785	0.997987927565392	0.993963782696177	0.997987927565392	0.995975855130785	0	0.995975855130785	0.997987927565392	0.997987927565392	0.989939637826962	0.997987927565392	0.955734406438632	0.997987927565392	0.993963782696177	0.997987927565392	0.995975855130785	0.995975855130785	0.997987927565392	0.997987927565392	0.997987927565392	0.995975855130785	0.995975855130785	0.995975855130785	0.995975855130785	0	0.993963782696177	0.993963782696177	0.997987927565392	0.997987927565392	0.997987927565392	0.997987927565392	0.997987927565392	0.995975855130785	0.997987927565392	0.993963782696177	0.993963782696177	0.991951710261569	0.993963782696177	0.981891348088531	0.995975855130785	0.997987927565392	0.993963782696177	0.995975855130785	0.993963782696177	0.997987927565392	0.995975855130785	0.839034205231388	0.85513078470825	0.993963782696177	0.959758551307847	0.995975855130785	0.993963782696177	0.995975855130785	0.995975855130785	0.995975855130785	0.995975855130785	0	0.985915492957746	0.997987927565392	0.653923541247485	0.259557344064386	0.993963782696177
Amphimedon_queenslandica	1	0.993963782696177	1	0.997987927565392		1	0.995975855130785	0.995975855130785	0.981891348088531	0.997987927565392	0.997987927565392	0	0.997987927565392	1	0.468812877263582	0.997987927565392	1	0.995975855130785	1	0.997987927565392	0	0.997987927565392	1	1	0.991951710261569	1	0.957746478873239	1	0.995975855130785	1	0.997987927565392	0.997987927565392	1	1	1	0.997987927565392	0.997987927565392	0.997987927565392	0.997987927565392	0	0.995975855130785	0.995975855130785	1	1	1	1	1	0.997987927565392	1	0.995975855130785	0.995975855130785	0.993963782696177	0.995975855130785	0.983903420523139	0.997987927565392	1	0.995975855130785	0.997987927565392	0.995975855130785	1	0.997987927565392	0.841046277665996	0.857142857142857	0.995975855130785	0.961770623742455	0.997987927565392	0.995975855130785	0.997987927565392	0.997987927565392	0.997987927565392	0.997987927565392	0	0.987927565392354	1	0.653923541247485	0.259557344064386	0.995975855130785
Aphrocallistes_vastus	1	0.993963782696177	1	0.997987927565392	1		0.995975855130785	0.995975855130785	0.981891348088531	0.997987927565392	0.997987927565392	0	0.997987927565392	1	0.468812877263582	0.997987927565392	1	0.995975855130785	1	0.997987927565392	0	0.997987927565392	1	1	0.991951710261569	1	0.957746478873239	1	0.995975855130785	1	0.997987927565392	0.997987927565392	1	1	1	0.997987927565392	0.997987927565392	0.997987927565392	0.997987927565392	0	0.995975855130785	0.995975855130785	1	1	1	1	1	0.997987927565392	1	0.995975855130785	0.995975855130785	0.993963782696177	0.995975855130785	0.983903420523139	0.997987927565392	1	0.995975855130785	0.997987927565392	0.995975855130785	1	0.997987927565392	0.841046277665996	0.857142857142857	0.995975855130785	0.961770623742455	0.997987927565392	0.995975855130785	0.997987927565392	0.997987927565392	0.997987927565392	0.997987927565392	0	0.987927565392354	1	0.653923541247485	0.259557344064386	0.995975855130785
Aurelia_aurita	0.995975855130785	0.989939637826962	0.995975855130785	0.993963782696177	0.995975855130785	0.995975855130785		0.991951710261569	0.977867203219316	0.993963782696177	0.993963782696177	0	0.993963782696177	0.995975855130785	0.464788732394366	0.993963782696177	0.995975855130785	0.991951710261569	0.995975855130785	0.993963782696177	0	0.993963782696177	0.995975855130785	0.995975855130785	0.987927565392354	0.995975855130785	0.953722334004024	0.995975855130785	0.991951710261569	0.995975855130785	0.993963782696177	0.993963782696177	0.995975855130785	0.995975855130785	0.995975855130785	0.993963782696177	0.993963782696177	0.993963782696177	0.993963782696177	0	0.991951710261569	0.991951710261569	0.995975855130785	0.995975855130785	0.995975855130785	0.995975855130785	0.995975855130785	0.993963782696177	0.995975855130785	0.993963782696177	0.991951710261569	0.989939637826962	0.993963782696177	0.979879275653924	0.993963782696177	0.995975855130785	0.991951710261569	0.993963782696177	0.995975855130785	0.995975855130785	0.993963782696177	0.841046277665996	0.857142857142857	0.991951710261569	0.961770623742455	0.993963782696177	0.995975855130785	0.993963782696177	0.993963782696177	0.995975855130785	0.995975855130785	0	0.987927565392354	0.995975855130785	0.653923541247485	0.255533199195171	0.991951710261569
Beroe_abyssicola	0.995975855130785	0.989939637826962	0.995975855130785	0.993963782696177	0.995975855130785	0.995975855130785	0.991951710261569		0.977867203219316	0.995975855130785	0.995975855130785	0	0.995975855130785	0.995975855130785	0.464788732394366	0.995975855130785	0.995975855130785	0.995975855130785	0.995975855130785	0.995975855130785	0	0.995975855130785	0.995975855130785	0.995975855130785	0.987927565392354	0.995975855130785	0.953722334004024	0.995975855130785	0.995975855130785	0.995975855130785	0.995975855130785	0.995975855130785	0.995975855130785	0.995975855130785	0.995975855130785	0.995975855130785	0.995975855130785	0.993963782696177	0.995975855130785	0	0.991951710261569	0.995975855130785	0.995975855130785	0.995975855130785	0.995975855130785	0.995975855130785	0.995975855130785	0.995975855130785	0.995975855130785	0.993963782696177	0.995975855130785	0.993963782696177	0.993963782696177	0.981891348088531	0.995975855130785	0.995975855130785	0.995975855130785	0.993963782696177	0.991951710261569	0.995975855130785	0.995975855130785	0.837022132796781	0.853118712273642	0.991951710261569	0.957746478873239	0.993963782696177	0.991951710261569	0.995975855130785	0.995975855130785	0.993963782696177	0.993963782696177	0	0.983903420523139	0.995975855130785	0.64989939637827	0.259557344064386	0.995975855130785
Bolocera_tuediae	0.981891348088531	0.975855130784708	0.981891348088531	0.979879275653924	0.981891348088531	0.981891348088531	0.977867203219316	0.977867203219316		0.979879275653924	0.979879275653924	0	0.979879275653924	0.981891348088531	0.468812877263582	0.979879275653924	0.981891348088531	0.977867203219316	0.981891348088531	0.979879275653924	0	0.979879275653924	0.981891348088531	0.981891348088531	0.973843058350101	0.981891348088531	0.939637826961771	0.981891348088531	0.977867203219316	0.981891348088531	0.979879275653924	0.979879275653924	0.981891348088531	0.981891348088531	0.981891348088531	0.979879275653924	0.979879275653924	0.979879275653924	0.979879275653924	0	0.977867203219316	0.977867203219316	0.981891348088531	0.981891348088531	0.981891348088531	0.981891348088531	0.981891348088531	0.979879275653924	0.981891348088531	0.977867203219316	0.977867203219316	0.975855130784708	0.977867203219316	0.96579476861167	0.979879275653924	0.981891348088531	0.977867203219316	0.979879275653924	0.977867203219316	0.981891348088531	0.979879275653924	0.822937625754527	0.839034205231388	0.977867203219316	0.943661971830986	0.979879275653924	0.977867203219316	0.979879275653924	0.979879275653924	0.979879275653924	0.979879275653924	0	0.969818913480885	0.981891348088531	0.635814889336016	0.259557344064386	0.977867203219316
Botryllus_schlosseri	0.997987927565392	0.991951710261569	0.997987927565392	0.995975855130785	0.997987927565392	0.997987927565392	0.993963782696177	0.995975855130785	0.979879275653924		0.997987927565392	0	0.997987927565392	0.997987927565392	0.466800804828974	0.997987927565392	0.997987927565392	0.995975855130785	0.997987927565392	0.997987927565392	0	0.997987927565392	0.997987927565392	0.997987927565392	0.989939637826962	0.997987927565392	0.955734406438632	0.997987927565392	0.995975855130785	0.997987927565392	0.997987927565392	0.997987927565392	0.997987927565392	0.997987927565392	0.997987927565392	0.997987927565392	0.997987927565392	0.995975855130785	0.997987927565392	0	0.993963782696177	0.995975855130785	0.997987927565392	0.997987927565392	0.997987927565392	0.997987927565392	0.997987927565392	0.997987927565392	0.997987927565392	0.995975855130785	0.995975855130785	0.993963782696177	0.995975855130785	0.983903420523139	0.997987927565392	0.997987927565392	0.995975855130785	0.995975855130785	0.993963782696177	0.997987927565392	0.997987927565392	0.839034205231388	0.85513078470825	0.993963782696177	0.959758551307847	0.995975855130785	0.993963782696177	0.997987927565392	0.997987927565392	0.995975855130785	0.995975855130785	0	0.985915492957746	0.997987927565392	0.651911468812877	0.259557344064386	0.995975855130785
