	Acanthoeca_like_sp_10tr	Acropora_cervicornis	Aiptasia_pallida	Amoebidium	Amphimedon_queenslandica	Aphrocallistes_vastus	Aurelia_aurita	Beroe_abyssicola	Bolocera_tuediae	Botryllus_schlosseri	Branchiostoma_floridae	Buddenbrockia_plumatellae	Capitella_teleta	Capsaspora_owczarzaki_atcc30864	Chondrilla_nucula	Ciona_intestinalis	Clytia_hemisphaerica	Corticium_candelabrum	Craspedacusta_sowerbyi	Crassostrea_gigas	Cyanea_capillata	Daphnia_pulex	Ectopleura_larynx	Edwardsiella_lineata	Enteromyxum_leei	Ephydatia_muelleri	Eunicella_cavolinii	Euplectella_aspergillum	Euplokamis_dunlapae	Gorgonia_ventalina	Helobdella_robusta	Homo_sapiens	Hormathia_digitata	Hydra_magnipapillata	Hydractinia_polyclina	Ilyanassa_obsoleta	Ixodes_scapularis	Kudoa_iwatai	Latimeria_menadoensis	Leucetta_chagosensis	Ministeria_vibrans_atcc50519	Mnemiopsis_leidyi	Monosiga_brevicollis_mx1	Monosiga_ovata	Montastraea_faveolata	Myxobolus_cerebralis	Nanomia_bijuga	Nasonia_vitripennis	Nematostella_vectensis	Octopus_vulgaris	Oscarella	Oscarella_carmela	Patiria_miniata	Pediculus_humanus_corporis	Petromyzon_marinus	Petrosia_ficiformis	Pleurobrachia_pileus	Pocillopora_damicornis	Polypodium_hydriforme	Porites_australiensis	Saccoglossus_kowalevskii	Salpingoeca_sp_ATCC50818	Sarcotragus_fasciculatus	Sphaeroforma_arctica_jp610	Sphaeromyxa_zaharoni	Stephanoeca_diplocostata	Stomolophus_meleagris	Strigamia_maritima	Strongylocentrotus_purpuratus	Sycon_ciliatum	Sycon_coactum	Tetracapsuloides_bryosalmonae	Thelohanellus_kitauei	Trichoplax_adhaerens	Tripedalia_cystophora	Urticina_eques	Vallicula_multiformis
Acanthoeca_like_sp_10tr		0.942780130920293	0.922660762418175	0.948556026184059	0.94087408548325	0.948402002310358	0.747304582210243	0.86561417019638	0.843415479399307	0.750423565652676	0.949980747015787	0.180901039661147	0.950115517905275	0.945899114362726	0.802618405852907	0.935329226030035	0.917866769349249	0.93273007316134	0.933038120908741	0.947843665768194	0.161879091259145	0.950288794763188	0.937042741624952	0.88001540238737	0.584751636503658	0.941509433962264	0.659029649595687	0.841644204851752	0.786099345398537	0.940854832499037	0.856680785521756	0.942164035425491	0.904793993068926	0.946014632268002	0.929168271082018	0.904158644589911	0.927801309202926	0.937485560261841	0.945899114362726	0.350115517905275	0.8092029264536	0.935232961108972	0.93989218328841	0.785733538698498	0.949056603773585	0.91470927993839	0.94894108586831	0.949037350789372	0.94924913361571	0.920215633423181	0.931594147092799	0.93552175587216	0.89924913361571	0.946784751636504	0.843261455525606	0.936368887177513	0.924374278013092	0.900346553715826	0.949826723142087	0.835560261840585	0.92918752406623	0.923199845976126	0.794666923373123	0.943492491336157	0.769060454370427	0.917866769349249	0.901906045437043	0.883307662687717	0.944840200231036	0.921062764728533	0.934270311898344	0.068733153638814	0.728186368887177	0.944281863688872	0.528783211397767	0.497939930689257	0.946091644204852
Acropora_cervicornis	0.942780130920293		0.961108971890643	0.987543319214478	0.98084328070851	0.987601078167116	0.775375433192145	0.90188679245283	0.875818251829034	0.782441278398152	0.989564882556796	0.191066615325375	0.989680400462072	0.98552175587216	0.843126684636119	0.974239507123604	0.956931074316519	0.970947246823258	0.970542934154794	0.986445899114363	0.171274547554871	0.989853677319985	0.972102425876011	0.910319599537928	0.60535232961109	0.98076626877166	0.670504428186369	0.874393530997305	0.817693492491336	0.978898729303042	0.890623796688487	0.981728917982287	0.940720061609549	0.98453985367732	0.964247208317289	0.938140161725067	0.967404697728148	0.976703889102811	0.98544474393531	0.376588371197536	0.840566037735849	0.973469387755102	0.968656141701964	0.815498652291105	0.989122063919908	0.941316904120139	0.988390450519831	0.988505968425106	0.988948787061995	0.955256064690027	0.968405852907201	0.975009626492106	0.938390450519831	0.986715440893339	0.877165960723912	0.974913361571043	0.963284559106662	0.934559106661533	0.989353099730458	0.860415864458991	0.966037735849057	0.951559491721217	0.8317481709665	0.970619946091644	0.797420100115518	0.942279553330766	0.934135541008856	0.916750096264921	0.983654216403543	0.958606083943011	0.973700423565653	0.0729495571813631	0.748421255294571	0.983943011166731	0.550789372352715	0.523180592991914	0.985155949172122
Aiptasia_pallida	0.922660762418175	0.961108971890643		0.9680978051598	0.960916442048518	0.968117058144012	0.75837504813246	0.885078937235271	0.855852907200616	0.770947246823258	0.97006160954948	0.188775510204082	0.970177127454755	0.966596072391221	0.82631882941856	0.955044281863689	0.944301116673084	0.952907200616095	0.950789372352715	0.965113592606854	0.170716211012707	0.970350404312669	0.952425876010782	0.889718906430497	0.597708894878706	0.961320754716981	0.647574123989218	0.852849441663458	0.804697728147863	0.959337697343088	0.869272237196765	0.966134000770119	0.922525991528687	0.964343473238352	0.944532152483635	0.922025413939161	0.947189064304967	0.956623026569118	0.965941470927994	0.375028879476319	0.819965344628417	0.953311513284559	0.950577589526377	0.798286484405083	0.969368502117828	0.920157874470543	0.968867924528302	0.96900269541779	0.969926838659992	0.935733538698498	0.947035040431267	0.955294570658452	0.919387755102041	0.967058144012322	0.857277628032345	0.955159799768964	0.943088178667693	0.913939160569888	0.96983057373893	0.84012321909896	0.94645745090489	0.930650750866384	0.813207547169811	0.951366961879091	0.79177897574124	0.925259915286869	0.914227955333077	0.900346553715826	0.964054678475164	0.945725837504813	0.953812090874085	0.0729303041971506	0.731459376203311	0.964247208317289	0.532094724682326	0.50739314593762	0.965806700038506
Amoebidium	0.948556026184059	0.987543319214478	0.9680978051598		0.987639584135541	0.995090489025799	0.779149018097805	0.907951482479784	0.881382364266461	0.786291875240662	0.996707739699653	0.191798228725452	0.996919522525991	0.992799383904505	0.848844820947247	0.981478629187524	0.963996919522526	0.977993839045052	0.977512514439738	0.991913746630728	0.171755872160185	0.996977281478629	0.979226030034655	0.915325375433192	0.608509819021948	0.988043896804005	0.674162495186754	0.879476318829419	0.822603003465537	0.985752791682711	0.894878706199461	0.988833269156719	0.947150558336542	0.991047362341163	0.971332306507509	0.943781286099345	0.973892953407778	0.983326915671929	0.992645360030805	0.377666538313439	0.845283018867925	0.979668848671544	0.97631882941856	0.819464767038891	0.995764343473238	0.946881016557566	0.995514054678475	0.995648825567963	0.995956873315364	0.962572198690797	0.97368117058144	0.981805929919138	0.945071236041586	0.993473238351945	0.882460531382364	0.9817481709665	0.969734308817867	0.939545629572584	0.996495956873315	0.865941470927994	0.973219098960339	0.957758952637659	0.837678090103966	0.979572583750481	0.803985367731998	0.949576434347324	0.940912591451675	0.923546399691952	0.990777820562187	0.965710435117443	0.980592991913747	0.0741047362341163	0.753350019252984	0.990989603388525	0.55354254909511	0.526934924913362	0.992125529457066
Amphimedon_queenslandica	0.94087408548325	0.98084328070851	0.960916442048518	0.987639584135541		0.987774355025029	0.776415094339623	0.903041971505583	0.875356180207932	0.786099345398537	0.989641894493646	0.190739314593762	0.989718906430497	0.98544474393531	0.845148247978437	0.974316519060454	0.956796303427031	0.971024258760108	0.970311898344243	0.98469387755102	0.172198690797074	0.989911436272622	0.97194840200231	0.911243742780131	0.6044474393531	0.98092029264536	0.668155564112437	0.873738929534078	0.820427416249519	0.978571428571429	0.88906430496727	0.9817481709665	0.94193299961494	0.983885252214093	0.964016172506739	0.938409703504043	0.968444358875626	0.979476318829419	0.98552175587216	0.378032345013477	0.838371197535618	0.974393530997305	0.968617635733539	0.816596072391221	0.988659992298806	0.941432422025414	0.988409703504043	0.988582980361956	0.989372352714671	0.95535232961109	0.966596072391221	0.974682325760493	0.937832113977667	0.98642664613015	0.879668848671544	0.974720831728918	0.963611859838275	0.933846746245668	0.989391605698883	0.861628802464382	0.96628802464382	0.950712360415864	0.829976896418945	0.970754716981132	0.796900269541779	0.94358875625722	0.935271467077397	0.917135155949172	0.983615710435117	0.958529072006161	0.973796688486715	0.0741624951867539	0.75271467077397	0.983808240277243	0.548729303041972	0.526703889102811	0.984847901424721
Aphrocallistes_vastus	0.948402002310358	0.987601078167116	0.968117058144012	0.995090489025799	0.987774355025029		0.778840970350404	0.907912976511359	0.881574894108587	0.786407393145938	0.996784751636504	0.191528686946477	0.996900269541779	0.992279553330766	0.849537928378899	0.981440123219099	0.964016172506739	0.97805159799769	0.977531767423951	0.991894493646515	0.171120523681171	0.997073546399692	0.979052753176742	0.915517905275318	0.608837119753562	0.988140161725067	0.674393530997305	0.881170581440123	0.822583750481325	0.985849056603774	0.895302271852137	0.988929534077782	0.94728532922603	0.991047362341163	0.971178282633808	0.943781286099345	0.973931459376203	0.983346168656142	0.99268386599923	0.376934924913362	0.844840200231036	0.979688101655757	0.976010781671159	0.819484020023104	0.995841355410089	0.947054293415479	0.995610319599538	0.995725837504813	0.996072391220639	0.962841740469773	0.973873700423566	0.9819021948402	0.944936465152099	0.993550250288795	0.882402772429727	0.981805929919138	0.969753561802079	0.939738159414709	0.996611474778591	0.865787447054293	0.973199845976126	0.957489410858683	0.837658837119754	0.978167115902965	0.804408933384675	0.949287639584136	0.941316904120139	0.92368117058144	0.9907970735464	0.965825953022719	0.980631497882172	0.0741239892183288	0.753311513284559	0.991085868309588	0.553080477474008	0.526896418944936	0.992106276472853
Aurelia_aurita	0.747304582210243	0.775375433192145	0.75837504813246	0.779149018097805	0.776415094339623	0.778840970350404		0.753966114747786	0.724855602618406	0.70633423180593	0.780939545629573	0.182749326145553	0.780650750866384	0.77911051212938	0.651520985752792	0.778455910666153	0.768232576049288	0.763688871775125	0.761340007701194	0.778706199460916	0.170716211012707	0.780804774740085	0.767597227570273	0.71463226800154	0.487061994609164	0.776338082402772	0.52986137851367	0.750462071621101	0.701116673084328	0.772333461686561	0.707893723527147	0.77360415864459	0.761648055448594	0.779380053908356	0.760204081632653	0.756815556411244	0.763207547169811	0.777069695802849	0.776761648055449	0.362976511359261	0.704928763958414	0.773892953407778	0.767616480554486	0.674932614555256	0.780650750866384	0.751983057373893	0.779572583750481	0.780419715055834	0.780400462071621	0.750539083557952	0.771736619175972	0.770504428186369	0.766114747785907	0.777955333076627	0.723315363881402	0.769695802849442	0.773565652676165	0.754177897574124	0.780438968040046	0.6725452445129	0.774759337697343	0.758336542164035	0.686619175972276	0.763611859838275	0.64441663457836	0.750693107431652	0.757008086253369	0.724258760107817	0.780515979976896	0.758856372737774	0.766865614170196	0.0691952252599153	0.592260300346554	0.774817096649981	0.499364651520986	0.483846746245668	0.777281478629188
Beroe_abyssicola	0.86561417019638	0.90188679245283	0.885078937235271	0.907951482479784	0.903041971505583	0.907912976511359	0.753966114747786		0.819426261070466	0.763592606854062	0.909684251058914	0.183943011166731	0.909838274932615	0.906141701963804	0.77104351174432	0.903311513284559	0.884443588756257	0.892895648825568	0.890489025798999	0.904948016942626	0.171351559491721	0.91003080477474	0.892087023488641	0.836965729688102	0.557219869079707	0.901482479784367	0.638891028109357	0.844224104736234	0.793338467462457	0.900385059684251	0.823257604928764	0.901790527531767	0.876646130150173	0.906372737774355	0.88438582980362	0.862533692722372	0.890585290720062	0.900192529842125	0.905891413169041	0.367828263380824	0.794147092799384	0.900539083557952	0.890431266846361	0.76719291490181	0.90912591451675	0.868848671544089	0.908625336927224	0.908856372737774	0.909087408548325	0.875837504813246	0.892048517520216	0.896688486715441	0.875914516750096	0.906854062379669	0.821062764728533	0.898998844820947	0.904736234116288	0.868694647670389	0.909607239122064	0.791894493646515	0.892934154793993	0.877724297266076	0.789372352714671	0.891239892183288	0.73996919522526	0.871313053523296	0.865883711975356	0.8409510974201	0.906603773584906	0.880881786676935	0.896438197920678	0.0716788602233346	0.687216018482865	0.903966114747786	0.531112822487486	0.509973045822102	0.907720446669234
Bolocera_tuediae	0.843415479399307	0.875818251829034	0.855852907200616	0.881382364266461	0.875356180207932	0.881574894108587	0.724855602618406	0.819426261070466		0.734713130535233	0.882787832113978	0.189738159414709	0.883057373892953	0.879052753176742	0.748324990373508	0.875991528686947	0.858413554100886	0.864170196380439	0.866095494801694	0.881959953792838	0.167520215633423	0.883076626877166	0.869368502117828	0.813188294185599	0.551713515594917	0.877031189834424	0.594705429341548	0.808702348864074	0.757123604158645	0.873584905660377	0.804351174432037	0.875856757797459	0.854774740084713	0.878609934539854	0.861628802464382	0.849056603773585	0.864073931459376	0.874740084713131	0.878937235271467	0.365864458991144	0.769060454370427	0.870446669233731	0.862110127069696	0.756391990758568	0.882691567192915	0.842414324220254	0.881651906045437	0.881882941855988	0.882499037350789	0.85188679245283	0.870985752791683	0.871890643049673	0.846630727762803	0.880111667308433	0.792318059299191	0.869098960338852	0.866422795533308	0.847516365036581	0.882633808240277	0.76191759722757	0.868848671544089	0.852233346168656	0.754120138621486	0.865517905275318	0.716422795533308	0.844512899499422	0.839372352714671	0.8182518290335	0.879726607624182	0.858837119753562	0.868810165575664	0.0721024258760108	0.669464767038891	0.878263380824028	0.527589526376588	0.501039661147478	0.878937235271467
Botryllus_schlosseri	0.750423565652676	0.782441278398152	0.770947246823258	0.786291875240662	0.786099345398537	0.786407393145938	0.70633423180593	0.763592606854062	0.734713130535233		0.788390450519831	0.185887562572199	0.78800539083558	0.784424335772045	0.658952637658837	0.78627262225645	0.776838659992299	0.770870234886407	0.768579129765114	0.786599922988063	0.168155564112437	0.78823642664613	0.771159029649596	0.726800154023874	0.485945321524836	0.784597612629958	0.532518290335002	0.759010396611475	0.709433962264151	0.779726607624182	0.716750096264921	0.780150173276858	0.769098960338852	0.78740854832499	0.763611859838275	0.768579129765114	0.772140931844436	0.784674624566808	0.784116288024644	0.366153253754332	0.709838274932615	0.782710820177127	0.771178282633808	0.690007701193685	0.787639584135541	0.753812090874086	0.786830958798614	0.787889872930304	0.78823642664613	0.758047747400847	0.77812860993454	0.781594147092799	0.772006160954948	0.786060839430112	0.72541393916057	0.779226030034655	0.778667693492491	0.76372737774355	0.787774355025029	0.676511359260685	0.78009241432422	0.768194070080862	0.696746245668079	0.769638043896804	0.639718906430497	0.753234501347709	0.750115517905275	0.732171736619176	0.787658837119754	0.764247208317289	0.776164805544859	0.069811320754717	0.593145937620331	0.78288409703504	0.497574123989218	0.491259145167501	0.784790142472083
