	Acanthoeca_like_sp_10tr	Acropora_cervicornis	Aiptasia_pallida	Amoebidium	Amphimedon_queenslandica	Aphrocallistes_vastus	Aurelia_aurita	Beroe_abyssicola	Bolocera_tuediae	Botryllus_schlosseri	Branchiostoma_floridae	Buddenbrockia_plumatellae	Capitella_teleta	Capsaspora_owczarzaki_atcc30864	Chondrilla_nucula	Ciona_intestinalis	Clytia_hemisphaerica	Corticium_candelabrum	Craspedacusta_sowerbyi	Crassostrea_gigas	Cyanea_capillata	Daphnia_pulex	Ectopleura_larynx	Edwardsiella_lineata	Enteromyxum_leei	Ephydatia_muelleri	Eunicella_cavolinii	Euplectella_aspergillum	Euplokamis_dunlapae	Gorgonia_ventalina	Helobdella_robusta	Homo_sapiens	Hormathia_digitata	Hydra_magnipapillata	Hydractinia_polyclina	Ilyanassa_obsoleta	Ixodes_scapularis	Kudoa_iwatai	Latimeria_menadoensis	Leucetta_chagosensis	Ministeria_vibrans_atcc50519	Mnemiopsis_leidyi	Monosiga_brevicollis_mx1	Monosiga_ovata	Montastraea_faveolata	Myxobolus_cerebralis	Nanomia_bijuga	Nasonia_vitripennis	Nematostella_vectensis	Octopus_vulgaris	Oscarella	Oscarella_carmela	Patiria_miniata	Pediculus_humanus_corporis	Petromyzon_marinus	Petrosia_ficiformis	Pleurobrachia_pileus	Pocillopora_damicornis	Polypodium_hydriforme	Porites_australiensis	Saccoglossus_kowalevskii	Salpingoeca_sp_ATCC50818	Sarcotragus_fasciculatus	Sphaeroforma_arctica_jp610	Sphaeromyxa_zaharoni	Stephanoeca_diplocostata	Stomolophus_meleagris	Strigamia_maritima	Strongylocentrotus_purpuratus	Sycon_ciliatum	Sycon_coactum	Tetracapsuloides_bryosalmonae	Thelohanellus_kitauei	Trichoplax_adhaerens	Tripedalia_cystophora	Urticina_eques	Vallicula_multiformis
Acanthoeca_like_sp_10tr		1	1	1	1	1	0.954545454545455	1	0.99802371541502	0.754940711462451	1	0	1	0.883399209486166	1	1	0.99802371541502	1	0.99802371541502	1	0	1	0.99802371541502	1	1	1	0.75098814229249	1	1	1	1	1	1	0.99802371541502	0.99802371541502	1	1	1	0.986166007905138	0	0.976284584980237	1	1	1	1	1	0.99802371541502	1	1	1	1	1	1	1	1	1	0.99802371541502	1	1	1	1	1	0.988142292490119	1	1	1	0.954545454545455	1	1	0.99604743083004	0.99604743083004	0	1	1	0.590909090909091	0.355731225296443	1
Acropora_cervicornis	1		1	1	1	1	0.954545454545455	1	0.99802371541502	0.754940711462451	1	0	1	0.883399209486166	1	1	0.99802371541502	1	0.99802371541502	1	0	1	0.99802371541502	1	1	1	0.75098814229249	1	1	1	1	1	1	0.99802371541502	0.99802371541502	1	1	1	0.986166007905138	0	0.976284584980237	1	1	1	1	1	0.99802371541502	1	1	1	1	1	1	1	1	1	0.99802371541502	1	1	1	1	1	0.988142292490119	1	1	1	0.954545454545455	1	1	0.99604743083004	0.99604743083004	0	1	1	0.590909090909091	0.355731225296443	1
Aiptasia_pallida	1	1		1	1	1	0.954545454545455	1	0.99802371541502	0.754940711462451	1	0	1	0.883399209486166	1	1	0.99802371541502	1	0.99802371541502	1	0	1	0.99802371541502	1	1	1	0.75098814229249	1	1	1	1	1	1	0.99802371541502	0.99802371541502	1	1	1	0.986166007905138	0	0.976284584980237	1	1	1	1	1	0.99802371541502	1	1	1	1	1	1	1	1	1	0.99802371541502	1	1	1	1	1	0.988142292490119	1	1	1	0.954545454545455	1	1	0.99604743083004	0.99604743083004	0	1	1	0.590909090909091	0.355731225296443	1
Amoebidium	1	1	1		1	1	0.954545454545455	1	0.99802371541502	0.754940711462451	1	0	1	0.883399209486166	1	1	0.99802371541502	1	0.99802371541502	1	0	1	0.99802371541502	1	1	1	0.75098814229249	1	1	1	1	1	1	0.99802371541502	0.99802371541502	1	1	1	0.986166007905138	0	0.976284584980237	1	1	1	1	1	0.99802371541502	1	1	1	1	1	1	1	1	1	0.99802371541502	1	1	1	1	1	0.988142292490119	1	1	1	0.954545454545455	1	1	0.99604743083004	0.99604743083004	0	1	1	0.590909090909091	0.355731225296443	1
Amphimedon_queenslandica	1	1	1	1		1	0.954545454545455	1	0.99802371541502	0.754940711462451	1	0	1	0.883399209486166	1	1	0.99802371541502	1	0.99802371541502	1	0	1	0.99802371541502	1	1	1	0.75098814229249	1	1	1	1	1	1	0.99802371541502	0.99802371541502	1	1	1	0.986166007905138	0	0.976284584980237	1	1	1	1	1	0.99802371541502	1	1	1	1	1	1	1	1	1	0.99802371541502	1	1	1	1	1	0.988142292490119	1	1	1	0.954545454545455	1	1	0.99604743083004	0.99604743083004	0	1	1	0.590909090909091	0.355731225296443	1
Aphrocallistes_vastus	1	1	1	1	1		0.954545454545455	1	0.99802371541502	0.754940711462451	1	0	1	0.883399209486166	1	1	0.99802371541502	1	0.99802371541502	1	0	1	0.99802371541502	1	1	1	0.75098814229249	1	1	1	1	1	1	0.99802371541502	0.99802371541502	1	1	1	0.986166007905138	0	0.976284584980237	1	1	1	1	1	0.99802371541502	1	1	1	1	1	1	1	1	1	0.99802371541502	1	1	1	1	1	0.988142292490119	1	1	1	0.954545454545455	1	1	0.99604743083004	0.99604743083004	0	1	1	0.590909090909091	0.355731225296443	1
Aurelia_aurita	0.954545454545455	0.954545454545455	0.954545454545455	0.954545454545455	0.954545454545455	0.954545454545455		0.954545454545455	0.952569169960474	0.709486166007905	0.954545454545455	0	0.954545454545455	0.865612648221344	0.954545454545455	0.954545454545455	0.952569169960474	0.954545454545455	0.952569169960474	0.954545454545455	0	0.954545454545455	0.952569169960474	0.954545454545455	0.954545454545455	0.954545454545455	0.75098814229249	0.954545454545455	0.954545454545455	0.954545454545455	0.954545454545455	0.954545454545455	0.954545454545455	0.952569169960474	0.952569169960474	0.954545454545455	0.954545454545455	0.954545454545455	0.954545454545455	0	0.930830039525692	0.954545454545455	0.954545454545455	0.954545454545455	0.954545454545455	0.954545454545455	0.952569169960474	0.954545454545455	0.954545454545455	0.954545454545455	0.954545454545455	0.954545454545455	0.954545454545455	0.954545454545455	0.954545454545455	0.954545454545455	0.952569169960474	0.954545454545455	0.954545454545455	0.954545454545455	0.954545454545455	0.954545454545455	0.942687747035573	0.954545454545455	0.954545454545455	0.954545454545455	0.954545454545455	0.954545454545455	0.954545454545455	0.950592885375494	0.950592885375494	0	0.954545454545455	0.954545454545455	0.590909090909091	0.316205533596838	0.954545454545455
Beroe_abyssicola	1	1	1	1	1	1	0.954545454545455		0.99802371541502	0.754940711462451	1	0	1	0.883399209486166	1	1	0.99802371541502	1	0.99802371541502	1	0	1	0.99802371541502	1	1	1	0.75098814229249	1	1	1	1	1	1	0.99802371541502	0.99802371541502	1	1	1	0.986166007905138	0	0.976284584980237	1	1	1	1	1	0.99802371541502	1	1	1	1	1	1	1	1	1	0.99802371541502	1	1	1	1	1	0.988142292490119	1	1	1	0.954545454545455	1	1	0.99604743083004	0.99604743083004	0	1	1	0.590909090909091	0.355731225296443	1
Bolocera_tuediae	0.99802371541502	0.99802371541502	0.99802371541502	0.99802371541502	0.99802371541502	0.99802371541502	0.952569169960474	0.99802371541502		0.75296442687747	0.99802371541502	0	0.99802371541502	0.881422924901186	0.99802371541502	0.99802371541502	0.99604743083004	0.99802371541502	0.99604743083004	0.99802371541502	0	0.99802371541502	0.99604743083004	0.99802371541502	0.99802371541502	0.99802371541502	0.74901185770751	0.99802371541502	0.99802371541502	0.99802371541502	0.99802371541502	0.99802371541502	0.99802371541502	0.99604743083004	0.99604743083004	0.99802371541502	0.99802371541502	0.99802371541502	0.984189723320158	0	0.974308300395257	0.99802371541502	0.99802371541502	0.99802371541502	0.99802371541502	0.99802371541502	0.99604743083004	0.99802371541502	0.99802371541502	0.99802371541502	0.99802371541502	0.99802371541502	0.99802371541502	0.99802371541502	0.99802371541502	0.99802371541502	0.99604743083004	0.99802371541502	0.99802371541502	0.99802371541502	0.99802371541502	0.99802371541502	0.986166007905138	0.99802371541502	0.99802371541502	0.99802371541502	0.952569169960474	0.99802371541502	0.99802371541502	0.994071146245059	0.994071146245059	0	0.99802371541502	0.99802371541502	0.588932806324111	0.355731225296443	0.99802371541502
Botryllus_schlosseri	0.754940711462451	0.754940711462451	0.754940711462451	0.754940711462451	0.754940711462451	0.754940711462451	0.709486166007905	0.754940711462451	0.75296442687747		0.754940711462451	0	0.754940711462451	0.681818181818182	0.754940711462451	0.754940711462451	0.754940711462451	0.754940711462451	0.754940711462451	0.754940711462451	0	0.754940711462451	0.754940711462451	0.754940711462451	0.754940711462451	0.754940711462451	0.505928853754941	0.754940711462451	0.754940711462451	0.754940711462451	0.754940711462451	0.754940711462451	0.754940711462451	0.754940711462451	0.754940711462451	0.754940711462451	0.754940711462451	0.754940711462451	0.741106719367589	0	0.731225296442688	0.754940711462451	0.754940711462451	0.754940711462451	0.754940711462451	0.754940711462451	0.754940711462451	0.754940711462451	0.754940711462451	0.754940711462451	0.754940711462451	0.754940711462451	0.754940711462451	0.754940711462451	0.754940711462451	0.754940711462451	0.75296442687747	0.754940711462451	0.754940711462451	0.754940711462451	0.754940711462451	0.754940711462451	0.743083003952569	0.754940711462451	0.754940711462451	0.754940711462451	0.709486166007905	0.754940711462451	0.754940711462451	0.75098814229249	0.75098814229249	0	0.754940711462451	0.754940711462451	0.367588932806324	0.355731225296443	0.754940711462451
