	Acanthoeca_like_sp_10tr	Acropora_cervicornis	Aiptasia_pallida	Amoebidium	Amphimedon_queenslandica	Aphrocallistes_vastus	Aurelia_aurita	Beroe_abyssicola	Bolocera_tuediae	Botryllus_schlosseri	Branchiostoma_floridae	Buddenbrockia_plumatellae	Capitella_teleta	Capsaspora_owczarzaki_atcc30864	Chondrilla_nucula	Ciona_intestinalis	Clytia_hemisphaerica	Corticium_candelabrum	Craspedacusta_sowerbyi	Crassostrea_gigas	Cyanea_capillata	Daphnia_pulex	Ectopleura_larynx	Edwardsiella_lineata	Enteromyxum_leei	Ephydatia_muelleri	Eunicella_cavolinii	Euplectella_aspergillum	Euplokamis_dunlapae	Gorgonia_ventalina	Helobdella_robusta	Homo_sapiens	Hormathia_digitata	Hydra_magnipapillata	Hydractinia_polyclina	Ilyanassa_obsoleta	Ixodes_scapularis	Kudoa_iwatai	Latimeria_menadoensis	Leucetta_chagosensis	Ministeria_vibrans_atcc50519	Mnemiopsis_leidyi	Monosiga_brevicollis_mx1	Monosiga_ovata	Montastraea_faveolata	Myxobolus_cerebralis	Nanomia_bijuga	Nasonia_vitripennis	Nematostella_vectensis	Octopus_vulgaris	Oscarella	Oscarella_carmela	Patiria_miniata	Pediculus_humanus_corporis	Petromyzon_marinus	Petrosia_ficiformis	Pleurobrachia_pileus	Pocillopora_damicornis	Polypodium_hydriforme	Porites_australiensis	Saccoglossus_kowalevskii	Salpingoeca_sp_ATCC50818	Sarcotragus_fasciculatus	Sphaeroforma_arctica_jp610	Sphaeromyxa_zaharoni	Stephanoeca_diplocostata	Stomolophus_meleagris	Strigamia_maritima	Strongylocentrotus_purpuratus	Sycon_ciliatum	Sycon_coactum	Tetracapsuloides_bryosalmonae	Thelohanellus_kitauei	Trichoplax_adhaerens	Tripedalia_cystophora	Urticina_eques	Vallicula_multiformis
Acanthoeca_like_sp_10tr		0.905172413793103	1	0.993534482758621	1	1	0.997844827586207	0.997844827586207	0.948275862068966	0.849137931034483	1	0	1	1	0.997844827586207	1	0.997844827586207	0.952586206896552	0.997844827586207	1	0	0.997844827586207	0.997844827586207	0.984913793103448	0.773706896551724	0.982758620689655	0.959051724137931	0.997844827586207	0.987068965517241	1	0.993534482758621	1	1	0.997844827586207	0.997844827586207	1	0.997844827586207	0.969827586206897	1	0	0.586206896551724	0.997844827586207	1	0.493534482758621	1	0.984913793103448	0.997844827586207	0.997844827586207	1	0.997844827586207	1	0.997844827586207	0.997844827586207	0.995689655172414	0.997844827586207	1	0.993534482758621	0.961206896551724	0.995689655172414	0.918103448275862	0.997844827586207	1	0.480603448275862	1	0.997844827586207	0.926724137931034	0.997844827586207	0.788793103448276	1	1	1	0	0.879310344827586	1	0.704741379310345	0.47198275862069	0.954741379310345
Acropora_cervicornis	0.905172413793103		0.905172413793103	0.898706896551724	0.905172413793103	0.905172413793103	0.90301724137931	0.90301724137931	0.853448275862069	0.754310344827586	0.905172413793103	0	0.905172413793103	0.905172413793103	0.90301724137931	0.905172413793103	0.90301724137931	0.857758620689655	0.90301724137931	0.905172413793103	0	0.90301724137931	0.90301724137931	0.905172413793103	0.739224137931034	0.887931034482759	0.864224137931034	0.905172413793103	0.90301724137931	0.905172413793103	0.898706896551724	0.905172413793103	0.905172413793103	0.90301724137931	0.90301724137931	0.905172413793103	0.90301724137931	0.875	0.905172413793103	0	0.551724137931034	0.90301724137931	0.905172413793103	0.413793103448276	0.905172413793103	0.890086206896552	0.90301724137931	0.90301724137931	0.905172413793103	0.90301724137931	0.905172413793103	0.90301724137931	0.90301724137931	0.900862068965517	0.90301724137931	0.905172413793103	0.898706896551724	0.905172413793103	0.900862068965517	0.883620689655172	0.90301724137931	0.905172413793103	0.480603448275862	0.905172413793103	0.90301724137931	0.831896551724138	0.90301724137931	0.693965517241379	0.905172413793103	0.905172413793103	0.905172413793103	0	0.8125	0.905172413793103	0.670258620689655	0.411637931034483	0.859913793103448
Aiptasia_pallida	1	0.905172413793103		0.993534482758621	1	1	0.997844827586207	0.997844827586207	0.948275862068966	0.849137931034483	1	0	1	1	0.997844827586207	1	0.997844827586207	0.952586206896552	0.997844827586207	1	0	0.997844827586207	0.997844827586207	0.984913793103448	0.773706896551724	0.982758620689655	0.959051724137931	0.997844827586207	0.987068965517241	1	0.993534482758621	1	1	0.997844827586207	0.997844827586207	1	0.997844827586207	0.969827586206897	1	0	0.586206896551724	0.997844827586207	1	0.493534482758621	1	0.984913793103448	0.997844827586207	0.997844827586207	1	0.997844827586207	1	0.997844827586207	0.997844827586207	0.995689655172414	0.997844827586207	1	0.993534482758621	0.961206896551724	0.995689655172414	0.918103448275862	0.997844827586207	1	0.480603448275862	1	0.997844827586207	0.926724137931034	0.997844827586207	0.788793103448276	1	1	1	0	0.879310344827586	1	0.704741379310345	0.47198275862069	0.954741379310345
Amoebidium	0.993534482758621	0.898706896551724	0.993534482758621		0.993534482758621	0.993534482758621	0.991379310344828	0.991379310344828	0.941810344827586	0.842672413793103	0.993534482758621	0	0.993534482758621	0.993534482758621	0.991379310344828	0.993534482758621	0.991379310344828	0.946120689655172	0.991379310344828	0.993534482758621	0	0.991379310344828	0.991379310344828	0.978448275862069	0.773706896551724	0.976293103448276	0.952586206896552	0.991379310344828	0.980603448275862	0.993534482758621	0.987068965517241	0.993534482758621	0.993534482758621	0.991379310344828	0.991379310344828	0.993534482758621	0.991379310344828	0.969827586206897	0.993534482758621	0	0.579741379310345	0.991379310344828	0.993534482758621	0.493534482758621	0.993534482758621	0.978448275862069	0.991379310344828	0.991379310344828	0.993534482758621	0.991379310344828	0.993534482758621	0.991379310344828	0.991379310344828	0.989224137931034	0.991379310344828	0.993534482758621	0.987068965517241	0.954741379310345	0.989224137931034	0.911637931034483	0.991379310344828	0.993534482758621	0.474137931034483	0.993534482758621	0.991379310344828	0.920258620689655	0.991379310344828	0.782327586206897	0.993534482758621	0.993534482758621	0.993534482758621	0	0.872844827586207	0.993534482758621	0.698275862068966	0.46551724137931	0.948275862068966
Amphimedon_queenslandica	1	0.905172413793103	1	0.993534482758621		1	0.997844827586207	0.997844827586207	0.948275862068966	0.849137931034483	1	0	1	1	0.997844827586207	1	0.997844827586207	0.952586206896552	0.997844827586207	1	0	0.997844827586207	0.997844827586207	0.984913793103448	0.773706896551724	0.982758620689655	0.959051724137931	0.997844827586207	0.987068965517241	1	0.993534482758621	1	1	0.997844827586207	0.997844827586207	1	0.997844827586207	0.969827586206897	1	0	0.586206896551724	0.997844827586207	1	0.493534482758621	1	0.984913793103448	0.997844827586207	0.997844827586207	1	0.997844827586207	1	0.997844827586207	0.997844827586207	0.995689655172414	0.997844827586207	1	0.993534482758621	0.961206896551724	0.995689655172414	0.918103448275862	0.997844827586207	1	0.480603448275862	1	0.997844827586207	0.926724137931034	0.997844827586207	0.788793103448276	1	1	1	0	0.879310344827586	1	0.704741379310345	0.47198275862069	0.954741379310345
Aphrocallistes_vastus	1	0.905172413793103	1	0.993534482758621	1		0.997844827586207	0.997844827586207	0.948275862068966	0.849137931034483	1	0	1	1	0.997844827586207	1	0.997844827586207	0.952586206896552	0.997844827586207	1	0	0.997844827586207	0.997844827586207	0.984913793103448	0.773706896551724	0.982758620689655	0.959051724137931	0.997844827586207	0.987068965517241	1	0.993534482758621	1	1	0.997844827586207	0.997844827586207	1	0.997844827586207	0.969827586206897	1	0	0.586206896551724	0.997844827586207	1	0.493534482758621	1	0.984913793103448	0.997844827586207	0.997844827586207	1	0.997844827586207	1	0.997844827586207	0.997844827586207	0.995689655172414	0.997844827586207	1	0.993534482758621	0.961206896551724	0.995689655172414	0.918103448275862	0.997844827586207	1	0.480603448275862	1	0.997844827586207	0.926724137931034	0.997844827586207	0.788793103448276	1	1	1	0	0.879310344827586	1	0.704741379310345	0.47198275862069	0.954741379310345
Aurelia_aurita	0.997844827586207	0.90301724137931	0.997844827586207	0.991379310344828	0.997844827586207	0.997844827586207		0.995689655172414	0.946120689655172	0.84698275862069	0.997844827586207	0	0.997844827586207	0.997844827586207	0.995689655172414	0.997844827586207	0.997844827586207	0.950431034482759	0.997844827586207	0.997844827586207	0	0.997844827586207	0.997844827586207	0.982758620689655	0.773706896551724	0.980603448275862	0.956896551724138	0.995689655172414	0.984913793103448	0.997844827586207	0.991379310344828	0.997844827586207	0.997844827586207	0.997844827586207	0.997844827586207	0.997844827586207	0.997844827586207	0.969827586206897	0.997844827586207	0	0.584051724137931	0.995689655172414	0.997844827586207	0.493534482758621	0.997844827586207	0.984913793103448	0.997844827586207	0.997844827586207	0.997844827586207	0.995689655172414	0.997844827586207	0.995689655172414	0.995689655172414	0.995689655172414	0.995689655172414	0.997844827586207	0.991379310344828	0.959051724137931	0.995689655172414	0.915948275862069	0.995689655172414	0.997844827586207	0.478448275862069	0.997844827586207	0.997844827586207	0.924568965517241	0.997844827586207	0.788793103448276	0.997844827586207	0.997844827586207	0.997844827586207	0	0.879310344827586	0.997844827586207	0.704741379310345	0.469827586206897	0.952586206896552
Beroe_abyssicola	0.997844827586207	0.90301724137931	0.997844827586207	0.991379310344828	0.997844827586207	0.997844827586207	0.995689655172414		0.946120689655172	0.849137931034483	0.997844827586207	0	0.997844827586207	0.997844827586207	0.995689655172414	0.997844827586207	0.995689655172414	0.950431034482759	0.995689655172414	0.997844827586207	0	0.995689655172414	0.995689655172414	0.982758620689655	0.771551724137931	0.980603448275862	0.956896551724138	0.995689655172414	0.987068965517241	0.997844827586207	0.991379310344828	0.997844827586207	0.997844827586207	0.995689655172414	0.995689655172414	0.997844827586207	0.995689655172414	0.967672413793103	0.997844827586207	0	0.586206896551724	0.997844827586207	0.997844827586207	0.493534482758621	0.997844827586207	0.982758620689655	0.995689655172414	0.995689655172414	0.997844827586207	0.995689655172414	0.997844827586207	0.995689655172414	0.995689655172414	0.993534482758621	0.995689655172414	0.997844827586207	0.993534482758621	0.959051724137931	0.993534482758621	0.915948275862069	0.995689655172414	0.997844827586207	0.478448275862069	0.997844827586207	0.995689655172414	0.924568965517241	0.995689655172414	0.786637931034483	0.997844827586207	0.997844827586207	0.997844827586207	0	0.877155172413793	0.997844827586207	0.702586206896552	0.469827586206897	0.954741379310345
Bolocera_tuediae	0.948275862068966	0.853448275862069	0.948275862068966	0.941810344827586	0.948275862068966	0.948275862068966	0.946120689655172	0.946120689655172		0.816810344827586	0.948275862068966	0	0.948275862068966	0.948275862068966	0.946120689655172	0.948275862068966	0.946120689655172	0.900862068965517	0.946120689655172	0.948275862068966	0	0.946120689655172	0.946120689655172	0.933189655172414	0.72198275862069	0.931034482758621	0.948275862068966	0.946120689655172	0.935344827586207	0.948275862068966	0.941810344827586	0.948275862068966	0.948275862068966	0.946120689655172	0.946120689655172	0.948275862068966	0.946120689655172	0.918103448275862	0.948275862068966	0	0.586206896551724	0.946120689655172	0.948275862068966	0.493534482758621	0.948275862068966	0.946120689655172	0.946120689655172	0.946120689655172	0.948275862068966	0.946120689655172	0.948275862068966	0.946120689655172	0.946120689655172	0.946120689655172	0.946120689655172	0.948275862068966	0.941810344827586	0.90948275862069	0.943965517241379	0.866379310344828	0.946120689655172	0.948275862068966	0.428879310344828	0.948275862068966	0.946120689655172	0.926724137931034	0.946120689655172	0.737068965517241	0.948275862068966	0.948275862068966	0.948275862068966	0	0.879310344827586	0.948275862068966	0.65301724137931	0.459051724137931	0.90301724137931
Botryllus_schlosseri	0.849137931034483	0.754310344827586	0.849137931034483	0.842672413793103	0.849137931034483	0.849137931034483	0.84698275862069	0.849137931034483	0.816810344827586		0.849137931034483	0	0.849137931034483	0.849137931034483	0.84698275862069	0.849137931034483	0.84698275862069	0.801724137931034	0.84698275862069	0.849137931034483	0	0.84698275862069	0.84698275862069	0.834051724137931	0.629310344827586	0.831896551724138	0.827586206896552	0.84698275862069	0.838362068965517	0.849137931034483	0.849137931034483	0.849137931034483	0.849137931034483	0.84698275862069	0.84698275862069	0.849137931034483	0.84698275862069	0.825431034482759	0.849137931034483	0	0.586206896551724	0.849137931034483	0.849137931034483	0.493534482758621	0.849137931034483	0.84698275862069	0.84698275862069	0.84698275862069	0.849137931034483	0.849137931034483	0.849137931034483	0.84698275862069	0.84698275862069	0.84698275862069	0.84698275862069	0.849137931034483	0.849137931034483	0.810344827586207	0.844827586206897	0.767241379310345	0.84698275862069	0.849137931034483	0.338362068965517	0.849137931034483	0.84698275862069	0.795258620689655	0.84698275862069	0.754310344827586	0.849137931034483	0.849137931034483	0.849137931034483	0	0.752155172413793	0.849137931034483	0.553879310344828	0.443965517241379	0.806034482758621
