	Acanthoeca_like_sp_10tr	Acropora_cervicornis	Aiptasia_pallida	Amoebidium	Amphimedon_queenslandica	Aphrocallistes_vastus	Aurelia_aurita	Beroe_abyssicola	Bolocera_tuediae	Botryllus_schlosseri	Branchiostoma_floridae	Buddenbrockia_plumatellae	Capitella_teleta	Capsaspora_owczarzaki_atcc30864	Chondrilla_nucula	Ciona_intestinalis	Clytia_hemisphaerica	Corticium_candelabrum	Craspedacusta_sowerbyi	Crassostrea_gigas	Cyanea_capillata	Daphnia_pulex	Ectopleura_larynx	Edwardsiella_lineata	Enteromyxum_leei	Ephydatia_muelleri	Eunicella_cavolinii	Euplectella_aspergillum	Euplokamis_dunlapae	Gorgonia_ventalina	Helobdella_robusta	Homo_sapiens	Hormathia_digitata	Hydra_magnipapillata	Hydractinia_polyclina	Ilyanassa_obsoleta	Ixodes_scapularis	Kudoa_iwatai	Latimeria_menadoensis	Leucetta_chagosensis	Ministeria_vibrans_atcc50519	Mnemiopsis_leidyi	Monosiga_brevicollis_mx1	Monosiga_ovata	Montastraea_faveolata	Myxobolus_cerebralis	Nanomia_bijuga	Nasonia_vitripennis	Nematostella_vectensis	Octopus_vulgaris	Oscarella	Oscarella_carmela	Patiria_miniata	Pediculus_humanus_corporis	Petromyzon_marinus	Petrosia_ficiformis	Pleurobrachia_pileus	Pocillopora_damicornis	Polypodium_hydriforme	Porites_australiensis	Saccoglossus_kowalevskii	Salpingoeca_sp_ATCC50818	Sarcotragus_fasciculatus	Sphaeroforma_arctica_jp610	Sphaeromyxa_zaharoni	Stephanoeca_diplocostata	Stomolophus_meleagris	Strigamia_maritima	Strongylocentrotus_purpuratus	Sycon_ciliatum	Sycon_coactum	Tetracapsuloides_bryosalmonae	Thelohanellus_kitauei	Trichoplax_adhaerens	Tripedalia_cystophora	Urticina_eques	Vallicula_multiformis
Acanthoeca_like_sp_10tr		0.710884353741497	0.76530612244898	0.76530612244898	0.76530612244898	0.76530612244898	0.666666666666667	0.76530612244898	0.76530612244898	0.76530612244898	0.76530612244898	0	0.76530612244898	0.76530612244898	0.595238095238095	0.76530612244898	0.76530612244898	0.758503401360544	0.76530612244898	0.76530612244898	0	0.76530612244898	0.76530612244898	0.76530612244898	0.744897959183674	0.700680272108844	0.537414965986395	0.76530612244898	0.76530612244898	0.741496598639456	0.76530612244898	0.76530612244898	0.76530612244898	0.76530612244898	0.76530612244898	0.751700680272109	0.76530612244898	0.76530612244898	0.76530612244898	0	0.76530612244898	0.76530612244898	0.649659863945578	0.646258503401361	0.76530612244898	0.76530612244898	0.76530612244898	0.76530612244898	0.76530612244898	0.76530612244898	0.63265306122449	0.76530612244898	0.76530612244898	0.76530612244898	0.479591836734694	0.272108843537415	0.76530612244898	0.710884353741497	0.76530612244898	0.710884353741497	0.76530612244898	0.76530612244898	0.76530612244898	0.76530612244898	0.646258503401361	0.76530612244898	0.76530612244898	0.76530612244898	0.76530612244898	0.76530612244898	0.76530612244898	0	0.744897959183674	0.741496598639456	0.76530612244898	0.564625850340136	0.76530612244898
Acropora_cervicornis	0.710884353741497		0.945578231292517	0.938775510204082	0.945578231292517	0.945578231292517	0.612244897959184	0.945578231292517	0.945578231292517	0.945578231292517	0.945578231292517	0	0.945578231292517	0.945578231292517	0.775510204081633	0.945578231292517	0.945578231292517	0.945578231292517	0.945578231292517	0.945578231292517	0	0.945578231292517	0.945578231292517	0.945578231292517	0.921768707482993	0.880952380952381	0.482993197278912	0.945578231292517	0.945578231292517	0.945578231292517	0.945578231292517	0.945578231292517	0.945578231292517	0.945578231292517	0.945578231292517	0.925170068027211	0.945578231292517	0.945578231292517	0.945578231292517	0	0.717687074829932	0.945578231292517	0.595238095238095	0.646258503401361	0.945578231292517	0.945578231292517	0.945578231292517	0.945578231292517	0.945578231292517	0.945578231292517	0.86734693877551	0.945578231292517	0.945578231292517	0.945578231292517	0.653061224489796	0.506802721088435	0.945578231292517	0.945578231292517	0.945578231292517	0.945578231292517	0.945578231292517	0.945578231292517	0.945578231292517	0.938775510204082	0.591836734693878	0.921768707482993	0.945578231292517	0.717687074829932	0.945578231292517	0.945578231292517	0.945578231292517	0	0.925170068027211	0.945578231292517	0.945578231292517	0.510204081632653	0.945578231292517
Aiptasia_pallida	0.76530612244898	0.945578231292517		0.993197278911565	1	1	0.666666666666667	1	1	1	1	0	1	1	0.829931972789116	1	1	0.993197278911565	1	1	0	1	1	1	0.976190476190476	0.935374149659864	0.537414965986395	1	1	0.976190476190476	1	1	1	1	1	0.979591836734694	1	1	1	0	0.772108843537415	1	0.649659863945578	0.646258503401361	1	1	1	1	1	1	0.86734693877551	1	1	1	0.707482993197279	0.506802721088435	1	0.945578231292517	1	0.945578231292517	1	1	1	0.993197278911565	0.646258503401361	0.976190476190476	1	0.772108843537415	1	1	1	0	0.979591836734694	0.976190476190476	1	0.564625850340136	1
Amoebidium	0.76530612244898	0.938775510204082	0.993197278911565		0.993197278911565	0.993197278911565	0.666666666666667	0.993197278911565	0.993197278911565	0.993197278911565	0.993197278911565	0	0.993197278911565	0.993197278911565	0.82312925170068	0.993197278911565	0.993197278911565	0.986394557823129	0.993197278911565	0.993197278911565	0	0.993197278911565	0.993197278911565	0.993197278911565	0.972789115646258	0.928571428571429	0.537414965986395	0.993197278911565	0.993197278911565	0.969387755102041	0.993197278911565	0.993197278911565	0.993197278911565	0.993197278911565	0.993197278911565	0.979591836734694	0.993197278911565	0.993197278911565	0.993197278911565	0	0.76530612244898	0.993197278911565	0.649659863945578	0.646258503401361	0.993197278911565	0.993197278911565	0.993197278911565	0.993197278911565	0.993197278911565	0.993197278911565	0.860544217687075	0.993197278911565	0.993197278911565	0.993197278911565	0.707482993197279	0.5	0.993197278911565	0.938775510204082	0.993197278911565	0.938775510204082	0.993197278911565	0.993197278911565	0.993197278911565	0.993197278911565	0.646258503401361	0.976190476190476	0.993197278911565	0.76530612244898	0.993197278911565	0.993197278911565	0.993197278911565	0	0.972789115646258	0.969387755102041	0.993197278911565	0.564625850340136	0.993197278911565
Amphimedon_queenslandica	0.76530612244898	0.945578231292517	1	0.993197278911565		1	0.666666666666667	1	1	1	1	0	1	1	0.829931972789116	1	1	0.993197278911565	1	1	0	1	1	1	0.976190476190476	0.935374149659864	0.537414965986395	1	1	0.976190476190476	1	1	1	1	1	0.979591836734694	1	1	1	0	0.772108843537415	1	0.649659863945578	0.646258503401361	1	1	1	1	1	1	0.86734693877551	1	1	1	0.707482993197279	0.506802721088435	1	0.945578231292517	1	0.945578231292517	1	1	1	0.993197278911565	0.646258503401361	0.976190476190476	1	0.772108843537415	1	1	1	0	0.979591836734694	0.976190476190476	1	0.564625850340136	1
Aphrocallistes_vastus	0.76530612244898	0.945578231292517	1	0.993197278911565	1		0.666666666666667	1	1	1	1	0	1	1	0.829931972789116	1	1	0.993197278911565	1	1	0	1	1	1	0.976190476190476	0.935374149659864	0.537414965986395	1	1	0.976190476190476	1	1	1	1	1	0.979591836734694	1	1	1	0	0.772108843537415	1	0.649659863945578	0.646258503401361	1	1	1	1	1	1	0.86734693877551	1	1	1	0.707482993197279	0.506802721088435	1	0.945578231292517	1	0.945578231292517	1	1	1	0.993197278911565	0.646258503401361	0.976190476190476	1	0.772108843537415	1	1	1	0	0.979591836734694	0.976190476190476	1	0.564625850340136	1
Aurelia_aurita	0.666666666666667	0.612244897959184	0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667		0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667	0	0.666666666666667	0.666666666666667	0.496598639455782	0.666666666666667	0.666666666666667	0.659863945578231	0.666666666666667	0.666666666666667	0	0.666666666666667	0.666666666666667	0.666666666666667	0.649659863945578	0.602040816326531	0.537414965986395	0.666666666666667	0.666666666666667	0.642857142857143	0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667	0	0.666666666666667	0.666666666666667	0.649659863945578	0.585034013605442	0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667	0.534013605442177	0.666666666666667	0.666666666666667	0.666666666666667	0.479591836734694	0.173469387755102	0.666666666666667	0.612244897959184	0.666666666666667	0.612244897959184	0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667	0.646258503401361	0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667	0	0.646258503401361	0.642857142857143	0.666666666666667	0.520408163265306	0.666666666666667
Beroe_abyssicola	0.76530612244898	0.945578231292517	1	0.993197278911565	1	1	0.666666666666667		1	1	1	0	1	1	0.829931972789116	1	1	0.993197278911565	1	1	0	1	1	1	0.976190476190476	0.935374149659864	0.537414965986395	1	1	0.976190476190476	1	1	1	1	1	0.979591836734694	1	1	1	0	0.772108843537415	1	0.649659863945578	0.646258503401361	1	1	1	1	1	1	0.86734693877551	1	1	1	0.707482993197279	0.506802721088435	1	0.945578231292517	1	0.945578231292517	1	1	1	0.993197278911565	0.646258503401361	0.976190476190476	1	0.772108843537415	1	1	1	0	0.979591836734694	0.976190476190476	1	0.564625850340136	1
Bolocera_tuediae	0.76530612244898	0.945578231292517	1	0.993197278911565	1	1	0.666666666666667	1		1	1	0	1	1	0.829931972789116	1	1	0.993197278911565	1	1	0	1	1	1	0.976190476190476	0.935374149659864	0.537414965986395	1	1	0.976190476190476	1	1	1	1	1	0.979591836734694	1	1	1	0	0.772108843537415	1	0.649659863945578	0.646258503401361	1	1	1	1	1	1	0.86734693877551	1	1	1	0.707482993197279	0.506802721088435	1	0.945578231292517	1	0.945578231292517	1	1	1	0.993197278911565	0.646258503401361	0.976190476190476	1	0.772108843537415	1	1	1	0	0.979591836734694	0.976190476190476	1	0.564625850340136	1
Botryllus_schlosseri	0.76530612244898	0.945578231292517	1	0.993197278911565	1	1	0.666666666666667	1	1		1	0	1	1	0.829931972789116	1	1	0.993197278911565	1	1	0	1	1	1	0.976190476190476	0.935374149659864	0.537414965986395	1	1	0.976190476190476	1	1	1	1	1	0.979591836734694	1	1	1	0	0.772108843537415	1	0.649659863945578	0.646258503401361	1	1	1	1	1	1	0.86734693877551	1	1	1	0.707482993197279	0.506802721088435	1	0.945578231292517	1	0.945578231292517	1	1	1	0.993197278911565	0.646258503401361	0.976190476190476	1	0.772108843537415	1	1	1	0	0.979591836734694	0.976190476190476	1	0.564625850340136	1
