	Acanthoeca_like_sp_10tr	Acropora_cervicornis	Aiptasia_pallida	Amoebidium	Amphimedon_queenslandica	Aphrocallistes_vastus	Aurelia_aurita	Beroe_abyssicola	Bolocera_tuediae	Botryllus_schlosseri	Branchiostoma_floridae	Buddenbrockia_plumatellae	Capitella_teleta	Capsaspora_owczarzaki_atcc30864	Chondrilla_nucula	Ciona_intestinalis	Clytia_hemisphaerica	Corticium_candelabrum	Craspedacusta_sowerbyi	Crassostrea_gigas	Cyanea_capillata	Daphnia_pulex	Ectopleura_larynx	Edwardsiella_lineata	Enteromyxum_leei	Ephydatia_muelleri	Eunicella_cavolinii	Euplectella_aspergillum	Euplokamis_dunlapae	Gorgonia_ventalina	Helobdella_robusta	Homo_sapiens	Hormathia_digitata	Hydra_magnipapillata	Hydractinia_polyclina	Ilyanassa_obsoleta	Ixodes_scapularis	Kudoa_iwatai	Latimeria_menadoensis	Leucetta_chagosensis	Ministeria_vibrans_atcc50519	Mnemiopsis_leidyi	Monosiga_brevicollis_mx1	Monosiga_ovata	Montastraea_faveolata	Myxobolus_cerebralis	Nanomia_bijuga	Nasonia_vitripennis	Nematostella_vectensis	Octopus_vulgaris	Oscarella	Oscarella_carmela	Patiria_miniata	Pediculus_humanus_corporis	Petromyzon_marinus	Petrosia_ficiformis	Pleurobrachia_pileus	Pocillopora_damicornis	Polypodium_hydriforme	Porites_australiensis	Saccoglossus_kowalevskii	Salpingoeca_sp_ATCC50818	Sarcotragus_fasciculatus	Sphaeroforma_arctica_jp610	Sphaeromyxa_zaharoni	Stephanoeca_diplocostata	Stomolophus_meleagris	Strigamia_maritima	Strongylocentrotus_purpuratus	Sycon_ciliatum	Sycon_coactum	Tetracapsuloides_bryosalmonae	Thelohanellus_kitauei	Trichoplax_adhaerens	Tripedalia_cystophora	Urticina_eques	Vallicula_multiformis
Acanthoeca_like_sp_10tr		0.938818565400844	0.985232067510548	0.991561181434599	0.778481012658228	0.987341772151899	0.29957805907173	0	0.649789029535865	0	0.991561181434599	0	0.991561181434599	0.945147679324895	0.962025316455696	0.991561181434599	0.732067510548523	0.989451476793249	0.991561181434599	0.991561181434599	0	0.991561181434599	0.987341772151899	0.751054852320675	0.4957805907173	0.989451476793249	0.49789029535865	0.29957805907173	0.390295358649789	0.987341772151899	0.862869198312236	0.991561181434599	0.740506329113924	0.962025316455696	0.991561181434599	0.411392405063291	0.670886075949367	0.991561181434599	0.991561181434599	0	0.476793248945148	0.5042194092827	0.991561181434599	0.219409282700422	0.987341772151899	0.464135021097046	0.991561181434599	0.989451476793249	0.987341772151899	0.991561181434599	0.822784810126582	0.991561181434599	0.607594936708861	0.991561181434599	0.839662447257384	0.991561181434599	0.917721518987342	0.533755274261603	0.987341772151899	0.987341772151899	0.881856540084388	0.217299578059072	0.814345991561181	0.989451476793249	0.664556962025316	0.985232067510548	0.816455696202532	0.991561181434599	0.991561181434599	0.970464135021097	0.681434599156118	0	0	0.987341772151899	0.191983122362869	0	0.991561181434599
Acropora_cervicornis	0.938818565400844		0.945147679324895	0.947257383966245	0.782700421940928	0.947257383966245	0.29957805907173	0	0.609704641350211	0	0.947257383966245	0	0.947257383966245	0.940928270042194	0.947257383966245	0.947257383966245	0.691983122362869	0.945147679324895	0.947257383966245	0.947257383966245	0	0.947257383966245	0.943037974683544	0.759493670886076	0.491561181434599	0.945147679324895	0.49789029535865	0.29957805907173	0.394514767932489	0.947257383966245	0.858649789029536	0.947257383966245	0.748945147679325	0.917721518987342	0.947257383966245	0.358649789029536	0.666666666666667	0.947257383966245	0.947257383966245	0	0.485232067510549	0.5	0.938818565400844	0.219409282700422	0.947257383966245	0.472573839662447	0.947257383966245	0.945147679324895	0.947257383966245	0.947257383966245	0.782700421940928	0.947257383966245	0.559071729957806	0.947257383966245	0.835443037974684	0.947257383966245	0.873417721518987	0.485232067510549	0.943037974683544	0.947257383966245	0.837552742616034	0.168776371308017	0.774261603375527	0.945147679324895	0.624472573839662	0.940928270042194	0.820675105485232	0.947257383966245	0.947257383966245	0.930379746835443	0.632911392405063	0	0	0.947257383966245	0.191983122362869	0	0.947257383966245
Aiptasia_pallida	0.985232067510548	0.945147679324895		0.993670886075949	0.780590717299578	0.993670886075949	0.29957805907173	0	0.656118143459916	0	0.993670886075949	0	0.993670886075949	0.947257383966245	0.966244725738397	0.993670886075949	0.738396624472574	0.991561181434599	0.993670886075949	0.993670886075949	0	0.993670886075949	0.989451476793249	0.757383966244726	0.491561181434599	0.991561181434599	0.4957805907173	0.29957805907173	0.394514767932489	0.993670886075949	0.864978902953586	0.993670886075949	0.746835443037975	0.964135021097046	0.993670886075949	0.407172995780591	0.675105485232067	0.993670886075949	0.993670886075949	0	0.483122362869198	0.5	0.985232067510548	0.219409282700422	0.993670886075949	0.472573839662447	0.993670886075949	0.991561181434599	0.993670886075949	0.993670886075949	0.829113924050633	0.993670886075949	0.607594936708861	0.993670886075949	0.841772151898734	0.993670886075949	0.919831223628692	0.531645569620253	0.989451476793249	0.993670886075949	0.883966244725738	0.217299578059072	0.820675105485232	0.991561181434599	0.670886075949367	0.987341772151899	0.818565400843882	0.993670886075949	0.993670886075949	0.976793248945148	0.679324894514768	0	0	0.993670886075949	0.191983122362869	0	0.993670886075949
Amoebidium	0.991561181434599	0.947257383966245	0.993670886075949		0.786919831223629	0.9957805907173	0.29957805907173	0	0.658227848101266	0	1	0	1	0.953586497890295	0.970464135021097	1	0.740506329113924	0.99789029535865	1	1	0	1	0.9957805907173	0.759493670886076	0.4957805907173	0.99789029535865	0.49789029535865	0.29957805907173	0.39873417721519	0.9957805907173	0.871308016877637	1	0.748945147679325	0.970464135021097	1	0.411392405063291	0.679324894514768	1	1	0	0.485232067510549	0.5042194092827	0.991561181434599	0.219409282700422	0.9957805907173	0.472573839662447	1	0.99789029535865	0.9957805907173	1	0.831223628691983	1	0.607594936708861	1	0.848101265822785	1	0.926160337552743	0.533755274261603	0.9957805907173	0.9957805907173	0.890295358649789	0.217299578059072	0.822784810126582	0.99789029535865	0.672995780590717	0.993670886075949	0.824894514767933	1	1	0.978902953586498	0.681434599156118	0	0	0.9957805907173	0.191983122362869	0	1
Amphimedon_queenslandica	0.778481012658228	0.782700421940928	0.780590717299578	0.786919831223629		0.782700421940928	0.29957805907173	0	0.459915611814346	0	0.786919831223629	0	0.786919831223629	0.786919831223629	0.784810126582278	0.786919831223629	0.527426160337553	0.784810126582278	0.786919831223629	0.786919831223629	0	0.786919831223629	0.786919831223629	0.759493670886076	0.4957805907173	0.784810126582278	0.49789029535865	0.29957805907173	0.39873417721519	0.782700421940928	0.786919831223629	0.786919831223629	0.748945147679325	0.757383966244726	0.786919831223629	0.225738396624473	0.594936708860759	0.786919831223629	0.786919831223629	0	0.409282700421941	0.5042194092827	0.778481012658228	0.219409282700422	0.782700421940928	0.472573839662447	0.786919831223629	0.784810126582278	0.782700421940928	0.786919831223629	0.618143459915612	0.786919831223629	0.405063291139241	0.786919831223629	0.763713080168776	0.786919831223629	0.786919831223629	0.409282700421941	0.782700421940928	0.782700421940928	0.710970464135021	0.0759493670886076	0.609704641350211	0.784810126582278	0.459915611814346	0.780590717299578	0.786919831223629	0.786919831223629	0.786919831223629	0.765822784810127	0.542194092827004	0	0	0.782700421940928	0.191983122362869	0	0.786919831223629
Aphrocallistes_vastus	0.987341772151899	0.947257383966245	0.993670886075949	0.9957805907173	0.782700421940928		0.29957805907173	0	0.658227848101266	0	0.9957805907173	0	0.9957805907173	0.949367088607595	0.968354430379747	0.9957805907173	0.740506329113924	0.993670886075949	0.9957805907173	0.9957805907173	0	0.9957805907173	0.991561181434599	0.759493670886076	0.491561181434599	0.993670886075949	0.49789029535865	0.29957805907173	0.394514767932489	0.9957805907173	0.867088607594937	0.9957805907173	0.748945147679325	0.966244725738397	0.9957805907173	0.407172995780591	0.675105485232067	0.9957805907173	0.9957805907173	0	0.485232067510549	0.5	0.987341772151899	0.219409282700422	0.9957805907173	0.472573839662447	0.9957805907173	0.993670886075949	0.9957805907173	0.9957805907173	0.831223628691983	0.9957805907173	0.607594936708861	0.9957805907173	0.843881856540084	0.9957805907173	0.921940928270042	0.533755274261603	0.991561181434599	0.9957805907173	0.886075949367089	0.217299578059072	0.822784810126582	0.993670886075949	0.672995780590717	0.989451476793249	0.820675105485232	0.9957805907173	0.9957805907173	0.978902953586498	0.681434599156118	0	0	0.9957805907173	0.191983122362869	0	0.9957805907173
Aurelia_aurita	0.29957805907173	0.29957805907173	0.29957805907173	0.29957805907173	0.29957805907173	0.29957805907173		0	0.172995780590717	0	0.29957805907173	0	0.29957805907173	0.29957805907173	0.29957805907173	0.29957805907173	0.166666666666667	0.29957805907173	0.29957805907173	0.29957805907173	0	0.29957805907173	0.29957805907173	0.29957805907173	0.29746835443038	0.29746835443038	0.29957805907173	0.172995780590717	0.172995780590717	0.29957805907173	0.29957805907173	0.29957805907173	0.291139240506329	0.29957805907173	0.29957805907173	0	0.29957805907173	0.29957805907173	0.29957805907173	0	0.172995780590717	0.270042194092827	0.29957805907173	0.126582278481013	0.29957805907173	0.29746835443038	0.29957805907173	0.29746835443038	0.29957805907173	0.29957805907173	0.257383966244726	0.29957805907173	0.234177215189873	0.29957805907173	0.29957805907173	0.29957805907173	0.29957805907173	0.172995780590717	0.29957805907173	0.29957805907173	0.29957805907173	0.0274261603375527	0.29957805907173	0.29957805907173	0.278481012658228	0.29746835443038	0.29957805907173	0.29957805907173	0.29957805907173	0.289029535864979	0.189873417721519	0	0	0.29957805907173	0.116033755274262	0	0.29957805907173
Beroe_abyssicola	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bolocera_tuediae	0.649789029535865	0.609704641350211	0.656118143459916	0.658227848101266	0.459915611814346	0.658227848101266	0.172995780590717	0		0	0.658227848101266	0	0.658227848101266	0.611814345991561	0.630801687763713	0.658227848101266	0.440928270042194	0.658227848101266	0.658227848101266	0.658227848101266	0	0.658227848101266	0.654008438818565	0.459915611814346	0.261603375527426	0.656118143459916	0.280590717299578	0.261603375527426	0.316455696202532	0.658227848101266	0.529535864978903	0.658227848101266	0.447257383966245	0.628691983122363	0.658227848101266	0.329113924050633	0.419831223628692	0.658227848101266	0.658227848101266	0	0.424050632911392	0.242616033755274	0.649789029535865	0	0.658227848101266	0.29535864978903	0.658227848101266	0.656118143459916	0.658227848101266	0.658227848101266	0.60126582278481	0.658227848101266	0.455696202531646	0.658227848101266	0.529535864978903	0.658227848101266	0.584388185654008	0.514767932489452	0.654008438818565	0.658227848101266	0.588607594936709	0.20042194092827	0.563291139240506	0.658227848101266	0.50210970464135	0.654008438818565	0.483122362869198	0.658227848101266	0.658227848101266	0.658227848101266	0.527426160337553	0	0	0.658227848101266	0.162447257383966	0	0.658227848101266
Botryllus_schlosseri	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
