	Acanthoeca_like_sp_10tr	Acropora_cervicornis	Aiptasia_pallida	Amoebidium	Amphimedon_queenslandica	Aphrocallistes_vastus	Aurelia_aurita	Beroe_abyssicola	Bolocera_tuediae	Botryllus_schlosseri	Branchiostoma_floridae	Buddenbrockia_plumatellae	Capitella_teleta	Capsaspora_owczarzaki_atcc30864	Chondrilla_nucula	Ciona_intestinalis	Clytia_hemisphaerica	Corticium_candelabrum	Craspedacusta_sowerbyi	Crassostrea_gigas	Cyanea_capillata	Daphnia_pulex	Ectopleura_larynx	Edwardsiella_lineata	Enteromyxum_leei	Ephydatia_muelleri	Eunicella_cavolinii	Euplectella_aspergillum	Euplokamis_dunlapae	Gorgonia_ventalina	Helobdella_robusta	Homo_sapiens	Hormathia_digitata	Hydra_magnipapillata	Hydractinia_polyclina	Ilyanassa_obsoleta	Ixodes_scapularis	Kudoa_iwatai	Latimeria_menadoensis	Leucetta_chagosensis	Ministeria_vibrans_atcc50519	Mnemiopsis_leidyi	Monosiga_brevicollis_mx1	Monosiga_ovata	Montastraea_faveolata	Myxobolus_cerebralis	Nanomia_bijuga	Nasonia_vitripennis	Nematostella_vectensis	Octopus_vulgaris	Oscarella	Oscarella_carmela	Patiria_miniata	Pediculus_humanus_corporis	Petromyzon_marinus	Petrosia_ficiformis	Pleurobrachia_pileus	Pocillopora_damicornis	Polypodium_hydriforme	Porites_australiensis	Saccoglossus_kowalevskii	Salpingoeca_sp_ATCC50818	Sarcotragus_fasciculatus	Sphaeroforma_arctica_jp610	Sphaeromyxa_zaharoni	Stephanoeca_diplocostata	Stomolophus_meleagris	Strigamia_maritima	Strongylocentrotus_purpuratus	Sycon_ciliatum	Sycon_coactum	Tetracapsuloides_bryosalmonae	Thelohanellus_kitauei	Trichoplax_adhaerens	Tripedalia_cystophora	Urticina_eques	Vallicula_multiformis
Acanthoeca_like_sp_10tr		1	1	1	1	1	0.845132743362832	1	1	1	1	0	1	1	1	1	1	0.823008849557522	1	1	0	1	1	1	1	1	0.884955752212389	1	1	1	1	1	1	1	1	1	0.814159292035398	1	1	0	0.955752212389381	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.946902654867257	1	1	1	1	1	1	0.535398230088496	1	1	0.995575221238938	1	0.991150442477876	1	1	1	0	0.991150442477876	1	0.398230088495575	0.707964601769911	1
Acropora_cervicornis	1		1	1	1	1	0.845132743362832	1	1	1	1	0	1	1	1	1	1	0.823008849557522	1	1	0	1	1	1	1	1	0.884955752212389	1	1	1	1	1	1	1	1	1	0.814159292035398	1	1	0	0.955752212389381	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.946902654867257	1	1	1	1	1	1	0.535398230088496	1	1	0.995575221238938	1	0.991150442477876	1	1	1	0	0.991150442477876	1	0.398230088495575	0.707964601769911	1
Aiptasia_pallida	1	1		1	1	1	0.845132743362832	1	1	1	1	0	1	1	1	1	1	0.823008849557522	1	1	0	1	1	1	1	1	0.884955752212389	1	1	1	1	1	1	1	1	1	0.814159292035398	1	1	0	0.955752212389381	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.946902654867257	1	1	1	1	1	1	0.535398230088496	1	1	0.995575221238938	1	0.991150442477876	1	1	1	0	0.991150442477876	1	0.398230088495575	0.707964601769911	1
Amoebidium	1	1	1		1	1	0.845132743362832	1	1	1	1	0	1	1	1	1	1	0.823008849557522	1	1	0	1	1	1	1	1	0.884955752212389	1	1	1	1	1	1	1	1	1	0.814159292035398	1	1	0	0.955752212389381	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.946902654867257	1	1	1	1	1	1	0.535398230088496	1	1	0.995575221238938	1	0.991150442477876	1	1	1	0	0.991150442477876	1	0.398230088495575	0.707964601769911	1
Amphimedon_queenslandica	1	1	1	1		1	0.845132743362832	1	1	1	1	0	1	1	1	1	1	0.823008849557522	1	1	0	1	1	1	1	1	0.884955752212389	1	1	1	1	1	1	1	1	1	0.814159292035398	1	1	0	0.955752212389381	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.946902654867257	1	1	1	1	1	1	0.535398230088496	1	1	0.995575221238938	1	0.991150442477876	1	1	1	0	0.991150442477876	1	0.398230088495575	0.707964601769911	1
Aphrocallistes_vastus	1	1	1	1	1		0.845132743362832	1	1	1	1	0	1	1	1	1	1	0.823008849557522	1	1	0	1	1	1	1	1	0.884955752212389	1	1	1	1	1	1	1	1	1	0.814159292035398	1	1	0	0.955752212389381	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.946902654867257	1	1	1	1	1	1	0.535398230088496	1	1	0.995575221238938	1	0.991150442477876	1	1	1	0	0.991150442477876	1	0.398230088495575	0.707964601769911	1
Aurelia_aurita	0.845132743362832	0.845132743362832	0.845132743362832	0.845132743362832	0.845132743362832	0.845132743362832		0.845132743362832	0.845132743362832	0.845132743362832	0.845132743362832	0	0.845132743362832	0.845132743362832	0.845132743362832	0.845132743362832	0.845132743362832	0.668141592920354	0.845132743362832	0.845132743362832	0	0.845132743362832	0.845132743362832	0.845132743362832	0.845132743362832	0.845132743362832	0.730088495575221	0.845132743362832	0.845132743362832	0.845132743362832	0.845132743362832	0.845132743362832	0.845132743362832	0.845132743362832	0.845132743362832	0.845132743362832	0.65929203539823	0.845132743362832	0.845132743362832	0	0.800884955752212	0.845132743362832	0.845132743362832	0.845132743362832	0.845132743362832	0.845132743362832	0.845132743362832	0.845132743362832	0.845132743362832	0.845132743362832	0.845132743362832	0.845132743362832	0.845132743362832	0.845132743362832	0.845132743362832	0.79646017699115	0.845132743362832	0.845132743362832	0.845132743362832	0.845132743362832	0.845132743362832	0.845132743362832	0.407079646017699	0.845132743362832	0.845132743362832	0.84070796460177	0.845132743362832	0.836283185840708	0.845132743362832	0.845132743362832	0.845132743362832	0	0.836283185840708	0.845132743362832	0.398230088495575	0.553097345132743	0.845132743362832
Beroe_abyssicola	1	1	1	1	1	1	0.845132743362832		1	1	1	0	1	1	1	1	1	0.823008849557522	1	1	0	1	1	1	1	1	0.884955752212389	1	1	1	1	1	1	1	1	1	0.814159292035398	1	1	0	0.955752212389381	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.946902654867257	1	1	1	1	1	1	0.535398230088496	1	1	0.995575221238938	1	0.991150442477876	1	1	1	0	0.991150442477876	1	0.398230088495575	0.707964601769911	1
Bolocera_tuediae	1	1	1	1	1	1	0.845132743362832	1		1	1	0	1	1	1	1	1	0.823008849557522	1	1	0	1	1	1	1	1	0.884955752212389	1	1	1	1	1	1	1	1	1	0.814159292035398	1	1	0	0.955752212389381	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.946902654867257	1	1	1	1	1	1	0.535398230088496	1	1	0.995575221238938	1	0.991150442477876	1	1	1	0	0.991150442477876	1	0.398230088495575	0.707964601769911	1
Botryllus_schlosseri	1	1	1	1	1	1	0.845132743362832	1	1		1	0	1	1	1	1	1	0.823008849557522	1	1	0	1	1	1	1	1	0.884955752212389	1	1	1	1	1	1	1	1	1	0.814159292035398	1	1	0	0.955752212389381	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.946902654867257	1	1	1	1	1	1	0.535398230088496	1	1	0.995575221238938	1	0.991150442477876	1	1	1	0	0.991150442477876	1	0.398230088495575	0.707964601769911	1
