	Acanthoeca_like_sp_10tr	Acropora_cervicornis	Aiptasia_pallida	Amoebidium	Amphimedon_queenslandica	Aphrocallistes_vastus	Aurelia_aurita	Beroe_abyssicola	Bolocera_tuediae	Botryllus_schlosseri	Branchiostoma_floridae	Buddenbrockia_plumatellae	Capitella_teleta	Capsaspora_owczarzaki_atcc30864	Chondrilla_nucula	Ciona_intestinalis	Clytia_hemisphaerica	Corticium_candelabrum	Craspedacusta_sowerbyi	Crassostrea_gigas	Cyanea_capillata	Daphnia_pulex	Ectopleura_larynx	Edwardsiella_lineata	Enteromyxum_leei	Ephydatia_muelleri	Eunicella_cavolinii	Euplectella_aspergillum	Euplokamis_dunlapae	Gorgonia_ventalina	Helobdella_robusta	Homo_sapiens	Hormathia_digitata	Hydra_magnipapillata	Hydractinia_polyclina	Ilyanassa_obsoleta	Ixodes_scapularis	Kudoa_iwatai	Latimeria_menadoensis	Leucetta_chagosensis	Ministeria_vibrans_atcc50519	Mnemiopsis_leidyi	Monosiga_brevicollis_mx1	Monosiga_ovata	Montastraea_faveolata	Myxobolus_cerebralis	Nanomia_bijuga	Nasonia_vitripennis	Nematostella_vectensis	Octopus_vulgaris	Oscarella	Oscarella_carmela	Patiria_miniata	Pediculus_humanus_corporis	Petromyzon_marinus	Petrosia_ficiformis	Pleurobrachia_pileus	Pocillopora_damicornis	Polypodium_hydriforme	Porites_australiensis	Saccoglossus_kowalevskii	Salpingoeca_sp_ATCC50818	Sarcotragus_fasciculatus	Sphaeroforma_arctica_jp610	Sphaeromyxa_zaharoni	Stephanoeca_diplocostata	Stomolophus_meleagris	Strigamia_maritima	Strongylocentrotus_purpuratus	Sycon_ciliatum	Sycon_coactum	Tetracapsuloides_bryosalmonae	Thelohanellus_kitauei	Trichoplax_adhaerens	Tripedalia_cystophora	Urticina_eques	Vallicula_multiformis
Acanthoeca_like_sp_10tr		0.991452991452991	0.991452991452991	0.991452991452991	0.991452991452991	0.991452991452991	0	0.991452991452991	0.290598290598291	0	0.991452991452991	0	0.991452991452991	0.991452991452991	0.790598290598291	0.991452991452991	0.735042735042735	0.991452991452991	0.991452991452991	0.991452991452991	0	0.991452991452991	0.991452991452991	0.991452991452991	0	0.991452991452991	0.991452991452991	0.987179487179487	0.192307692307692	0.961538461538462	0.987179487179487	0.991452991452991	0.987179487179487	0.991452991452991	0.991452991452991	0.645299145299145	0.991452991452991	0.991452991452991	0.991452991452991	0	0.991452991452991	0.991452991452991	0.991452991452991	0.991452991452991	0.991452991452991	0.991452991452991	0.991452991452991	0.991452991452991	0.991452991452991	0.141025641025641	0.991452991452991	0.991452991452991	0.991452991452991	0.991452991452991	0.991452991452991	0.991452991452991	0.991452991452991	0.948717948717949	0.991452991452991	0.991452991452991	0.363247863247863	0.235042735042735	0.914529914529915	0.991452991452991	0	0.991452991452991	0.991452991452991	0.833333333333333	0.991452991452991	0.991452991452991	0.991452991452991	0	0.97008547008547	0.987179487179487	0.333333333333333	0.277777777777778	0.991452991452991
Acropora_cervicornis	0.991452991452991		1	1	1	0.995726495726496	0	1	0.290598290598291	0	1	0	1	1	0.790598290598291	1	0.735042735042735	1	1	1	0	1	1	0.991452991452991	0	0.995726495726496	1	0.991452991452991	0.192307692307692	0.97008547008547	0.995726495726496	1	0.995726495726496	1	1	0.653846153846154	1	1	1	0	1	1	1	1	1	1	1	1	1	0.141025641025641	1	1	1	1	1	1	1	0.957264957264957	1	1	0.371794871794872	0.235042735042735	0.918803418803419	1	0	0.991452991452991	1	0.841880341880342	1	1	1	0	0.978632478632479	0.995726495726496	0.333333333333333	0.277777777777778	1
Aiptasia_pallida	0.991452991452991	1		1	1	0.995726495726496	0	1	0.290598290598291	0	1	0	1	1	0.790598290598291	1	0.735042735042735	1	1	1	0	1	1	0.991452991452991	0	0.995726495726496	1	0.991452991452991	0.192307692307692	0.97008547008547	0.995726495726496	1	0.995726495726496	1	1	0.653846153846154	1	1	1	0	1	1	1	1	1	1	1	1	1	0.141025641025641	1	1	1	1	1	1	1	0.957264957264957	1	1	0.371794871794872	0.235042735042735	0.918803418803419	1	0	0.991452991452991	1	0.841880341880342	1	1	1	0	0.978632478632479	0.995726495726496	0.333333333333333	0.277777777777778	1
Amoebidium	0.991452991452991	1	1		1	0.995726495726496	0	1	0.290598290598291	0	1	0	1	1	0.790598290598291	1	0.735042735042735	1	1	1	0	1	1	0.991452991452991	0	0.995726495726496	1	0.991452991452991	0.192307692307692	0.97008547008547	0.995726495726496	1	0.995726495726496	1	1	0.653846153846154	1	1	1	0	1	1	1	1	1	1	1	1	1	0.141025641025641	1	1	1	1	1	1	1	0.957264957264957	1	1	0.371794871794872	0.235042735042735	0.918803418803419	1	0	0.991452991452991	1	0.841880341880342	1	1	1	0	0.978632478632479	0.995726495726496	0.333333333333333	0.277777777777778	1
Amphimedon_queenslandica	0.991452991452991	1	1	1		0.995726495726496	0	1	0.290598290598291	0	1	0	1	1	0.790598290598291	1	0.735042735042735	1	1	1	0	1	1	0.991452991452991	0	0.995726495726496	1	0.991452991452991	0.192307692307692	0.97008547008547	0.995726495726496	1	0.995726495726496	1	1	0.653846153846154	1	1	1	0	1	1	1	1	1	1	1	1	1	0.141025641025641	1	1	1	1	1	1	1	0.957264957264957	1	1	0.371794871794872	0.235042735042735	0.918803418803419	1	0	0.991452991452991	1	0.841880341880342	1	1	1	0	0.978632478632479	0.995726495726496	0.333333333333333	0.277777777777778	1
Aphrocallistes_vastus	0.991452991452991	0.995726495726496	0.995726495726496	0.995726495726496	0.995726495726496		0	0.995726495726496	0.290598290598291	0	0.995726495726496	0	0.995726495726496	0.995726495726496	0.790598290598291	0.995726495726496	0.735042735042735	0.995726495726496	0.995726495726496	0.995726495726496	0	0.995726495726496	0.995726495726496	0.991452991452991	0	0.995726495726496	0.995726495726496	0.991452991452991	0.192307692307692	0.965811965811966	0.991452991452991	0.995726495726496	0.991452991452991	0.995726495726496	0.995726495726496	0.64957264957265	0.995726495726496	0.995726495726496	0.995726495726496	0	0.995726495726496	0.995726495726496	0.995726495726496	0.995726495726496	0.995726495726496	0.995726495726496	0.995726495726496	0.995726495726496	0.995726495726496	0.141025641025641	0.995726495726496	0.995726495726496	0.995726495726496	0.995726495726496	0.995726495726496	0.995726495726496	0.995726495726496	0.952991452991453	0.995726495726496	0.995726495726496	0.367521367521368	0.235042735042735	0.918803418803419	0.995726495726496	0	0.991452991452991	0.995726495726496	0.837606837606838	0.995726495726496	0.995726495726496	0.995726495726496	0	0.974358974358974	0.991452991452991	0.333333333333333	0.277777777777778	0.995726495726496
Aurelia_aurita	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Beroe_abyssicola	0.991452991452991	1	1	1	1	0.995726495726496	0		0.290598290598291	0	1	0	1	1	0.790598290598291	1	0.735042735042735	1	1	1	0	1	1	0.991452991452991	0	0.995726495726496	1	0.991452991452991	0.192307692307692	0.97008547008547	0.995726495726496	1	0.995726495726496	1	1	0.653846153846154	1	1	1	0	1	1	1	1	1	1	1	1	1	0.141025641025641	1	1	1	1	1	1	1	0.957264957264957	1	1	0.371794871794872	0.235042735042735	0.918803418803419	1	0	0.991452991452991	1	0.841880341880342	1	1	1	0	0.978632478632479	0.995726495726496	0.333333333333333	0.277777777777778	1
Bolocera_tuediae	0.290598290598291	0.290598290598291	0.290598290598291	0.290598290598291	0.290598290598291	0.290598290598291	0	0.290598290598291		0	0.290598290598291	0	0.290598290598291	0.290598290598291	0.290598290598291	0.290598290598291	0.286324786324786	0.290598290598291	0.290598290598291	0.290598290598291	0	0.290598290598291	0.290598290598291	0.290598290598291	0	0.290598290598291	0.290598290598291	0.286324786324786	0.192307692307692	0.269230769230769	0.290598290598291	0.290598290598291	0.286324786324786	0.290598290598291	0.290598290598291	0.290598290598291	0.290598290598291	0.290598290598291	0.290598290598291	0	0.290598290598291	0.290598290598291	0.290598290598291	0.290598290598291	0.290598290598291	0.290598290598291	0.290598290598291	0.290598290598291	0.290598290598291	0.141025641025641	0.290598290598291	0.290598290598291	0.290598290598291	0.290598290598291	0.290598290598291	0.290598290598291	0.290598290598291	0.247863247863248	0.290598290598291	0.290598290598291	0	0.094017094017094	0.213675213675214	0.290598290598291	0	0.290598290598291	0.290598290598291	0.196581196581197	0.290598290598291	0.290598290598291	0.290598290598291	0	0.282051282051282	0.290598290598291	0.273504273504274	0	0.290598290598291
Botryllus_schlosseri	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
