	Acanthoeca_like_sp_10tr	Acropora_cervicornis	Aiptasia_pallida	Amoebidium	Amphimedon_queenslandica	Aphrocallistes_vastus	Aurelia_aurita	Beroe_abyssicola	Bolocera_tuediae	Botryllus_schlosseri	Branchiostoma_floridae	Buddenbrockia_plumatellae	Capitella_teleta	Capsaspora_owczarzaki_atcc30864	Chondrilla_nucula	Ciona_intestinalis	Clytia_hemisphaerica	Corticium_candelabrum	Craspedacusta_sowerbyi	Crassostrea_gigas	Cyanea_capillata	Daphnia_pulex	Ectopleura_larynx	Edwardsiella_lineata	Enteromyxum_leei	Ephydatia_muelleri	Eunicella_cavolinii	Euplectella_aspergillum	Euplokamis_dunlapae	Gorgonia_ventalina	Helobdella_robusta	Homo_sapiens	Hormathia_digitata	Hydra_magnipapillata	Hydractinia_polyclina	Ilyanassa_obsoleta	Ixodes_scapularis	Kudoa_iwatai	Latimeria_menadoensis	Leucetta_chagosensis	Ministeria_vibrans_atcc50519	Mnemiopsis_leidyi	Monosiga_brevicollis_mx1	Monosiga_ovata	Montastraea_faveolata	Myxobolus_cerebralis	Nanomia_bijuga	Nasonia_vitripennis	Nematostella_vectensis	Octopus_vulgaris	Oscarella	Oscarella_carmela	Patiria_miniata	Pediculus_humanus_corporis	Petromyzon_marinus	Petrosia_ficiformis	Pleurobrachia_pileus	Pocillopora_damicornis	Polypodium_hydriforme	Porites_australiensis	Saccoglossus_kowalevskii	Salpingoeca_sp_ATCC50818	Sarcotragus_fasciculatus	Sphaeroforma_arctica_jp610	Sphaeromyxa_zaharoni	Stephanoeca_diplocostata	Stomolophus_meleagris	Strigamia_maritima	Strongylocentrotus_purpuratus	Sycon_ciliatum	Sycon_coactum	Tetracapsuloides_bryosalmonae	Thelohanellus_kitauei	Trichoplax_adhaerens	Tripedalia_cystophora	Urticina_eques	Vallicula_multiformis
Acanthoeca_like_sp_10tr		0.996491228070175	0.996491228070175	0.996491228070175	0.996491228070175	0.996491228070175	0.968421052631579	0.996491228070175	0.343859649122807	0	0.996491228070175	0	0.996491228070175	0.996491228070175	0.912280701754386	0.996491228070175	0.996491228070175	0.996491228070175	0.996491228070175	0.884210526315789	0	0.996491228070175	0.996491228070175	0.347368421052632	0.978947368421053	0.947368421052632	0.996491228070175	0.87719298245614	0	0.996491228070175	0.740350877192982	0.996491228070175	0.291228070175439	0.796491228070175	0.996491228070175	0.456140350877193	0.996491228070175	0.992982456140351	0.996491228070175	0	0.831578947368421	0.589473684210526	0.992982456140351	0	0.996491228070175	0.992982456140351	0.996491228070175	0.996491228070175	0.996491228070175	0.996491228070175	0.996491228070175	0.954385964912281	0.775438596491228	0.996491228070175	0.810526315789474	0.996491228070175	0.992982456140351	0.873684210526316	0.996491228070175	0.996491228070175	0.996491228070175	0.989473684210526	0.76140350877193	0.992982456140351	0.845614035087719	0.863157894736842	0.964912280701754	0.91578947368421	0.996491228070175	0.982456140350877	0.982456140350877	0	0.992982456140351	0.996491228070175	0	0	0.996491228070175
Acropora_cervicornis	0.996491228070175		1	1	1	1	0.971929824561404	1	0.343859649122807	0	1	0	1	1	0.91578947368421	1	1	1	1	0.887719298245614	0	1	1	0.347368421052632	0.982456140350877	0.950877192982456	1	0.880701754385965	0	1	0.740350877192982	1	0.291228070175439	0.8	1	0.459649122807018	1	0.996491228070175	1	0	0.835087719298246	0.589473684210526	0.996491228070175	0	1	0.996491228070175	1	1	1	1	1	0.957894736842105	0.778947368421053	1	0.810526315789474	1	0.996491228070175	0.87719298245614	1	1	1	0.992982456140351	0.76140350877193	0.996491228070175	0.845614035087719	0.866666666666667	0.968421052631579	0.91578947368421	1	0.985964912280702	0.985964912280702	0	0.996491228070175	1	0	0	1
Aiptasia_pallida	0.996491228070175	1		1	1	1	0.971929824561404	1	0.343859649122807	0	1	0	1	1	0.91578947368421	1	1	1	1	0.887719298245614	0	1	1	0.347368421052632	0.982456140350877	0.950877192982456	1	0.880701754385965	0	1	0.740350877192982	1	0.291228070175439	0.8	1	0.459649122807018	1	0.996491228070175	1	0	0.835087719298246	0.589473684210526	0.996491228070175	0	1	0.996491228070175	1	1	1	1	1	0.957894736842105	0.778947368421053	1	0.810526315789474	1	0.996491228070175	0.87719298245614	1	1	1	0.992982456140351	0.76140350877193	0.996491228070175	0.845614035087719	0.866666666666667	0.968421052631579	0.91578947368421	1	0.985964912280702	0.985964912280702	0	0.996491228070175	1	0	0	1
Amoebidium	0.996491228070175	1	1		1	1	0.971929824561404	1	0.343859649122807	0	1	0	1	1	0.91578947368421	1	1	1	1	0.887719298245614	0	1	1	0.347368421052632	0.982456140350877	0.950877192982456	1	0.880701754385965	0	1	0.740350877192982	1	0.291228070175439	0.8	1	0.459649122807018	1	0.996491228070175	1	0	0.835087719298246	0.589473684210526	0.996491228070175	0	1	0.996491228070175	1	1	1	1	1	0.957894736842105	0.778947368421053	1	0.810526315789474	1	0.996491228070175	0.87719298245614	1	1	1	0.992982456140351	0.76140350877193	0.996491228070175	0.845614035087719	0.866666666666667	0.968421052631579	0.91578947368421	1	0.985964912280702	0.985964912280702	0	0.996491228070175	1	0	0	1
Amphimedon_queenslandica	0.996491228070175	1	1	1		1	0.971929824561404	1	0.343859649122807	0	1	0	1	1	0.91578947368421	1	1	1	1	0.887719298245614	0	1	1	0.347368421052632	0.982456140350877	0.950877192982456	1	0.880701754385965	0	1	0.740350877192982	1	0.291228070175439	0.8	1	0.459649122807018	1	0.996491228070175	1	0	0.835087719298246	0.589473684210526	0.996491228070175	0	1	0.996491228070175	1	1	1	1	1	0.957894736842105	0.778947368421053	1	0.810526315789474	1	0.996491228070175	0.87719298245614	1	1	1	0.992982456140351	0.76140350877193	0.996491228070175	0.845614035087719	0.866666666666667	0.968421052631579	0.91578947368421	1	0.985964912280702	0.985964912280702	0	0.996491228070175	1	0	0	1
Aphrocallistes_vastus	0.996491228070175	1	1	1	1		0.971929824561404	1	0.343859649122807	0	1	0	1	1	0.91578947368421	1	1	1	1	0.887719298245614	0	1	1	0.347368421052632	0.982456140350877	0.950877192982456	1	0.880701754385965	0	1	0.740350877192982	1	0.291228070175439	0.8	1	0.459649122807018	1	0.996491228070175	1	0	0.835087719298246	0.589473684210526	0.996491228070175	0	1	0.996491228070175	1	1	1	1	1	0.957894736842105	0.778947368421053	1	0.810526315789474	1	0.996491228070175	0.87719298245614	1	1	1	0.992982456140351	0.76140350877193	0.996491228070175	0.845614035087719	0.866666666666667	0.968421052631579	0.91578947368421	1	0.985964912280702	0.985964912280702	0	0.996491228070175	1	0	0	1
Aurelia_aurita	0.968421052631579	0.971929824561404	0.971929824561404	0.971929824561404	0.971929824561404	0.971929824561404		0.971929824561404	0.343859649122807	0	0.971929824561404	0	0.971929824561404	0.971929824561404	0.912280701754386	0.971929824561404	0.971929824561404	0.971929824561404	0.971929824561404	0.859649122807018	0	0.971929824561404	0.971929824561404	0.347368421052632	0.954385964912281	0.92280701754386	0.971929824561404	0.856140350877193	0	0.971929824561404	0.736842105263158	0.971929824561404	0.291228070175439	0.771929824561403	0.971929824561404	0.431578947368421	0.971929824561404	0.968421052631579	0.971929824561404	0	0.807017543859649	0.589473684210526	0.968421052631579	0	0.971929824561404	0.968421052631579	0.971929824561404	0.971929824561404	0.971929824561404	0.971929824561404	0.971929824561404	0.929824561403509	0.775438596491228	0.971929824561404	0.807017543859649	0.971929824561404	0.968421052631579	0.870175438596491	0.971929824561404	0.971929824561404	0.971929824561404	0.964912280701754	0.757894736842105	0.968421052631579	0.842105263157895	0.863157894736842	0.940350877192982	0.887719298245614	0.971929824561404	0.957894736842105	0.957894736842105	0	0.968421052631579	0.971929824561404	0	0	0.971929824561404
Beroe_abyssicola	0.996491228070175	1	1	1	1	1	0.971929824561404		0.343859649122807	0	1	0	1	1	0.91578947368421	1	1	1	1	0.887719298245614	0	1	1	0.347368421052632	0.982456140350877	0.950877192982456	1	0.880701754385965	0	1	0.740350877192982	1	0.291228070175439	0.8	1	0.459649122807018	1	0.996491228070175	1	0	0.835087719298246	0.589473684210526	0.996491228070175	0	1	0.996491228070175	1	1	1	1	1	0.957894736842105	0.778947368421053	1	0.810526315789474	1	0.996491228070175	0.87719298245614	1	1	1	0.992982456140351	0.76140350877193	0.996491228070175	0.845614035087719	0.866666666666667	0.968421052631579	0.91578947368421	1	0.985964912280702	0.985964912280702	0	0.996491228070175	1	0	0	1
Bolocera_tuediae	0.343859649122807	0.343859649122807	0.343859649122807	0.343859649122807	0.343859649122807	0.343859649122807	0.343859649122807	0.343859649122807		0	0.343859649122807	0	0.343859649122807	0.343859649122807	0.343859649122807	0.343859649122807	0.343859649122807	0.343859649122807	0.343859649122807	0.343859649122807	0	0.343859649122807	0.343859649122807	0.0421052631578947	0.336842105263158	0.343859649122807	0.343859649122807	0.329824561403509	0	0.343859649122807	0.284210526315789	0.343859649122807	0.291228070175439	0.143859649122807	0.343859649122807	0	0.343859649122807	0.343859649122807	0.343859649122807	0	0.182456140350877	0.147368421052632	0.343859649122807	0	0.343859649122807	0.343859649122807	0.343859649122807	0.343859649122807	0.343859649122807	0.343859649122807	0.343859649122807	0.343859649122807	0.343859649122807	0.343859649122807	0.305263157894737	0.343859649122807	0.340350877192982	0.256140350877193	0.343859649122807	0.343859649122807	0.343859649122807	0.336842105263158	0.319298245614035	0.343859649122807	0.343859649122807	0.343859649122807	0.343859649122807	0.343859649122807	0.343859649122807	0.340350877192982	0.340350877192982	0	0.343859649122807	0.343859649122807	0	0	0.343859649122807
Botryllus_schlosseri	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
