	Acanthoeca_like_sp_10tr	Acropora_cervicornis	Aiptasia_pallida	Amoebidium	Amphimedon_queenslandica	Aphrocallistes_vastus	Aurelia_aurita	Beroe_abyssicola	Bolocera_tuediae	Botryllus_schlosseri	Branchiostoma_floridae	Buddenbrockia_plumatellae	Capitella_teleta	Capsaspora_owczarzaki_atcc30864	Chondrilla_nucula	Ciona_intestinalis	Clytia_hemisphaerica	Corticium_candelabrum	Craspedacusta_sowerbyi	Crassostrea_gigas	Cyanea_capillata	Daphnia_pulex	Ectopleura_larynx	Edwardsiella_lineata	Enteromyxum_leei	Ephydatia_muelleri	Eunicella_cavolinii	Euplectella_aspergillum	Euplokamis_dunlapae	Gorgonia_ventalina	Helobdella_robusta	Homo_sapiens	Hormathia_digitata	Hydra_magnipapillata	Hydractinia_polyclina	Ilyanassa_obsoleta	Ixodes_scapularis	Kudoa_iwatai	Latimeria_menadoensis	Leucetta_chagosensis	Ministeria_vibrans_atcc50519	Mnemiopsis_leidyi	Monosiga_brevicollis_mx1	Monosiga_ovata	Montastraea_faveolata	Myxobolus_cerebralis	Nanomia_bijuga	Nasonia_vitripennis	Nematostella_vectensis	Octopus_vulgaris	Oscarella	Oscarella_carmela	Patiria_miniata	Pediculus_humanus_corporis	Petromyzon_marinus	Petrosia_ficiformis	Pleurobrachia_pileus	Pocillopora_damicornis	Polypodium_hydriforme	Porites_australiensis	Saccoglossus_kowalevskii	Salpingoeca_sp_ATCC50818	Sarcotragus_fasciculatus	Sphaeroforma_arctica_jp610	Sphaeromyxa_zaharoni	Stephanoeca_diplocostata	Stomolophus_meleagris	Strigamia_maritima	Strongylocentrotus_purpuratus	Sycon_ciliatum	Sycon_coactum	Tetracapsuloides_bryosalmonae	Thelohanellus_kitauei	Trichoplax_adhaerens	Tripedalia_cystophora	Urticina_eques	Vallicula_multiformis
Acanthoeca_like_sp_10tr		1	1	0.971291866028708	1	1	1	0.995215311004785	1	0.985645933014354	1	0	1	1	1	1	1	1	1	1	0	1	1	1	0	1	0	1	1	0.870813397129187	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.645933014354067	0.851674641148325	1	1	0.980861244019139	1	1	1	0.971291866028708	1	1	0.889952153110048	0	0.995215311004785	1	0.799043062200957	1	0.985645933014354
Acropora_cervicornis	1		1	0.971291866028708	1	1	1	0.995215311004785	1	0.985645933014354	1	0	1	1	1	1	1	1	1	1	0	1	1	1	0	1	0	1	1	0.870813397129187	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.645933014354067	0.851674641148325	1	1	0.980861244019139	1	1	1	0.971291866028708	1	1	0.889952153110048	0	0.995215311004785	1	0.799043062200957	1	0.985645933014354
Aiptasia_pallida	1	1		0.971291866028708	1	1	1	0.995215311004785	1	0.985645933014354	1	0	1	1	1	1	1	1	1	1	0	1	1	1	0	1	0	1	1	0.870813397129187	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.645933014354067	0.851674641148325	1	1	0.980861244019139	1	1	1	0.971291866028708	1	1	0.889952153110048	0	0.995215311004785	1	0.799043062200957	1	0.985645933014354
Amoebidium	0.971291866028708	0.971291866028708	0.971291866028708		0.971291866028708	0.971291866028708	0.971291866028708	0.966507177033493	0.971291866028708	0.956937799043062	0.971291866028708	0	0.971291866028708	0.971291866028708	0.971291866028708	0.971291866028708	0.971291866028708	0.971291866028708	0.971291866028708	0.971291866028708	0	0.971291866028708	0.971291866028708	0.971291866028708	0	0.971291866028708	0	0.971291866028708	0.971291866028708	0.842105263157895	0.971291866028708	0.971291866028708	0.971291866028708	0.971291866028708	0.971291866028708	0.971291866028708	0.971291866028708	0.971291866028708	0.971291866028708	0.971291866028708	0.971291866028708	0.971291866028708	0.971291866028708	0.971291866028708	0.971291866028708	0.971291866028708	0.971291866028708	0.971291866028708	0.971291866028708	0.971291866028708	0.971291866028708	0.971291866028708	0.971291866028708	0.971291866028708	0.971291866028708	0.971291866028708	0.971291866028708	0.971291866028708	0.971291866028708	0.645933014354067	0.851674641148325	0.971291866028708	0.971291866028708	0.952153110047847	0.971291866028708	0.971291866028708	0.971291866028708	0.942583732057416	0.971291866028708	0.971291866028708	0.889952153110048	0	0.966507177033493	0.971291866028708	0.799043062200957	0.971291866028708	0.956937799043062
Amphimedon_queenslandica	1	1	1	0.971291866028708		1	1	0.995215311004785	1	0.985645933014354	1	0	1	1	1	1	1	1	1	1	0	1	1	1	0	1	0	1	1	0.870813397129187	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.645933014354067	0.851674641148325	1	1	0.980861244019139	1	1	1	0.971291866028708	1	1	0.889952153110048	0	0.995215311004785	1	0.799043062200957	1	0.985645933014354
Aphrocallistes_vastus	1	1	1	0.971291866028708	1		1	0.995215311004785	1	0.985645933014354	1	0	1	1	1	1	1	1	1	1	0	1	1	1	0	1	0	1	1	0.870813397129187	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.645933014354067	0.851674641148325	1	1	0.980861244019139	1	1	1	0.971291866028708	1	1	0.889952153110048	0	0.995215311004785	1	0.799043062200957	1	0.985645933014354
Aurelia_aurita	1	1	1	0.971291866028708	1	1		0.995215311004785	1	0.985645933014354	1	0	1	1	1	1	1	1	1	1	0	1	1	1	0	1	0	1	1	0.870813397129187	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.645933014354067	0.851674641148325	1	1	0.980861244019139	1	1	1	0.971291866028708	1	1	0.889952153110048	0	0.995215311004785	1	0.799043062200957	1	0.985645933014354
Beroe_abyssicola	0.995215311004785	0.995215311004785	0.995215311004785	0.966507177033493	0.995215311004785	0.995215311004785	0.995215311004785		0.995215311004785	0.985645933014354	0.995215311004785	0	0.995215311004785	0.995215311004785	0.995215311004785	0.995215311004785	0.995215311004785	0.995215311004785	0.995215311004785	0.995215311004785	0	0.995215311004785	0.995215311004785	0.995215311004785	0	0.995215311004785	0	0.995215311004785	0.995215311004785	0.870813397129187	0.995215311004785	0.995215311004785	0.995215311004785	0.995215311004785	0.995215311004785	0.995215311004785	0.995215311004785	0.995215311004785	0.995215311004785	0.995215311004785	0.995215311004785	0.995215311004785	0.995215311004785	0.995215311004785	0.995215311004785	0.995215311004785	0.995215311004785	0.995215311004785	0.995215311004785	0.995215311004785	0.995215311004785	0.995215311004785	0.995215311004785	0.995215311004785	0.995215311004785	0.995215311004785	0.995215311004785	0.995215311004785	0.995215311004785	0.645933014354067	0.84688995215311	0.995215311004785	0.995215311004785	0.980861244019139	0.995215311004785	0.995215311004785	0.995215311004785	0.971291866028708	0.995215311004785	0.995215311004785	0.885167464114832	0	0.990430622009569	0.995215311004785	0.799043062200957	0.995215311004785	0.985645933014354
Bolocera_tuediae	1	1	1	0.971291866028708	1	1	1	0.995215311004785		0.985645933014354	1	0	1	1	1	1	1	1	1	1	0	1	1	1	0	1	0	1	1	0.870813397129187	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.645933014354067	0.851674641148325	1	1	0.980861244019139	1	1	1	0.971291866028708	1	1	0.889952153110048	0	0.995215311004785	1	0.799043062200957	1	0.985645933014354
Botryllus_schlosseri	0.985645933014354	0.985645933014354	0.985645933014354	0.956937799043062	0.985645933014354	0.985645933014354	0.985645933014354	0.985645933014354	0.985645933014354		0.985645933014354	0	0.985645933014354	0.985645933014354	0.985645933014354	0.985645933014354	0.985645933014354	0.985645933014354	0.985645933014354	0.985645933014354	0	0.985645933014354	0.985645933014354	0.985645933014354	0	0.985645933014354	0	0.985645933014354	0.985645933014354	0.870813397129187	0.985645933014354	0.985645933014354	0.985645933014354	0.985645933014354	0.985645933014354	0.985645933014354	0.985645933014354	0.985645933014354	0.985645933014354	0.985645933014354	0.985645933014354	0.985645933014354	0.985645933014354	0.985645933014354	0.985645933014354	0.985645933014354	0.985645933014354	0.985645933014354	0.985645933014354	0.985645933014354	0.985645933014354	0.985645933014354	0.985645933014354	0.985645933014354	0.985645933014354	0.985645933014354	0.985645933014354	0.985645933014354	0.985645933014354	0.645933014354067	0.837320574162679	0.985645933014354	0.985645933014354	0.980861244019139	0.985645933014354	0.985645933014354	0.985645933014354	0.971291866028708	0.985645933014354	0.985645933014354	0.875598086124402	0	0.980861244019139	0.985645933014354	0.799043062200957	0.985645933014354	0.985645933014354
