	Acanthoeca_like_sp_10tr	Acropora_cervicornis	Aiptasia_pallida	Amoebidium	Amphimedon_queenslandica	Aphrocallistes_vastus	Aurelia_aurita	Beroe_abyssicola	Bolocera_tuediae	Botryllus_schlosseri	Branchiostoma_floridae	Buddenbrockia_plumatellae	Capitella_teleta	Capsaspora_owczarzaki_atcc30864	Chondrilla_nucula	Ciona_intestinalis	Clytia_hemisphaerica	Corticium_candelabrum	Craspedacusta_sowerbyi	Crassostrea_gigas	Cyanea_capillata	Daphnia_pulex	Ectopleura_larynx	Edwardsiella_lineata	Enteromyxum_leei	Ephydatia_muelleri	Eunicella_cavolinii	Euplectella_aspergillum	Euplokamis_dunlapae	Gorgonia_ventalina	Helobdella_robusta	Homo_sapiens	Hormathia_digitata	Hydra_magnipapillata	Hydractinia_polyclina	Ilyanassa_obsoleta	Ixodes_scapularis	Kudoa_iwatai	Latimeria_menadoensis	Leucetta_chagosensis	Ministeria_vibrans_atcc50519	Mnemiopsis_leidyi	Monosiga_brevicollis_mx1	Monosiga_ovata	Montastraea_faveolata	Myxobolus_cerebralis	Nanomia_bijuga	Nasonia_vitripennis	Nematostella_vectensis	Octopus_vulgaris	Oscarella	Oscarella_carmela	Patiria_miniata	Pediculus_humanus_corporis	Petromyzon_marinus	Petrosia_ficiformis	Pleurobrachia_pileus	Pocillopora_damicornis	Polypodium_hydriforme	Porites_australiensis	Saccoglossus_kowalevskii	Salpingoeca_sp_ATCC50818	Sarcotragus_fasciculatus	Sphaeroforma_arctica_jp610	Sphaeromyxa_zaharoni	Stephanoeca_diplocostata	Stomolophus_meleagris	Strigamia_maritima	Strongylocentrotus_purpuratus	Sycon_ciliatum	Sycon_coactum	Tetracapsuloides_bryosalmonae	Thelohanellus_kitauei	Trichoplax_adhaerens	Tripedalia_cystophora	Urticina_eques	Vallicula_multiformis
Acanthoeca_like_sp_10tr		0.993091537132988	1	0.989637305699482	1	0.994818652849741	0.986183074265976	0.994818652849741	0.96545768566494	0.899827288428325	1	0	1	1	1	1	1	1	1	1	0	0.998272884283247	1	1	0.927461139896373	1	0.756476683937824	0.948186528497409	0.994818652849741	1	0.932642487046632	1	1	1	0.998272884283247	0.89119170984456	0.998272884283247	0.989637305699482	1	0.367875647668394	1	0.994818652849741	0.998272884283247	1	1	0.987910189982729	1	0.998272884283247	1	1	1	1	1	0.998272884283247	1	1	0.994818652849741	1	1	1	1	1	0.929188255613126	0.994818652849741	0.984455958549223	0.996545768566494	0.986183074265976	0.996545768566494	1	0.996545768566494	0.996545768566494	0	0.987910189982729	1	1	0.449050086355786	0.998272884283247
Acropora_cervicornis	0.993091537132988		0.993091537132988	0.98272884283247	0.993091537132988	0.987910189982729	0.979274611398964	0.987910189982729	0.958549222797927	0.892918825561313	0.993091537132988	0	0.993091537132988	0.993091537132988	0.993091537132988	0.993091537132988	0.993091537132988	0.993091537132988	0.993091537132988	0.993091537132988	0	0.991364421416235	0.993091537132988	0.993091537132988	0.920552677029361	0.993091537132988	0.749568221070812	0.941278065630397	0.987910189982729	0.993091537132988	0.932642487046632	0.993091537132988	0.993091537132988	0.993091537132988	0.991364421416235	0.884283246977547	0.991364421416235	0.98272884283247	0.993091537132988	0.367875647668394	0.993091537132988	0.987910189982729	0.991364421416235	0.993091537132988	0.993091537132988	0.981001727115717	0.993091537132988	0.991364421416235	0.993091537132988	0.993091537132988	0.993091537132988	0.993091537132988	0.993091537132988	0.991364421416235	0.993091537132988	0.993091537132988	0.987910189982729	0.993091537132988	0.993091537132988	0.993091537132988	0.993091537132988	0.993091537132988	0.922279792746114	0.987910189982729	0.977547495682211	0.989637305699482	0.979274611398964	0.989637305699482	0.993091537132988	0.989637305699482	0.989637305699482	0	0.981001727115717	0.993091537132988	0.993091537132988	0.442141623488774	0.991364421416235
Aiptasia_pallida	1	0.993091537132988		0.989637305699482	1	0.994818652849741	0.986183074265976	0.994818652849741	0.96545768566494	0.899827288428325	1	0	1	1	1	1	1	1	1	1	0	0.998272884283247	1	1	0.927461139896373	1	0.756476683937824	0.948186528497409	0.994818652849741	1	0.932642487046632	1	1	1	0.998272884283247	0.89119170984456	0.998272884283247	0.989637305699482	1	0.367875647668394	1	0.994818652849741	0.998272884283247	1	1	0.987910189982729	1	0.998272884283247	1	1	1	1	1	0.998272884283247	1	1	0.994818652849741	1	1	1	1	1	0.929188255613126	0.994818652849741	0.984455958549223	0.996545768566494	0.986183074265976	0.996545768566494	1	0.996545768566494	0.996545768566494	0	0.987910189982729	1	1	0.449050086355786	0.998272884283247
Amoebidium	0.989637305699482	0.98272884283247	0.989637305699482		0.989637305699482	0.989637305699482	0.975820379965458	0.984455958549223	0.955094991364421	0.889464594127807	0.989637305699482	0	0.989637305699482	0.989637305699482	0.989637305699482	0.989637305699482	0.989637305699482	0.989637305699482	0.989637305699482	0.989637305699482	0	0.987910189982729	0.989637305699482	0.989637305699482	0.917098445595855	0.989637305699482	0.746113989637306	0.94300518134715	0.984455958549223	0.989637305699482	0.922279792746114	0.989637305699482	0.989637305699482	0.989637305699482	0.987910189982729	0.889464594127807	0.987910189982729	0.979274611398964	0.989637305699482	0.357512953367876	0.989637305699482	0.984455958549223	0.989637305699482	0.989637305699482	0.989637305699482	0.977547495682211	0.989637305699482	0.987910189982729	0.989637305699482	0.989637305699482	0.989637305699482	0.989637305699482	0.989637305699482	0.987910189982729	0.989637305699482	0.989637305699482	0.984455958549223	0.989637305699482	0.989637305699482	0.989637305699482	0.989637305699482	0.989637305699482	0.927461139896373	0.987910189982729	0.974093264248705	0.986183074265976	0.975820379965458	0.986183074265976	0.989637305699482	0.986183074265976	0.986183074265976	0	0.977547495682211	0.989637305699482	0.989637305699482	0.440414507772021	0.987910189982729
Amphimedon_queenslandica	1	0.993091537132988	1	0.989637305699482		0.994818652849741	0.986183074265976	0.994818652849741	0.96545768566494	0.899827288428325	1	0	1	1	1	1	1	1	1	1	0	0.998272884283247	1	1	0.927461139896373	1	0.756476683937824	0.948186528497409	0.994818652849741	1	0.932642487046632	1	1	1	0.998272884283247	0.89119170984456	0.998272884283247	0.989637305699482	1	0.367875647668394	1	0.994818652849741	0.998272884283247	1	1	0.987910189982729	1	0.998272884283247	1	1	1	1	1	0.998272884283247	1	1	0.994818652849741	1	1	1	1	1	0.929188255613126	0.994818652849741	0.984455958549223	0.996545768566494	0.986183074265976	0.996545768566494	1	0.996545768566494	0.996545768566494	0	0.987910189982729	1	1	0.449050086355786	0.998272884283247
Aphrocallistes_vastus	0.994818652849741	0.987910189982729	0.994818652849741	0.989637305699482	0.994818652849741		0.981001727115717	0.989637305699482	0.960276338514681	0.894645941278066	0.994818652849741	0	0.994818652849741	0.994818652849741	0.994818652849741	0.994818652849741	0.994818652849741	0.994818652849741	0.994818652849741	0.994818652849741	0	0.993091537132988	0.994818652849741	0.994818652849741	0.922279792746114	0.994818652849741	0.751295336787565	0.948186528497409	0.989637305699482	0.994818652849741	0.927461139896373	0.994818652849741	0.994818652849741	0.994818652849741	0.993091537132988	0.89119170984456	0.993091537132988	0.984455958549223	0.994818652849741	0.362694300518135	0.994818652849741	0.989637305699482	0.993091537132988	0.994818652849741	0.994818652849741	0.98272884283247	0.994818652849741	0.993091537132988	0.994818652849741	0.994818652849741	0.994818652849741	0.994818652849741	0.994818652849741	0.993091537132988	0.994818652849741	0.994818652849741	0.989637305699482	0.994818652849741	0.994818652849741	0.994818652849741	0.994818652849741	0.994818652849741	0.929188255613126	0.991364421416235	0.979274611398964	0.991364421416235	0.981001727115717	0.991364421416235	0.994818652849741	0.991364421416235	0.991364421416235	0	0.98272884283247	0.994818652849741	0.994818652849741	0.443868739205527	0.993091537132988
Aurelia_aurita	0.986183074265976	0.979274611398964	0.986183074265976	0.975820379965458	0.986183074265976	0.981001727115717		0.981001727115717	0.958549222797927	0.886010362694301	0.986183074265976	0	0.986183074265976	0.986183074265976	0.986183074265976	0.986183074265976	0.986183074265976	0.986183074265976	0.986183074265976	0.986183074265976	0	0.984455958549223	0.986183074265976	0.986183074265976	0.915371329879102	0.986183074265976	0.756476683937824	0.934369602763385	0.981001727115717	0.986183074265976	0.918825561312608	0.986183074265976	0.986183074265976	0.986183074265976	0.984455958549223	0.884283246977547	0.984455958549223	0.977547495682211	0.986183074265976	0.360967184801382	0.986183074265976	0.981001727115717	0.984455958549223	0.986183074265976	0.986183074265976	0.974093264248705	0.986183074265976	0.984455958549223	0.986183074265976	0.986183074265976	0.986183074265976	0.986183074265976	0.986183074265976	0.984455958549223	0.986183074265976	0.986183074265976	0.981001727115717	0.986183074265976	0.986183074265976	0.986183074265976	0.986183074265976	0.986183074265976	0.915371329879102	0.981001727115717	0.970639032815199	0.98272884283247	0.986183074265976	0.98272884283247	0.986183074265976	0.98272884283247	0.98272884283247	0	0.974093264248705	0.986183074265976	0.986183074265976	0.442141623488774	0.984455958549223
Beroe_abyssicola	0.994818652849741	0.987910189982729	0.994818652849741	0.984455958549223	0.994818652849741	0.989637305699482	0.981001727115717		0.960276338514681	0.894645941278066	0.994818652849741	0	0.994818652849741	0.994818652849741	0.994818652849741	0.994818652849741	0.994818652849741	0.994818652849741	0.994818652849741	0.994818652849741	0	0.993091537132988	0.994818652849741	0.994818652849741	0.922279792746114	0.994818652849741	0.751295336787565	0.94300518134715	0.994818652849741	0.994818652849741	0.927461139896373	0.994818652849741	0.994818652849741	0.994818652849741	0.993091537132988	0.89119170984456	0.993091537132988	0.984455958549223	0.994818652849741	0.366148531951641	0.994818652849741	0.994818652849741	0.993091537132988	0.994818652849741	0.994818652849741	0.98272884283247	0.994818652849741	0.993091537132988	0.994818652849741	0.994818652849741	0.994818652849741	0.994818652849741	0.994818652849741	0.993091537132988	0.994818652849741	0.994818652849741	0.994818652849741	0.994818652849741	0.994818652849741	0.994818652849741	0.994818652849741	0.994818652849741	0.929188255613126	0.989637305699482	0.979274611398964	0.991364421416235	0.981001727115717	0.991364421416235	0.994818652849741	0.994818652849741	0.994818652849741	0	0.98272884283247	0.994818652849741	0.994818652849741	0.443868739205527	0.994818652849741
Bolocera_tuediae	0.96545768566494	0.958549222797927	0.96545768566494	0.955094991364421	0.96545768566494	0.960276338514681	0.958549222797927	0.960276338514681		0.865284974093264	0.96545768566494	0	0.96545768566494	0.96545768566494	0.96545768566494	0.96545768566494	0.96545768566494	0.96545768566494	0.96545768566494	0.96545768566494	0	0.963730569948187	0.96545768566494	0.96545768566494	0.894645941278066	0.96545768566494	0.728842832469775	0.913644214162349	0.960276338514681	0.96545768566494	0.92573402417962	0.96545768566494	0.96545768566494	0.96545768566494	0.963730569948187	0.856649395509499	0.963730569948187	0.963730569948187	0.96545768566494	0.367875647668394	0.96545768566494	0.960276338514681	0.963730569948187	0.96545768566494	0.96545768566494	0.955094991364421	0.96545768566494	0.963730569948187	0.96545768566494	0.96545768566494	0.96545768566494	0.96545768566494	0.96545768566494	0.963730569948187	0.96545768566494	0.96545768566494	0.960276338514681	0.96545768566494	0.96545768566494	0.96545768566494	0.96545768566494	0.96545768566494	0.894645941278066	0.960276338514681	0.951640759930915	0.962003454231434	0.958549222797927	0.962003454231434	0.96545768566494	0.962003454231434	0.962003454231434	0	0.955094991364421	0.96545768566494	0.96545768566494	0.421416234887737	0.963730569948187
Botryllus_schlosseri	0.899827288428325	0.892918825561313	0.899827288428325	0.889464594127807	0.899827288428325	0.894645941278066	0.886010362694301	0.894645941278066	0.865284974093264		0.899827288428325	0	0.899827288428325	0.899827288428325	0.899827288428325	0.899827288428325	0.899827288428325	0.899827288428325	0.899827288428325	0.899827288428325	0	0.898100172711572	0.899827288428325	0.899827288428325	0.827288428324698	0.899827288428325	0.656303972366149	0.848013816925734	0.894645941278066	0.899827288428325	0.832469775474957	0.899827288428325	0.899827288428325	0.899827288428325	0.898100172711572	0.791018998272884	0.898100172711572	0.889464594127807	0.899827288428325	0.367875647668394	0.899827288428325	0.894645941278066	0.898100172711572	0.899827288428325	0.899827288428325	0.887737478411054	0.899827288428325	0.898100172711572	0.899827288428325	0.899827288428325	0.899827288428325	0.899827288428325	0.899827288428325	0.898100172711572	0.899827288428325	0.899827288428325	0.894645941278066	0.899827288428325	0.899827288428325	0.899827288428325	0.899827288428325	0.899827288428325	0.829015544041451	0.894645941278066	0.886010362694301	0.896373056994819	0.886010362694301	0.896373056994819	0.899827288428325	0.896373056994819	0.896373056994819	0	0.887737478411054	0.899827288428325	0.899827288428325	0.449050086355786	0.898100172711572
