	Acanthoeca_like_sp_10tr	Acropora_cervicornis	Aiptasia_pallida	Amoebidium	Amphimedon_queenslandica	Aphrocallistes_vastus	Aurelia_aurita	Beroe_abyssicola	Bolocera_tuediae	Botryllus_schlosseri	Branchiostoma_floridae	Buddenbrockia_plumatellae	Capitella_teleta	Capsaspora_owczarzaki_atcc30864	Chondrilla_nucula	Ciona_intestinalis	Clytia_hemisphaerica	Corticium_candelabrum	Craspedacusta_sowerbyi	Crassostrea_gigas	Cyanea_capillata	Daphnia_pulex	Ectopleura_larynx	Edwardsiella_lineata	Enteromyxum_leei	Ephydatia_muelleri	Eunicella_cavolinii	Euplectella_aspergillum	Euplokamis_dunlapae	Gorgonia_ventalina	Helobdella_robusta	Homo_sapiens	Hormathia_digitata	Hydra_magnipapillata	Hydractinia_polyclina	Ilyanassa_obsoleta	Ixodes_scapularis	Kudoa_iwatai	Latimeria_menadoensis	Leucetta_chagosensis	Ministeria_vibrans_atcc50519	Mnemiopsis_leidyi	Monosiga_brevicollis_mx1	Monosiga_ovata	Montastraea_faveolata	Myxobolus_cerebralis	Nanomia_bijuga	Nasonia_vitripennis	Nematostella_vectensis	Octopus_vulgaris	Oscarella	Oscarella_carmela	Patiria_miniata	Pediculus_humanus_corporis	Petromyzon_marinus	Petrosia_ficiformis	Pleurobrachia_pileus	Pocillopora_damicornis	Polypodium_hydriforme	Porites_australiensis	Saccoglossus_kowalevskii	Salpingoeca_sp_ATCC50818	Sarcotragus_fasciculatus	Sphaeroforma_arctica_jp610	Sphaeromyxa_zaharoni	Stephanoeca_diplocostata	Stomolophus_meleagris	Strigamia_maritima	Strongylocentrotus_purpuratus	Sycon_ciliatum	Sycon_coactum	Tetracapsuloides_bryosalmonae	Thelohanellus_kitauei	Trichoplax_adhaerens	Tripedalia_cystophora	Urticina_eques	Vallicula_multiformis
Acanthoeca_like_sp_10tr		1	1	1	0.993421052631579	0.973684210526316	1	1	1	1	1	0	1	1	0.980263157894737	1	0.835526315789474	1	1	1	0	1	1	1	0.914473684210526	0.993421052631579	1	0.967105263157895	1	1	1	1	1	1	1	1	1	0.993421052631579	1	1	1	1	1	1	1	0.973684210526316	1	1	1	1	1	1	1	1	1	0.993421052631579	1	1	1	0	1	1	1	1	0	1	1	0.953947368421053	0.993421052631579	1	1	0	0.927631578947368	1	0.414473684210526	0	1
Acropora_cervicornis	1		1	1	0.993421052631579	0.973684210526316	1	1	1	1	1	0	1	1	0.980263157894737	1	0.835526315789474	1	1	1	0	1	1	1	0.914473684210526	0.993421052631579	1	0.967105263157895	1	1	1	1	1	1	1	1	1	0.993421052631579	1	1	1	1	1	1	1	0.973684210526316	1	1	1	1	1	1	1	1	1	0.993421052631579	1	1	1	0	1	1	1	1	0	1	1	0.953947368421053	0.993421052631579	1	1	0	0.927631578947368	1	0.414473684210526	0	1
Aiptasia_pallida	1	1		1	0.993421052631579	0.973684210526316	1	1	1	1	1	0	1	1	0.980263157894737	1	0.835526315789474	1	1	1	0	1	1	1	0.914473684210526	0.993421052631579	1	0.967105263157895	1	1	1	1	1	1	1	1	1	0.993421052631579	1	1	1	1	1	1	1	0.973684210526316	1	1	1	1	1	1	1	1	1	0.993421052631579	1	1	1	0	1	1	1	1	0	1	1	0.953947368421053	0.993421052631579	1	1	0	0.927631578947368	1	0.414473684210526	0	1
Amoebidium	1	1	1		0.993421052631579	0.973684210526316	1	1	1	1	1	0	1	1	0.980263157894737	1	0.835526315789474	1	1	1	0	1	1	1	0.914473684210526	0.993421052631579	1	0.967105263157895	1	1	1	1	1	1	1	1	1	0.993421052631579	1	1	1	1	1	1	1	0.973684210526316	1	1	1	1	1	1	1	1	1	0.993421052631579	1	1	1	0	1	1	1	1	0	1	1	0.953947368421053	0.993421052631579	1	1	0	0.927631578947368	1	0.414473684210526	0	1
Amphimedon_queenslandica	0.993421052631579	0.993421052631579	0.993421052631579	0.993421052631579		0.967105263157895	0.993421052631579	0.993421052631579	0.993421052631579	0.993421052631579	0.993421052631579	0	0.993421052631579	0.993421052631579	0.973684210526316	0.993421052631579	0.828947368421053	0.993421052631579	0.993421052631579	0.993421052631579	0	0.993421052631579	0.993421052631579	0.993421052631579	0.907894736842105	0.986842105263158	0.993421052631579	0.960526315789474	0.993421052631579	0.993421052631579	0.993421052631579	0.993421052631579	0.993421052631579	0.993421052631579	0.993421052631579	0.993421052631579	0.993421052631579	0.986842105263158	0.993421052631579	0.993421052631579	0.993421052631579	0.993421052631579	0.993421052631579	0.993421052631579	0.993421052631579	0.967105263157895	0.993421052631579	0.993421052631579	0.993421052631579	0.993421052631579	0.993421052631579	0.993421052631579	0.993421052631579	0.993421052631579	0.993421052631579	0.993421052631579	0.993421052631579	0.993421052631579	0.993421052631579	0	0.993421052631579	0.993421052631579	0.993421052631579	0.993421052631579	0	0.993421052631579	0.993421052631579	0.947368421052632	0.986842105263158	0.993421052631579	0.993421052631579	0	0.927631578947368	0.993421052631579	0.407894736842105	0	0.993421052631579
Aphrocallistes_vastus	0.973684210526316	0.973684210526316	0.973684210526316	0.973684210526316	0.967105263157895		0.973684210526316	0.973684210526316	0.973684210526316	0.973684210526316	0.973684210526316	0	0.973684210526316	0.973684210526316	0.953947368421053	0.973684210526316	0.809210526315789	0.973684210526316	0.973684210526316	0.973684210526316	0	0.973684210526316	0.973684210526316	0.973684210526316	0.888157894736842	0.973684210526316	0.973684210526316	0.967105263157895	0.973684210526316	0.973684210526316	0.973684210526316	0.973684210526316	0.973684210526316	0.973684210526316	0.973684210526316	0.973684210526316	0.973684210526316	0.967105263157895	0.973684210526316	0.973684210526316	0.973684210526316	0.973684210526316	0.973684210526316	0.973684210526316	0.973684210526316	0.947368421052632	0.973684210526316	0.973684210526316	0.973684210526316	0.973684210526316	0.973684210526316	0.973684210526316	0.973684210526316	0.973684210526316	0.973684210526316	0.967105263157895	0.973684210526316	0.973684210526316	0.973684210526316	0	0.973684210526316	0.973684210526316	0.973684210526316	0.973684210526316	0	0.973684210526316	0.973684210526316	0.927631578947368	0.967105263157895	0.973684210526316	0.973684210526316	0	0.901315789473684	0.973684210526316	0.388157894736842	0	0.973684210526316
Aurelia_aurita	1	1	1	1	0.993421052631579	0.973684210526316		1	1	1	1	0	1	1	0.980263157894737	1	0.835526315789474	1	1	1	0	1	1	1	0.914473684210526	0.993421052631579	1	0.967105263157895	1	1	1	1	1	1	1	1	1	0.993421052631579	1	1	1	1	1	1	1	0.973684210526316	1	1	1	1	1	1	1	1	1	0.993421052631579	1	1	1	0	1	1	1	1	0	1	1	0.953947368421053	0.993421052631579	1	1	0	0.927631578947368	1	0.414473684210526	0	1
Beroe_abyssicola	1	1	1	1	0.993421052631579	0.973684210526316	1		1	1	1	0	1	1	0.980263157894737	1	0.835526315789474	1	1	1	0	1	1	1	0.914473684210526	0.993421052631579	1	0.967105263157895	1	1	1	1	1	1	1	1	1	0.993421052631579	1	1	1	1	1	1	1	0.973684210526316	1	1	1	1	1	1	1	1	1	0.993421052631579	1	1	1	0	1	1	1	1	0	1	1	0.953947368421053	0.993421052631579	1	1	0	0.927631578947368	1	0.414473684210526	0	1
Bolocera_tuediae	1	1	1	1	0.993421052631579	0.973684210526316	1	1		1	1	0	1	1	0.980263157894737	1	0.835526315789474	1	1	1	0	1	1	1	0.914473684210526	0.993421052631579	1	0.967105263157895	1	1	1	1	1	1	1	1	1	0.993421052631579	1	1	1	1	1	1	1	0.973684210526316	1	1	1	1	1	1	1	1	1	0.993421052631579	1	1	1	0	1	1	1	1	0	1	1	0.953947368421053	0.993421052631579	1	1	0	0.927631578947368	1	0.414473684210526	0	1
Botryllus_schlosseri	1	1	1	1	0.993421052631579	0.973684210526316	1	1	1		1	0	1	1	0.980263157894737	1	0.835526315789474	1	1	1	0	1	1	1	0.914473684210526	0.993421052631579	1	0.967105263157895	1	1	1	1	1	1	1	1	1	0.993421052631579	1	1	1	1	1	1	1	0.973684210526316	1	1	1	1	1	1	1	1	1	0.993421052631579	1	1	1	0	1	1	1	1	0	1	1	0.953947368421053	0.993421052631579	1	1	0	0.927631578947368	1	0.414473684210526	0	1
