	Acanthoeca_like_sp_10tr	Acropora_cervicornis	Aiptasia_pallida	Amoebidium	Amphimedon_queenslandica	Aphrocallistes_vastus	Aurelia_aurita	Beroe_abyssicola	Bolocera_tuediae	Botryllus_schlosseri	Branchiostoma_floridae	Buddenbrockia_plumatellae	Capitella_teleta	Capsaspora_owczarzaki_atcc30864	Chondrilla_nucula	Ciona_intestinalis	Clytia_hemisphaerica	Corticium_candelabrum	Craspedacusta_sowerbyi	Crassostrea_gigas	Cyanea_capillata	Daphnia_pulex	Ectopleura_larynx	Edwardsiella_lineata	Enteromyxum_leei	Ephydatia_muelleri	Eunicella_cavolinii	Euplectella_aspergillum	Euplokamis_dunlapae	Gorgonia_ventalina	Helobdella_robusta	Homo_sapiens	Hormathia_digitata	Hydra_magnipapillata	Hydractinia_polyclina	Ilyanassa_obsoleta	Ixodes_scapularis	Kudoa_iwatai	Latimeria_menadoensis	Leucetta_chagosensis	Ministeria_vibrans_atcc50519	Mnemiopsis_leidyi	Monosiga_brevicollis_mx1	Monosiga_ovata	Montastraea_faveolata	Myxobolus_cerebralis	Nanomia_bijuga	Nasonia_vitripennis	Nematostella_vectensis	Octopus_vulgaris	Oscarella	Oscarella_carmela	Patiria_miniata	Pediculus_humanus_corporis	Petromyzon_marinus	Petrosia_ficiformis	Pleurobrachia_pileus	Pocillopora_damicornis	Polypodium_hydriforme	Porites_australiensis	Saccoglossus_kowalevskii	Salpingoeca_sp_ATCC50818	Sarcotragus_fasciculatus	Sphaeroforma_arctica_jp610	Sphaeromyxa_zaharoni	Stephanoeca_diplocostata	Stomolophus_meleagris	Strigamia_maritima	Strongylocentrotus_purpuratus	Sycon_ciliatum	Sycon_coactum	Tetracapsuloides_bryosalmonae	Thelohanellus_kitauei	Trichoplax_adhaerens	Tripedalia_cystophora	Urticina_eques	Vallicula_multiformis
Acanthoeca_like_sp_10tr		0.993227990970655	0.993227990970655	0.993227990970655	0.993227990970655	0.99097065462754	0.993227990970655	0.993227990970655	0.981941309255079	0.986455981941309	0.993227990970655	0	0.993227990970655	0.993227990970655	0.738148984198646	0.986455981941309	0.993227990970655	0.993227990970655	0.993227990970655	0.993227990970655	0	0.986455981941309	0.993227990970655	0.993227990970655	0.81941309255079	0.993227990970655	0.930022573363431	0.988713318284424	0.993227990970655	0.993227990970655	0.489841986455982	0.993227990970655	0.993227990970655	0.993227990970655	0.993227990970655	0.993227990970655	0.993227990970655	0.993227990970655	0.993227990970655	0	0.993227990970655	0.993227990970655	0.99097065462754	0.534988713318284	0.993227990970655	0.993227990970655	0.993227990970655	0.993227990970655	0.993227990970655	0.993227990970655	0.984198645598194	0.970654627539503	0.993227990970655	0.993227990970655	0.993227990970655	0.993227990970655	0.948081264108352	0.99097065462754	0.993227990970655	0.993227990970655	0.993227990970655	0.99097065462754	0.699774266365689	0.993227990970655	0.878103837471783	0.99097065462754	0.993227990970655	0.81489841986456	0.993227990970655	0.993227990970655	0.993227990970655	0	0.918735891647856	0.993227990970655	0.659142212189616	0.239277652370203	0.993227990970655
Acropora_cervicornis	0.993227990970655		1	1	1	0.99548532731377	1	1	0.988713318284424	0.993227990970655	1	0	1	1	0.744920993227991	0.993227990970655	1	1	1	1	0	0.99097065462754	1	1	0.826185101580135	1	0.936794582392777	0.993227990970655	1	1	0.489841986455982	1	1	1	1	1	1	1	1	0	1	1	0.99548532731377	0.54176072234763	1	1	1	1	1	1	0.99097065462754	0.977426636568849	1	1	1	1	0.954853273137698	0.997742663656885	1	1	1	0.99548532731377	0.706546275395034	1	0.884875846501129	0.99097065462754	1	0.821670428893905	1	1	1	0	0.925507900677201	1	0.659142212189616	0.239277652370203	1
Aiptasia_pallida	0.993227990970655	1		1	1	0.99548532731377	1	1	0.988713318284424	0.993227990970655	1	0	1	1	0.744920993227991	0.993227990970655	1	1	1	1	0	0.99097065462754	1	1	0.826185101580135	1	0.936794582392777	0.993227990970655	1	1	0.489841986455982	1	1	1	1	1	1	1	1	0	1	1	0.99548532731377	0.54176072234763	1	1	1	1	1	1	0.99097065462754	0.977426636568849	1	1	1	1	0.954853273137698	0.997742663656885	1	1	1	0.99548532731377	0.706546275395034	1	0.884875846501129	0.99097065462754	1	0.821670428893905	1	1	1	0	0.925507900677201	1	0.659142212189616	0.239277652370203	1
Amoebidium	0.993227990970655	1	1		1	0.99548532731377	1	1	0.988713318284424	0.993227990970655	1	0	1	1	0.744920993227991	0.993227990970655	1	1	1	1	0	0.99097065462754	1	1	0.826185101580135	1	0.936794582392777	0.993227990970655	1	1	0.489841986455982	1	1	1	1	1	1	1	1	0	1	1	0.99548532731377	0.54176072234763	1	1	1	1	1	1	0.99097065462754	0.977426636568849	1	1	1	1	0.954853273137698	0.997742663656885	1	1	1	0.99548532731377	0.706546275395034	1	0.884875846501129	0.99097065462754	1	0.821670428893905	1	1	1	0	0.925507900677201	1	0.659142212189616	0.239277652370203	1
Amphimedon_queenslandica	0.993227990970655	1	1	1		0.99548532731377	1	1	0.988713318284424	0.993227990970655	1	0	1	1	0.744920993227991	0.993227990970655	1	1	1	1	0	0.99097065462754	1	1	0.826185101580135	1	0.936794582392777	0.993227990970655	1	1	0.489841986455982	1	1	1	1	1	1	1	1	0	1	1	0.99548532731377	0.54176072234763	1	1	1	1	1	1	0.99097065462754	0.977426636568849	1	1	1	1	0.954853273137698	0.997742663656885	1	1	1	0.99548532731377	0.706546275395034	1	0.884875846501129	0.99097065462754	1	0.821670428893905	1	1	1	0	0.925507900677201	1	0.659142212189616	0.239277652370203	1
Aphrocallistes_vastus	0.99097065462754	0.99548532731377	0.99548532731377	0.99548532731377	0.99548532731377		0.99548532731377	0.99548532731377	0.984198645598194	0.988713318284424	0.99548532731377	0	0.99548532731377	0.99548532731377	0.740406320541761	0.988713318284424	0.99548532731377	0.99548532731377	0.99548532731377	0.99548532731377	0	0.988713318284424	0.99548532731377	0.99548532731377	0.821670428893905	0.99548532731377	0.932279909706546	0.993227990970655	0.99548532731377	0.99548532731377	0.489841986455982	0.99548532731377	0.99548532731377	0.99548532731377	0.99548532731377	0.99548532731377	0.99548532731377	0.99548532731377	0.99548532731377	0	0.99548532731377	0.99548532731377	0.99097065462754	0.539503386004515	0.99548532731377	0.99548532731377	0.99548532731377	0.99548532731377	0.99548532731377	0.99548532731377	0.986455981941309	0.972911963882618	0.99548532731377	0.99548532731377	0.99548532731377	0.99548532731377	0.950338600451467	0.993227990970655	0.99548532731377	0.99548532731377	0.99548532731377	0.99097065462754	0.704288939051919	0.99548532731377	0.880361173814898	0.988713318284424	0.99548532731377	0.817155756207675	0.99548532731377	0.99548532731377	0.99548532731377	0	0.920993227990971	0.99548532731377	0.656884875846501	0.239277652370203	0.99548532731377
Aurelia_aurita	0.993227990970655	1	1	1	1	0.99548532731377		1	0.988713318284424	0.993227990970655	1	0	1	1	0.744920993227991	0.993227990970655	1	1	1	1	0	0.99097065462754	1	1	0.826185101580135	1	0.936794582392777	0.993227990970655	1	1	0.489841986455982	1	1	1	1	1	1	1	1	0	1	1	0.99548532731377	0.54176072234763	1	1	1	1	1	1	0.99097065462754	0.977426636568849	1	1	1	1	0.954853273137698	0.997742663656885	1	1	1	0.99548532731377	0.706546275395034	1	0.884875846501129	0.99097065462754	1	0.821670428893905	1	1	1	0	0.925507900677201	1	0.659142212189616	0.239277652370203	1
Beroe_abyssicola	0.993227990970655	1	1	1	1	0.99548532731377	1		0.988713318284424	0.993227990970655	1	0	1	1	0.744920993227991	0.993227990970655	1	1	1	1	0	0.99097065462754	1	1	0.826185101580135	1	0.936794582392777	0.993227990970655	1	1	0.489841986455982	1	1	1	1	1	1	1	1	0	1	1	0.99548532731377	0.54176072234763	1	1	1	1	1	1	0.99097065462754	0.977426636568849	1	1	1	1	0.954853273137698	0.997742663656885	1	1	1	0.99548532731377	0.706546275395034	1	0.884875846501129	0.99097065462754	1	0.821670428893905	1	1	1	0	0.925507900677201	1	0.659142212189616	0.239277652370203	1
Bolocera_tuediae	0.981941309255079	0.988713318284424	0.988713318284424	0.988713318284424	0.988713318284424	0.984198645598194	0.988713318284424	0.988713318284424		0.981941309255079	0.988713318284424	0	0.988713318284424	0.988713318284424	0.733634311512415	0.981941309255079	0.988713318284424	0.988713318284424	0.988713318284424	0.988713318284424	0	0.979683972911964	0.988713318284424	0.988713318284424	0.81489841986456	0.988713318284424	0.925507900677201	0.981941309255079	0.988713318284424	0.988713318284424	0.489841986455982	0.988713318284424	0.988713318284424	0.988713318284424	0.988713318284424	0.988713318284424	0.988713318284424	0.988713318284424	0.988713318284424	0	0.988713318284424	0.988713318284424	0.984198645598194	0.530474040632054	0.988713318284424	0.988713318284424	0.988713318284424	0.988713318284424	0.988713318284424	0.988713318284424	0.979683972911964	0.966139954853273	0.988713318284424	0.988713318284424	0.988713318284424	0.988713318284424	0.943566591422122	0.986455981941309	0.988713318284424	0.988713318284424	0.988713318284424	0.984198645598194	0.695259593679458	0.988713318284424	0.873589164785553	0.979683972911964	0.988713318284424	0.821670428893905	0.988713318284424	0.988713318284424	0.988713318284424	0	0.914221218961625	0.988713318284424	0.659142212189616	0.239277652370203	0.988713318284424
Botryllus_schlosseri	0.986455981941309	0.993227990970655	0.993227990970655	0.993227990970655	0.993227990970655	0.988713318284424	0.993227990970655	0.993227990970655	0.981941309255079		0.993227990970655	0	0.993227990970655	0.993227990970655	0.738148984198646	0.993227990970655	0.993227990970655	0.993227990970655	0.993227990970655	0.993227990970655	0	0.984198645598194	0.993227990970655	0.993227990970655	0.81941309255079	0.993227990970655	0.930022573363431	0.986455981941309	0.993227990970655	0.993227990970655	0.489841986455982	0.993227990970655	0.993227990970655	0.993227990970655	0.993227990970655	0.993227990970655	0.993227990970655	0.993227990970655	0.993227990970655	0	0.993227990970655	0.993227990970655	0.99097065462754	0.5372460496614	0.993227990970655	0.993227990970655	0.993227990970655	0.993227990970655	0.993227990970655	0.993227990970655	0.984198645598194	0.970654627539503	0.993227990970655	0.993227990970655	0.993227990970655	0.993227990970655	0.948081264108352	0.99097065462754	0.993227990970655	0.993227990970655	0.993227990970655	0.99097065462754	0.699774266365689	0.993227990970655	0.878103837471783	0.984198645598194	0.993227990970655	0.81489841986456	0.993227990970655	0.993227990970655	0.993227990970655	0	0.918735891647856	0.993227990970655	0.659142212189616	0.239277652370203	0.993227990970655
