	Acanthoeca_like_sp_10tr	Acropora_cervicornis	Aiptasia_pallida	Amoebidium	Amphimedon_queenslandica	Aphrocallistes_vastus	Aurelia_aurita	Beroe_abyssicola	Bolocera_tuediae	Botryllus_schlosseri	Branchiostoma_floridae	Buddenbrockia_plumatellae	Capitella_teleta	Capsaspora_owczarzaki_atcc30864	Chondrilla_nucula	Ciona_intestinalis	Clytia_hemisphaerica	Corticium_candelabrum	Craspedacusta_sowerbyi	Crassostrea_gigas	Cyanea_capillata	Daphnia_pulex	Ectopleura_larynx	Edwardsiella_lineata	Enteromyxum_leei	Ephydatia_muelleri	Eunicella_cavolinii	Euplectella_aspergillum	Euplokamis_dunlapae	Gorgonia_ventalina	Helobdella_robusta	Homo_sapiens	Hormathia_digitata	Hydra_magnipapillata	Hydractinia_polyclina	Ilyanassa_obsoleta	Ixodes_scapularis	Kudoa_iwatai	Latimeria_menadoensis	Leucetta_chagosensis	Ministeria_vibrans_atcc50519	Mnemiopsis_leidyi	Monosiga_brevicollis_mx1	Monosiga_ovata	Montastraea_faveolata	Myxobolus_cerebralis	Nanomia_bijuga	Nasonia_vitripennis	Nematostella_vectensis	Octopus_vulgaris	Oscarella	Oscarella_carmela	Patiria_miniata	Pediculus_humanus_corporis	Petromyzon_marinus	Petrosia_ficiformis	Pleurobrachia_pileus	Pocillopora_damicornis	Polypodium_hydriforme	Porites_australiensis	Saccoglossus_kowalevskii	Salpingoeca_sp_ATCC50818	Sarcotragus_fasciculatus	Sphaeroforma_arctica_jp610	Sphaeromyxa_zaharoni	Stephanoeca_diplocostata	Stomolophus_meleagris	Strigamia_maritima	Strongylocentrotus_purpuratus	Sycon_ciliatum	Sycon_coactum	Tetracapsuloides_bryosalmonae	Thelohanellus_kitauei	Trichoplax_adhaerens	Tripedalia_cystophora	Urticina_eques	Vallicula_multiformis
Acanthoeca_like_sp_10tr		1	0.0664136622390892	1	1	0.996204933586338	0.925996204933586	1	1	0	1	0	1	1	0.937381404174573	1	0.920303605313093	0.98292220113852	1	1	0	1	1	1	0.442125237191651	0.998102466793169	1	0.903225806451613	0.368121442125237	1	1	1	0.937381404174573	1	1	0.882352941176471	1	1	1	0	0.886148007590133	1	1	0.449715370018975	1	1	1	1	0.952561669829222	1	1	0.996204933586338	0.929791271347249	1	1	1	1	0.924098671726755	1	1	1	1	0.956356736242884	1	1	0.996204933586338	1	0.791271347248577	1	0.998102466793169	0.998102466793169	0	0.994307400379507	1	0.907020872865275	0.552182163187856	1
Acropora_cervicornis	1		0.0664136622390892	1	1	0.996204933586338	0.925996204933586	1	1	0	1	0	1	1	0.937381404174573	1	0.920303605313093	0.98292220113852	1	1	0	1	1	1	0.442125237191651	0.998102466793169	1	0.903225806451613	0.368121442125237	1	1	1	0.937381404174573	1	1	0.882352941176471	1	1	1	0	0.886148007590133	1	1	0.449715370018975	1	1	1	1	0.952561669829222	1	1	0.996204933586338	0.929791271347249	1	1	1	1	0.924098671726755	1	1	1	1	0.956356736242884	1	1	0.996204933586338	1	0.791271347248577	1	0.998102466793169	0.998102466793169	0	0.994307400379507	1	0.907020872865275	0.552182163187856	1
Aiptasia_pallida	0.0664136622390892	0.0664136622390892		0.0664136622390892	0.0664136622390892	0.0664136622390892	0.0664136622390892	0.0664136622390892	0.0664136622390892	0	0.0664136622390892	0	0.0664136622390892	0.0664136622390892	0.0664136622390892	0.0664136622390892	0.0664136622390892	0.0664136622390892	0.0664136622390892	0.0664136622390892	0	0.0664136622390892	0.0664136622390892	0.0664136622390892	0	0.0664136622390892	0.0664136622390892	0.0208728652751423	0	0.0664136622390892	0.0664136622390892	0.0664136622390892	0.0664136622390892	0.0664136622390892	0.0664136622390892	0.0664136622390892	0.0664136622390892	0.0664136622390892	0.0664136622390892	0	0.0664136622390892	0.0664136622390892	0.0664136622390892	0	0.0664136622390892	0.0664136622390892	0.0664136622390892	0.0664136622390892	0.0664136622390892	0.0664136622390892	0.0664136622390892	0.0664136622390892	0.0664136622390892	0.0664136622390892	0.0664136622390892	0.0664136622390892	0.0664136622390892	0.0664136622390892	0.0664136622390892	0.0664136622390892	0.0664136622390892	0.0664136622390892	0.0664136622390892	0.0664136622390892	0.0664136622390892	0.0664136622390892	0.0664136622390892	0.0664136622390892	0.0664136622390892	0.0664136622390892	0.0664136622390892	0	0.0664136622390892	0.0664136622390892	0.0664136622390892	0	0.0664136622390892
Amoebidium	1	1	0.0664136622390892		1	0.996204933586338	0.925996204933586	1	1	0	1	0	1	1	0.937381404174573	1	0.920303605313093	0.98292220113852	1	1	0	1	1	1	0.442125237191651	0.998102466793169	1	0.903225806451613	0.368121442125237	1	1	1	0.937381404174573	1	1	0.882352941176471	1	1	1	0	0.886148007590133	1	1	0.449715370018975	1	1	1	1	0.952561669829222	1	1	0.996204933586338	0.929791271347249	1	1	1	1	0.924098671726755	1	1	1	1	0.956356736242884	1	1	0.996204933586338	1	0.791271347248577	1	0.998102466793169	0.998102466793169	0	0.994307400379507	1	0.907020872865275	0.552182163187856	1
Amphimedon_queenslandica	1	1	0.0664136622390892	1		0.996204933586338	0.925996204933586	1	1	0	1	0	1	1	0.937381404174573	1	0.920303605313093	0.98292220113852	1	1	0	1	1	1	0.442125237191651	0.998102466793169	1	0.903225806451613	0.368121442125237	1	1	1	0.937381404174573	1	1	0.882352941176471	1	1	1	0	0.886148007590133	1	1	0.449715370018975	1	1	1	1	0.952561669829222	1	1	0.996204933586338	0.929791271347249	1	1	1	1	0.924098671726755	1	1	1	1	0.956356736242884	1	1	0.996204933586338	1	0.791271347248577	1	0.998102466793169	0.998102466793169	0	0.994307400379507	1	0.907020872865275	0.552182163187856	1
Aphrocallistes_vastus	0.996204933586338	0.996204933586338	0.0664136622390892	0.996204933586338	0.996204933586338		0.924098671726755	0.996204933586338	0.996204933586338	0	0.996204933586338	0	0.996204933586338	0.996204933586338	0.935483870967742	0.996204933586338	0.916508538899431	0.979127134724858	0.996204933586338	0.996204933586338	0	0.996204933586338	0.996204933586338	0.996204933586338	0.438330170777989	0.996204933586338	0.996204933586338	0.901328273244782	0.364326375711575	0.996204933586338	0.996204933586338	0.996204933586338	0.933586337760911	0.996204933586338	0.996204933586338	0.878557874762808	0.996204933586338	0.996204933586338	0.996204933586338	0	0.884250474383302	0.996204933586338	0.996204933586338	0.445920303605313	0.996204933586338	0.996204933586338	0.996204933586338	0.996204933586338	0.94876660341556	0.996204933586338	0.996204933586338	0.992409867172676	0.925996204933586	0.996204933586338	0.996204933586338	0.996204933586338	0.996204933586338	0.920303605313093	0.996204933586338	0.996204933586338	0.996204933586338	0.996204933586338	0.954459203036053	0.996204933586338	0.996204933586338	0.992409867172676	0.996204933586338	0.787476280834915	0.996204933586338	0.996204933586338	0.996204933586338	0	0.990512333965844	0.996204933586338	0.905123339658444	0.550284629981025	0.996204933586338
Aurelia_aurita	0.925996204933586	0.925996204933586	0.0664136622390892	0.925996204933586	0.925996204933586	0.924098671726755		0.925996204933586	0.925996204933586	0	0.925996204933586	0	0.925996204933586	0.925996204933586	0.863377609108159	0.925996204933586	0.846299810246679	0.910815939278937	0.925996204933586	0.925996204933586	0	0.925996204933586	0.925996204933586	0.925996204933586	0.373814041745731	0.924098671726755	0.925996204933586	0.83111954459203	0.301707779886148	0.925996204933586	0.925996204933586	0.925996204933586	0.867172675521822	0.925996204933586	0.925996204933586	0.808349146110057	0.925996204933586	0.925996204933586	0.925996204933586	0	0.812144212523719	0.925996204933586	0.925996204933586	0.396584440227704	0.925996204933586	0.925996204933586	0.925996204933586	0.925996204933586	0.878557874762808	0.925996204933586	0.925996204933586	0.924098671726755	0.893738140417457	0.925996204933586	0.925996204933586	0.925996204933586	0.925996204933586	0.859582542694497	0.925996204933586	0.925996204933586	0.925996204933586	0.925996204933586	0.882352941176471	0.925996204933586	0.925996204933586	0.925996204933586	0.925996204933586	0.753320683111954	0.925996204933586	0.924098671726755	0.924098671726755	0	0.920303605313093	0.925996204933586	0.869070208728653	0.478178368121442	0.925996204933586
Beroe_abyssicola	1	1	0.0664136622390892	1	1	0.996204933586338	0.925996204933586		1	0	1	0	1	1	0.937381404174573	1	0.920303605313093	0.98292220113852	1	1	0	1	1	1	0.442125237191651	0.998102466793169	1	0.903225806451613	0.368121442125237	1	1	1	0.937381404174573	1	1	0.882352941176471	1	1	1	0	0.886148007590133	1	1	0.449715370018975	1	1	1	1	0.952561669829222	1	1	0.996204933586338	0.929791271347249	1	1	1	1	0.924098671726755	1	1	1	1	0.956356736242884	1	1	0.996204933586338	1	0.791271347248577	1	0.998102466793169	0.998102466793169	0	0.994307400379507	1	0.907020872865275	0.552182163187856	1
Bolocera_tuediae	1	1	0.0664136622390892	1	1	0.996204933586338	0.925996204933586	1		0	1	0	1	1	0.937381404174573	1	0.920303605313093	0.98292220113852	1	1	0	1	1	1	0.442125237191651	0.998102466793169	1	0.903225806451613	0.368121442125237	1	1	1	0.937381404174573	1	1	0.882352941176471	1	1	1	0	0.886148007590133	1	1	0.449715370018975	1	1	1	1	0.952561669829222	1	1	0.996204933586338	0.929791271347249	1	1	1	1	0.924098671726755	1	1	1	1	0.956356736242884	1	1	0.996204933586338	1	0.791271347248577	1	0.998102466793169	0.998102466793169	0	0.994307400379507	1	0.907020872865275	0.552182163187856	1
Botryllus_schlosseri	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
