	Acanthoeca_like_sp_10tr	Acropora_cervicornis	Aiptasia_pallida	Amoebidium	Amphimedon_queenslandica	Aphrocallistes_vastus	Aurelia_aurita	Beroe_abyssicola	Bolocera_tuediae	Botryllus_schlosseri	Branchiostoma_floridae	Buddenbrockia_plumatellae	Capitella_teleta	Capsaspora_owczarzaki_atcc30864	Chondrilla_nucula	Ciona_intestinalis	Clytia_hemisphaerica	Corticium_candelabrum	Craspedacusta_sowerbyi	Crassostrea_gigas	Cyanea_capillata	Daphnia_pulex	Ectopleura_larynx	Edwardsiella_lineata	Enteromyxum_leei	Ephydatia_muelleri	Eunicella_cavolinii	Euplectella_aspergillum	Euplokamis_dunlapae	Gorgonia_ventalina	Helobdella_robusta	Homo_sapiens	Hormathia_digitata	Hydra_magnipapillata	Hydractinia_polyclina	Ilyanassa_obsoleta	Ixodes_scapularis	Kudoa_iwatai	Latimeria_menadoensis	Leucetta_chagosensis	Ministeria_vibrans_atcc50519	Mnemiopsis_leidyi	Monosiga_brevicollis_mx1	Monosiga_ovata	Montastraea_faveolata	Myxobolus_cerebralis	Nanomia_bijuga	Nasonia_vitripennis	Nematostella_vectensis	Octopus_vulgaris	Oscarella	Oscarella_carmela	Patiria_miniata	Pediculus_humanus_corporis	Petromyzon_marinus	Petrosia_ficiformis	Pleurobrachia_pileus	Pocillopora_damicornis	Polypodium_hydriforme	Porites_australiensis	Saccoglossus_kowalevskii	Salpingoeca_sp_ATCC50818	Sarcotragus_fasciculatus	Sphaeroforma_arctica_jp610	Sphaeromyxa_zaharoni	Stephanoeca_diplocostata	Stomolophus_meleagris	Strigamia_maritima	Strongylocentrotus_purpuratus	Sycon_ciliatum	Sycon_coactum	Tetracapsuloides_bryosalmonae	Thelohanellus_kitauei	Trichoplax_adhaerens	Tripedalia_cystophora	Urticina_eques	Vallicula_multiformis
Acanthoeca_like_sp_10tr		0.991379310344828	0.991379310344828	0.987068965517241	0.991379310344828	0.991379310344828	0.96551724137931	0.991379310344828	0.952586206896552	0.991379310344828	0.991379310344828	0	0.991379310344828	0.991379310344828	0.991379310344828	0.991379310344828	0.991379310344828	0.987068965517241	0.991379310344828	0.991379310344828	0	0.991379310344828	0.991379310344828	0.991379310344828	0.939655172413793	0.991379310344828	0.961206896551724	0.987068965517241	0.991379310344828	0.991379310344828	0.719827586206897	0.991379310344828	0.775862068965517	0.991379310344828	0.991379310344828	0.991379310344828	0.948275862068966	0.991379310344828	0.991379310344828	0	0.732758620689655	0.991379310344828	0.991379310344828	0.991379310344828	0.991379310344828	0.991379310344828	0.991379310344828	0.991379310344828	0.991379310344828	0.991379310344828	0.870689655172414	0.991379310344828	0.775862068965517	0.991379310344828	0.991379310344828	0.991379310344828	0.991379310344828	0.857758620689655	0.991379310344828	0.991379310344828	0.991379310344828	0.969827586206897	0.991379310344828	0.991379310344828	0.987068965517241	0.991379310344828	0.991379310344828	0.991379310344828	0.991379310344828	0.991379310344828	0.991379310344828	0	0.991379310344828	0.991379310344828	0.560344827586207	0.556034482758621	0.991379310344828
Acropora_cervicornis	0.991379310344828		1	0.991379310344828	1	1	0.96551724137931	1	0.961206896551724	1	1	0	1	1	1	1	1	0.995689655172414	1	1	0	1	1	1	0.948275862068966	1	0.961206896551724	0.995689655172414	1	1	0.719827586206897	0.991379310344828	0.78448275862069	1	1	1	0.948275862068966	1	1	0	0.741379310344828	1	1	1	1	1	1	1	1	1	0.879310344827586	1	0.78448275862069	1	1	1	1	0.866379310344828	1	1	1	0.969827586206897	1	1	0.995689655172414	0.991379310344828	1	1	1	1	1	0	1	1	0.560344827586207	0.564655172413793	1
Aiptasia_pallida	0.991379310344828	1		0.991379310344828	1	1	0.96551724137931	1	0.961206896551724	1	1	0	1	1	1	1	1	0.995689655172414	1	1	0	1	1	1	0.948275862068966	1	0.961206896551724	0.995689655172414	1	1	0.719827586206897	0.991379310344828	0.78448275862069	1	1	1	0.948275862068966	1	1	0	0.741379310344828	1	1	1	1	1	1	1	1	1	0.879310344827586	1	0.78448275862069	1	1	1	1	0.866379310344828	1	1	1	0.969827586206897	1	1	0.995689655172414	0.991379310344828	1	1	1	1	1	0	1	1	0.560344827586207	0.564655172413793	1
Amoebidium	0.987068965517241	0.991379310344828	0.991379310344828		0.991379310344828	0.991379310344828	0.961206896551724	0.991379310344828	0.956896551724138	0.991379310344828	0.991379310344828	0	0.991379310344828	0.991379310344828	0.991379310344828	0.991379310344828	0.991379310344828	0.987068965517241	0.991379310344828	0.991379310344828	0	0.991379310344828	0.991379310344828	0.991379310344828	0.939655172413793	0.991379310344828	0.956896551724138	0.991379310344828	0.991379310344828	0.991379310344828	0.719827586206897	0.987068965517241	0.780172413793103	0.991379310344828	0.991379310344828	0.991379310344828	0.943965517241379	0.991379310344828	0.991379310344828	0	0.737068965517241	0.991379310344828	0.991379310344828	0.991379310344828	0.991379310344828	0.991379310344828	0.991379310344828	0.991379310344828	0.991379310344828	0.991379310344828	0.875	0.991379310344828	0.780172413793103	0.991379310344828	0.991379310344828	0.991379310344828	0.991379310344828	0.862068965517241	0.991379310344828	0.991379310344828	0.991379310344828	0.96551724137931	0.991379310344828	0.991379310344828	0.991379310344828	0.987068965517241	0.991379310344828	0.991379310344828	0.991379310344828	0.991379310344828	0.991379310344828	0	0.991379310344828	0.991379310344828	0.560344827586207	0.560344827586207	0.991379310344828
Amphimedon_queenslandica	0.991379310344828	1	1	0.991379310344828		1	0.96551724137931	1	0.961206896551724	1	1	0	1	1	1	1	1	0.995689655172414	1	1	0	1	1	1	0.948275862068966	1	0.961206896551724	0.995689655172414	1	1	0.719827586206897	0.991379310344828	0.78448275862069	1	1	1	0.948275862068966	1	1	0	0.741379310344828	1	1	1	1	1	1	1	1	1	0.879310344827586	1	0.78448275862069	1	1	1	1	0.866379310344828	1	1	1	0.969827586206897	1	1	0.995689655172414	0.991379310344828	1	1	1	1	1	0	1	1	0.560344827586207	0.564655172413793	1
Aphrocallistes_vastus	0.991379310344828	1	1	0.991379310344828	1		0.96551724137931	1	0.961206896551724	1	1	0	1	1	1	1	1	0.995689655172414	1	1	0	1	1	1	0.948275862068966	1	0.961206896551724	0.995689655172414	1	1	0.719827586206897	0.991379310344828	0.78448275862069	1	1	1	0.948275862068966	1	1	0	0.741379310344828	1	1	1	1	1	1	1	1	1	0.879310344827586	1	0.78448275862069	1	1	1	1	0.866379310344828	1	1	1	0.969827586206897	1	1	0.995689655172414	0.991379310344828	1	1	1	1	1	0	1	1	0.560344827586207	0.564655172413793	1
Aurelia_aurita	0.96551724137931	0.96551724137931	0.96551724137931	0.961206896551724	0.96551724137931	0.96551724137931		0.96551724137931	0.926724137931034	0.96551724137931	0.96551724137931	0	0.96551724137931	0.96551724137931	0.96551724137931	0.96551724137931	0.96551724137931	0.961206896551724	0.96551724137931	0.96551724137931	0	0.96551724137931	0.96551724137931	0.96551724137931	0.913793103448276	0.96551724137931	0.961206896551724	0.961206896551724	0.96551724137931	0.96551724137931	0.693965517241379	0.96551724137931	0.75	0.96551724137931	0.96551724137931	0.96551724137931	0.922413793103448	0.96551724137931	0.96551724137931	0	0.706896551724138	0.96551724137931	0.96551724137931	0.96551724137931	0.96551724137931	0.96551724137931	0.96551724137931	0.96551724137931	0.96551724137931	0.96551724137931	0.844827586206897	0.96551724137931	0.75	0.96551724137931	0.96551724137931	0.96551724137931	0.96551724137931	0.831896551724138	0.96551724137931	0.96551724137931	0.96551724137931	0.96551724137931	0.96551724137931	0.96551724137931	0.961206896551724	0.96551724137931	0.96551724137931	0.96551724137931	0.96551724137931	0.96551724137931	0.96551724137931	0	0.96551724137931	0.96551724137931	0.560344827586207	0.530172413793103	0.96551724137931
Beroe_abyssicola	0.991379310344828	1	1	0.991379310344828	1	1	0.96551724137931		0.961206896551724	1	1	0	1	1	1	1	1	0.995689655172414	1	1	0	1	1	1	0.948275862068966	1	0.961206896551724	0.995689655172414	1	1	0.719827586206897	0.991379310344828	0.78448275862069	1	1	1	0.948275862068966	1	1	0	0.741379310344828	1	1	1	1	1	1	1	1	1	0.879310344827586	1	0.78448275862069	1	1	1	1	0.866379310344828	1	1	1	0.969827586206897	1	1	0.995689655172414	0.991379310344828	1	1	1	1	1	0	1	1	0.560344827586207	0.564655172413793	1
Bolocera_tuediae	0.952586206896552	0.961206896551724	0.961206896551724	0.956896551724138	0.961206896551724	0.961206896551724	0.926724137931034	0.961206896551724		0.961206896551724	0.961206896551724	0	0.961206896551724	0.961206896551724	0.961206896551724	0.961206896551724	0.961206896551724	0.956896551724138	0.961206896551724	0.961206896551724	0	0.961206896551724	0.961206896551724	0.961206896551724	0.90948275862069	0.961206896551724	0.922413793103448	0.961206896551724	0.961206896551724	0.961206896551724	0.719827586206897	0.952586206896552	0.78448275862069	0.961206896551724	0.961206896551724	0.961206896551724	0.90948275862069	0.961206896551724	0.961206896551724	0	0.741379310344828	0.961206896551724	0.961206896551724	0.961206896551724	0.961206896551724	0.961206896551724	0.961206896551724	0.961206896551724	0.961206896551724	0.961206896551724	0.879310344827586	0.961206896551724	0.78448275862069	0.961206896551724	0.961206896551724	0.961206896551724	0.961206896551724	0.866379310344828	0.961206896551724	0.961206896551724	0.961206896551724	0.931034482758621	0.961206896551724	0.961206896551724	0.961206896551724	0.952586206896552	0.961206896551724	0.961206896551724	0.961206896551724	0.961206896551724	0.961206896551724	0	0.961206896551724	0.961206896551724	0.560344827586207	0.564655172413793	0.961206896551724
Botryllus_schlosseri	0.991379310344828	1	1	0.991379310344828	1	1	0.96551724137931	1	0.961206896551724		1	0	1	1	1	1	1	0.995689655172414	1	1	0	1	1	1	0.948275862068966	1	0.961206896551724	0.995689655172414	1	1	0.719827586206897	0.991379310344828	0.78448275862069	1	1	1	0.948275862068966	1	1	0	0.741379310344828	1	1	1	1	1	1	1	1	1	0.879310344827586	1	0.78448275862069	1	1	1	1	0.866379310344828	1	1	1	0.969827586206897	1	1	0.995689655172414	0.991379310344828	1	1	1	1	1	0	1	1	0.560344827586207	0.564655172413793	1
