	Acanthoeca_like_sp_10tr	Acropora_cervicornis	Aiptasia_pallida	Amoebidium	Amphimedon_queenslandica	Aphrocallistes_vastus	Aurelia_aurita	Beroe_abyssicola	Bolocera_tuediae	Botryllus_schlosseri	Branchiostoma_floridae	Buddenbrockia_plumatellae	Capitella_teleta	Capsaspora_owczarzaki_atcc30864	Chondrilla_nucula	Ciona_intestinalis	Clytia_hemisphaerica	Corticium_candelabrum	Craspedacusta_sowerbyi	Crassostrea_gigas	Cyanea_capillata	Daphnia_pulex	Ectopleura_larynx	Edwardsiella_lineata	Enteromyxum_leei	Ephydatia_muelleri	Eunicella_cavolinii	Euplectella_aspergillum	Euplokamis_dunlapae	Gorgonia_ventalina	Helobdella_robusta	Homo_sapiens	Hormathia_digitata	Hydra_magnipapillata	Hydractinia_polyclina	Ilyanassa_obsoleta	Ixodes_scapularis	Kudoa_iwatai	Latimeria_menadoensis	Leucetta_chagosensis	Ministeria_vibrans_atcc50519	Mnemiopsis_leidyi	Monosiga_brevicollis_mx1	Monosiga_ovata	Montastraea_faveolata	Myxobolus_cerebralis	Nanomia_bijuga	Nasonia_vitripennis	Nematostella_vectensis	Octopus_vulgaris	Oscarella	Oscarella_carmela	Patiria_miniata	Pediculus_humanus_corporis	Petromyzon_marinus	Petrosia_ficiformis	Pleurobrachia_pileus	Pocillopora_damicornis	Polypodium_hydriforme	Porites_australiensis	Saccoglossus_kowalevskii	Salpingoeca_sp_ATCC50818	Sarcotragus_fasciculatus	Sphaeroforma_arctica_jp610	Sphaeromyxa_zaharoni	Stephanoeca_diplocostata	Stomolophus_meleagris	Strigamia_maritima	Strongylocentrotus_purpuratus	Sycon_ciliatum	Sycon_coactum	Tetracapsuloides_bryosalmonae	Thelohanellus_kitauei	Trichoplax_adhaerens	Tripedalia_cystophora	Urticina_eques	Vallicula_multiformis
Acanthoeca_like_sp_10tr		0.992481203007519	0.990601503759398	0.992481203007519	0.992481203007519	0.990601503759398	0.342105263157895	0.990601503759398	0.74812030075188	0.992481203007519	0.992481203007519	0	0.992481203007519	0.934210526315789	0.761278195488722	0.992481203007519	0.992481203007519	0.992481203007519	0.992481203007519	0.992481203007519	0	0.992481203007519	0.992481203007519	0.857142857142857	0	0.992481203007519	0.947368421052632	0.857142857142857	0.381578947368421	0.992481203007519	0.992481203007519	0.992481203007519	0.87406015037594	0.992481203007519	0.992481203007519	0.992481203007519	0.992481203007519	0.992481203007519	0.992481203007519	0	0.37218045112782	0.990601503759398	0.992481203007519	0.390977443609023	0.992481203007519	0.992481203007519	0.992481203007519	0.992481203007519	0.992481203007519	0.992481203007519	0.973684210526316	0.992481203007519	0.992481203007519	0.992481203007519	0.898496240601504	0.992481203007519	0.990601503759398	0.924812030075188	0.992481203007519	0.992481203007519	0.795112781954887	0.992481203007519	0.943609022556391	0.992481203007519	0.883458646616541	0.992481203007519	0.755639097744361	0.930451127819549	0.992481203007519	0.992481203007519	0.992481203007519	0	0.866541353383459	0.992481203007519	0	0.0770676691729323	0.990601503759398
Acropora_cervicornis	0.992481203007519		0.99812030075188	1	1	0.99812030075188	0.342105263157895	0.99812030075188	0.755639097744361	1	1	0	1	0.934210526315789	0.768796992481203	1	1	1	1	1	0	1	1	0.864661654135338	0	1	0.954887218045113	0.864661654135338	0.389097744360902	1	1	1	0.881578947368421	1	1	1	1	1	1	0	0.379699248120301	0.99812030075188	1	0.390977443609023	1	1	1	1	1	1	0.981203007518797	1	1	1	0.906015037593985	1	0.99812030075188	0.932330827067669	1	1	0.802631578947368	1	0.951127819548872	1	0.890977443609023	0.992481203007519	0.763157894736842	0.93796992481203	1	1	1	0	0.87406015037594	1	0	0.0845864661654135	0.99812030075188
Aiptasia_pallida	0.990601503759398	0.99812030075188		0.99812030075188	0.99812030075188	0.996240601503759	0.342105263157895	0.996240601503759	0.753759398496241	0.99812030075188	0.99812030075188	0	0.99812030075188	0.932330827067669	0.766917293233083	0.99812030075188	0.99812030075188	0.99812030075188	0.99812030075188	0.99812030075188	0	0.99812030075188	0.99812030075188	0.864661654135338	0	0.99812030075188	0.953007518796993	0.862781954887218	0.387218045112782	0.99812030075188	0.99812030075188	0.99812030075188	0.879699248120301	0.99812030075188	0.99812030075188	0.99812030075188	0.99812030075188	0.99812030075188	0.99812030075188	0	0.379699248120301	0.996240601503759	0.99812030075188	0.389097744360902	0.99812030075188	0.99812030075188	0.99812030075188	0.99812030075188	0.99812030075188	0.99812030075188	0.979323308270677	0.99812030075188	0.99812030075188	0.99812030075188	0.904135338345865	0.99812030075188	0.996240601503759	0.930451127819549	0.99812030075188	0.99812030075188	0.800751879699248	0.99812030075188	0.949248120300752	0.99812030075188	0.890977443609023	0.990601503759398	0.761278195488722	0.93609022556391	0.99812030075188	0.99812030075188	0.99812030075188	0	0.87218045112782	0.99812030075188	0	0.0845864661654135	0.996240601503759
Amoebidium	0.992481203007519	1	0.99812030075188		1	0.99812030075188	0.342105263157895	0.99812030075188	0.755639097744361	1	1	0	1	0.934210526315789	0.768796992481203	1	1	1	1	1	0	1	1	0.864661654135338	0	1	0.954887218045113	0.864661654135338	0.389097744360902	1	1	1	0.881578947368421	1	1	1	1	1	1	0	0.379699248120301	0.99812030075188	1	0.390977443609023	1	1	1	1	1	1	0.981203007518797	1	1	1	0.906015037593985	1	0.99812030075188	0.932330827067669	1	1	0.802631578947368	1	0.951127819548872	1	0.890977443609023	0.992481203007519	0.763157894736842	0.93796992481203	1	1	1	0	0.87406015037594	1	0	0.0845864661654135	0.99812030075188
Amphimedon_queenslandica	0.992481203007519	1	0.99812030075188	1		0.99812030075188	0.342105263157895	0.99812030075188	0.755639097744361	1	1	0	1	0.934210526315789	0.768796992481203	1	1	1	1	1	0	1	1	0.864661654135338	0	1	0.954887218045113	0.864661654135338	0.389097744360902	1	1	1	0.881578947368421	1	1	1	1	1	1	0	0.379699248120301	0.99812030075188	1	0.390977443609023	1	1	1	1	1	1	0.981203007518797	1	1	1	0.906015037593985	1	0.99812030075188	0.932330827067669	1	1	0.802631578947368	1	0.951127819548872	1	0.890977443609023	0.992481203007519	0.763157894736842	0.93796992481203	1	1	1	0	0.87406015037594	1	0	0.0845864661654135	0.99812030075188
Aphrocallistes_vastus	0.990601503759398	0.99812030075188	0.996240601503759	0.99812030075188	0.99812030075188		0.340225563909774	0.996240601503759	0.753759398496241	0.99812030075188	0.99812030075188	0	0.99812030075188	0.932330827067669	0.766917293233083	0.99812030075188	0.99812030075188	0.99812030075188	0.99812030075188	0.99812030075188	0	0.99812030075188	0.99812030075188	0.864661654135338	0	0.99812030075188	0.953007518796993	0.862781954887218	0.389097744360902	0.99812030075188	0.99812030075188	0.99812030075188	0.879699248120301	0.99812030075188	0.99812030075188	0.99812030075188	0.99812030075188	0.99812030075188	0.99812030075188	0	0.379699248120301	0.996240601503759	0.99812030075188	0.390977443609023	0.99812030075188	0.99812030075188	0.99812030075188	0.99812030075188	0.99812030075188	0.99812030075188	0.979323308270677	0.99812030075188	0.99812030075188	0.99812030075188	0.906015037593985	0.99812030075188	0.996240601503759	0.930451127819549	0.99812030075188	0.99812030075188	0.800751879699248	0.99812030075188	0.951127819548872	0.99812030075188	0.889097744360902	0.990601503759398	0.761278195488722	0.93609022556391	0.99812030075188	0.99812030075188	0.99812030075188	0	0.87406015037594	0.99812030075188	0	0.0845864661654135	0.996240601503759
Aurelia_aurita	0.342105263157895	0.342105263157895	0.342105263157895	0.342105263157895	0.342105263157895	0.340225563909774		0.342105263157895	0.233082706766917	0.342105263157895	0.342105263157895	0	0.342105263157895	0.342105263157895	0.342105263157895	0.342105263157895	0.342105263157895	0.342105263157895	0.342105263157895	0.342105263157895	0	0.342105263157895	0.342105263157895	0.306390977443609	0	0.342105263157895	0.342105263157895	0.340225563909774	0.0056390977443609	0.342105263157895	0.342105263157895	0.342105263157895	0.287593984962406	0.342105263157895	0.342105263157895	0.342105263157895	0.342105263157895	0.342105263157895	0.342105263157895	0	0.0977443609022556	0.342105263157895	0.342105263157895	0.0676691729323308	0.342105263157895	0.342105263157895	0.342105263157895	0.342105263157895	0.342105263157895	0.342105263157895	0.342105263157895	0.342105263157895	0.342105263157895	0.342105263157895	0.298872180451128	0.342105263157895	0.342105263157895	0.319548872180451	0.342105263157895	0.342105263157895	0.193609022556391	0.342105263157895	0.293233082706767	0.342105263157895	0.342105263157895	0.342105263157895	0.24812030075188	0.330827067669173	0.342105263157895	0.342105263157895	0.342105263157895	0	0.278195488721804	0.342105263157895	0	0	0.342105263157895
Beroe_abyssicola	0.990601503759398	0.99812030075188	0.996240601503759	0.99812030075188	0.99812030075188	0.996240601503759	0.342105263157895		0.753759398496241	0.99812030075188	0.99812030075188	0	0.99812030075188	0.932330827067669	0.766917293233083	0.99812030075188	0.99812030075188	0.99812030075188	0.99812030075188	0.99812030075188	0	0.99812030075188	0.99812030075188	0.864661654135338	0	0.99812030075188	0.953007518796993	0.862781954887218	0.389097744360902	0.99812030075188	0.99812030075188	0.99812030075188	0.879699248120301	0.99812030075188	0.99812030075188	0.99812030075188	0.99812030075188	0.99812030075188	0.99812030075188	0	0.379699248120301	0.99812030075188	0.99812030075188	0.389097744360902	0.99812030075188	0.99812030075188	0.99812030075188	0.99812030075188	0.99812030075188	0.99812030075188	0.979323308270677	0.99812030075188	0.99812030075188	0.99812030075188	0.904135338345865	0.99812030075188	0.99812030075188	0.930451127819549	0.99812030075188	0.99812030075188	0.800751879699248	0.99812030075188	0.949248120300752	0.99812030075188	0.890977443609023	0.990601503759398	0.761278195488722	0.93609022556391	0.99812030075188	0.99812030075188	0.99812030075188	0	0.87218045112782	0.99812030075188	0	0.0845864661654135	0.99812030075188
Bolocera_tuediae	0.74812030075188	0.755639097744361	0.753759398496241	0.755639097744361	0.755639097744361	0.753759398496241	0.233082706766917	0.753759398496241		0.755639097744361	0.755639097744361	0	0.755639097744361	0.734962406015038	0.528195488721805	0.755639097744361	0.755639097744361	0.755639097744361	0.755639097744361	0.755639097744361	0	0.755639097744361	0.755639097744361	0.665413533834586	0	0.755639097744361	0.755639097744361	0.620300751879699	0.332706766917293	0.755639097744361	0.755639097744361	0.755639097744361	0.733082706766917	0.755639097744361	0.755639097744361	0.755639097744361	0.755639097744361	0.755639097744361	0.755639097744361	0	0.323308270676692	0.753759398496241	0.755639097744361	0.345864661654135	0.755639097744361	0.755639097744361	0.755639097744361	0.755639097744361	0.755639097744361	0.755639097744361	0.736842105263158	0.755639097744361	0.755639097744361	0.755639097744361	0.706766917293233	0.755639097744361	0.753759398496241	0.74812030075188	0.755639097744361	0.755639097744361	0.609022556390977	0.755639097744361	0.706766917293233	0.755639097744361	0.691729323308271	0.74812030075188	0.648496240601504	0.738721804511278	0.755639097744361	0.755639097744361	0.755639097744361	0	0.672932330827068	0.755639097744361	0	0.0845864661654135	0.753759398496241
Botryllus_schlosseri	0.992481203007519	1	0.99812030075188	1	1	0.99812030075188	0.342105263157895	0.99812030075188	0.755639097744361		1	0	1	0.934210526315789	0.768796992481203	1	1	1	1	1	0	1	1	0.864661654135338	0	1	0.954887218045113	0.864661654135338	0.389097744360902	1	1	1	0.881578947368421	1	1	1	1	1	1	0	0.379699248120301	0.99812030075188	1	0.390977443609023	1	1	1	1	1	1	0.981203007518797	1	1	1	0.906015037593985	1	0.99812030075188	0.932330827067669	1	1	0.802631578947368	1	0.951127819548872	1	0.890977443609023	0.992481203007519	0.763157894736842	0.93796992481203	1	1	1	0	0.87406015037594	1	0	0.0845864661654135	0.99812030075188
Branchiostoma_floridae	0.992481203007519	1	0.99812030075188	1	1	0.99812030075188	0.342105263157895	0.99812030075188	0.755639097744361	1		0	1	0.934210526315789	0.768796992481203	1	1	1	1	1	0	1	1	0.864661654135338	0	1	0.954887218045113	0.864661654135338	0.389097744360902	1	1	1	0.881578947368421	1	1	1	1	1	1	0	0.379699248120301	0.99812030075188	1	0.390977443609023	1	1	1	1	1	1	0.981203007518797	1	1	1	0.906015037593985	1	0.99812030075188	0.932330827067669	1	1	0.802631578947368	1	0.951127819548872	1	0.890977443609023	0.992481203007519	0.763157894736842	0.93796992481203	1	1	1	0	0.87406015037594	1	0	0.0845864661654135	0.99812030075188
Buddenbrockia_plumatellae	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Capitella_teleta	0.992481203007519	1	0.99812030075188	1	1	0.99812030075188	0.342105263157895	0.99812030075188	0.755639097744361	1	1	0		0.934210526315789	0.768796992481203	1	1	1	1	1	0	1	1	0.864661654135338	0	1	0.954887218045113	0.864661654135338	0.389097744360902	1	1	1	0.881578947368421	1	1	1	1	1	1	0	0.379699248120301	0.99812030075188	1	0.390977443609023	1	1	1	1	1	1	0.981203007518797	1	1	1	0.906015037593985	1	0.99812030075188	0.932330827067669	1	1	0.802631578947368	1	0.951127819548872	1	0.890977443609023	0.992481203007519	0.763157894736842	0.93796992481203	1	1	1	0	0.87406015037594	1	0	0.0845864661654135	0.99812030075188
Capsaspora_owczarzaki_atcc30864	0.934210526315789	0.934210526315789	0.932330827067669	0.934210526315789	0.934210526315789	0.932330827067669	0.342105263157895	0.932330827067669	0.734962406015038	0.934210526315789	0.934210526315789	0	0.934210526315789		0.706766917293233	0.934210526315789	0.934210526315789	0.934210526315789	0.934210526315789	0.934210526315789	0	0.934210526315789	0.934210526315789	0.843984962406015	0	0.934210526315789	0.934210526315789	0.798872180451128	0.368421052631579	0.934210526315789	0.934210526315789	0.934210526315789	0.815789473684211	0.934210526315789	0.934210526315789	0.934210526315789	0.934210526315789	0.934210526315789	0.934210526315789	0	0.359022556390977	0.932330827067669	0.934210526315789	0.345864661654135	0.934210526315789	0.934210526315789	0.934210526315789	0.934210526315789	0.934210526315789	0.934210526315789	0.915413533834586	0.934210526315789	0.934210526315789	0.934210526315789	0.885338345864662	0.934210526315789	0.932330827067669	0.866541353383459	0.934210526315789	0.934210526315789	0.736842105263158	0.934210526315789	0.885338345864662	0.934210526315789	0.870300751879699	0.934210526315789	0.697368421052632	0.917293233082707	0.934210526315789	0.934210526315789	0.934210526315789	0	0.808270676691729	0.934210526315789	0	0.0657894736842105	0.932330827067669
Chondrilla_nucula	0.761278195488722	0.768796992481203	0.766917293233083	0.768796992481203	0.768796992481203	0.766917293233083	0.342105263157895	0.766917293233083	0.528195488721805	0.768796992481203	0.768796992481203	0	0.768796992481203	0.706766917293233		0.768796992481203	0.768796992481203	0.768796992481203	0.768796992481203	0.768796992481203	0	0.768796992481203	0.768796992481203	0.637218045112782	0	0.768796992481203	0.727443609022556	0.755639097744361	0.274436090225564	0.768796992481203	0.768796992481203	0.768796992481203	0.650375939849624	0.768796992481203	0.768796992481203	0.768796992481203	0.768796992481203	0.768796992481203	0.768796992481203	0	0.289473684210526	0.766917293233083	0.768796992481203	0.191729323308271	0.768796992481203	0.768796992481203	0.768796992481203	0.768796992481203	0.768796992481203	0.768796992481203	0.768796992481203	0.768796992481203	0.768796992481203	0.768796992481203	0.678571428571429	0.768796992481203	0.766917293233083	0.708646616541353	0.768796992481203	0.768796992481203	0.571428571428571	0.768796992481203	0.719924812030075	0.768796992481203	0.663533834586466	0.761278195488722	0.56390977443609	0.710526315789474	0.768796992481203	0.768796992481203	0.768796992481203	0	0.650375939849624	0.768796992481203	0	0.0845864661654135	0.766917293233083
