	Acanthoeca_like_sp_10tr	Acropora_cervicornis	Aiptasia_pallida	Amoebidium	Amphimedon_queenslandica	Aphrocallistes_vastus	Aurelia_aurita	Beroe_abyssicola	Bolocera_tuediae	Botryllus_schlosseri	Branchiostoma_floridae	Buddenbrockia_plumatellae	Capitella_teleta	Capsaspora_owczarzaki_atcc30864	Chondrilla_nucula	Ciona_intestinalis	Clytia_hemisphaerica	Corticium_candelabrum	Craspedacusta_sowerbyi	Crassostrea_gigas	Cyanea_capillata	Daphnia_pulex	Ectopleura_larynx	Edwardsiella_lineata	Enteromyxum_leei	Ephydatia_muelleri	Eunicella_cavolinii	Euplectella_aspergillum	Euplokamis_dunlapae	Gorgonia_ventalina	Helobdella_robusta	Homo_sapiens	Hormathia_digitata	Hydra_magnipapillata	Hydractinia_polyclina	Ilyanassa_obsoleta	Ixodes_scapularis	Kudoa_iwatai	Latimeria_menadoensis	Leucetta_chagosensis	Ministeria_vibrans_atcc50519	Mnemiopsis_leidyi	Monosiga_brevicollis_mx1	Monosiga_ovata	Montastraea_faveolata	Myxobolus_cerebralis	Nanomia_bijuga	Nasonia_vitripennis	Nematostella_vectensis	Octopus_vulgaris	Oscarella	Oscarella_carmela	Patiria_miniata	Pediculus_humanus_corporis	Petromyzon_marinus	Petrosia_ficiformis	Pleurobrachia_pileus	Pocillopora_damicornis	Polypodium_hydriforme	Porites_australiensis	Saccoglossus_kowalevskii	Salpingoeca_sp_ATCC50818	Sarcotragus_fasciculatus	Sphaeroforma_arctica_jp610	Sphaeromyxa_zaharoni	Stephanoeca_diplocostata	Stomolophus_meleagris	Strigamia_maritima	Strongylocentrotus_purpuratus	Sycon_ciliatum	Sycon_coactum	Tetracapsuloides_bryosalmonae	Thelohanellus_kitauei	Trichoplax_adhaerens	Tripedalia_cystophora	Urticina_eques	Vallicula_multiformis
Acanthoeca_like_sp_10tr		1	1	1	0.961165048543689	1	0.984743411927878	1	0.700416088765603	0.890429958391123	1	0	1	1	0.877947295423024	1	1	0.934812760055479	1	1	0	1	1	1	0.58252427184466	1	0.880721220527046	1	1	1	1	1	1	1	1	1	0.895977808599168	0.976421636615811	1	0.206657420249653	1	1	1	1	1	0.9625520110957	1	1	1	1	0.997226074895978	0.868238557558946	1	1	1	1	1	0.977808599167822	0.998613037447989	0.930651872399445	1	0.9875173370319	0.997226074895978	1	0.927877947295423	0.998613037447989	1	1	1	1	1	0	0.998613037447989	1	0.420249653259362	0.583911234396671	1
Acropora_cervicornis	1		1	1	0.961165048543689	1	0.984743411927878	1	0.700416088765603	0.890429958391123	1	0	1	1	0.877947295423024	1	1	0.934812760055479	1	1	0	1	1	1	0.58252427184466	1	0.880721220527046	1	1	1	1	1	1	1	1	1	0.895977808599168	0.976421636615811	1	0.206657420249653	1	1	1	1	1	0.9625520110957	1	1	1	1	0.997226074895978	0.868238557558946	1	1	1	1	1	0.977808599167822	0.998613037447989	0.930651872399445	1	0.9875173370319	0.997226074895978	1	0.927877947295423	0.998613037447989	1	1	1	1	1	0	0.998613037447989	1	0.420249653259362	0.583911234396671	1
Aiptasia_pallida	1	1		1	0.961165048543689	1	0.984743411927878	1	0.700416088765603	0.890429958391123	1	0	1	1	0.877947295423024	1	1	0.934812760055479	1	1	0	1	1	1	0.58252427184466	1	0.880721220527046	1	1	1	1	1	1	1	1	1	0.895977808599168	0.976421636615811	1	0.206657420249653	1	1	1	1	1	0.9625520110957	1	1	1	1	0.997226074895978	0.868238557558946	1	1	1	1	1	0.977808599167822	0.998613037447989	0.930651872399445	1	0.9875173370319	0.997226074895978	1	0.927877947295423	0.998613037447989	1	1	1	1	1	0	0.998613037447989	1	0.420249653259362	0.583911234396671	1
Amoebidium	1	1	1		0.961165048543689	1	0.984743411927878	1	0.700416088765603	0.890429958391123	1	0	1	1	0.877947295423024	1	1	0.934812760055479	1	1	0	1	1	1	0.58252427184466	1	0.880721220527046	1	1	1	1	1	1	1	1	1	0.895977808599168	0.976421636615811	1	0.206657420249653	1	1	1	1	1	0.9625520110957	1	1	1	1	0.997226074895978	0.868238557558946	1	1	1	1	1	0.977808599167822	0.998613037447989	0.930651872399445	1	0.9875173370319	0.997226074895978	1	0.927877947295423	0.998613037447989	1	1	1	1	1	0	0.998613037447989	1	0.420249653259362	0.583911234396671	1
Amphimedon_queenslandica	0.961165048543689	0.961165048543689	0.961165048543689	0.961165048543689		0.961165048543689	0.945908460471567	0.961165048543689	0.661581137309293	0.851595006934813	0.961165048543689	0	0.961165048543689	0.961165048543689	0.839112343966713	0.961165048543689	0.961165048543689	0.895977808599168	0.961165048543689	0.961165048543689	0	0.961165048543689	0.961165048543689	0.961165048543689	0.545076282940361	0.961165048543689	0.841886269070735	0.961165048543689	0.961165048543689	0.961165048543689	0.961165048543689	0.961165048543689	0.961165048543689	0.961165048543689	0.961165048543689	0.961165048543689	0.895977808599168	0.937586685159501	0.961165048543689	0.206657420249653	0.961165048543689	0.961165048543689	0.961165048543689	0.961165048543689	0.961165048543689	0.92371705963939	0.961165048543689	0.961165048543689	0.961165048543689	0.961165048543689	0.958391123439667	0.829403606102635	0.961165048543689	0.961165048543689	0.961165048543689	0.961165048543689	0.961165048543689	0.938973647711512	0.959778085991678	0.891816920943135	0.961165048543689	0.948682385575589	0.958391123439667	0.961165048543689	0.889042995839112	0.959778085991678	0.961165048543689	0.961165048543689	0.961165048543689	0.961165048543689	0.961165048543689	0	0.959778085991678	0.961165048543689	0.420249653259362	0.546463245492372	0.961165048543689
Aphrocallistes_vastus	1	1	1	1	0.961165048543689		0.984743411927878	1	0.700416088765603	0.890429958391123	1	0	1	1	0.877947295423024	1	1	0.934812760055479	1	1	0	1	1	1	0.58252427184466	1	0.880721220527046	1	1	1	1	1	1	1	1	1	0.895977808599168	0.976421636615811	1	0.206657420249653	1	1	1	1	1	0.9625520110957	1	1	1	1	0.997226074895978	0.868238557558946	1	1	1	1	1	0.977808599167822	0.998613037447989	0.930651872399445	1	0.9875173370319	0.997226074895978	1	0.927877947295423	0.998613037447989	1	1	1	1	1	0	0.998613037447989	1	0.420249653259362	0.583911234396671	1
Aurelia_aurita	0.984743411927878	0.984743411927878	0.984743411927878	0.984743411927878	0.945908460471567	0.984743411927878		0.984743411927878	0.685159500693481	0.875173370319001	0.984743411927878	0	0.984743411927878	0.984743411927878	0.866851595006935	0.984743411927878	0.984743411927878	0.92371705963939	0.984743411927878	0.984743411927878	0	0.984743411927878	0.984743411927878	0.984743411927878	0.58252427184466	0.984743411927878	0.876560332871013	0.984743411927878	0.984743411927878	0.984743411927878	0.984743411927878	0.984743411927878	0.984743411927878	0.984743411927878	0.984743411927878	0.984743411927878	0.880721220527046	0.961165048543689	0.984743411927878	0.20249653259362	0.984743411927878	0.984743411927878	0.984743411927878	0.984743411927878	0.984743411927878	0.947295423023578	0.984743411927878	0.984743411927878	0.984743411927878	0.984743411927878	0.981969486823856	0.852981969486824	0.984743411927878	0.984743411927878	0.984743411927878	0.984743411927878	0.984743411927878	0.9625520110957	0.983356449375867	0.915395284327323	0.984743411927878	0.972260748959778	0.981969486823856	0.984743411927878	0.915395284327323	0.984743411927878	0.984743411927878	0.984743411927878	0.984743411927878	0.984743411927878	0.984743411927878	0	0.983356449375867	0.984743411927878	0.40499306518724	0.568654646324549	0.984743411927878
Beroe_abyssicola	1	1	1	1	0.961165048543689	1	0.984743411927878		0.700416088765603	0.890429958391123	1	0	1	1	0.877947295423024	1	1	0.934812760055479	1	1	0	1	1	1	0.58252427184466	1	0.880721220527046	1	1	1	1	1	1	1	1	1	0.895977808599168	0.976421636615811	1	0.206657420249653	1	1	1	1	1	0.9625520110957	1	1	1	1	0.997226074895978	0.868238557558946	1	1	1	1	1	0.977808599167822	0.998613037447989	0.930651872399445	1	0.9875173370319	0.997226074895978	1	0.927877947295423	0.998613037447989	1	1	1	1	1	0	0.998613037447989	1	0.420249653259362	0.583911234396671	1
Bolocera_tuediae	0.700416088765603	0.700416088765603	0.700416088765603	0.700416088765603	0.661581137309293	0.700416088765603	0.685159500693481	0.700416088765603		0.592233009708738	0.700416088765603	0	0.700416088765603	0.700416088765603	0.578363384188627	0.700416088765603	0.700416088765603	0.635228848821082	0.700416088765603	0.700416088765603	0	0.700416088765603	0.700416088765603	0.700416088765603	0.323162274618585	0.700416088765603	0.583911234396671	0.700416088765603	0.700416088765603	0.700416088765603	0.700416088765603	0.700416088765603	0.700416088765603	0.700416088765603	0.700416088765603	0.700416088765603	0.631067961165049	0.700416088765603	0.700416088765603	0.206657420249653	0.700416088765603	0.700416088765603	0.700416088765603	0.700416088765603	0.700416088765603	0.699029126213592	0.700416088765603	0.700416088765603	0.700416088765603	0.700416088765603	0.697642163661581	0.618585298196949	0.700416088765603	0.700416088765603	0.700416088765603	0.700416088765603	0.700416088765603	0.700416088765603	0.699029126213592	0.700416088765603	0.700416088765603	0.700416088765603	0.697642163661581	0.700416088765603	0.662968099861304	0.699029126213592	0.700416088765603	0.700416088765603	0.700416088765603	0.700416088765603	0.700416088765603	0	0.699029126213592	0.700416088765603	0.375866851595007	0.477115117891817	0.700416088765603
Botryllus_schlosseri	0.890429958391123	0.890429958391123	0.890429958391123	0.890429958391123	0.851595006934813	0.890429958391123	0.875173370319001	0.890429958391123	0.592233009708738		0.890429958391123	0	0.890429958391123	0.890429958391123	0.768377253814147	0.890429958391123	0.890429958391123	0.826629680998613	0.890429958391123	0.890429958391123	0	0.890429958391123	0.890429958391123	0.890429958391123	0.472954230235784	0.890429958391123	0.771151178918169	0.890429958391123	0.890429958391123	0.890429958391123	0.890429958391123	0.890429958391123	0.890429958391123	0.890429958391123	0.890429958391123	0.890429958391123	0.786407766990291	0.866851595006935	0.890429958391123	0.206657420249653	0.890429958391123	0.890429958391123	0.890429958391123	0.890429958391123	0.890429958391123	0.852981969486824	0.890429958391123	0.890429958391123	0.890429958391123	0.890429958391123	0.889042995839112	0.829403606102635	0.890429958391123	0.890429958391123	0.890429958391123	0.890429958391123	0.890429958391123	0.868238557558946	0.889042995839112	0.821081830790569	0.890429958391123	0.877947295423024	0.890429958391123	0.890429958391123	0.818307905686546	0.889042995839112	0.890429958391123	0.890429958391123	0.890429958391123	0.890429958391123	0.890429958391123	0	0.889042995839112	0.890429958391123	0.420249653259362	0.492371705963939	0.890429958391123
