	Acanthoeca_like_sp_10tr	Acropora_cervicornis	Aiptasia_pallida	Amoebidium	Amphimedon_queenslandica	Aphrocallistes_vastus	Aurelia_aurita	Beroe_abyssicola	Bolocera_tuediae	Botryllus_schlosseri	Branchiostoma_floridae	Buddenbrockia_plumatellae	Capitella_teleta	Capsaspora_owczarzaki_atcc30864	Chondrilla_nucula	Ciona_intestinalis	Clytia_hemisphaerica	Corticium_candelabrum	Craspedacusta_sowerbyi	Crassostrea_gigas	Cyanea_capillata	Daphnia_pulex	Ectopleura_larynx	Edwardsiella_lineata	Enteromyxum_leei	Ephydatia_muelleri	Eunicella_cavolinii	Euplectella_aspergillum	Euplokamis_dunlapae	Gorgonia_ventalina	Helobdella_robusta	Homo_sapiens	Hormathia_digitata	Hydra_magnipapillata	Hydractinia_polyclina	Ilyanassa_obsoleta	Ixodes_scapularis	Kudoa_iwatai	Latimeria_menadoensis	Leucetta_chagosensis	Ministeria_vibrans_atcc50519	Mnemiopsis_leidyi	Monosiga_brevicollis_mx1	Monosiga_ovata	Montastraea_faveolata	Myxobolus_cerebralis	Nanomia_bijuga	Nasonia_vitripennis	Nematostella_vectensis	Octopus_vulgaris	Oscarella	Oscarella_carmela	Patiria_miniata	Pediculus_humanus_corporis	Petromyzon_marinus	Petrosia_ficiformis	Pleurobrachia_pileus	Pocillopora_damicornis	Polypodium_hydriforme	Porites_australiensis	Saccoglossus_kowalevskii	Salpingoeca_sp_ATCC50818	Sarcotragus_fasciculatus	Sphaeroforma_arctica_jp610	Sphaeromyxa_zaharoni	Stephanoeca_diplocostata	Stomolophus_meleagris	Strigamia_maritima	Strongylocentrotus_purpuratus	Sycon_ciliatum	Sycon_coactum	Tetracapsuloides_bryosalmonae	Thelohanellus_kitauei	Trichoplax_adhaerens	Tripedalia_cystophora	Urticina_eques	Vallicula_multiformis
Acanthoeca_like_sp_10tr		0.995121951219512	0.995121951219512	0.990243902439024	0.995121951219512	0.995121951219512	0.995121951219512	0.995121951219512	0.819512195121951	0.995121951219512	0.995121951219512	0	0.995121951219512	0.995121951219512	0.995121951219512	0.995121951219512	0.995121951219512	0.995121951219512	0.995121951219512	0.995121951219512	0	0.995121951219512	0.995121951219512	0.931707317073171	0.731707317073171	0.995121951219512	0.614634146341463	0.995121951219512	0.946341463414634	0.995121951219512	0.731707317073171	0.995121951219512	0.995121951219512	0.995121951219512	0.995121951219512	0.990243902439024	0.995121951219512	0.995121951219512	0.995121951219512	0	0.975609756097561	0.995121951219512	0.995121951219512	0.648780487804878	0.995121951219512	0.990243902439024	0.995121951219512	0.995121951219512	0.995121951219512	0.995121951219512	0.995121951219512	0.995121951219512	0.917073170731707	0.995121951219512	0.68780487804878	0.995121951219512	0.995121951219512	0.995121951219512	0.990243902439024	0.995121951219512	0.995121951219512	0.614634146341463	0	0.995121951219512	0.731707317073171	0.804878048780488	0.995121951219512	0.853658536585366	0.995121951219512	0.995121951219512	0.995121951219512	0	0.814634146341463	0.995121951219512	0	0.268292682926829	0.985365853658537
Acropora_cervicornis	0.995121951219512		1	0.995121951219512	1	1	1	1	0.824390243902439	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0.931707317073171	0.736585365853659	1	0.619512195121951	1	0.946341463414634	1	0.736585365853659	1	1	1	1	0.990243902439024	1	1	1	0	0.975609756097561	1	1	0.648780487804878	1	0.995121951219512	1	1	1	1	1	1	0.921951219512195	1	0.692682926829268	1	1	1	0.995121951219512	1	1	0.614634146341463	0	1	0.736585365853659	0.804878048780488	1	0.858536585365854	1	1	1	0	0.819512195121951	1	0	0.273170731707317	0.990243902439024
Aiptasia_pallida	0.995121951219512	1		0.995121951219512	1	1	1	1	0.824390243902439	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0.931707317073171	0.736585365853659	1	0.619512195121951	1	0.946341463414634	1	0.736585365853659	1	1	1	1	0.990243902439024	1	1	1	0	0.975609756097561	1	1	0.648780487804878	1	0.995121951219512	1	1	1	1	1	1	0.921951219512195	1	0.692682926829268	1	1	1	0.995121951219512	1	1	0.614634146341463	0	1	0.736585365853659	0.804878048780488	1	0.858536585365854	1	1	1	0	0.819512195121951	1	0	0.273170731707317	0.990243902439024
Amoebidium	0.990243902439024	0.995121951219512	0.995121951219512		0.995121951219512	0.995121951219512	0.995121951219512	0.995121951219512	0.819512195121951	0.995121951219512	0.995121951219512	0	0.995121951219512	0.995121951219512	0.995121951219512	0.995121951219512	0.995121951219512	0.995121951219512	0.995121951219512	0.995121951219512	0	0.995121951219512	0.995121951219512	0.926829268292683	0.731707317073171	0.995121951219512	0.614634146341463	0.995121951219512	0.941463414634146	0.995121951219512	0.731707317073171	0.995121951219512	0.995121951219512	0.995121951219512	0.995121951219512	0.985365853658537	0.995121951219512	0.995121951219512	0.995121951219512	0	0.970731707317073	0.995121951219512	0.995121951219512	0.64390243902439	0.995121951219512	0.990243902439024	0.995121951219512	0.995121951219512	0.995121951219512	0.995121951219512	0.995121951219512	0.995121951219512	0.917073170731707	0.995121951219512	0.68780487804878	0.995121951219512	0.995121951219512	0.995121951219512	0.990243902439024	0.995121951219512	0.995121951219512	0.609756097560976	0	0.995121951219512	0.731707317073171	0.8	0.995121951219512	0.853658536585366	0.995121951219512	0.995121951219512	0.995121951219512	0	0.814634146341463	0.995121951219512	0	0.273170731707317	0.985365853658537
Amphimedon_queenslandica	0.995121951219512	1	1	0.995121951219512		1	1	1	0.824390243902439	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0.931707317073171	0.736585365853659	1	0.619512195121951	1	0.946341463414634	1	0.736585365853659	1	1	1	1	0.990243902439024	1	1	1	0	0.975609756097561	1	1	0.648780487804878	1	0.995121951219512	1	1	1	1	1	1	0.921951219512195	1	0.692682926829268	1	1	1	0.995121951219512	1	1	0.614634146341463	0	1	0.736585365853659	0.804878048780488	1	0.858536585365854	1	1	1	0	0.819512195121951	1	0	0.273170731707317	0.990243902439024
Aphrocallistes_vastus	0.995121951219512	1	1	0.995121951219512	1		1	1	0.824390243902439	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0.931707317073171	0.736585365853659	1	0.619512195121951	1	0.946341463414634	1	0.736585365853659	1	1	1	1	0.990243902439024	1	1	1	0	0.975609756097561	1	1	0.648780487804878	1	0.995121951219512	1	1	1	1	1	1	0.921951219512195	1	0.692682926829268	1	1	1	0.995121951219512	1	1	0.614634146341463	0	1	0.736585365853659	0.804878048780488	1	0.858536585365854	1	1	1	0	0.819512195121951	1	0	0.273170731707317	0.990243902439024
Aurelia_aurita	0.995121951219512	1	1	0.995121951219512	1	1		1	0.824390243902439	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0.931707317073171	0.736585365853659	1	0.619512195121951	1	0.946341463414634	1	0.736585365853659	1	1	1	1	0.990243902439024	1	1	1	0	0.975609756097561	1	1	0.648780487804878	1	0.995121951219512	1	1	1	1	1	1	0.921951219512195	1	0.692682926829268	1	1	1	0.995121951219512	1	1	0.614634146341463	0	1	0.736585365853659	0.804878048780488	1	0.858536585365854	1	1	1	0	0.819512195121951	1	0	0.273170731707317	0.990243902439024
Beroe_abyssicola	0.995121951219512	1	1	0.995121951219512	1	1	1		0.824390243902439	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0.931707317073171	0.736585365853659	1	0.619512195121951	1	0.946341463414634	1	0.736585365853659	1	1	1	1	0.990243902439024	1	1	1	0	0.975609756097561	1	1	0.648780487804878	1	0.995121951219512	1	1	1	1	1	1	0.921951219512195	1	0.692682926829268	1	1	1	0.995121951219512	1	1	0.614634146341463	0	1	0.736585365853659	0.804878048780488	1	0.858536585365854	1	1	1	0	0.819512195121951	1	0	0.273170731707317	0.990243902439024
Bolocera_tuediae	0.819512195121951	0.824390243902439	0.824390243902439	0.819512195121951	0.824390243902439	0.824390243902439	0.824390243902439	0.824390243902439		0.824390243902439	0.824390243902439	0	0.824390243902439	0.824390243902439	0.824390243902439	0.824390243902439	0.824390243902439	0.824390243902439	0.824390243902439	0.824390243902439	0	0.824390243902439	0.824390243902439	0.75609756097561	0.736585365853659	0.824390243902439	0.619512195121951	0.824390243902439	0.775609756097561	0.824390243902439	0.736585365853659	0.824390243902439	0.824390243902439	0.824390243902439	0.824390243902439	0.814634146341463	0.824390243902439	0.824390243902439	0.824390243902439	0	0.8	0.824390243902439	0.824390243902439	0.473170731707317	0.824390243902439	0.824390243902439	0.824390243902439	0.824390243902439	0.824390243902439	0.824390243902439	0.824390243902439	0.824390243902439	0.746341463414634	0.824390243902439	0.692682926829268	0.824390243902439	0.824390243902439	0.824390243902439	0.824390243902439	0.824390243902439	0.824390243902439	0.439024390243902	0	0.824390243902439	0.736585365853659	0.629268292682927	0.824390243902439	0.824390243902439	0.824390243902439	0.824390243902439	0.824390243902439	0	0.819512195121951	0.824390243902439	0	0.273170731707317	0.824390243902439
Botryllus_schlosseri	0.995121951219512	1	1	0.995121951219512	1	1	1	1	0.824390243902439		1	0	1	1	1	1	1	1	1	1	0	1	1	0.931707317073171	0.736585365853659	1	0.619512195121951	1	0.946341463414634	1	0.736585365853659	1	1	1	1	0.990243902439024	1	1	1	0	0.975609756097561	1	1	0.648780487804878	1	0.995121951219512	1	1	1	1	1	1	0.921951219512195	1	0.692682926829268	1	1	1	0.995121951219512	1	1	0.614634146341463	0	1	0.736585365853659	0.804878048780488	1	0.858536585365854	1	1	1	0	0.819512195121951	1	0	0.273170731707317	0.990243902439024
