	Acanthoeca_like_sp_10tr	Acropora_cervicornis	Aiptasia_pallida	Amoebidium	Amphimedon_queenslandica	Aphrocallistes_vastus	Aurelia_aurita	Beroe_abyssicola	Bolocera_tuediae	Botryllus_schlosseri	Branchiostoma_floridae	Buddenbrockia_plumatellae	Capitella_teleta	Capsaspora_owczarzaki_atcc30864	Chondrilla_nucula	Ciona_intestinalis	Clytia_hemisphaerica	Corticium_candelabrum	Craspedacusta_sowerbyi	Crassostrea_gigas	Cyanea_capillata	Daphnia_pulex	Ectopleura_larynx	Edwardsiella_lineata	Enteromyxum_leei	Ephydatia_muelleri	Eunicella_cavolinii	Euplectella_aspergillum	Euplokamis_dunlapae	Gorgonia_ventalina	Helobdella_robusta	Homo_sapiens	Hormathia_digitata	Hydra_magnipapillata	Hydractinia_polyclina	Ilyanassa_obsoleta	Ixodes_scapularis	Kudoa_iwatai	Latimeria_menadoensis	Leucetta_chagosensis	Ministeria_vibrans_atcc50519	Mnemiopsis_leidyi	Monosiga_brevicollis_mx1	Monosiga_ovata	Montastraea_faveolata	Myxobolus_cerebralis	Nanomia_bijuga	Nasonia_vitripennis	Nematostella_vectensis	Octopus_vulgaris	Oscarella	Oscarella_carmela	Patiria_miniata	Pediculus_humanus_corporis	Petromyzon_marinus	Petrosia_ficiformis	Pleurobrachia_pileus	Pocillopora_damicornis	Polypodium_hydriforme	Porites_australiensis	Saccoglossus_kowalevskii	Salpingoeca_sp_ATCC50818	Sarcotragus_fasciculatus	Sphaeroforma_arctica_jp610	Sphaeromyxa_zaharoni	Stephanoeca_diplocostata	Stomolophus_meleagris	Strigamia_maritima	Strongylocentrotus_purpuratus	Sycon_ciliatum	Sycon_coactum	Tetracapsuloides_bryosalmonae	Thelohanellus_kitauei	Trichoplax_adhaerens	Tripedalia_cystophora	Urticina_eques	Vallicula_multiformis
Acanthoeca_like_sp_10tr		0.965957446808511	0.965957446808511	0.965957446808511	0.965957446808511	0.965957446808511	0.965957446808511	0.965957446808511	0.965957446808511	0.817021276595745	0.965957446808511	0	0.965957446808511	0.965957446808511	0.957446808510638	0.965957446808511	0.965957446808511	0.893617021276596	0.965957446808511	0.965957446808511	0.714893617021277	0.965957446808511	0.965957446808511	0.965957446808511	0.957446808510638	0.965957446808511	0.923404255319149	0.965957446808511	0.927659574468085	0.965957446808511	0.965957446808511	0.965957446808511	0.965957446808511	0.965957446808511	0.965957446808511	0.965957446808511	0.957446808510638	0.965957446808511	0.965957446808511	0	0.965957446808511	0.965957446808511	0.965957446808511	0.761702127659574	0.965957446808511	0.965957446808511	0.965957446808511	0.965957446808511	0.965957446808511	0.965957446808511	0.965957446808511	0.965957446808511	0.961702127659574	0.965957446808511	0.965957446808511	0.965957446808511	0.965957446808511	0.965957446808511	0.965957446808511	0.965957446808511	0.965957446808511	0.965957446808511	0.497872340425532	0.965957446808511	0.821276595744681	0.714893617021277	0.965957446808511	0.91063829787234	0.965957446808511	0.965957446808511	0.965957446808511	0	0.85531914893617	0.965957446808511	0.965957446808511	0.834042553191489	0.965957446808511
Acropora_cervicornis	0.965957446808511		1	1	1	1	1	1	1	0.821276595744681	1	0	1	1	0.961702127659574	1	1	0.927659574468085	1	1	0.719148936170213	1	1	1	0.987234042553191	0.995744680851064	0.957446808510638	1	0.961702127659574	1	1	0.995744680851064	1	1	1	1	0.991489361702128	1	1	0	1	1	1	0.765957446808511	1	1	1	1	1	1	1	1	0.995744680851064	1	1	1	1	1	1	1	1	1	0.502127659574468	1	0.825531914893617	0.719148936170213	1	0.914893617021277	1	1	1	0	0.88936170212766	1	1	0.868085106382979	1
Aiptasia_pallida	0.965957446808511	1		1	1	1	1	1	1	0.821276595744681	1	0	1	1	0.961702127659574	1	1	0.927659574468085	1	1	0.719148936170213	1	1	1	0.987234042553191	0.995744680851064	0.957446808510638	1	0.961702127659574	1	1	0.995744680851064	1	1	1	1	0.991489361702128	1	1	0	1	1	1	0.765957446808511	1	1	1	1	1	1	1	1	0.995744680851064	1	1	1	1	1	1	1	1	1	0.502127659574468	1	0.825531914893617	0.719148936170213	1	0.914893617021277	1	1	1	0	0.88936170212766	1	1	0.868085106382979	1
Amoebidium	0.965957446808511	1	1		1	1	1	1	1	0.821276595744681	1	0	1	1	0.961702127659574	1	1	0.927659574468085	1	1	0.719148936170213	1	1	1	0.987234042553191	0.995744680851064	0.957446808510638	1	0.961702127659574	1	1	0.995744680851064	1	1	1	1	0.991489361702128	1	1	0	1	1	1	0.765957446808511	1	1	1	1	1	1	1	1	0.995744680851064	1	1	1	1	1	1	1	1	1	0.502127659574468	1	0.825531914893617	0.719148936170213	1	0.914893617021277	1	1	1	0	0.88936170212766	1	1	0.868085106382979	1
Amphimedon_queenslandica	0.965957446808511	1	1	1		1	1	1	1	0.821276595744681	1	0	1	1	0.961702127659574	1	1	0.927659574468085	1	1	0.719148936170213	1	1	1	0.987234042553191	0.995744680851064	0.957446808510638	1	0.961702127659574	1	1	0.995744680851064	1	1	1	1	0.991489361702128	1	1	0	1	1	1	0.765957446808511	1	1	1	1	1	1	1	1	0.995744680851064	1	1	1	1	1	1	1	1	1	0.502127659574468	1	0.825531914893617	0.719148936170213	1	0.914893617021277	1	1	1	0	0.88936170212766	1	1	0.868085106382979	1
Aphrocallistes_vastus	0.965957446808511	1	1	1	1		1	1	1	0.821276595744681	1	0	1	1	0.961702127659574	1	1	0.927659574468085	1	1	0.719148936170213	1	1	1	0.987234042553191	0.995744680851064	0.957446808510638	1	0.961702127659574	1	1	0.995744680851064	1	1	1	1	0.991489361702128	1	1	0	1	1	1	0.765957446808511	1	1	1	1	1	1	1	1	0.995744680851064	1	1	1	1	1	1	1	1	1	0.502127659574468	1	0.825531914893617	0.719148936170213	1	0.914893617021277	1	1	1	0	0.88936170212766	1	1	0.868085106382979	1
Aurelia_aurita	0.965957446808511	1	1	1	1	1		1	1	0.821276595744681	1	0	1	1	0.961702127659574	1	1	0.927659574468085	1	1	0.719148936170213	1	1	1	0.987234042553191	0.995744680851064	0.957446808510638	1	0.961702127659574	1	1	0.995744680851064	1	1	1	1	0.991489361702128	1	1	0	1	1	1	0.765957446808511	1	1	1	1	1	1	1	1	0.995744680851064	1	1	1	1	1	1	1	1	1	0.502127659574468	1	0.825531914893617	0.719148936170213	1	0.914893617021277	1	1	1	0	0.88936170212766	1	1	0.868085106382979	1
Beroe_abyssicola	0.965957446808511	1	1	1	1	1	1		1	0.821276595744681	1	0	1	1	0.961702127659574	1	1	0.927659574468085	1	1	0.719148936170213	1	1	1	0.987234042553191	0.995744680851064	0.957446808510638	1	0.961702127659574	1	1	0.995744680851064	1	1	1	1	0.991489361702128	1	1	0	1	1	1	0.765957446808511	1	1	1	1	1	1	1	1	0.995744680851064	1	1	1	1	1	1	1	1	1	0.502127659574468	1	0.825531914893617	0.719148936170213	1	0.914893617021277	1	1	1	0	0.88936170212766	1	1	0.868085106382979	1
Bolocera_tuediae	0.965957446808511	1	1	1	1	1	1	1		0.821276595744681	1	0	1	1	0.961702127659574	1	1	0.927659574468085	1	1	0.719148936170213	1	1	1	0.987234042553191	0.995744680851064	0.957446808510638	1	0.961702127659574	1	1	0.995744680851064	1	1	1	1	0.991489361702128	1	1	0	1	1	1	0.765957446808511	1	1	1	1	1	1	1	1	0.995744680851064	1	1	1	1	1	1	1	1	1	0.502127659574468	1	0.825531914893617	0.719148936170213	1	0.914893617021277	1	1	1	0	0.88936170212766	1	1	0.868085106382979	1
Botryllus_schlosseri	0.817021276595745	0.821276595744681	0.821276595744681	0.821276595744681	0.821276595744681	0.821276595744681	0.821276595744681	0.821276595744681	0.821276595744681		0.821276595744681	0	0.821276595744681	0.821276595744681	0.821276595744681	0.821276595744681	0.821276595744681	0.748936170212766	0.821276595744681	0.821276595744681	0.719148936170213	0.821276595744681	0.821276595744681	0.821276595744681	0.812765957446808	0.817021276595745	0.778723404255319	0.821276595744681	0.782978723404255	0.821276595744681	0.821276595744681	0.821276595744681	0.821276595744681	0.821276595744681	0.821276595744681	0.821276595744681	0.821276595744681	0.821276595744681	0.821276595744681	0	0.821276595744681	0.821276595744681	0.821276595744681	0.765957446808511	0.821276595744681	0.821276595744681	0.821276595744681	0.821276595744681	0.821276595744681	0.821276595744681	0.821276595744681	0.821276595744681	0.817021276595745	0.821276595744681	0.821276595744681	0.821276595744681	0.821276595744681	0.821276595744681	0.821276595744681	0.821276595744681	0.821276595744681	0.821276595744681	0.502127659574468	0.821276595744681	0.821276595744681	0.719148936170213	0.821276595744681	0.821276595744681	0.821276595744681	0.821276595744681	0.821276595744681	0	0.8	0.821276595744681	0.821276595744681	0.68936170212766	0.821276595744681
