	Acanthoeca_like_sp_10tr	Acropora_cervicornis	Aiptasia_pallida	Amoebidium	Amphimedon_queenslandica	Aphrocallistes_vastus	Aurelia_aurita	Beroe_abyssicola	Bolocera_tuediae	Botryllus_schlosseri	Branchiostoma_floridae	Buddenbrockia_plumatellae	Capitella_teleta	Capsaspora_owczarzaki_atcc30864	Chondrilla_nucula	Ciona_intestinalis	Clytia_hemisphaerica	Corticium_candelabrum	Craspedacusta_sowerbyi	Crassostrea_gigas	Cyanea_capillata	Daphnia_pulex	Ectopleura_larynx	Edwardsiella_lineata	Enteromyxum_leei	Ephydatia_muelleri	Eunicella_cavolinii	Euplectella_aspergillum	Euplokamis_dunlapae	Gorgonia_ventalina	Helobdella_robusta	Homo_sapiens	Hormathia_digitata	Hydra_magnipapillata	Hydractinia_polyclina	Ilyanassa_obsoleta	Ixodes_scapularis	Kudoa_iwatai	Latimeria_menadoensis	Leucetta_chagosensis	Ministeria_vibrans_atcc50519	Mnemiopsis_leidyi	Monosiga_brevicollis_mx1	Monosiga_ovata	Montastraea_faveolata	Myxobolus_cerebralis	Nanomia_bijuga	Nasonia_vitripennis	Nematostella_vectensis	Octopus_vulgaris	Oscarella	Oscarella_carmela	Patiria_miniata	Pediculus_humanus_corporis	Petromyzon_marinus	Petrosia_ficiformis	Pleurobrachia_pileus	Pocillopora_damicornis	Polypodium_hydriforme	Porites_australiensis	Saccoglossus_kowalevskii	Salpingoeca_sp_ATCC50818	Sarcotragus_fasciculatus	Sphaeroforma_arctica_jp610	Sphaeromyxa_zaharoni	Stephanoeca_diplocostata	Stomolophus_meleagris	Strigamia_maritima	Strongylocentrotus_purpuratus	Sycon_ciliatum	Sycon_coactum	Tetracapsuloides_bryosalmonae	Thelohanellus_kitauei	Trichoplax_adhaerens	Tripedalia_cystophora	Urticina_eques	Vallicula_multiformis
Acanthoeca_like_sp_10tr		0.909375	1	1	0.440625	1	0.109375	1	0.78125	0	1	0	1	1	0.925	0.996875	0.95625	1	1	1	0	1	1	1	0.85	1	1	0.996875	0	1	1	1	0.871875	1	1	0.5875	1	0	1	0	1	1	1	1	1	0.990625	1	1	0.915625	1	0.971875	1	0.909375	0.99375	0.415625	1	0.928125	0.85	1	0	1	1	1	1	1	0.9125	1	0.8375	1	1	1	0	0	1	0.928125	0.4625	1
Acropora_cervicornis	0.909375		0.909375	0.909375	0.35	0.909375	0.109375	0.909375	0.690625	0	0.909375	0	0.909375	0.909375	0.834375	0.90625	0.865625	0.909375	0.909375	0.909375	0	0.909375	0.909375	0.909375	0.759375	0.909375	0.909375	0.90625	0	0.909375	0.909375	0.909375	0.8	0.909375	0.909375	0.496875	0.909375	0	0.909375	0	0.909375	0.909375	0.909375	0.909375	0.909375	0.9	0.909375	0.909375	0.825	0.909375	0.88125	0.909375	0.86875	0.903125	0.359375	0.909375	0.8375	0.759375	0.909375	0	0.909375	0.909375	0.909375	0.909375	0.909375	0.821875	0.909375	0.746875	0.909375	0.909375	0.909375	0	0	0.909375	0.8375	0.371875	0.909375
Aiptasia_pallida	1	0.909375		1	0.440625	1	0.109375	1	0.78125	0	1	0	1	1	0.925	0.996875	0.95625	1	1	1	0	1	1	1	0.85	1	1	0.996875	0	1	1	1	0.871875	1	1	0.5875	1	0	1	0	1	1	1	1	1	0.990625	1	1	0.915625	1	0.971875	1	0.909375	0.99375	0.415625	1	0.928125	0.85	1	0	1	1	1	1	1	0.9125	1	0.8375	1	1	1	0	0	1	0.928125	0.4625	1
Amoebidium	1	0.909375	1		0.440625	1	0.109375	1	0.78125	0	1	0	1	1	0.925	0.996875	0.95625	1	1	1	0	1	1	1	0.85	1	1	0.996875	0	1	1	1	0.871875	1	1	0.5875	1	0	1	0	1	1	1	1	1	0.990625	1	1	0.915625	1	0.971875	1	0.909375	0.99375	0.415625	1	0.928125	0.85	1	0	1	1	1	1	1	0.9125	1	0.8375	1	1	1	0	0	1	0.928125	0.4625	1
Amphimedon_queenslandica	0.440625	0.35	0.440625	0.440625		0.440625	0	0.440625	0.353125	0	0.440625	0	0.440625	0.440625	0.440625	0.440625	0.396875	0.440625	0.440625	0.440625	0	0.440625	0.440625	0.440625	0.4375	0.440625	0.440625	0.4375	0	0.440625	0.440625	0.440625	0.3125	0.440625	0.440625	0.3125	0.440625	0	0.440625	0	0.440625	0.440625	0.440625	0.440625	0.440625	0.440625	0.440625	0.440625	0.440625	0.440625	0.4375	0.440625	0.35	0.440625	0.3	0.440625	0.440625	0.3875	0.440625	0	0.440625	0.440625	0.440625	0.440625	0.440625	0.440625	0.440625	0.440625	0.440625	0.440625	0.440625	0	0	0.440625	0.440625	0.365625	0.440625
Aphrocallistes_vastus	1	0.909375	1	1	0.440625		0.109375	1	0.78125	0	1	0	1	1	0.925	0.996875	0.95625	1	1	1	0	1	1	1	0.85	1	1	0.996875	0	1	1	1	0.871875	1	1	0.5875	1	0	1	0	1	1	1	1	1	0.990625	1	1	0.915625	1	0.971875	1	0.909375	0.99375	0.415625	1	0.928125	0.85	1	0	1	1	1	1	1	0.9125	1	0.8375	1	1	1	0	0	1	0.928125	0.4625	1
Aurelia_aurita	0.109375	0.109375	0.109375	0.109375	0	0.109375		0.109375	0.075	0	0.109375	0	0.109375	0.109375	0.109375	0.109375	0.109375	0.109375	0.109375	0.109375	0	0.109375	0.109375	0.109375	0.109375	0.109375	0.109375	0.109375	0	0.109375	0.109375	0.109375	0.109375	0.109375	0.109375	0	0.109375	0	0.109375	0	0.109375	0.109375	0.109375	0.109375	0.109375	0.109375	0.109375	0.109375	0.09375	0.109375	0.109375	0.109375	0.109375	0.109375	0	0.109375	0.109375	0.0875	0.109375	0	0.109375	0.109375	0.109375	0.109375	0.109375	0.109375	0.109375	0.0875	0.109375	0.109375	0.109375	0	0	0.109375	0.109375	0.025	0.109375
Beroe_abyssicola	1	0.909375	1	1	0.440625	1	0.109375		0.78125	0	1	0	1	1	0.925	0.996875	0.95625	1	1	1	0	1	1	1	0.85	1	1	0.996875	0	1	1	1	0.871875	1	1	0.5875	1	0	1	0	1	1	1	1	1	0.990625	1	1	0.915625	1	0.971875	1	0.909375	0.99375	0.415625	1	0.928125	0.85	1	0	1	1	1	1	1	0.9125	1	0.8375	1	1	1	0	0	1	0.928125	0.4625	1
Bolocera_tuediae	0.78125	0.690625	0.78125	0.78125	0.353125	0.78125	0.075	0.78125		0	0.78125	0	0.78125	0.78125	0.76875	0.778125	0.78125	0.78125	0.78125	0.78125	0	0.78125	0.78125	0.78125	0.69375	0.78125	0.78125	0.78125	0	0.78125	0.78125	0.78125	0.653125	0.78125	0.78125	0.525	0.78125	0	0.78125	0	0.78125	0.78125	0.78125	0.78125	0.78125	0.78125	0.78125	0.78125	0.740625	0.78125	0.778125	0.78125	0.721875	0.78125	0.328125	0.78125	0.771875	0.74375	0.78125	0	0.78125	0.78125	0.78125	0.78125	0.78125	0.75625	0.78125	0.68125	0.78125	0.78125	0.78125	0	0	0.78125	0.771875	0.375	0.78125
Botryllus_schlosseri	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
