	Acanthoeca_like_sp_10tr	Acropora_cervicornis	Aiptasia_pallida	Amoebidium	Amphimedon_queenslandica	Aphrocallistes_vastus	Aurelia_aurita	Beroe_abyssicola	Bolocera_tuediae	Botryllus_schlosseri	Branchiostoma_floridae	Buddenbrockia_plumatellae	Capitella_teleta	Capsaspora_owczarzaki_atcc30864	Chondrilla_nucula	Ciona_intestinalis	Clytia_hemisphaerica	Corticium_candelabrum	Craspedacusta_sowerbyi	Crassostrea_gigas	Cyanea_capillata	Daphnia_pulex	Ectopleura_larynx	Edwardsiella_lineata	Enteromyxum_leei	Ephydatia_muelleri	Eunicella_cavolinii	Euplectella_aspergillum	Euplokamis_dunlapae	Gorgonia_ventalina	Helobdella_robusta	Homo_sapiens	Hormathia_digitata	Hydra_magnipapillata	Hydractinia_polyclina	Ilyanassa_obsoleta	Ixodes_scapularis	Kudoa_iwatai	Latimeria_menadoensis	Leucetta_chagosensis	Ministeria_vibrans_atcc50519	Mnemiopsis_leidyi	Monosiga_brevicollis_mx1	Monosiga_ovata	Montastraea_faveolata	Myxobolus_cerebralis	Nanomia_bijuga	Nasonia_vitripennis	Nematostella_vectensis	Octopus_vulgaris	Oscarella	Oscarella_carmela	Patiria_miniata	Pediculus_humanus_corporis	Petromyzon_marinus	Petrosia_ficiformis	Pleurobrachia_pileus	Pocillopora_damicornis	Polypodium_hydriforme	Porites_australiensis	Saccoglossus_kowalevskii	Salpingoeca_sp_ATCC50818	Sarcotragus_fasciculatus	Sphaeroforma_arctica_jp610	Sphaeromyxa_zaharoni	Stephanoeca_diplocostata	Stomolophus_meleagris	Strigamia_maritima	Strongylocentrotus_purpuratus	Sycon_ciliatum	Sycon_coactum	Tetracapsuloides_bryosalmonae	Thelohanellus_kitauei	Trichoplax_adhaerens	Tripedalia_cystophora	Urticina_eques	Vallicula_multiformis
Acanthoeca_like_sp_10tr		1	1	1	1	1	1	0.995061728395062	0.91358024691358	0.908641975308642	1	0	1	1	1	1	1	0.992592592592593	1	1	0	1	1	0.975308641975309	0.896296296296296	1	1	1	0.995061728395062	1	0.874074074074074	1	1	1	1	1	1	1	1	0	0.906172839506173	0.955555555555556	0.997530864197531	1	1	0.990123456790123	1	1	1	1	1	1	1	0.871604938271605	0.948148148148148	1	0.995061728395062	1	1	1	1	0.997530864197531	0.874074074074074	0.995061728395062	1	1	1	0.804938271604938	0.950617283950617	1	1	0.419753086419753	1	1	0	0	0.995061728395062
Acropora_cervicornis	1		1	1	1	1	1	0.995061728395062	0.91358024691358	0.908641975308642	1	0	1	1	1	1	1	0.992592592592593	1	1	0	1	1	0.975308641975309	0.896296296296296	1	1	1	0.995061728395062	1	0.874074074074074	1	1	1	1	1	1	1	1	0	0.906172839506173	0.955555555555556	0.997530864197531	1	1	0.990123456790123	1	1	1	1	1	1	1	0.871604938271605	0.948148148148148	1	0.995061728395062	1	1	1	1	0.997530864197531	0.874074074074074	0.995061728395062	1	1	1	0.804938271604938	0.950617283950617	1	1	0.419753086419753	1	1	0	0	0.995061728395062
Aiptasia_pallida	1	1		1	1	1	1	0.995061728395062	0.91358024691358	0.908641975308642	1	0	1	1	1	1	1	0.992592592592593	1	1	0	1	1	0.975308641975309	0.896296296296296	1	1	1	0.995061728395062	1	0.874074074074074	1	1	1	1	1	1	1	1	0	0.906172839506173	0.955555555555556	0.997530864197531	1	1	0.990123456790123	1	1	1	1	1	1	1	0.871604938271605	0.948148148148148	1	0.995061728395062	1	1	1	1	0.997530864197531	0.874074074074074	0.995061728395062	1	1	1	0.804938271604938	0.950617283950617	1	1	0.419753086419753	1	1	0	0	0.995061728395062
Amoebidium	1	1	1		1	1	1	0.995061728395062	0.91358024691358	0.908641975308642	1	0	1	1	1	1	1	0.992592592592593	1	1	0	1	1	0.975308641975309	0.896296296296296	1	1	1	0.995061728395062	1	0.874074074074074	1	1	1	1	1	1	1	1	0	0.906172839506173	0.955555555555556	0.997530864197531	1	1	0.990123456790123	1	1	1	1	1	1	1	0.871604938271605	0.948148148148148	1	0.995061728395062	1	1	1	1	0.997530864197531	0.874074074074074	0.995061728395062	1	1	1	0.804938271604938	0.950617283950617	1	1	0.419753086419753	1	1	0	0	0.995061728395062
Amphimedon_queenslandica	1	1	1	1		1	1	0.995061728395062	0.91358024691358	0.908641975308642	1	0	1	1	1	1	1	0.992592592592593	1	1	0	1	1	0.975308641975309	0.896296296296296	1	1	1	0.995061728395062	1	0.874074074074074	1	1	1	1	1	1	1	1	0	0.906172839506173	0.955555555555556	0.997530864197531	1	1	0.990123456790123	1	1	1	1	1	1	1	0.871604938271605	0.948148148148148	1	0.995061728395062	1	1	1	1	0.997530864197531	0.874074074074074	0.995061728395062	1	1	1	0.804938271604938	0.950617283950617	1	1	0.419753086419753	1	1	0	0	0.995061728395062
Aphrocallistes_vastus	1	1	1	1	1		1	0.995061728395062	0.91358024691358	0.908641975308642	1	0	1	1	1	1	1	0.992592592592593	1	1	0	1	1	0.975308641975309	0.896296296296296	1	1	1	0.995061728395062	1	0.874074074074074	1	1	1	1	1	1	1	1	0	0.906172839506173	0.955555555555556	0.997530864197531	1	1	0.990123456790123	1	1	1	1	1	1	1	0.871604938271605	0.948148148148148	1	0.995061728395062	1	1	1	1	0.997530864197531	0.874074074074074	0.995061728395062	1	1	1	0.804938271604938	0.950617283950617	1	1	0.419753086419753	1	1	0	0	0.995061728395062
Aurelia_aurita	1	1	1	1	1	1		0.995061728395062	0.91358024691358	0.908641975308642	1	0	1	1	1	1	1	0.992592592592593	1	1	0	1	1	0.975308641975309	0.896296296296296	1	1	1	0.995061728395062	1	0.874074074074074	1	1	1	1	1	1	1	1	0	0.906172839506173	0.955555555555556	0.997530864197531	1	1	0.990123456790123	1	1	1	1	1	1	1	0.871604938271605	0.948148148148148	1	0.995061728395062	1	1	1	1	0.997530864197531	0.874074074074074	0.995061728395062	1	1	1	0.804938271604938	0.950617283950617	1	1	0.419753086419753	1	1	0	0	0.995061728395062
Beroe_abyssicola	0.995061728395062	0.995061728395062	0.995061728395062	0.995061728395062	0.995061728395062	0.995061728395062	0.995061728395062		0.908641975308642	0.903703703703704	0.995061728395062	0	0.995061728395062	0.995061728395062	0.995061728395062	0.995061728395062	0.995061728395062	0.987654320987654	0.995061728395062	0.995061728395062	0	0.995061728395062	0.995061728395062	0.97037037037037	0.896296296296296	0.995061728395062	0.995061728395062	0.995061728395062	0.995061728395062	0.995061728395062	0.874074074074074	0.995061728395062	0.995061728395062	0.995061728395062	0.995061728395062	0.995061728395062	0.995061728395062	0.995061728395062	0.995061728395062	0	0.901234567901235	0.955555555555556	0.992592592592593	0.995061728395062	0.995061728395062	0.985185185185185	0.995061728395062	0.995061728395062	0.995061728395062	0.995061728395062	0.995061728395062	0.995061728395062	0.995061728395062	0.866666666666667	0.94320987654321	0.995061728395062	0.995061728395062	0.995061728395062	0.995061728395062	0.995061728395062	0.995061728395062	0.992592592592593	0.869135802469136	0.990123456790123	0.995061728395062	0.995061728395062	0.995061728395062	0.8	0.945679012345679	0.995061728395062	0.995061728395062	0.419753086419753	0.995061728395062	0.995061728395062	0	0	0.995061728395062
Bolocera_tuediae	0.91358024691358	0.91358024691358	0.91358024691358	0.91358024691358	0.91358024691358	0.91358024691358	0.91358024691358	0.908641975308642		0.822222222222222	0.91358024691358	0	0.91358024691358	0.91358024691358	0.91358024691358	0.91358024691358	0.91358024691358	0.906172839506173	0.91358024691358	0.91358024691358	0	0.91358024691358	0.91358024691358	0.888888888888889	0.809876543209877	0.91358024691358	0.91358024691358	0.91358024691358	0.908641975308642	0.91358024691358	0.814814814814815	0.91358024691358	0.91358024691358	0.91358024691358	0.91358024691358	0.91358024691358	0.91358024691358	0.91358024691358	0.91358024691358	0	0.819753086419753	0.869135802469136	0.911111111111111	0.91358024691358	0.91358024691358	0.91358024691358	0.91358024691358	0.91358024691358	0.91358024691358	0.91358024691358	0.91358024691358	0.91358024691358	0.91358024691358	0.785185185185185	0.861728395061728	0.91358024691358	0.908641975308642	0.91358024691358	0.91358024691358	0.91358024691358	0.91358024691358	0.911111111111111	0.787654320987654	0.91358024691358	0.91358024691358	0.91358024691358	0.91358024691358	0.718518518518519	0.864197530864197	0.91358024691358	0.91358024691358	0.419753086419753	0.91358024691358	0.91358024691358	0	0	0.908641975308642
Botryllus_schlosseri	0.908641975308642	0.908641975308642	0.908641975308642	0.908641975308642	0.908641975308642	0.908641975308642	0.908641975308642	0.903703703703704	0.822222222222222		0.908641975308642	0	0.908641975308642	0.908641975308642	0.908641975308642	0.908641975308642	0.908641975308642	0.901234567901235	0.908641975308642	0.908641975308642	0	0.908641975308642	0.908641975308642	0.883950617283951	0.804938271604938	0.908641975308642	0.908641975308642	0.908641975308642	0.903703703703704	0.908641975308642	0.782716049382716	0.908641975308642	0.908641975308642	0.908641975308642	0.908641975308642	0.908641975308642	0.908641975308642	0.908641975308642	0.908641975308642	0	0.814814814814815	0.864197530864197	0.906172839506173	0.908641975308642	0.908641975308642	0.898765432098765	0.908641975308642	0.908641975308642	0.908641975308642	0.908641975308642	0.908641975308642	0.908641975308642	0.908641975308642	0.854320987654321	0.85679012345679	0.908641975308642	0.903703703703704	0.908641975308642	0.908641975308642	0.908641975308642	0.908641975308642	0.906172839506173	0.782716049382716	0.903703703703704	0.908641975308642	0.908641975308642	0.908641975308642	0.71358024691358	0.859259259259259	0.908641975308642	0.908641975308642	0.419753086419753	0.908641975308642	0.908641975308642	0	0	0.903703703703704
