	Acanthoeca_like_sp_10tr	Acropora_cervicornis	Aiptasia_pallida	Amoebidium	Amphimedon_queenslandica	Aphrocallistes_vastus	Aurelia_aurita	Beroe_abyssicola	Bolocera_tuediae	Botryllus_schlosseri	Branchiostoma_floridae	Buddenbrockia_plumatellae	Capitella_teleta	Capsaspora_owczarzaki_atcc30864	Chondrilla_nucula	Ciona_intestinalis	Clytia_hemisphaerica	Corticium_candelabrum	Craspedacusta_sowerbyi	Crassostrea_gigas	Cyanea_capillata	Daphnia_pulex	Ectopleura_larynx	Edwardsiella_lineata	Enteromyxum_leei	Ephydatia_muelleri	Eunicella_cavolinii	Euplectella_aspergillum	Euplokamis_dunlapae	Gorgonia_ventalina	Helobdella_robusta	Homo_sapiens	Hormathia_digitata	Hydra_magnipapillata	Hydractinia_polyclina	Ilyanassa_obsoleta	Ixodes_scapularis	Kudoa_iwatai	Latimeria_menadoensis	Leucetta_chagosensis	Ministeria_vibrans_atcc50519	Mnemiopsis_leidyi	Monosiga_brevicollis_mx1	Monosiga_ovata	Montastraea_faveolata	Myxobolus_cerebralis	Nanomia_bijuga	Nasonia_vitripennis	Nematostella_vectensis	Octopus_vulgaris	Oscarella	Oscarella_carmela	Patiria_miniata	Pediculus_humanus_corporis	Petromyzon_marinus	Petrosia_ficiformis	Pleurobrachia_pileus	Pocillopora_damicornis	Polypodium_hydriforme	Porites_australiensis	Saccoglossus_kowalevskii	Salpingoeca_sp_ATCC50818	Sarcotragus_fasciculatus	Sphaeroforma_arctica_jp610	Sphaeromyxa_zaharoni	Stephanoeca_diplocostata	Stomolophus_meleagris	Strigamia_maritima	Strongylocentrotus_purpuratus	Sycon_ciliatum	Sycon_coactum	Tetracapsuloides_bryosalmonae	Thelohanellus_kitauei	Trichoplax_adhaerens	Tripedalia_cystophora	Urticina_eques	Vallicula_multiformis
Acanthoeca_like_sp_10tr		0.977970102281668	0.982690794649882	0.979543666404406	0.982690794649882	0.981904012588513	0	0	0.74822974036192	0	0.982690794649882	0.0479937057435091	0.982690794649882	0.980330448465775	0.974036191974823	0.982690794649882	0.982690794649882	0.982690794649882	0.982690794649882	0.982690794649882	0	0.982690794649882	0.982690794649882	0.975609756097561	0.889063729346971	0.982690794649882	0.0597954366640441	0	0.348544453186467	0.982690794649882	0.982690794649882	0.982690794649882	0.571990558615264	0.982690794649882	0.982690794649882	0.982690794649882	0.982690794649882	0.982690794649882	0.970889063729347	0	0.650668764752164	0.935483870967742	0.981117230527144	0.687647521636507	0.982690794649882	0.982690794649882	0.982690794649882	0.982690794649882	0.982690794649882	0.982690794649882	0.95279307631786	0.965381589299764	0.634146341463415	0.982690794649882	0.712824547600315	0.982690794649882	0.531077891424076	0.841070023603462	0.982690794649882	0.982690794649882	0.982690794649882	0.980330448465775	0.245476003147128	0.979543666404406	0.982690794649882	0.981117230527144	0.955940204563336	0.970889063729347	0.982690794649882	0.982690794649882	0.982690794649882	0	0.982690794649882	0.982690794649882	0.02360346184107	0	0.970889063729347
Acropora_cervicornis	0.977970102281668		0.995279307631786	0.99213217938631	0.995279307631786	0.994492525570417	0	0	0.756884343036979	0	0.995279307631786	0.0479937057435091	0.995279307631786	0.992918961447679	0.986624704956727	0.995279307631786	0.995279307631786	0.995279307631786	0.995279307631786	0.995279307631786	0	0.995279307631786	0.995279307631786	0.988198269079465	0.901652242328875	0.995279307631786	0.0597954366640441	0	0.349331235247836	0.995279307631786	0.995279307631786	0.995279307631786	0.588512981904013	0.995279307631786	0.995279307631786	0.995279307631786	0.995279307631786	0.995279307631786	0.983477576711251	0	0.662470495672699	0.948072383949646	0.993705743509048	0.688434303697876	0.995279307631786	0.995279307631786	0.995279307631786	0.995279307631786	0.995279307631786	0.995279307631786	0.965381589299764	0.977970102281668	0.646734854445319	0.995279307631786	0.72462627852085	0.995279307631786	0.531864673485445	0.841856805664831	0.995279307631786	0.995279307631786	0.995279307631786	0.992918961447679	0.245476003147128	0.99213217938631	0.995279307631786	0.977183320220299	0.967741935483871	0.983477576711251	0.995279307631786	0.995279307631786	0.995279307631786	0	0.995279307631786	0.995279307631786	0.02360346184107	0	0.97639653815893
Aiptasia_pallida	0.982690794649882	0.995279307631786		0.996852871754524	1	0.999213217938631	0	0	0.761605035405193	0	1	0.0479937057435091	1	0.997639653815893	0.991345397324941	1	1	1	1	1	0	1	1	0.992918961447679	0.906372934697089	1	0.0597954366640441	0	0.349331235247836	1	1	1	0.588512981904013	1	1	1	1	1	0.988198269079465	0	0.667191188040913	0.95279307631786	0.998426435877262	0.688434303697876	1	1	1	1	1	1	0.970102281667978	0.982690794649882	0.651455546813533	1	0.729346970889064	1	0.531864673485445	0.841856805664831	1	1	1	0.997639653815893	0.245476003147128	0.996852871754524	1	0.981904012588513	0.972462627852085	0.988198269079465	1	1	1	0	1	1	0.02360346184107	0	0.981117230527144
Amoebidium	0.979543666404406	0.99213217938631	0.996852871754524		0.996852871754524	0.996066089693155	0	0	0.758457907159717	0	0.996852871754524	0.0479937057435091	0.996852871754524	0.996852871754524	0.988198269079465	0.996852871754524	0.996852871754524	0.996852871754524	0.996852871754524	0.996852871754524	0	0.996852871754524	0.996852871754524	0.989771833202203	0.903225806451613	0.996852871754524	0.0597954366640441	0	0.34618410700236	0.996852871754524	0.996852871754524	0.996852871754524	0.587726199842644	0.996852871754524	0.996852871754524	0.996852871754524	0.996852871754524	0.996852871754524	0.985051140833989	0	0.667191188040913	0.949645948072384	0.995279307631786	0.6852871754524	0.996852871754524	0.996852871754524	0.996852871754524	0.996852871754524	0.996852871754524	0.996852871754524	0.966955153422502	0.979543666404406	0.651455546813533	0.996852871754524	0.728560188827695	0.996852871754524	0.529504327301338	0.838709677419355	0.996852871754524	0.996852871754524	0.996852871754524	0.994492525570417	0.243115656963021	0.996852871754524	0.996852871754524	0.978756884343037	0.971675845790716	0.985051140833989	0.996852871754524	0.996852871754524	0.996852871754524	0	0.996852871754524	0.996852871754524	0.021243115656963	0	0.977970102281668
Amphimedon_queenslandica	0.982690794649882	0.995279307631786	1	0.996852871754524		0.999213217938631	0	0	0.761605035405193	0	1	0.0479937057435091	1	0.997639653815893	0.991345397324941	1	1	1	1	1	0	1	1	0.992918961447679	0.906372934697089	1	0.0597954366640441	0	0.349331235247836	1	1	1	0.588512981904013	1	1	1	1	1	0.988198269079465	0	0.667191188040913	0.95279307631786	0.998426435877262	0.688434303697876	1	1	1	1	1	1	0.970102281667978	0.982690794649882	0.651455546813533	1	0.729346970889064	1	0.531864673485445	0.841856805664831	1	1	1	0.997639653815893	0.245476003147128	0.996852871754524	1	0.981904012588513	0.972462627852085	0.988198269079465	1	1	1	0	1	1	0.02360346184107	0	0.981117230527144
Aphrocallistes_vastus	0.981904012588513	0.994492525570417	0.999213217938631	0.996066089693155	0.999213217938631		0	0	0.761605035405193	0	0.999213217938631	0.0479937057435091	0.999213217938631	0.996852871754524	0.990558615263572	0.999213217938631	0.999213217938631	0.999213217938631	0.999213217938631	0.999213217938631	0	0.999213217938631	0.999213217938631	0.99213217938631	0.906372934697089	0.999213217938631	0.0597954366640441	0	0.349331235247836	0.999213217938631	0.999213217938631	0.999213217938631	0.588512981904013	0.999213217938631	0.999213217938631	0.999213217938631	0.999213217938631	0.999213217938631	0.987411487018096	0	0.667191188040913	0.952006294256491	0.997639653815893	0.688434303697876	0.999213217938631	0.999213217938631	0.999213217938631	0.999213217938631	0.999213217938631	0.999213217938631	0.969315499606609	0.981904012588513	0.650668764752164	0.999213217938631	0.729346970889064	0.999213217938631	0.531864673485445	0.841070023603462	0.999213217938631	0.999213217938631	0.999213217938631	0.996852871754524	0.244689221085759	0.996066089693155	0.999213217938631	0.981117230527144	0.971675845790716	0.987411487018096	0.999213217938631	0.999213217938631	0.999213217938631	0	0.999213217938631	0.999213217938631	0.02360346184107	0	0.980330448465775
Aurelia_aurita	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Beroe_abyssicola	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bolocera_tuediae	0.74822974036192	0.756884343036979	0.761605035405193	0.758457907159717	0.761605035405193	0.761605035405193	0	0		0	0.761605035405193	0.0479937057435091	0.761605035405193	0.759244689221086	0.761605035405193	0.761605035405193	0.761605035405193	0.761605035405193	0.761605035405193	0.761605035405193	0	0.761605035405193	0.761605035405193	0.761605035405193	0.760818253343824	0.761605035405193	0.0597954366640441	0	0.33831628638867	0.761605035405193	0.761605035405193	0.761605035405193	0.516915814319434	0.761605035405193	0.761605035405193	0.761605035405193	0.761605035405193	0.761605035405193	0.761605035405193	0	0.482297403619197	0.726986624704957	0.760031471282455	0.652242328874902	0.761605035405193	0.761605035405193	0.761605035405193	0.761605035405193	0.761605035405193	0.761605035405193	0.760031471282455	0.753737214791503	0.473642800944138	0.761605035405193	0.553894571203777	0.761605035405193	0.524783634933124	0.695515342250197	0.761605035405193	0.761605035405193	0.761605035405193	0.759244689221086	0.199055861526357	0.758457907159717	0.761605035405193	0.749016522423289	0.734067663257278	0.761605035405193	0.761605035405193	0.761605035405193	0.761605035405193	0	0.761605035405193	0.761605035405193	0.02360346184107	0	0.754523996852872
Botryllus_schlosseri	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
