	Acanthoeca_like_sp_10tr	Acropora_cervicornis	Aiptasia_pallida	Amoebidium	Amphimedon_queenslandica	Aphrocallistes_vastus	Aurelia_aurita	Beroe_abyssicola	Bolocera_tuediae	Botryllus_schlosseri	Branchiostoma_floridae	Buddenbrockia_plumatellae	Capitella_teleta	Capsaspora_owczarzaki_atcc30864	Chondrilla_nucula	Ciona_intestinalis	Clytia_hemisphaerica	Corticium_candelabrum	Craspedacusta_sowerbyi	Crassostrea_gigas	Cyanea_capillata	Daphnia_pulex	Ectopleura_larynx	Edwardsiella_lineata	Enteromyxum_leei	Ephydatia_muelleri	Eunicella_cavolinii	Euplectella_aspergillum	Euplokamis_dunlapae	Gorgonia_ventalina	Helobdella_robusta	Homo_sapiens	Hormathia_digitata	Hydra_magnipapillata	Hydractinia_polyclina	Ilyanassa_obsoleta	Ixodes_scapularis	Kudoa_iwatai	Latimeria_menadoensis	Leucetta_chagosensis	Ministeria_vibrans_atcc50519	Mnemiopsis_leidyi	Monosiga_brevicollis_mx1	Monosiga_ovata	Montastraea_faveolata	Myxobolus_cerebralis	Nanomia_bijuga	Nasonia_vitripennis	Nematostella_vectensis	Octopus_vulgaris	Oscarella	Oscarella_carmela	Patiria_miniata	Pediculus_humanus_corporis	Petromyzon_marinus	Petrosia_ficiformis	Pleurobrachia_pileus	Pocillopora_damicornis	Polypodium_hydriforme	Porites_australiensis	Saccoglossus_kowalevskii	Salpingoeca_sp_ATCC50818	Sarcotragus_fasciculatus	Sphaeroforma_arctica_jp610	Sphaeromyxa_zaharoni	Stephanoeca_diplocostata	Stomolophus_meleagris	Strigamia_maritima	Strongylocentrotus_purpuratus	Sycon_ciliatum	Sycon_coactum	Tetracapsuloides_bryosalmonae	Thelohanellus_kitauei	Trichoplax_adhaerens	Tripedalia_cystophora	Urticina_eques	Vallicula_multiformis
Acanthoeca_like_sp_10tr		0.997076023391813	0.903508771929825	0.997076023391813	0.809941520467836	0.997076023391813	0.953216374269006	0.997076023391813	0.997076023391813	0.950292397660819	0.997076023391813	0	0.997076023391813	0.997076023391813	0.587719298245614	0.997076023391813	0.529239766081871	0.900584795321637	0.997076023391813	0.997076023391813	0	0.997076023391813	0.809941520467836	0.997076023391813	0.467836257309941	0.997076023391813	0.809941520467836	0.997076023391813	0.818713450292398	0.997076023391813	0.941520467836257	0.997076023391813	0.649122807017544	0.997076023391813	0.997076023391813	0.728070175438597	0.997076023391813	0.997076023391813	0.997076023391813	0	0.809941520467836	0.997076023391813	0.809941520467836	0	0.997076023391813	0.997076023391813	0.997076023391813	0.997076023391813	0.997076023391813	0.997076023391813	0.923976608187134	0.944444444444444	0.997076023391813	0.961988304093567	0.997076023391813	0.991228070175439	0.997076023391813	0.994152046783626	0.997076023391813	0.964912280701754	0.804093567251462	0.997076023391813	0.947368421052632	0.997076023391813	0.994152046783626	0.783625730994152	0.950292397660819	0.950292397660819	0.997076023391813	0.994152046783626	0.991228070175439	0	0.274853801169591	0.997076023391813	0.605263157894737	0	0.997076023391813
Acropora_cervicornis	0.997076023391813		0.903508771929825	0.997076023391813	0.809941520467836	0.997076023391813	0.953216374269006	0.997076023391813	0.997076023391813	0.950292397660819	0.997076023391813	0	0.997076023391813	0.997076023391813	0.587719298245614	0.997076023391813	0.529239766081871	0.900584795321637	0.997076023391813	0.997076023391813	0	0.997076023391813	0.809941520467836	0.997076023391813	0.467836257309941	0.997076023391813	0.809941520467836	0.997076023391813	0.818713450292398	0.997076023391813	0.941520467836257	0.997076023391813	0.649122807017544	0.997076023391813	0.997076023391813	0.728070175438597	0.997076023391813	0.997076023391813	0.997076023391813	0	0.809941520467836	0.997076023391813	0.809941520467836	0	0.997076023391813	0.997076023391813	0.997076023391813	0.997076023391813	0.997076023391813	0.997076023391813	0.923976608187134	0.944444444444444	0.997076023391813	0.961988304093567	0.997076023391813	0.991228070175439	0.997076023391813	0.994152046783626	0.997076023391813	0.964912280701754	0.804093567251462	0.997076023391813	0.947368421052632	0.997076023391813	0.994152046783626	0.783625730994152	0.950292397660819	0.950292397660819	0.997076023391813	0.994152046783626	0.991228070175439	0	0.274853801169591	0.997076023391813	0.605263157894737	0	0.997076023391813
Aiptasia_pallida	0.903508771929825	0.903508771929825		0.906432748538012	0.719298245614035	0.906432748538012	0.862573099415205	0.906432748538012	0.906432748538012	0.906432748538012	0.906432748538012	0	0.906432748538012	0.906432748538012	0.526315789473684	0.906432748538012	0.532163742690059	0.807017543859649	0.906432748538012	0.906432748538012	0	0.906432748538012	0.716374269005848	0.906432748538012	0.380116959064327	0.906432748538012	0.716374269005848	0.906432748538012	0.725146198830409	0.906432748538012	0.847953216374269	0.906432748538012	0.649122807017544	0.906432748538012	0.906432748538012	0.634502923976608	0.906432748538012	0.906432748538012	0.906432748538012	0	0.716374269005848	0.906432748538012	0.716374269005848	0	0.906432748538012	0.906432748538012	0.906432748538012	0.906432748538012	0.906432748538012	0.906432748538012	0.830409356725146	0.853801169590643	0.906432748538012	0.906432748538012	0.906432748538012	0.900584795321637	0.906432748538012	0.903508771929825	0.906432748538012	0.871345029239766	0.719298245614035	0.906432748538012	0.853801169590643	0.906432748538012	0.903508771929825	0.692982456140351	0.880116959064328	0.859649122807018	0.906432748538012	0.903508771929825	0.903508771929825	0	0.184210526315789	0.906432748538012	0.511695906432749	0	0.906432748538012
Amoebidium	0.997076023391813	0.997076023391813	0.906432748538012		0.812865497076023	1	0.956140350877193	1	1	0.953216374269006	1	0	1	1	0.587719298245614	1	0.532163742690059	0.900584795321637	1	1	0	1	0.809941520467836	1	0.467836257309941	1	0.809941520467836	1	0.818713450292398	1	0.941520467836257	1	0.649122807017544	1	1	0.728070175438597	1	1	1	0	0.809941520467836	1	0.809941520467836	0	1	1	1	1	1	1	0.923976608187134	0.947368421052632	1	0.964912280701754	1	0.994152046783626	1	0.997076023391813	1	0.964912280701754	0.807017543859649	1	0.947368421052632	1	0.997076023391813	0.786549707602339	0.953216374269006	0.953216374269006	1	0.997076023391813	0.994152046783626	0	0.274853801169591	1	0.605263157894737	0	1
Amphimedon_queenslandica	0.809941520467836	0.809941520467836	0.719298245614035	0.812865497076023		0.812865497076023	0.769005847953216	0.812865497076023	0.812865497076023	0.766081871345029	0.812865497076023	0	0.812865497076023	0.812865497076023	0.587719298245614	0.812865497076023	0.345029239766082	0.763157894736842	0.812865497076023	0.812865497076023	0	0.812865497076023	0.62280701754386	0.812865497076023	0.41812865497076	0.812865497076023	0.62280701754386	0.812865497076023	0.631578947368421	0.812865497076023	0.763157894736842	0.812865497076023	0.461988304093567	0.812865497076023	0.812865497076023	0.54093567251462	0.812865497076023	0.812865497076023	0.812865497076023	0	0.62280701754386	0.812865497076023	0.62280701754386	0	0.812865497076023	0.812865497076023	0.812865497076023	0.812865497076023	0.812865497076023	0.812865497076023	0.736842105263158	0.763157894736842	0.812865497076023	0.777777777777778	0.812865497076023	0.807017543859649	0.812865497076023	0.809941520467836	0.812865497076023	0.777777777777778	0.619883040935672	0.812865497076023	0.760233918128655	0.812865497076023	0.809941520467836	0.786549707602339	0.766081871345029	0.766081871345029	0.812865497076023	0.809941520467836	0.807017543859649	0	0.274853801169591	0.812865497076023	0.41812865497076	0	0.812865497076023
Aphrocallistes_vastus	0.997076023391813	0.997076023391813	0.906432748538012	1	0.812865497076023		0.956140350877193	1	1	0.953216374269006	1	0	1	1	0.587719298245614	1	0.532163742690059	0.900584795321637	1	1	0	1	0.809941520467836	1	0.467836257309941	1	0.809941520467836	1	0.818713450292398	1	0.941520467836257	1	0.649122807017544	1	1	0.728070175438597	1	1	1	0	0.809941520467836	1	0.809941520467836	0	1	1	1	1	1	1	0.923976608187134	0.947368421052632	1	0.964912280701754	1	0.994152046783626	1	0.997076023391813	1	0.964912280701754	0.807017543859649	1	0.947368421052632	1	0.997076023391813	0.786549707602339	0.953216374269006	0.953216374269006	1	0.997076023391813	0.994152046783626	0	0.274853801169591	1	0.605263157894737	0	1
Aurelia_aurita	0.953216374269006	0.953216374269006	0.862573099415205	0.956140350877193	0.769005847953216	0.956140350877193		0.956140350877193	0.956140350877193	0.909356725146199	0.956140350877193	0	0.956140350877193	0.956140350877193	0.555555555555556	0.956140350877193	0.52046783625731	0.85672514619883	0.956140350877193	0.956140350877193	0	0.956140350877193	0.766081871345029	0.956140350877193	0.456140350877193	0.956140350877193	0.766081871345029	0.956140350877193	0.774853801169591	0.956140350877193	0.89766081871345	0.956140350877193	0.637426900584795	0.956140350877193	0.956140350877193	0.710526315789474	0.956140350877193	0.956140350877193	0.956140350877193	0	0.766081871345029	0.956140350877193	0.766081871345029	0	0.956140350877193	0.956140350877193	0.956140350877193	0.956140350877193	0.956140350877193	0.956140350877193	0.880116959064328	0.903508771929825	0.956140350877193	0.921052631578947	0.956140350877193	0.956140350877193	0.956140350877193	0.953216374269006	0.956140350877193	0.921052631578947	0.795321637426901	0.956140350877193	0.903508771929825	0.956140350877193	0.953216374269006	0.742690058479532	0.909356725146199	0.909356725146199	0.956140350877193	0.953216374269006	0.950292397660819	0	0.242690058479532	0.956140350877193	0.56140350877193	0	0.956140350877193
Beroe_abyssicola	0.997076023391813	0.997076023391813	0.906432748538012	1	0.812865497076023	1	0.956140350877193		1	0.953216374269006	1	0	1	1	0.587719298245614	1	0.532163742690059	0.900584795321637	1	1	0	1	0.809941520467836	1	0.467836257309941	1	0.809941520467836	1	0.818713450292398	1	0.941520467836257	1	0.649122807017544	1	1	0.728070175438597	1	1	1	0	0.809941520467836	1	0.809941520467836	0	1	1	1	1	1	1	0.923976608187134	0.947368421052632	1	0.964912280701754	1	0.994152046783626	1	0.997076023391813	1	0.964912280701754	0.807017543859649	1	0.947368421052632	1	0.997076023391813	0.786549707602339	0.953216374269006	0.953216374269006	1	0.997076023391813	0.994152046783626	0	0.274853801169591	1	0.605263157894737	0	1
Bolocera_tuediae	0.997076023391813	0.997076023391813	0.906432748538012	1	0.812865497076023	1	0.956140350877193	1		0.953216374269006	1	0	1	1	0.587719298245614	1	0.532163742690059	0.900584795321637	1	1	0	1	0.809941520467836	1	0.467836257309941	1	0.809941520467836	1	0.818713450292398	1	0.941520467836257	1	0.649122807017544	1	1	0.728070175438597	1	1	1	0	0.809941520467836	1	0.809941520467836	0	1	1	1	1	1	1	0.923976608187134	0.947368421052632	1	0.964912280701754	1	0.994152046783626	1	0.997076023391813	1	0.964912280701754	0.807017543859649	1	0.947368421052632	1	0.997076023391813	0.786549707602339	0.953216374269006	0.953216374269006	1	0.997076023391813	0.994152046783626	0	0.274853801169591	1	0.605263157894737	0	1
Botryllus_schlosseri	0.950292397660819	0.950292397660819	0.906432748538012	0.953216374269006	0.766081871345029	0.953216374269006	0.909356725146199	0.953216374269006	0.953216374269006		0.953216374269006	0	0.953216374269006	0.953216374269006	0.549707602339181	0.953216374269006	0.532163742690059	0.853801169590643	0.953216374269006	0.953216374269006	0	0.953216374269006	0.763157894736842	0.953216374269006	0.421052631578947	0.953216374269006	0.763157894736842	0.953216374269006	0.771929824561403	0.953216374269006	0.894736842105263	0.953216374269006	0.649122807017544	0.953216374269006	0.953216374269006	0.681286549707602	0.953216374269006	0.953216374269006	0.953216374269006	0	0.763157894736842	0.953216374269006	0.763157894736842	0	0.953216374269006	0.953216374269006	0.953216374269006	0.953216374269006	0.953216374269006	0.953216374269006	0.87719298245614	0.900584795321637	0.953216374269006	0.941520467836257	0.953216374269006	0.947368421052632	0.953216374269006	0.950292397660819	0.953216374269006	0.91812865497076	0.760233918128655	0.953216374269006	0.900584795321637	0.953216374269006	0.950292397660819	0.739766081871345	0.906432748538012	0.906432748538012	0.953216374269006	0.950292397660819	0.947368421052632	0	0.228070175438596	0.953216374269006	0.558479532163743	0	0.953216374269006
