	Acanthoeca_like_sp_10tr	Acropora_cervicornis	Aiptasia_pallida	Amoebidium	Amphimedon_queenslandica	Aphrocallistes_vastus	Aurelia_aurita	Beroe_abyssicola	Bolocera_tuediae	Botryllus_schlosseri	Branchiostoma_floridae	Buddenbrockia_plumatellae	Capitella_teleta	Capsaspora_owczarzaki_atcc30864	Chondrilla_nucula	Ciona_intestinalis	Clytia_hemisphaerica	Corticium_candelabrum	Craspedacusta_sowerbyi	Crassostrea_gigas	Cyanea_capillata	Daphnia_pulex	Ectopleura_larynx	Edwardsiella_lineata	Enteromyxum_leei	Ephydatia_muelleri	Eunicella_cavolinii	Euplectella_aspergillum	Euplokamis_dunlapae	Gorgonia_ventalina	Helobdella_robusta	Homo_sapiens	Hormathia_digitata	Hydra_magnipapillata	Hydractinia_polyclina	Ilyanassa_obsoleta	Ixodes_scapularis	Kudoa_iwatai	Latimeria_menadoensis	Leucetta_chagosensis	Ministeria_vibrans_atcc50519	Mnemiopsis_leidyi	Monosiga_brevicollis_mx1	Monosiga_ovata	Montastraea_faveolata	Myxobolus_cerebralis	Nanomia_bijuga	Nasonia_vitripennis	Nematostella_vectensis	Octopus_vulgaris	Oscarella	Oscarella_carmela	Patiria_miniata	Pediculus_humanus_corporis	Petromyzon_marinus	Petrosia_ficiformis	Pleurobrachia_pileus	Pocillopora_damicornis	Polypodium_hydriforme	Porites_australiensis	Saccoglossus_kowalevskii	Salpingoeca_sp_ATCC50818	Sarcotragus_fasciculatus	Sphaeroforma_arctica_jp610	Sphaeromyxa_zaharoni	Stephanoeca_diplocostata	Stomolophus_meleagris	Strigamia_maritima	Strongylocentrotus_purpuratus	Sycon_ciliatum	Sycon_coactum	Tetracapsuloides_bryosalmonae	Thelohanellus_kitauei	Trichoplax_adhaerens	Tripedalia_cystophora	Urticina_eques	Vallicula_multiformis
Acanthoeca_like_sp_10tr		0.943632567849687	0.943632567849687	0.937369519832985	0.943632567849687	0.939457202505219	0	0.674321503131524	0.8580375782881	0.438413361169102	0.943632567849687	0	0.941544885177453	0.939457202505219	0.864300626304802	0.941544885177453	0.922755741127349	0.924843423799583	0.943632567849687	0.943632567849687	0	0.943632567849687	0.943632567849687	0.939457202505219	0.914405010438413	0.924843423799583	0.849686847599165	0.484342379958246	0.931106471816284	0.943632567849687	0.943632567849687	0.943632567849687	0.939457202505219	0.943632567849687	0.922755741127349	0.92901878914405	0.943632567849687	0.943632567849687	0.943632567849687	0	0.937369519832985	0.889352818371608	0.855949895615866	0.943632567849687	0.943632567849687	0.88517745302714	0.943632567849687	0.943632567849687	0.943632567849687	0.943632567849687	0.943632567849687	0.943632567849687	0.943632567849687	0.933194154488518	0.824634655532359	0.943632567849687	0.822546972860125	0.908141962421712	0.943632567849687	0.943632567849687	0.943632567849687	0.943632567849687	0.634655532359081	0.937369519832985	0	0.933194154488518	0.943632567849687	0.891440501043841	0.943632567849687	0.943632567849687	0.943632567849687	0.498956158663883	0.876826722338205	0.943632567849687	0.778705636743215	0.204592901878914	0.935281837160752
Acropora_cervicornis	0.943632567849687		1	0.993736951983299	1	0.995824634655532	0	0.730688935281837	0.914405010438413	0.45929018789144	1	0	0.997912317327766	0.995824634655532	0.920668058455115	0.997912317327766	0.979123173277662	0.981210855949896	1	1	0	1	1	0.995824634655532	0.968684759916493	0.981210855949896	0.906054279749478	0.519832985386221	0.987473903966597	1	1	1	0.995824634655532	1	0.979123173277662	0.981210855949896	1	1	1	0	0.993736951983299	0.945720250521921	0.91231732776618	1	1	0.899791231732777	1	1	1	1	1	1	1	0.989561586638831	0.845511482254697	1	0.878914405010438	0.964509394572025	1	1	1	1	0.659707724425887	0.993736951983299	0	0.949895615866388	1	0.947807933194154	1	1	1	0.534446764091858	0.924843423799583	1	0.835073068893528	0.225469728601253	0.991649269311065
Aiptasia_pallida	0.943632567849687	1		0.993736951983299	1	0.995824634655532	0	0.730688935281837	0.914405010438413	0.45929018789144	1	0	0.997912317327766	0.995824634655532	0.920668058455115	0.997912317327766	0.979123173277662	0.981210855949896	1	1	0	1	1	0.995824634655532	0.968684759916493	0.981210855949896	0.906054279749478	0.519832985386221	0.987473903966597	1	1	1	0.995824634655532	1	0.979123173277662	0.981210855949896	1	1	1	0	0.993736951983299	0.945720250521921	0.91231732776618	1	1	0.899791231732777	1	1	1	1	1	1	1	0.989561586638831	0.845511482254697	1	0.878914405010438	0.964509394572025	1	1	1	1	0.659707724425887	0.993736951983299	0	0.949895615866388	1	0.947807933194154	1	1	1	0.534446764091858	0.924843423799583	1	0.835073068893528	0.225469728601253	0.991649269311065
Amoebidium	0.937369519832985	0.993736951983299	0.993736951983299		0.993736951983299	0.989561586638831	0	0.724425887265136	0.908141962421712	0.453027139874739	0.993736951983299	0	0.991649269311065	0.993736951983299	0.914405010438413	0.991649269311065	0.97286012526096	0.974947807933194	0.993736951983299	0.993736951983299	0	0.993736951983299	0.993736951983299	0.989561586638831	0.962421711899791	0.974947807933194	0.899791231732777	0.51356993736952	0.981210855949896	0.993736951983299	0.993736951983299	0.993736951983299	0.989561586638831	0.993736951983299	0.97286012526096	0.974947807933194	0.993736951983299	0.993736951983299	0.993736951983299	0	0.991649269311065	0.939457202505219	0.906054279749478	0.993736951983299	0.993736951983299	0.893528183716075	0.993736951983299	0.993736951983299	0.993736951983299	0.993736951983299	0.993736951983299	0.993736951983299	0.993736951983299	0.983298538622129	0.839248434237996	0.993736951983299	0.872651356993737	0.958246346555324	0.993736951983299	0.993736951983299	0.993736951983299	0.993736951983299	0.653444676409186	0.991649269311065	0	0.943632567849687	0.993736951983299	0.941544885177453	0.993736951983299	0.993736951983299	0.993736951983299	0.534446764091858	0.918580375782881	0.993736951983299	0.828810020876827	0.223382045929019	0.985386221294363
Amphimedon_queenslandica	0.943632567849687	1	1	0.993736951983299		0.995824634655532	0	0.730688935281837	0.914405010438413	0.45929018789144	1	0	0.997912317327766	0.995824634655532	0.920668058455115	0.997912317327766	0.979123173277662	0.981210855949896	1	1	0	1	1	0.995824634655532	0.968684759916493	0.981210855949896	0.906054279749478	0.519832985386221	0.987473903966597	1	1	1	0.995824634655532	1	0.979123173277662	0.981210855949896	1	1	1	0	0.993736951983299	0.945720250521921	0.91231732776618	1	1	0.899791231732777	1	1	1	1	1	1	1	0.989561586638831	0.845511482254697	1	0.878914405010438	0.964509394572025	1	1	1	1	0.659707724425887	0.993736951983299	0	0.949895615866388	1	0.947807933194154	1	1	1	0.534446764091858	0.924843423799583	1	0.835073068893528	0.225469728601253	0.991649269311065
Aphrocallistes_vastus	0.939457202505219	0.995824634655532	0.995824634655532	0.989561586638831	0.995824634655532		0	0.728601252609603	0.910229645093946	0.457202505219207	0.995824634655532	0	0.993736951983299	0.991649269311065	0.916492693110647	0.993736951983299	0.974947807933194	0.977035490605428	0.995824634655532	0.995824634655532	0	0.995824634655532	0.995824634655532	0.991649269311065	0.964509394572025	0.977035490605428	0.90187891440501	0.519832985386221	0.983298538622129	0.995824634655532	0.995824634655532	0.995824634655532	0.991649269311065	0.995824634655532	0.974947807933194	0.977035490605428	0.995824634655532	0.995824634655532	0.995824634655532	0	0.989561586638831	0.941544885177453	0.908141962421712	0.995824634655532	0.995824634655532	0.895615866388309	0.995824634655532	0.995824634655532	0.995824634655532	0.995824634655532	0.995824634655532	0.995824634655532	0.995824634655532	0.985386221294363	0.84133611691023	0.995824634655532	0.874739039665971	0.960334029227557	0.995824634655532	0.995824634655532	0.995824634655532	0.995824634655532	0.657620041753653	0.989561586638831	0	0.945720250521921	0.995824634655532	0.943632567849687	0.995824634655532	0.995824634655532	0.995824634655532	0.532359081419624	0.920668058455115	0.995824634655532	0.830897703549061	0.223382045929019	0.987473903966597
Aurelia_aurita	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Beroe_abyssicola	0.674321503131524	0.730688935281837	0.730688935281837	0.724425887265136	0.730688935281837	0.728601252609603	0		0.730688935281837	0.457202505219207	0.730688935281837	0	0.728601252609603	0.726513569937369	0.651356993736952	0.728601252609603	0.709812108559499	0.730688935281837	0.730688935281837	0.730688935281837	0	0.730688935281837	0.730688935281837	0.726513569937369	0.720250521920668	0.711899791231733	0.636743215031315	0.490605427974948	0.730688935281837	0.730688935281837	0.730688935281837	0.730688935281837	0.730688935281837	0.730688935281837	0.709812108559499	0.711899791231733	0.730688935281837	0.730688935281837	0.730688935281837	0	0.726513569937369	0.730688935281837	0.643006263048017	0.730688935281837	0.730688935281837	0.630480167014614	0.730688935281837	0.730688935281837	0.730688935281837	0.730688935281837	0.730688935281837	0.730688935281837	0.730688935281837	0.730688935281837	0.590814196242171	0.730688935281837	0.730688935281837	0.695198329853862	0.730688935281837	0.730688935281837	0.730688935281837	0.730688935281837	0.657620041753653	0.724425887265136	0	0.680584551148225	0.730688935281837	0.680584551148225	0.730688935281837	0.730688935281837	0.730688935281837	0.267223382045929	0.668058455114823	0.730688935281837	0.643006263048017	0.223382045929019	0.730688935281837
Bolocera_tuediae	0.8580375782881	0.914405010438413	0.914405010438413	0.908141962421712	0.914405010438413	0.910229645093946	0	0.730688935281837		0.45929018789144	0.914405010438413	0	0.91231732776618	0.910229645093946	0.835073068893528	0.91231732776618	0.893528183716075	0.895615866388309	0.914405010438413	0.914405010438413	0	0.914405010438413	0.914405010438413	0.910229645093946	0.88517745302714	0.895615866388309	0.820459290187891	0.519832985386221	0.914405010438413	0.914405010438413	0.914405010438413	0.914405010438413	0.914405010438413	0.914405010438413	0.893528183716075	0.895615866388309	0.914405010438413	0.914405010438413	0.914405010438413	0	0.910229645093946	0.914405010438413	0.826722338204593	0.914405010438413	0.914405010438413	0.81419624217119	0.914405010438413	0.914405010438413	0.914405010438413	0.914405010438413	0.914405010438413	0.914405010438413	0.914405010438413	0.914405010438413	0.759916492693111	0.914405010438413	0.878914405010438	0.878914405010438	0.914405010438413	0.914405010438413	0.914405010438413	0.914405010438413	0.659707724425887	0.908141962421712	0	0.864300626304802	0.914405010438413	0.862212943632568	0.914405010438413	0.914405010438413	0.914405010438413	0.448851774530271	0.845511482254697	0.914405010438413	0.826722338204593	0.225469728601253	0.914405010438413
Botryllus_schlosseri	0.438413361169102	0.45929018789144	0.45929018789144	0.453027139874739	0.45929018789144	0.457202505219207	0	0.457202505219207	0.45929018789144		0.45929018789144	0	0.457202505219207	0.455114822546973	0.446764091858038	0.45929018789144	0.45929018789144	0.45929018789144	0.45929018789144	0.45929018789144	0	0.45929018789144	0.45929018789144	0.45929018789144	0.453027139874739	0.440501043841336	0.432150313152401	0.286012526096033	0.45929018789144	0.45929018789144	0.45929018789144	0.45929018789144	0.45929018789144	0.45929018789144	0.45929018789144	0.455114822546973	0.45929018789144	0.45929018789144	0.45929018789144	0	0.455114822546973	0.45929018789144	0.438413361169102	0.45929018789144	0.45929018789144	0.427974947807933	0.45929018789144	0.45929018789144	0.45929018789144	0.45929018789144	0.45929018789144	0.45929018789144	0.45929018789144	0.45929018789144	0.390396659707724	0.45929018789144	0.45929018789144	0.423799582463466	0.45929018789144	0.45929018789144	0.45929018789144	0.45929018789144	0.45929018789144	0.455114822546973	0	0.438413361169102	0.45929018789144	0.407098121085595	0.45929018789144	0.45929018789144	0.45929018789144	0.0626304801670146	0.453027139874739	0.45929018789144	0.446764091858038	0.15866388308977	0.45929018789144
