	Acanthoeca_like_sp_10tr	Acropora_cervicornis	Aiptasia_pallida	Amoebidium	Amphimedon_queenslandica	Aphrocallistes_vastus	Aurelia_aurita	Beroe_abyssicola	Bolocera_tuediae	Botryllus_schlosseri	Branchiostoma_floridae	Buddenbrockia_plumatellae	Capitella_teleta	Capsaspora_owczarzaki_atcc30864	Chondrilla_nucula	Ciona_intestinalis	Clytia_hemisphaerica	Corticium_candelabrum	Craspedacusta_sowerbyi	Crassostrea_gigas	Cyanea_capillata	Daphnia_pulex	Ectopleura_larynx	Edwardsiella_lineata	Enteromyxum_leei	Ephydatia_muelleri	Eunicella_cavolinii	Euplectella_aspergillum	Euplokamis_dunlapae	Gorgonia_ventalina	Helobdella_robusta	Homo_sapiens	Hormathia_digitata	Hydra_magnipapillata	Hydractinia_polyclina	Ilyanassa_obsoleta	Ixodes_scapularis	Kudoa_iwatai	Latimeria_menadoensis	Leucetta_chagosensis	Ministeria_vibrans_atcc50519	Mnemiopsis_leidyi	Monosiga_brevicollis_mx1	Monosiga_ovata	Montastraea_faveolata	Myxobolus_cerebralis	Nanomia_bijuga	Nasonia_vitripennis	Nematostella_vectensis	Octopus_vulgaris	Oscarella	Oscarella_carmela	Patiria_miniata	Pediculus_humanus_corporis	Petromyzon_marinus	Petrosia_ficiformis	Pleurobrachia_pileus	Pocillopora_damicornis	Polypodium_hydriforme	Porites_australiensis	Saccoglossus_kowalevskii	Salpingoeca_sp_ATCC50818	Sarcotragus_fasciculatus	Sphaeroforma_arctica_jp610	Sphaeromyxa_zaharoni	Stephanoeca_diplocostata	Stomolophus_meleagris	Strigamia_maritima	Strongylocentrotus_purpuratus	Sycon_ciliatum	Sycon_coactum	Tetracapsuloides_bryosalmonae	Thelohanellus_kitauei	Trichoplax_adhaerens	Tripedalia_cystophora	Urticina_eques	Vallicula_multiformis
Acanthoeca_like_sp_10tr		1	1	1	1	1	1	0.996644295302013	1	0.691275167785235	1	0.714765100671141	1	1	1	1	0.996644295302013	1	1	1	0	0.996644295302013	1	1	0.573825503355705	1	0.828859060402685	1	0.996644295302013	1	1	1	0.993288590604027	1	1	1	1	1	1	0.520134228187919	1	0.996644295302013	1	1	1	0.963087248322148	1	1	1	1	1	1	1	1	0.919463087248322	0.929530201342282	0.996644295302013	1	1	0.687919463087248	1	1	1	1	0.76510067114094	0.902684563758389	1	1	1	1	0.969798657718121	0	0.912751677852349	1	0	0.154362416107383	0.996644295302013
Acropora_cervicornis	1		1	1	1	1	1	0.996644295302013	1	0.691275167785235	1	0.714765100671141	1	1	1	1	0.996644295302013	1	1	1	0	0.996644295302013	1	1	0.573825503355705	1	0.828859060402685	1	0.996644295302013	1	1	1	0.993288590604027	1	1	1	1	1	1	0.520134228187919	1	0.996644295302013	1	1	1	0.963087248322148	1	1	1	1	1	1	1	1	0.919463087248322	0.929530201342282	0.996644295302013	1	1	0.687919463087248	1	1	1	1	0.76510067114094	0.902684563758389	1	1	1	1	0.969798657718121	0	0.912751677852349	1	0	0.154362416107383	0.996644295302013
Aiptasia_pallida	1	1		1	1	1	1	0.996644295302013	1	0.691275167785235	1	0.714765100671141	1	1	1	1	0.996644295302013	1	1	1	0	0.996644295302013	1	1	0.573825503355705	1	0.828859060402685	1	0.996644295302013	1	1	1	0.993288590604027	1	1	1	1	1	1	0.520134228187919	1	0.996644295302013	1	1	1	0.963087248322148	1	1	1	1	1	1	1	1	0.919463087248322	0.929530201342282	0.996644295302013	1	1	0.687919463087248	1	1	1	1	0.76510067114094	0.902684563758389	1	1	1	1	0.969798657718121	0	0.912751677852349	1	0	0.154362416107383	0.996644295302013
Amoebidium	1	1	1		1	1	1	0.996644295302013	1	0.691275167785235	1	0.714765100671141	1	1	1	1	0.996644295302013	1	1	1	0	0.996644295302013	1	1	0.573825503355705	1	0.828859060402685	1	0.996644295302013	1	1	1	0.993288590604027	1	1	1	1	1	1	0.520134228187919	1	0.996644295302013	1	1	1	0.963087248322148	1	1	1	1	1	1	1	1	0.919463087248322	0.929530201342282	0.996644295302013	1	1	0.687919463087248	1	1	1	1	0.76510067114094	0.902684563758389	1	1	1	1	0.969798657718121	0	0.912751677852349	1	0	0.154362416107383	0.996644295302013
Amphimedon_queenslandica	1	1	1	1		1	1	0.996644295302013	1	0.691275167785235	1	0.714765100671141	1	1	1	1	0.996644295302013	1	1	1	0	0.996644295302013	1	1	0.573825503355705	1	0.828859060402685	1	0.996644295302013	1	1	1	0.993288590604027	1	1	1	1	1	1	0.520134228187919	1	0.996644295302013	1	1	1	0.963087248322148	1	1	1	1	1	1	1	1	0.919463087248322	0.929530201342282	0.996644295302013	1	1	0.687919463087248	1	1	1	1	0.76510067114094	0.902684563758389	1	1	1	1	0.969798657718121	0	0.912751677852349	1	0	0.154362416107383	0.996644295302013
Aphrocallistes_vastus	1	1	1	1	1		1	0.996644295302013	1	0.691275167785235	1	0.714765100671141	1	1	1	1	0.996644295302013	1	1	1	0	0.996644295302013	1	1	0.573825503355705	1	0.828859060402685	1	0.996644295302013	1	1	1	0.993288590604027	1	1	1	1	1	1	0.520134228187919	1	0.996644295302013	1	1	1	0.963087248322148	1	1	1	1	1	1	1	1	0.919463087248322	0.929530201342282	0.996644295302013	1	1	0.687919463087248	1	1	1	1	0.76510067114094	0.902684563758389	1	1	1	1	0.969798657718121	0	0.912751677852349	1	0	0.154362416107383	0.996644295302013
Aurelia_aurita	1	1	1	1	1	1		0.996644295302013	1	0.691275167785235	1	0.714765100671141	1	1	1	1	0.996644295302013	1	1	1	0	0.996644295302013	1	1	0.573825503355705	1	0.828859060402685	1	0.996644295302013	1	1	1	0.993288590604027	1	1	1	1	1	1	0.520134228187919	1	0.996644295302013	1	1	1	0.963087248322148	1	1	1	1	1	1	1	1	0.919463087248322	0.929530201342282	0.996644295302013	1	1	0.687919463087248	1	1	1	1	0.76510067114094	0.902684563758389	1	1	1	1	0.969798657718121	0	0.912751677852349	1	0	0.154362416107383	0.996644295302013
Beroe_abyssicola	0.996644295302013	0.996644295302013	0.996644295302013	0.996644295302013	0.996644295302013	0.996644295302013	0.996644295302013		0.996644295302013	0.691275167785235	0.996644295302013	0.714765100671141	0.996644295302013	0.996644295302013	0.996644295302013	0.996644295302013	0.996644295302013	0.996644295302013	0.996644295302013	0.996644295302013	0	0.996644295302013	0.996644295302013	0.996644295302013	0.573825503355705	0.996644295302013	0.825503355704698	0.996644295302013	0.996644295302013	0.996644295302013	0.996644295302013	0.996644295302013	0.993288590604027	0.996644295302013	0.996644295302013	0.996644295302013	0.996644295302013	0.996644295302013	0.996644295302013	0.516778523489933	0.996644295302013	0.996644295302013	0.996644295302013	0.996644295302013	0.996644295302013	0.959731543624161	0.996644295302013	0.996644295302013	0.996644295302013	0.996644295302013	0.996644295302013	0.996644295302013	0.996644295302013	0.996644295302013	0.919463087248322	0.929530201342282	0.996644295302013	0.996644295302013	0.996644295302013	0.684563758389262	0.996644295302013	0.996644295302013	0.996644295302013	0.996644295302013	0.761744966442953	0.899328859060403	0.996644295302013	0.996644295302013	0.996644295302013	0.996644295302013	0.969798657718121	0	0.912751677852349	0.996644295302013	0	0.151006711409396	0.996644295302013
Bolocera_tuediae	1	1	1	1	1	1	1	0.996644295302013		0.691275167785235	1	0.714765100671141	1	1	1	1	0.996644295302013	1	1	1	0	0.996644295302013	1	1	0.573825503355705	1	0.828859060402685	1	0.996644295302013	1	1	1	0.993288590604027	1	1	1	1	1	1	0.520134228187919	1	0.996644295302013	1	1	1	0.963087248322148	1	1	1	1	1	1	1	1	0.919463087248322	0.929530201342282	0.996644295302013	1	1	0.687919463087248	1	1	1	1	0.76510067114094	0.902684563758389	1	1	1	1	0.969798657718121	0	0.912751677852349	1	0	0.154362416107383	0.996644295302013
Botryllus_schlosseri	0.691275167785235	0.691275167785235	0.691275167785235	0.691275167785235	0.691275167785235	0.691275167785235	0.691275167785235	0.691275167785235	0.691275167785235		0.691275167785235	0.691275167785235	0.691275167785235	0.691275167785235	0.691275167785235	0.691275167785235	0.691275167785235	0.691275167785235	0.691275167785235	0.691275167785235	0	0.691275167785235	0.691275167785235	0.691275167785235	0.476510067114094	0.691275167785235	0.520134228187919	0.691275167785235	0.691275167785235	0.691275167785235	0.691275167785235	0.691275167785235	0.691275167785235	0.691275167785235	0.691275167785235	0.691275167785235	0.691275167785235	0.691275167785235	0.691275167785235	0.211409395973154	0.691275167785235	0.691275167785235	0.691275167785235	0.691275167785235	0.691275167785235	0.654362416107383	0.691275167785235	0.691275167785235	0.691275167785235	0.691275167785235	0.691275167785235	0.691275167785235	0.691275167785235	0.691275167785235	0.691275167785235	0.657718120805369	0.691275167785235	0.691275167785235	0.691275167785235	0.379194630872483	0.691275167785235	0.691275167785235	0.691275167785235	0.691275167785235	0.456375838926175	0.593959731543624	0.691275167785235	0.691275167785235	0.691275167785235	0.691275167785235	0.691275167785235	0	0.691275167785235	0.691275167785235	0	0	0.691275167785235
