	Acanthoeca_like_sp_10tr	Acropora_cervicornis	Aiptasia_pallida	Amoebidium	Amphimedon_queenslandica	Aphrocallistes_vastus	Aurelia_aurita	Beroe_abyssicola	Bolocera_tuediae	Botryllus_schlosseri	Branchiostoma_floridae	Buddenbrockia_plumatellae	Capitella_teleta	Capsaspora_owczarzaki_atcc30864	Chondrilla_nucula	Ciona_intestinalis	Clytia_hemisphaerica	Corticium_candelabrum	Craspedacusta_sowerbyi	Crassostrea_gigas	Cyanea_capillata	Daphnia_pulex	Ectopleura_larynx	Edwardsiella_lineata	Enteromyxum_leei	Ephydatia_muelleri	Eunicella_cavolinii	Euplectella_aspergillum	Euplokamis_dunlapae	Gorgonia_ventalina	Helobdella_robusta	Homo_sapiens	Hormathia_digitata	Hydra_magnipapillata	Hydractinia_polyclina	Ilyanassa_obsoleta	Ixodes_scapularis	Kudoa_iwatai	Latimeria_menadoensis	Leucetta_chagosensis	Ministeria_vibrans_atcc50519	Mnemiopsis_leidyi	Monosiga_brevicollis_mx1	Monosiga_ovata	Montastraea_faveolata	Myxobolus_cerebralis	Nanomia_bijuga	Nasonia_vitripennis	Nematostella_vectensis	Octopus_vulgaris	Oscarella	Oscarella_carmela	Patiria_miniata	Pediculus_humanus_corporis	Petromyzon_marinus	Petrosia_ficiformis	Pleurobrachia_pileus	Pocillopora_damicornis	Polypodium_hydriforme	Porites_australiensis	Saccoglossus_kowalevskii	Salpingoeca_sp_ATCC50818	Sarcotragus_fasciculatus	Sphaeroforma_arctica_jp610	Sphaeromyxa_zaharoni	Stephanoeca_diplocostata	Stomolophus_meleagris	Strigamia_maritima	Strongylocentrotus_purpuratus	Sycon_ciliatum	Sycon_coactum	Tetracapsuloides_bryosalmonae	Thelohanellus_kitauei	Trichoplax_adhaerens	Tripedalia_cystophora	Urticina_eques	Vallicula_multiformis
Acanthoeca_like_sp_10tr		0.988095238095238	0.986111111111111	0.970238095238095	0.990079365079365	0.990079365079365	0.517857142857143	0.988095238095238	0.626984126984127	0.902777777777778	0.990079365079365	0	0.988095238095238	0.988095238095238	0.990079365079365	0.990079365079365	0.990079365079365	0.990079365079365	0.990079365079365	0.990079365079365	0	0.986111111111111	0	0.988095238095238	0	0.990079365079365	0.988095238095238	0.990079365079365	0.986111111111111	0.988095238095238	0.543650793650794	0.990079365079365	0.922619047619048	0.990079365079365	0	0.990079365079365	0.944444444444444	0.988095238095238	0.990079365079365	0	0.986111111111111	0.988095238095238	0.990079365079365	0.841269841269841	0.988095238095238	0.898809523809524	0.990079365079365	0.988095238095238	0.988095238095238	0.990079365079365	0.988095238095238	0.988095238095238	0.990079365079365	0.988095238095238	0.884920634920635	0.990079365079365	0.988095238095238	0.988095238095238	0.990079365079365	0	0.990079365079365	0.990079365079365	0.990079365079365	0.972222222222222	0	0.990079365079365	0.952380952380952	0.966269841269841	0.990079365079365	0.990079365079365	0.990079365079365	0	0	0.990079365079365	0.218253968253968	0.468253968253968	0.988095238095238
Acropora_cervicornis	0.988095238095238		0.996031746031746	0.978174603174603	0.998015873015873	0.998015873015873	0.51984126984127	0.998015873015873	0.628968253968254	0.902777777777778	0.998015873015873	0	0.998015873015873	0.994047619047619	0.998015873015873	0.998015873015873	0.998015873015873	0.998015873015873	0.998015873015873	0.998015873015873	0	0.996031746031746	0	0.998015873015873	0	0.998015873015873	0.998015873015873	0.998015873015873	0.996031746031746	0.998015873015873	0.553571428571429	0.998015873015873	0.932539682539683	0.998015873015873	0	0.998015873015873	0.952380952380952	0.996031746031746	0.998015873015873	0	0.992063492063492	0.998015873015873	0.996031746031746	0.847222222222222	0.998015873015873	0.906746031746032	0.998015873015873	0.998015873015873	0.998015873015873	0.998015873015873	0.996031746031746	0.996031746031746	0.998015873015873	0.998015873015873	0.892857142857143	0.998015873015873	0.998015873015873	0.998015873015873	0.998015873015873	0	0.998015873015873	0.996031746031746	0.998015873015873	0.98015873015873	0	0.988095238095238	0.958333333333333	0.966269841269841	0.998015873015873	0.998015873015873	0.998015873015873	0	0	0.998015873015873	0.218253968253968	0.468253968253968	0.998015873015873
Aiptasia_pallida	0.986111111111111	0.996031746031746		0.976190476190476	0.996031746031746	0.996031746031746	0.517857142857143	0.996031746031746	0.628968253968254	0.900793650793651	0.996031746031746	0	0.996031746031746	0.992063492063492	0.996031746031746	0.996031746031746	0.996031746031746	0.996031746031746	0.996031746031746	0.996031746031746	0	0.994047619047619	0	0.996031746031746	0	0.996031746031746	0.996031746031746	0.996031746031746	0.994047619047619	0.996031746031746	0.553571428571429	0.996031746031746	0.930555555555556	0.996031746031746	0	0.996031746031746	0.950396825396825	0.994047619047619	0.996031746031746	0	0.990079365079365	0.996031746031746	0.994047619047619	0.845238095238095	0.996031746031746	0.904761904761905	0.996031746031746	0.996031746031746	0.996031746031746	0.996031746031746	0.994047619047619	0.994047619047619	0.996031746031746	0.996031746031746	0.890873015873016	0.996031746031746	0.996031746031746	0.996031746031746	0.996031746031746	0	0.996031746031746	0.994047619047619	0.996031746031746	0.978174603174603	0	0.986111111111111	0.956349206349206	0.964285714285714	0.996031746031746	0.996031746031746	0.996031746031746	0	0	0.996031746031746	0.216269841269841	0.468253968253968	0.996031746031746
Amoebidium	0.970238095238095	0.978174603174603	0.976190476190476		0.98015873015873	0.98015873015873	0.51984126984127	0.978174603174603	0.628968253968254	0.884920634920635	0.98015873015873	0	0.978174603174603	0.978174603174603	0.98015873015873	0.98015873015873	0.98015873015873	0.98015873015873	0.98015873015873	0.98015873015873	0	0.976190476190476	0	0.978174603174603	0	0.98015873015873	0.978174603174603	0.98015873015873	0.976190476190476	0.978174603174603	0.553571428571429	0.98015873015873	0.912698412698413	0.98015873015873	0	0.98015873015873	0.93452380952381	0.978174603174603	0.98015873015873	0	0.976190476190476	0.978174603174603	0.978174603174603	0.829365079365079	0.978174603174603	0.890873015873016	0.98015873015873	0.978174603174603	0.978174603174603	0.98015873015873	0.978174603174603	0.978174603174603	0.98015873015873	0.978174603174603	0.875	0.98015873015873	0.978174603174603	0.978174603174603	0.98015873015873	0	0.98015873015873	0.978174603174603	0.98015873015873	0.98015873015873	0	0.970238095238095	0.94047619047619	0.948412698412698	0.98015873015873	0.98015873015873	0.98015873015873	0	0	0.98015873015873	0.218253968253968	0.448412698412698	0.978174603174603
Amphimedon_queenslandica	0.990079365079365	0.998015873015873	0.996031746031746	0.98015873015873		1	0.51984126984127	0.998015873015873	0.628968253968254	0.904761904761905	1	0	0.998015873015873	0.996031746031746	1	1	1	1	1	1	0	0.996031746031746	0	0.998015873015873	0	1	0.998015873015873	1	0.996031746031746	0.998015873015873	0.553571428571429	1	0.932539682539683	1	0	1	0.954365079365079	0.998015873015873	1	0	0.994047619047619	0.998015873015873	0.998015873015873	0.849206349206349	0.998015873015873	0.908730158730159	1	0.998015873015873	0.998015873015873	1	0.998015873015873	0.998015873015873	1	0.998015873015873	0.89484126984127	1	0.998015873015873	0.998015873015873	1	0	1	0.998015873015873	1	0.982142857142857	0	0.990079365079365	0.96031746031746	0.968253968253968	1	1	1	0	0	1	0.218253968253968	0.468253968253968	0.998015873015873
Aphrocallistes_vastus	0.990079365079365	0.998015873015873	0.996031746031746	0.98015873015873	1		0.51984126984127	0.998015873015873	0.628968253968254	0.904761904761905	1	0	0.998015873015873	0.996031746031746	1	1	1	1	1	1	0	0.996031746031746	0	0.998015873015873	0	1	0.998015873015873	1	0.996031746031746	0.998015873015873	0.553571428571429	1	0.932539682539683	1	0	1	0.954365079365079	0.998015873015873	1	0	0.994047619047619	0.998015873015873	0.998015873015873	0.849206349206349	0.998015873015873	0.908730158730159	1	0.998015873015873	0.998015873015873	1	0.998015873015873	0.998015873015873	1	0.998015873015873	0.89484126984127	1	0.998015873015873	0.998015873015873	1	0	1	0.998015873015873	1	0.982142857142857	0	0.990079365079365	0.96031746031746	0.968253968253968	1	1	1	0	0	1	0.218253968253968	0.468253968253968	0.998015873015873
Aurelia_aurita	0.517857142857143	0.51984126984127	0.517857142857143	0.51984126984127	0.51984126984127	0.51984126984127		0.51984126984127	0.424603174603175	0.456349206349206	0.51984126984127	0	0.51984126984127	0.517857142857143	0.51984126984127	0.51984126984127	0.51984126984127	0.51984126984127	0.51984126984127	0.51984126984127	0	0.517857142857143	0	0.51984126984127	0	0.51984126984127	0.51984126984127	0.51984126984127	0.517857142857143	0.51984126984127	0.325396825396825	0.51984126984127	0.454365079365079	0.51984126984127	0	0.51984126984127	0.474206349206349	0.517857142857143	0.51984126984127	0	0.515873015873016	0.51984126984127	0.517857142857143	0.376984126984127	0.51984126984127	0.51984126984127	0.51984126984127	0.51984126984127	0.51984126984127	0.51984126984127	0.517857142857143	0.517857142857143	0.51984126984127	0.51984126984127	0.444444444444444	0.51984126984127	0.51984126984127	0.51984126984127	0.51984126984127	0	0.51984126984127	0.517857142857143	0.51984126984127	0.51984126984127	0	0.517857142857143	0.48015873015873	0.51984126984127	0.51984126984127	0.51984126984127	0.51984126984127	0	0	0.51984126984127	0.0714285714285714	0.166666666666667	0.51984126984127
Beroe_abyssicola	0.988095238095238	0.998015873015873	0.996031746031746	0.978174603174603	0.998015873015873	0.998015873015873	0.51984126984127		0.628968253968254	0.902777777777778	0.998015873015873	0	0.998015873015873	0.994047619047619	0.998015873015873	0.998015873015873	0.998015873015873	0.998015873015873	0.998015873015873	0.998015873015873	0	0.996031746031746	0	0.998015873015873	0	0.998015873015873	0.998015873015873	0.998015873015873	0.996031746031746	0.998015873015873	0.553571428571429	0.998015873015873	0.932539682539683	0.998015873015873	0	0.998015873015873	0.952380952380952	0.996031746031746	0.998015873015873	0	0.992063492063492	0.998015873015873	0.996031746031746	0.847222222222222	0.998015873015873	0.906746031746032	0.998015873015873	0.998015873015873	0.998015873015873	0.998015873015873	0.996031746031746	0.996031746031746	0.998015873015873	0.998015873015873	0.892857142857143	0.998015873015873	0.998015873015873	0.998015873015873	0.998015873015873	0	0.998015873015873	0.996031746031746	0.998015873015873	0.98015873015873	0	0.988095238095238	0.958333333333333	0.966269841269841	0.998015873015873	0.998015873015873	0.998015873015873	0	0	0.998015873015873	0.218253968253968	0.468253968253968	0.998015873015873
Bolocera_tuediae	0.626984126984127	0.628968253968254	0.628968253968254	0.628968253968254	0.628968253968254	0.628968253968254	0.424603174603175	0.628968253968254		0.56547619047619	0.628968253968254	0	0.628968253968254	0.626984126984127	0.628968253968254	0.628968253968254	0.628968253968254	0.628968253968254	0.628968253968254	0.628968253968254	0	0.626984126984127	0	0.628968253968254	0	0.628968253968254	0.628968253968254	0.628968253968254	0.626984126984127	0.628968253968254	0.30952380952381	0.628968253968254	0.623015873015873	0.628968253968254	0	0.628968253968254	0.583333333333333	0.626984126984127	0.628968253968254	0	0.625	0.628968253968254	0.626984126984127	0.478174603174603	0.628968253968254	0.573412698412698	0.628968253968254	0.628968253968254	0.628968253968254	0.628968253968254	0.626984126984127	0.626984126984127	0.628968253968254	0.628968253968254	0.523809523809524	0.628968253968254	0.628968253968254	0.628968253968254	0.628968253968254	0	0.628968253968254	0.626984126984127	0.628968253968254	0.628968253968254	0	0.626984126984127	0.589285714285714	0.628968253968254	0.628968253968254	0.628968253968254	0.628968253968254	0	0	0.628968253968254	0.188492063492063	0.259920634920635	0.628968253968254
Botryllus_schlosseri	0.902777777777778	0.902777777777778	0.900793650793651	0.884920634920635	0.904761904761905	0.904761904761905	0.456349206349206	0.902777777777778	0.56547619047619		0.904761904761905	0	0.902777777777778	0.900793650793651	0.904761904761905	0.904761904761905	0.904761904761905	0.904761904761905	0.904761904761905	0.904761904761905	0	0.900793650793651	0	0.902777777777778	0	0.904761904761905	0.902777777777778	0.904761904761905	0.900793650793651	0.902777777777778	0.458333333333333	0.904761904761905	0.837301587301587	0.904761904761905	0	0.904761904761905	0.859126984126984	0.902777777777778	0.904761904761905	0	0.898809523809524	0.902777777777778	0.902777777777778	0.753968253968254	0.902777777777778	0.813492063492063	0.904761904761905	0.902777777777778	0.902777777777778	0.904761904761905	0.902777777777778	0.902777777777778	0.904761904761905	0.902777777777778	0.799603174603175	0.904761904761905	0.902777777777778	0.902777777777778	0.904761904761905	0	0.904761904761905	0.902777777777778	0.904761904761905	0.886904761904762	0	0.902777777777778	0.89484126984127	0.904761904761905	0.904761904761905	0.904761904761905	0.904761904761905	0	0	0.904761904761905	0.218253968253968	0.468253968253968	0.902777777777778
