	Acanthoeca_like_sp_10tr	Acropora_cervicornis	Aiptasia_pallida	Amoebidium	Amphimedon_queenslandica	Aphrocallistes_vastus	Aurelia_aurita	Beroe_abyssicola	Bolocera_tuediae	Botryllus_schlosseri	Branchiostoma_floridae	Buddenbrockia_plumatellae	Capitella_teleta	Capsaspora_owczarzaki_atcc30864	Chondrilla_nucula	Ciona_intestinalis	Clytia_hemisphaerica	Corticium_candelabrum	Craspedacusta_sowerbyi	Crassostrea_gigas	Cyanea_capillata	Daphnia_pulex	Ectopleura_larynx	Edwardsiella_lineata	Enteromyxum_leei	Ephydatia_muelleri	Eunicella_cavolinii	Euplectella_aspergillum	Euplokamis_dunlapae	Gorgonia_ventalina	Helobdella_robusta	Homo_sapiens	Hormathia_digitata	Hydra_magnipapillata	Hydractinia_polyclina	Ilyanassa_obsoleta	Ixodes_scapularis	Kudoa_iwatai	Latimeria_menadoensis	Leucetta_chagosensis	Ministeria_vibrans_atcc50519	Mnemiopsis_leidyi	Monosiga_brevicollis_mx1	Monosiga_ovata	Montastraea_faveolata	Myxobolus_cerebralis	Nanomia_bijuga	Nasonia_vitripennis	Nematostella_vectensis	Octopus_vulgaris	Oscarella	Oscarella_carmela	Patiria_miniata	Pediculus_humanus_corporis	Petromyzon_marinus	Petrosia_ficiformis	Pleurobrachia_pileus	Pocillopora_damicornis	Polypodium_hydriforme	Porites_australiensis	Saccoglossus_kowalevskii	Salpingoeca_sp_ATCC50818	Sarcotragus_fasciculatus	Sphaeroforma_arctica_jp610	Sphaeromyxa_zaharoni	Stephanoeca_diplocostata	Stomolophus_meleagris	Strigamia_maritima	Strongylocentrotus_purpuratus	Sycon_ciliatum	Sycon_coactum	Tetracapsuloides_bryosalmonae	Thelohanellus_kitauei	Trichoplax_adhaerens	Tripedalia_cystophora	Urticina_eques	Vallicula_multiformis
Acanthoeca_like_sp_10tr		1	1	0.998296422487223	1	1	0.281090289608177	1	0.998296422487223	0.884156729131175	1	0.437819420783646	1	0.998296422487223	0.913117546848382	1	1	1	1	1	0	1	1	1	0.712095400340716	1	1	1	1	1	0.96252129471891	1	0.614991482112436	1	1	1	0.931856899488927	1	1	0.662691652470187	0.996592844974446	1	1	1	1	1	1	1	1	1	1	1	0.988074957410562	1	0.998296422487223	1	1	0.986371379897785	1	1	0.984667802385009	1	1	0.998296422487223	1	0.974446337308348	1	0.899488926746167	1	1	1	0	0.798977853492334	1	0.17717206132879	0	1
Acropora_cervicornis	1		1	0.998296422487223	1	1	0.281090289608177	1	0.998296422487223	0.884156729131175	1	0.437819420783646	1	0.998296422487223	0.913117546848382	1	1	1	1	1	0	1	1	1	0.712095400340716	1	1	1	1	1	0.96252129471891	1	0.614991482112436	1	1	1	0.931856899488927	1	1	0.662691652470187	0.996592844974446	1	1	1	1	1	1	1	1	1	1	1	0.988074957410562	1	0.998296422487223	1	1	0.986371379897785	1	1	0.984667802385009	1	1	0.998296422487223	1	0.974446337308348	1	0.899488926746167	1	1	1	0	0.798977853492334	1	0.17717206132879	0	1
Aiptasia_pallida	1	1		0.998296422487223	1	1	0.281090289608177	1	0.998296422487223	0.884156729131175	1	0.437819420783646	1	0.998296422487223	0.913117546848382	1	1	1	1	1	0	1	1	1	0.712095400340716	1	1	1	1	1	0.96252129471891	1	0.614991482112436	1	1	1	0.931856899488927	1	1	0.662691652470187	0.996592844974446	1	1	1	1	1	1	1	1	1	1	1	0.988074957410562	1	0.998296422487223	1	1	0.986371379897785	1	1	0.984667802385009	1	1	0.998296422487223	1	0.974446337308348	1	0.899488926746167	1	1	1	0	0.798977853492334	1	0.17717206132879	0	1
Amoebidium	0.998296422487223	0.998296422487223	0.998296422487223		0.998296422487223	0.998296422487223	0.281090289608177	0.998296422487223	0.996592844974446	0.882453151618399	0.998296422487223	0.437819420783646	0.998296422487223	0.998296422487223	0.911413969335605	0.998296422487223	0.998296422487223	0.998296422487223	0.998296422487223	0.998296422487223	0	0.998296422487223	0.998296422487223	0.998296422487223	0.712095400340716	0.998296422487223	0.998296422487223	0.998296422487223	0.998296422487223	0.998296422487223	0.960817717206133	0.998296422487223	0.613287904599659	0.998296422487223	0.998296422487223	0.998296422487223	0.931856899488927	0.998296422487223	0.998296422487223	0.660988074957411	0.99488926746167	0.998296422487223	0.998296422487223	0.998296422487223	0.998296422487223	0.998296422487223	0.998296422487223	0.998296422487223	0.998296422487223	0.998296422487223	0.998296422487223	0.998296422487223	0.986371379897785	0.998296422487223	0.996592844974446	0.998296422487223	0.998296422487223	0.984667802385009	0.998296422487223	0.998296422487223	0.982964224872232	0.998296422487223	0.998296422487223	0.998296422487223	0.998296422487223	0.972742759795571	0.998296422487223	0.89778534923339	0.998296422487223	0.998296422487223	0.998296422487223	0	0.798977853492334	0.998296422487223	0.175468483816014	0	0.998296422487223
Amphimedon_queenslandica	1	1	1	0.998296422487223		1	0.281090289608177	1	0.998296422487223	0.884156729131175	1	0.437819420783646	1	0.998296422487223	0.913117546848382	1	1	1	1	1	0	1	1	1	0.712095400340716	1	1	1	1	1	0.96252129471891	1	0.614991482112436	1	1	1	0.931856899488927	1	1	0.662691652470187	0.996592844974446	1	1	1	1	1	1	1	1	1	1	1	0.988074957410562	1	0.998296422487223	1	1	0.986371379897785	1	1	0.984667802385009	1	1	0.998296422487223	1	0.974446337308348	1	0.899488926746167	1	1	1	0	0.798977853492334	1	0.17717206132879	0	1
Aphrocallistes_vastus	1	1	1	0.998296422487223	1		0.281090289608177	1	0.998296422487223	0.884156729131175	1	0.437819420783646	1	0.998296422487223	0.913117546848382	1	1	1	1	1	0	1	1	1	0.712095400340716	1	1	1	1	1	0.96252129471891	1	0.614991482112436	1	1	1	0.931856899488927	1	1	0.662691652470187	0.996592844974446	1	1	1	1	1	1	1	1	1	1	1	0.988074957410562	1	0.998296422487223	1	1	0.986371379897785	1	1	0.984667802385009	1	1	0.998296422487223	1	0.974446337308348	1	0.899488926746167	1	1	1	0	0.798977853492334	1	0.17717206132879	0	1
Aurelia_aurita	0.281090289608177	0.281090289608177	0.281090289608177	0.281090289608177	0.281090289608177	0.281090289608177		0.281090289608177	0.281090289608177	0.238500851788756	0.281090289608177	0.115843270868825	0.281090289608177	0.281090289608177	0.250425894378194	0.281090289608177	0.281090289608177	0.281090289608177	0.281090289608177	0.281090289608177	0	0.281090289608177	0.281090289608177	0.281090289608177	0.187393526405451	0.281090289608177	0.281090289608177	0.281090289608177	0.281090289608177	0.281090289608177	0.281090289608177	0.281090289608177	0.1396933560477	0.281090289608177	0.281090289608177	0.281090289608177	0.281090289608177	0.281090289608177	0.281090289608177	0.1396933560477	0.281090289608177	0.281090289608177	0.281090289608177	0.281090289608177	0.281090289608177	0.281090289608177	0.281090289608177	0.281090289608177	0.281090289608177	0.281090289608177	0.281090289608177	0.281090289608177	0.269165247018739	0.281090289608177	0.281090289608177	0.281090289608177	0.281090289608177	0.281090289608177	0.281090289608177	0.281090289608177	0.281090289608177	0.281090289608177	0.281090289608177	0.281090289608177	0.281090289608177	0.281090289608177	0.281090289608177	0.207836456558773	0.281090289608177	0.281090289608177	0.281090289608177	0	0.275979557069847	0.281090289608177	0.0749574105621806	0	0.281090289608177
Beroe_abyssicola	1	1	1	0.998296422487223	1	1	0.281090289608177		0.998296422487223	0.884156729131175	1	0.437819420783646	1	0.998296422487223	0.913117546848382	1	1	1	1	1	0	1	1	1	0.712095400340716	1	1	1	1	1	0.96252129471891	1	0.614991482112436	1	1	1	0.931856899488927	1	1	0.662691652470187	0.996592844974446	1	1	1	1	1	1	1	1	1	1	1	0.988074957410562	1	0.998296422487223	1	1	0.986371379897785	1	1	0.984667802385009	1	1	0.998296422487223	1	0.974446337308348	1	0.899488926746167	1	1	1	0	0.798977853492334	1	0.17717206132879	0	1
Bolocera_tuediae	0.998296422487223	0.998296422487223	0.998296422487223	0.996592844974446	0.998296422487223	0.998296422487223	0.281090289608177	0.998296422487223		0.882453151618399	0.998296422487223	0.436115843270869	0.998296422487223	0.996592844974446	0.911413969335605	0.998296422487223	0.998296422487223	0.998296422487223	0.998296422487223	0.998296422487223	0	0.998296422487223	0.998296422487223	0.998296422487223	0.710391822827939	0.998296422487223	0.998296422487223	0.998296422487223	0.998296422487223	0.998296422487223	0.960817717206133	0.998296422487223	0.614991482112436	0.998296422487223	0.998296422487223	0.998296422487223	0.93015332197615	0.998296422487223	0.998296422487223	0.662691652470187	0.99488926746167	0.998296422487223	0.998296422487223	0.998296422487223	0.998296422487223	0.998296422487223	0.998296422487223	0.998296422487223	0.998296422487223	0.998296422487223	0.998296422487223	0.998296422487223	0.986371379897785	0.998296422487223	0.996592844974446	0.998296422487223	0.998296422487223	0.984667802385009	0.998296422487223	0.998296422487223	0.982964224872232	0.998296422487223	0.998296422487223	0.996592844974446	0.998296422487223	0.972742759795571	0.998296422487223	0.89778534923339	0.998296422487223	0.998296422487223	0.998296422487223	0	0.797274275979557	0.998296422487223	0.17717206132879	0	0.998296422487223
Botryllus_schlosseri	0.884156729131175	0.884156729131175	0.884156729131175	0.882453151618399	0.884156729131175	0.884156729131175	0.238500851788756	0.884156729131175	0.882453151618399		0.884156729131175	0.367972742759796	0.884156729131175	0.882453151618399	0.797274275979557	0.884156729131175	0.884156729131175	0.884156729131175	0.884156729131175	0.884156729131175	0	0.884156729131175	0.884156729131175	0.884156729131175	0.633730834752981	0.884156729131175	0.884156729131175	0.884156729131175	0.884156729131175	0.884156729131175	0.846678023850085	0.884156729131175	0.577512776831346	0.884156729131175	0.884156729131175	0.884156729131175	0.816013628620102	0.884156729131175	0.884156729131175	0.625212947189097	0.880749574105622	0.884156729131175	0.884156729131175	0.884156729131175	0.884156729131175	0.884156729131175	0.884156729131175	0.884156729131175	0.884156729131175	0.884156729131175	0.884156729131175	0.884156729131175	0.872231686541738	0.884156729131175	0.882453151618399	0.884156729131175	0.884156729131175	0.870528109028961	0.884156729131175	0.884156729131175	0.868824531516184	0.884156729131175	0.884156729131175	0.882453151618399	0.884156729131175	0.858603066439523	0.884156729131175	0.783645655877342	0.884156729131175	0.884156729131175	0.884156729131175	0	0.683134582623509	0.884156729131175	0.1396933560477	0	0.884156729131175
