	Acanthoeca_like_sp_10tr	Acropora_cervicornis	Aiptasia_pallida	Amoebidium	Amphimedon_queenslandica	Aphrocallistes_vastus	Aurelia_aurita	Beroe_abyssicola	Bolocera_tuediae	Botryllus_schlosseri	Branchiostoma_floridae	Buddenbrockia_plumatellae	Capitella_teleta	Capsaspora_owczarzaki_atcc30864	Chondrilla_nucula	Ciona_intestinalis	Clytia_hemisphaerica	Corticium_candelabrum	Craspedacusta_sowerbyi	Crassostrea_gigas	Cyanea_capillata	Daphnia_pulex	Ectopleura_larynx	Edwardsiella_lineata	Enteromyxum_leei	Ephydatia_muelleri	Eunicella_cavolinii	Euplectella_aspergillum	Euplokamis_dunlapae	Gorgonia_ventalina	Helobdella_robusta	Homo_sapiens	Hormathia_digitata	Hydra_magnipapillata	Hydractinia_polyclina	Ilyanassa_obsoleta	Ixodes_scapularis	Kudoa_iwatai	Latimeria_menadoensis	Leucetta_chagosensis	Ministeria_vibrans_atcc50519	Mnemiopsis_leidyi	Monosiga_brevicollis_mx1	Monosiga_ovata	Montastraea_faveolata	Myxobolus_cerebralis	Nanomia_bijuga	Nasonia_vitripennis	Nematostella_vectensis	Octopus_vulgaris	Oscarella	Oscarella_carmela	Patiria_miniata	Pediculus_humanus_corporis	Petromyzon_marinus	Petrosia_ficiformis	Pleurobrachia_pileus	Pocillopora_damicornis	Polypodium_hydriforme	Porites_australiensis	Saccoglossus_kowalevskii	Salpingoeca_sp_ATCC50818	Sarcotragus_fasciculatus	Sphaeroforma_arctica_jp610	Sphaeromyxa_zaharoni	Stephanoeca_diplocostata	Stomolophus_meleagris	Strigamia_maritima	Strongylocentrotus_purpuratus	Sycon_ciliatum	Sycon_coactum	Tetracapsuloides_bryosalmonae	Thelohanellus_kitauei	Trichoplax_adhaerens	Tripedalia_cystophora	Urticina_eques	Vallicula_multiformis
Acanthoeca_like_sp_10tr		1	1	1	1	1	1	1	0.951271186440678	1	1	0	0.970338983050847	1	0.915254237288136	1	1	1	1	1	0	1	1	1	0.752118644067797	1	1	1	1	1	0.858050847457627	1	1	1	1	1	1	1	1	0.841101694915254	1	1	1	1	1	1	1	0.968220338983051	1	1	1	1	0.951271186440678	1	0.911016949152542	1	1	0.963983050847458	1	1	1	1	1	1	0.970338983050847	1	1	0.902542372881356	1	1	0.955508474576271	0	0.925847457627119	1	0.849576271186441	0.421610169491525	1
Acropora_cervicornis	1		1	1	1	1	1	1	0.951271186440678	1	1	0	0.970338983050847	1	0.915254237288136	1	1	1	1	1	0	1	1	1	0.752118644067797	1	1	1	1	1	0.858050847457627	1	1	1	1	1	1	1	1	0.841101694915254	1	1	1	1	1	1	1	0.968220338983051	1	1	1	1	0.951271186440678	1	0.911016949152542	1	1	0.963983050847458	1	1	1	1	1	1	0.970338983050847	1	1	0.902542372881356	1	1	0.955508474576271	0	0.925847457627119	1	0.849576271186441	0.421610169491525	1
Aiptasia_pallida	1	1		1	1	1	1	1	0.951271186440678	1	1	0	0.970338983050847	1	0.915254237288136	1	1	1	1	1	0	1	1	1	0.752118644067797	1	1	1	1	1	0.858050847457627	1	1	1	1	1	1	1	1	0.841101694915254	1	1	1	1	1	1	1	0.968220338983051	1	1	1	1	0.951271186440678	1	0.911016949152542	1	1	0.963983050847458	1	1	1	1	1	1	0.970338983050847	1	1	0.902542372881356	1	1	0.955508474576271	0	0.925847457627119	1	0.849576271186441	0.421610169491525	1
Amoebidium	1	1	1		1	1	1	1	0.951271186440678	1	1	0	0.970338983050847	1	0.915254237288136	1	1	1	1	1	0	1	1	1	0.752118644067797	1	1	1	1	1	0.858050847457627	1	1	1	1	1	1	1	1	0.841101694915254	1	1	1	1	1	1	1	0.968220338983051	1	1	1	1	0.951271186440678	1	0.911016949152542	1	1	0.963983050847458	1	1	1	1	1	1	0.970338983050847	1	1	0.902542372881356	1	1	0.955508474576271	0	0.925847457627119	1	0.849576271186441	0.421610169491525	1
Amphimedon_queenslandica	1	1	1	1		1	1	1	0.951271186440678	1	1	0	0.970338983050847	1	0.915254237288136	1	1	1	1	1	0	1	1	1	0.752118644067797	1	1	1	1	1	0.858050847457627	1	1	1	1	1	1	1	1	0.841101694915254	1	1	1	1	1	1	1	0.968220338983051	1	1	1	1	0.951271186440678	1	0.911016949152542	1	1	0.963983050847458	1	1	1	1	1	1	0.970338983050847	1	1	0.902542372881356	1	1	0.955508474576271	0	0.925847457627119	1	0.849576271186441	0.421610169491525	1
Aphrocallistes_vastus	1	1	1	1	1		1	1	0.951271186440678	1	1	0	0.970338983050847	1	0.915254237288136	1	1	1	1	1	0	1	1	1	0.752118644067797	1	1	1	1	1	0.858050847457627	1	1	1	1	1	1	1	1	0.841101694915254	1	1	1	1	1	1	1	0.968220338983051	1	1	1	1	0.951271186440678	1	0.911016949152542	1	1	0.963983050847458	1	1	1	1	1	1	0.970338983050847	1	1	0.902542372881356	1	1	0.955508474576271	0	0.925847457627119	1	0.849576271186441	0.421610169491525	1
Aurelia_aurita	1	1	1	1	1	1		1	0.951271186440678	1	1	0	0.970338983050847	1	0.915254237288136	1	1	1	1	1	0	1	1	1	0.752118644067797	1	1	1	1	1	0.858050847457627	1	1	1	1	1	1	1	1	0.841101694915254	1	1	1	1	1	1	1	0.968220338983051	1	1	1	1	0.951271186440678	1	0.911016949152542	1	1	0.963983050847458	1	1	1	1	1	1	0.970338983050847	1	1	0.902542372881356	1	1	0.955508474576271	0	0.925847457627119	1	0.849576271186441	0.421610169491525	1
Beroe_abyssicola	1	1	1	1	1	1	1		0.951271186440678	1	1	0	0.970338983050847	1	0.915254237288136	1	1	1	1	1	0	1	1	1	0.752118644067797	1	1	1	1	1	0.858050847457627	1	1	1	1	1	1	1	1	0.841101694915254	1	1	1	1	1	1	1	0.968220338983051	1	1	1	1	0.951271186440678	1	0.911016949152542	1	1	0.963983050847458	1	1	1	1	1	1	0.970338983050847	1	1	0.902542372881356	1	1	0.955508474576271	0	0.925847457627119	1	0.849576271186441	0.421610169491525	1
Bolocera_tuediae	0.951271186440678	0.951271186440678	0.951271186440678	0.951271186440678	0.951271186440678	0.951271186440678	0.951271186440678	0.951271186440678		0.951271186440678	0.951271186440678	0	0.921610169491525	0.951271186440678	0.870762711864407	0.951271186440678	0.951271186440678	0.951271186440678	0.951271186440678	0.951271186440678	0	0.951271186440678	0.951271186440678	0.951271186440678	0.703389830508475	0.951271186440678	0.951271186440678	0.951271186440678	0.951271186440678	0.951271186440678	0.809322033898305	0.951271186440678	0.951271186440678	0.951271186440678	0.951271186440678	0.951271186440678	0.951271186440678	0.951271186440678	0.951271186440678	0.792372881355932	0.951271186440678	0.951271186440678	0.951271186440678	0.951271186440678	0.951271186440678	0.951271186440678	0.951271186440678	0.919491525423729	0.951271186440678	0.951271186440678	0.951271186440678	0.951271186440678	0.902542372881356	0.951271186440678	0.86228813559322	0.951271186440678	0.951271186440678	0.915254237288136	0.951271186440678	0.951271186440678	0.951271186440678	0.951271186440678	0.951271186440678	0.951271186440678	0.921610169491525	0.951271186440678	0.951271186440678	0.855932203389831	0.951271186440678	0.951271186440678	0.906779661016949	0	0.904661016949153	0.951271186440678	0.800847457627119	0.372881355932203	0.951271186440678
Botryllus_schlosseri	1	1	1	1	1	1	1	1	0.951271186440678		1	0	0.970338983050847	1	0.915254237288136	1	1	1	1	1	0	1	1	1	0.752118644067797	1	1	1	1	1	0.858050847457627	1	1	1	1	1	1	1	1	0.841101694915254	1	1	1	1	1	1	1	0.968220338983051	1	1	1	1	0.951271186440678	1	0.911016949152542	1	1	0.963983050847458	1	1	1	1	1	1	0.970338983050847	1	1	0.902542372881356	1	1	0.955508474576271	0	0.925847457627119	1	0.849576271186441	0.421610169491525	1
