	Acanthoeca_like_sp_10tr	Acropora_cervicornis	Aiptasia_pallida	Amoebidium	Amphimedon_queenslandica	Aphrocallistes_vastus	Aurelia_aurita	Beroe_abyssicola	Bolocera_tuediae	Botryllus_schlosseri	Branchiostoma_floridae	Buddenbrockia_plumatellae	Capitella_teleta	Capsaspora_owczarzaki_atcc30864	Chondrilla_nucula	Ciona_intestinalis	Clytia_hemisphaerica	Corticium_candelabrum	Craspedacusta_sowerbyi	Crassostrea_gigas	Cyanea_capillata	Daphnia_pulex	Ectopleura_larynx	Edwardsiella_lineata	Enteromyxum_leei	Ephydatia_muelleri	Eunicella_cavolinii	Euplectella_aspergillum	Euplokamis_dunlapae	Gorgonia_ventalina	Helobdella_robusta	Homo_sapiens	Hormathia_digitata	Hydra_magnipapillata	Hydractinia_polyclina	Ilyanassa_obsoleta	Ixodes_scapularis	Kudoa_iwatai	Latimeria_menadoensis	Leucetta_chagosensis	Ministeria_vibrans_atcc50519	Mnemiopsis_leidyi	Monosiga_brevicollis_mx1	Monosiga_ovata	Montastraea_faveolata	Myxobolus_cerebralis	Nanomia_bijuga	Nasonia_vitripennis	Nematostella_vectensis	Octopus_vulgaris	Oscarella	Oscarella_carmela	Patiria_miniata	Pediculus_humanus_corporis	Petromyzon_marinus	Petrosia_ficiformis	Pleurobrachia_pileus	Pocillopora_damicornis	Polypodium_hydriforme	Porites_australiensis	Saccoglossus_kowalevskii	Salpingoeca_sp_ATCC50818	Sarcotragus_fasciculatus	Sphaeroforma_arctica_jp610	Sphaeromyxa_zaharoni	Stephanoeca_diplocostata	Stomolophus_meleagris	Strigamia_maritima	Strongylocentrotus_purpuratus	Sycon_ciliatum	Sycon_coactum	Tetracapsuloides_bryosalmonae	Thelohanellus_kitauei	Trichoplax_adhaerens	Tripedalia_cystophora	Urticina_eques	Vallicula_multiformis
Acanthoeca_like_sp_10tr		1	0	1	1	1	0.165467625899281	0.910071942446043	0.719424460431655	0.665467625899281	1	0	1	1	1	0.949640287769784	0	0.989208633093525	1	1	0	1	1	0.76978417266187	0	1	0.931654676258993	1	0.762589928057554	1	0.949640287769784	1	0.866906474820144	1	1	0.287769784172662	1	1	1	0	1	0.996402877697842	0.845323741007194	0.971223021582734	1	1	1	1	1	1	1	1	0.910071942446043	1	0.856115107913669	1	0.996402877697842	0.996402877697842	1	1	1	1	1	1	0	1	1	0.91726618705036	1	0	1	0	0.863309352517986	1	0.766187050359712	0.636690647482014	0.949640287769784
Acropora_cervicornis	1		0	1	1	1	0.165467625899281	0.910071942446043	0.719424460431655	0.665467625899281	1	0	1	1	1	0.949640287769784	0	0.989208633093525	1	1	0	1	1	0.76978417266187	0	1	0.931654676258993	1	0.762589928057554	1	0.949640287769784	1	0.866906474820144	1	1	0.287769784172662	1	1	1	0	1	0.996402877697842	0.845323741007194	0.971223021582734	1	1	1	1	1	1	1	1	0.910071942446043	1	0.856115107913669	1	0.996402877697842	0.996402877697842	1	1	1	1	1	1	0	1	1	0.91726618705036	1	0	1	0	0.863309352517986	1	0.766187050359712	0.636690647482014	0.949640287769784
Aiptasia_pallida	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amoebidium	1	1	0		1	1	0.165467625899281	0.910071942446043	0.719424460431655	0.665467625899281	1	0	1	1	1	0.949640287769784	0	0.989208633093525	1	1	0	1	1	0.76978417266187	0	1	0.931654676258993	1	0.762589928057554	1	0.949640287769784	1	0.866906474820144	1	1	0.287769784172662	1	1	1	0	1	0.996402877697842	0.845323741007194	0.971223021582734	1	1	1	1	1	1	1	1	0.910071942446043	1	0.856115107913669	1	0.996402877697842	0.996402877697842	1	1	1	1	1	1	0	1	1	0.91726618705036	1	0	1	0	0.863309352517986	1	0.766187050359712	0.636690647482014	0.949640287769784
Amphimedon_queenslandica	1	1	0	1		1	0.165467625899281	0.910071942446043	0.719424460431655	0.665467625899281	1	0	1	1	1	0.949640287769784	0	0.989208633093525	1	1	0	1	1	0.76978417266187	0	1	0.931654676258993	1	0.762589928057554	1	0.949640287769784	1	0.866906474820144	1	1	0.287769784172662	1	1	1	0	1	0.996402877697842	0.845323741007194	0.971223021582734	1	1	1	1	1	1	1	1	0.910071942446043	1	0.856115107913669	1	0.996402877697842	0.996402877697842	1	1	1	1	1	1	0	1	1	0.91726618705036	1	0	1	0	0.863309352517986	1	0.766187050359712	0.636690647482014	0.949640287769784
Aphrocallistes_vastus	1	1	0	1	1		0.165467625899281	0.910071942446043	0.719424460431655	0.665467625899281	1	0	1	1	1	0.949640287769784	0	0.989208633093525	1	1	0	1	1	0.76978417266187	0	1	0.931654676258993	1	0.762589928057554	1	0.949640287769784	1	0.866906474820144	1	1	0.287769784172662	1	1	1	0	1	0.996402877697842	0.845323741007194	0.971223021582734	1	1	1	1	1	1	1	1	0.910071942446043	1	0.856115107913669	1	0.996402877697842	0.996402877697842	1	1	1	1	1	1	0	1	1	0.91726618705036	1	0	1	0	0.863309352517986	1	0.766187050359712	0.636690647482014	0.949640287769784
Aurelia_aurita	0.165467625899281	0.165467625899281	0	0.165467625899281	0.165467625899281	0.165467625899281		0.151079136690647	0.165467625899281	0.136690647482014	0.165467625899281	0	0.165467625899281	0.165467625899281	0.165467625899281	0.118705035971223	0	0.165467625899281	0.165467625899281	0.165467625899281	0	0.165467625899281	0.165467625899281	0	0	0.165467625899281	0.0971223021582734	0.165467625899281	0	0.165467625899281	0.165467625899281	0.165467625899281	0.165467625899281	0.165467625899281	0.165467625899281	0.165467625899281	0.165467625899281	0.165467625899281	0.165467625899281	0	0.165467625899281	0.161870503597122	0.165467625899281	0.136690647482014	0.165467625899281	0.165467625899281	0.165467625899281	0.165467625899281	0.165467625899281	0.165467625899281	0.165467625899281	0.165467625899281	0.165467625899281	0.165467625899281	0.0431654676258993	0.165467625899281	0.161870503597122	0.165467625899281	0.165467625899281	0.165467625899281	0.165467625899281	0.165467625899281	0.165467625899281	0.165467625899281	0	0.165467625899281	0.165467625899281	0.161870503597122	0.165467625899281	0	0.165467625899281	0	0.115107913669065	0.165467625899281	0.165467625899281	0	0.115107913669065
Beroe_abyssicola	0.910071942446043	0.910071942446043	0	0.910071942446043	0.910071942446043	0.910071942446043	0.151079136690647		0.629496402877698	0.665467625899281	0.910071942446043	0	0.910071942446043	0.910071942446043	0.910071942446043	0.859712230215827	0	0.910071942446043	0.910071942446043	0.910071942446043	0	0.910071942446043	0.910071942446043	0.694244604316547	0	0.910071942446043	0.856115107913669	0.910071942446043	0.68705035971223	0.910071942446043	0.859712230215827	0.910071942446043	0.776978417266187	0.910071942446043	0.910071942446043	0.273381294964029	0.910071942446043	0.910071942446043	0.910071942446043	0	0.910071942446043	0.910071942446043	0.755395683453237	0.89568345323741	0.910071942446043	0.910071942446043	0.910071942446043	0.910071942446043	0.910071942446043	0.910071942446043	0.910071942446043	0.910071942446043	0.820143884892086	0.910071942446043	0.766187050359712	0.910071942446043	0.910071942446043	0.906474820143885	0.910071942446043	0.910071942446043	0.910071942446043	0.910071942446043	0.910071942446043	0.910071942446043	0	0.910071942446043	0.910071942446043	0.827338129496403	0.910071942446043	0	0.910071942446043	0	0.773381294964029	0.910071942446043	0.676258992805755	0.561151079136691	0.87410071942446
Bolocera_tuediae	0.719424460431655	0.719424460431655	0	0.719424460431655	0.719424460431655	0.719424460431655	0.165467625899281	0.629496402877698		0.384892086330935	0.719424460431655	0	0.719424460431655	0.719424460431655	0.719424460431655	0.672661870503597	0	0.70863309352518	0.719424460431655	0.719424460431655	0	0.719424460431655	0.719424460431655	0.543165467625899	0	0.719424460431655	0.651079136690647	0.719424460431655	0.535971223021583	0.719424460431655	0.669064748201439	0.719424460431655	0.607913669064748	0.719424460431655	0.719424460431655	0.194244604316547	0.719424460431655	0.719424460431655	0.719424460431655	0	0.719424460431655	0.715827338129496	0.564748201438849	0.690647482014389	0.719424460431655	0.719424460431655	0.719424460431655	0.719424460431655	0.719424460431655	0.719424460431655	0.719424460431655	0.719424460431655	0.672661870503597	0.719424460431655	0.597122302158273	0.719424460431655	0.715827338129496	0.715827338129496	0.719424460431655	0.719424460431655	0.719424460431655	0.719424460431655	0.719424460431655	0.719424460431655	0	0.719424460431655	0.719424460431655	0.640287769784173	0.719424460431655	0	0.719424460431655	0	0.58273381294964	0.719424460431655	0.690647482014389	0.474820143884892	0.669064748201439
Botryllus_schlosseri	0.665467625899281	0.665467625899281	0	0.665467625899281	0.665467625899281	0.665467625899281	0.136690647482014	0.665467625899281	0.384892086330935		0.665467625899281	0	0.665467625899281	0.665467625899281	0.665467625899281	0.615107913669065	0	0.665467625899281	0.665467625899281	0.665467625899281	0	0.665467625899281	0.665467625899281	0.464028776978417	0	0.665467625899281	0.62589928057554	0.665467625899281	0.456834532374101	0.665467625899281	0.615107913669065	0.665467625899281	0.532374100719424	0.665467625899281	0.665467625899281	0.258992805755396	0.665467625899281	0.665467625899281	0.665467625899281	0	0.665467625899281	0.665467625899281	0.589928057553957	0.665467625899281	0.665467625899281	0.665467625899281	0.665467625899281	0.665467625899281	0.665467625899281	0.665467625899281	0.665467625899281	0.665467625899281	0.575539568345324	0.665467625899281	0.52158273381295	0.665467625899281	0.665467625899281	0.665467625899281	0.665467625899281	0.665467625899281	0.665467625899281	0.665467625899281	0.665467625899281	0.665467625899281	0	0.665467625899281	0.665467625899281	0.58273381294964	0.665467625899281	0	0.665467625899281	0	0.543165467625899	0.665467625899281	0.431654676258993	0.330935251798561	0.643884892086331
