	Acanthoeca_like_sp_10tr	Acropora_cervicornis	Aiptasia_pallida	Amoebidium	Amphimedon_queenslandica	Aphrocallistes_vastus	Aurelia_aurita	Beroe_abyssicola	Bolocera_tuediae	Botryllus_schlosseri	Branchiostoma_floridae	Buddenbrockia_plumatellae	Capitella_teleta	Capsaspora_owczarzaki_atcc30864	Chondrilla_nucula	Ciona_intestinalis	Clytia_hemisphaerica	Corticium_candelabrum	Craspedacusta_sowerbyi	Crassostrea_gigas	Cyanea_capillata	Daphnia_pulex	Ectopleura_larynx	Edwardsiella_lineata	Enteromyxum_leei	Ephydatia_muelleri	Eunicella_cavolinii	Euplectella_aspergillum	Euplokamis_dunlapae	Gorgonia_ventalina	Helobdella_robusta	Homo_sapiens	Hormathia_digitata	Hydra_magnipapillata	Hydractinia_polyclina	Ilyanassa_obsoleta	Ixodes_scapularis	Kudoa_iwatai	Latimeria_menadoensis	Leucetta_chagosensis	Ministeria_vibrans_atcc50519	Mnemiopsis_leidyi	Monosiga_brevicollis_mx1	Monosiga_ovata	Montastraea_faveolata	Myxobolus_cerebralis	Nanomia_bijuga	Nasonia_vitripennis	Nematostella_vectensis	Octopus_vulgaris	Oscarella	Oscarella_carmela	Patiria_miniata	Pediculus_humanus_corporis	Petromyzon_marinus	Petrosia_ficiformis	Pleurobrachia_pileus	Pocillopora_damicornis	Polypodium_hydriforme	Porites_australiensis	Saccoglossus_kowalevskii	Salpingoeca_sp_ATCC50818	Sarcotragus_fasciculatus	Sphaeroforma_arctica_jp610	Sphaeromyxa_zaharoni	Stephanoeca_diplocostata	Stomolophus_meleagris	Strigamia_maritima	Strongylocentrotus_purpuratus	Sycon_ciliatum	Sycon_coactum	Tetracapsuloides_bryosalmonae	Thelohanellus_kitauei	Trichoplax_adhaerens	Tripedalia_cystophora	Urticina_eques	Vallicula_multiformis
Acanthoeca_like_sp_10tr		0.99112426035503	0.99112426035503	0.988165680473373	0.99112426035503	0.99112426035503	0.99112426035503	0.928994082840237	0.72189349112426	0.99112426035503	0.99112426035503	0	0.99112426035503	0.988165680473373	0.804733727810651	0.99112426035503	0.964497041420118	0.99112426035503	0.99112426035503	0.99112426035503	0	0.99112426035503	0.99112426035503	0.677514792899408	0.671597633136095	0.99112426035503	0.961538461538462	0.99112426035503	0.520710059171598	0.99112426035503	0.99112426035503	0.99112426035503	0.988165680473373	0.99112426035503	0.99112426035503	0.99112426035503	0.99112426035503	0.99112426035503	0.949704142011834	0	0.878698224852071	0.99112426035503	0.988165680473373	0	0.99112426035503	0.988165680473373	0.99112426035503	0.99112426035503	0.99112426035503	0.99112426035503	0.952662721893491	0.99112426035503	0.789940828402367	0.99112426035503	0.99112426035503	0.99112426035503	0.985207100591716	0.99112426035503	0.99112426035503	0.99112426035503	0.99112426035503	0.988165680473373	0.917159763313609	0.988165680473373	0.99112426035503	0.99112426035503	0.99112426035503	0.943786982248521	0.99112426035503	0.99112426035503	0.99112426035503	0	0.92603550295858	0.99112426035503	0.331360946745562	0	0.985207100591716
Acropora_cervicornis	0.99112426035503		1	0.99112426035503	1	1	1	0.93491124260355	0.730769230769231	1	1	0	1	0.994082840236686	0.813609467455621	1	0.973372781065089	1	1	1	0	1	1	0.686390532544379	0.680473372781065	1	0.970414201183432	1	0.526627218934911	1	1	1	0.997041420118343	1	1	0.994082840236686	1	1	0.952662721893491	0	0.884615384615385	1	0.994082840236686	0	1	0.997041420118343	1	1	1	1	0.961538461538462	1	0.792899408284024	1	1	1	0.994082840236686	1	1	1	1	0.994082840236686	0.920118343195266	0.99112426035503	1	0.99112426035503	1	0.952662721893491	1	1	1	0	0.93491124260355	1	0.334319526627219	0	0.994082840236686
Aiptasia_pallida	0.99112426035503	1		0.99112426035503	1	1	1	0.93491124260355	0.730769230769231	1	1	0	1	0.994082840236686	0.813609467455621	1	0.973372781065089	1	1	1	0	1	1	0.686390532544379	0.680473372781065	1	0.970414201183432	1	0.526627218934911	1	1	1	0.997041420118343	1	1	0.994082840236686	1	1	0.952662721893491	0	0.884615384615385	1	0.994082840236686	0	1	0.997041420118343	1	1	1	1	0.961538461538462	1	0.792899408284024	1	1	1	0.994082840236686	1	1	1	1	0.994082840236686	0.920118343195266	0.99112426035503	1	0.99112426035503	1	0.952662721893491	1	1	1	0	0.93491124260355	1	0.334319526627219	0	0.994082840236686
Amoebidium	0.988165680473373	0.99112426035503	0.99112426035503		0.99112426035503	0.99112426035503	0.99112426035503	0.92603550295858	0.72189349112426	0.99112426035503	0.99112426035503	0	0.99112426035503	0.99112426035503	0.804733727810651	0.99112426035503	0.964497041420118	0.99112426035503	0.99112426035503	0.99112426035503	0	0.99112426035503	0.99112426035503	0.677514792899408	0.671597633136095	0.99112426035503	0.961538461538462	0.99112426035503	0.517751479289941	0.99112426035503	0.99112426035503	0.99112426035503	0.988165680473373	0.99112426035503	0.99112426035503	0.99112426035503	0.99112426035503	0.99112426035503	0.952662721893491	0	0.881656804733728	0.99112426035503	0.99112426035503	0	0.99112426035503	0.988165680473373	0.99112426035503	0.99112426035503	0.99112426035503	0.99112426035503	0.952662721893491	0.99112426035503	0.792899408284024	0.99112426035503	0.99112426035503	0.99112426035503	0.985207100591716	0.99112426035503	0.99112426035503	0.99112426035503	0.99112426035503	0.99112426035503	0.920118343195266	0.99112426035503	0.99112426035503	0.988165680473373	0.99112426035503	0.943786982248521	0.99112426035503	0.99112426035503	0.99112426035503	0	0.92603550295858	0.99112426035503	0.334319526627219	0	0.985207100591716
Amphimedon_queenslandica	0.99112426035503	1	1	0.99112426035503		1	1	0.93491124260355	0.730769230769231	1	1	0	1	0.994082840236686	0.813609467455621	1	0.973372781065089	1	1	1	0	1	1	0.686390532544379	0.680473372781065	1	0.970414201183432	1	0.526627218934911	1	1	1	0.997041420118343	1	1	0.994082840236686	1	1	0.952662721893491	0	0.884615384615385	1	0.994082840236686	0	1	0.997041420118343	1	1	1	1	0.961538461538462	1	0.792899408284024	1	1	1	0.994082840236686	1	1	1	1	0.994082840236686	0.920118343195266	0.99112426035503	1	0.99112426035503	1	0.952662721893491	1	1	1	0	0.93491124260355	1	0.334319526627219	0	0.994082840236686
Aphrocallistes_vastus	0.99112426035503	1	1	0.99112426035503	1		1	0.93491124260355	0.730769230769231	1	1	0	1	0.994082840236686	0.813609467455621	1	0.973372781065089	1	1	1	0	1	1	0.686390532544379	0.680473372781065	1	0.970414201183432	1	0.526627218934911	1	1	1	0.997041420118343	1	1	0.994082840236686	1	1	0.952662721893491	0	0.884615384615385	1	0.994082840236686	0	1	0.997041420118343	1	1	1	1	0.961538461538462	1	0.792899408284024	1	1	1	0.994082840236686	1	1	1	1	0.994082840236686	0.920118343195266	0.99112426035503	1	0.99112426035503	1	0.952662721893491	1	1	1	0	0.93491124260355	1	0.334319526627219	0	0.994082840236686
Aurelia_aurita	0.99112426035503	1	1	0.99112426035503	1	1		0.93491124260355	0.730769230769231	1	1	0	1	0.994082840236686	0.813609467455621	1	0.973372781065089	1	1	1	0	1	1	0.686390532544379	0.680473372781065	1	0.970414201183432	1	0.526627218934911	1	1	1	0.997041420118343	1	1	0.994082840236686	1	1	0.952662721893491	0	0.884615384615385	1	0.994082840236686	0	1	0.997041420118343	1	1	1	1	0.961538461538462	1	0.792899408284024	1	1	1	0.994082840236686	1	1	1	1	0.994082840236686	0.920118343195266	0.99112426035503	1	0.99112426035503	1	0.952662721893491	1	1	1	0	0.93491124260355	1	0.334319526627219	0	0.994082840236686
Beroe_abyssicola	0.928994082840237	0.93491124260355	0.93491124260355	0.92603550295858	0.93491124260355	0.93491124260355	0.93491124260355		0.665680473372781	0.93491124260355	0.93491124260355	0	0.93491124260355	0.928994082840237	0.748520710059172	0.93491124260355	0.908284023668639	0.93491124260355	0.93491124260355	0.93491124260355	0	0.93491124260355	0.93491124260355	0.621301775147929	0.615384615384615	0.93491124260355	0.905325443786982	0.93491124260355	0.523668639053254	0.93491124260355	0.93491124260355	0.93491124260355	0.931952662721893	0.93491124260355	0.93491124260355	0.928994082840237	0.93491124260355	0.93491124260355	0.887573964497041	0	0.819526627218935	0.93491124260355	0.928994082840237	0	0.93491124260355	0.931952662721893	0.93491124260355	0.93491124260355	0.93491124260355	0.93491124260355	0.896449704142012	0.93491124260355	0.733727810650888	0.93491124260355	0.93491124260355	0.93491124260355	0.928994082840237	0.93491124260355	0.93491124260355	0.93491124260355	0.93491124260355	0.928994082840237	0.855029585798817	0.92603550295858	0.93491124260355	0.928994082840237	0.93491124260355	0.887573964497041	0.93491124260355	0.93491124260355	0.93491124260355	0	0.869822485207101	0.93491124260355	0.269230769230769	0	0.928994082840237
Bolocera_tuediae	0.72189349112426	0.730769230769231	0.730769230769231	0.72189349112426	0.730769230769231	0.730769230769231	0.730769230769231	0.665680473372781		0.730769230769231	0.730769230769231	0	0.730769230769231	0.724852071005917	0.730769230769231	0.730769230769231	0.730769230769231	0.730769230769231	0.730769230769231	0.730769230769231	0	0.730769230769231	0.730769230769231	0.417159763313609	0.544378698224852	0.730769230769231	0.701183431952663	0.730769230769231	0.526627218934911	0.730769230769231	0.730769230769231	0.730769230769231	0.727810650887574	0.730769230769231	0.730769230769231	0.724852071005917	0.730769230769231	0.730769230769231	0.683431952662722	0	0.615384615384615	0.730769230769231	0.724852071005917	0	0.730769230769231	0.727810650887574	0.730769230769231	0.730769230769231	0.730769230769231	0.730769230769231	0.727810650887574	0.730769230769231	0.571005917159763	0.730769230769231	0.730769230769231	0.730769230769231	0.730769230769231	0.730769230769231	0.730769230769231	0.730769230769231	0.730769230769231	0.724852071005917	0.650887573964497	0.72189349112426	0.730769230769231	0.72189349112426	0.730769230769231	0.689349112426035	0.730769230769231	0.730769230769231	0.730769230769231	0	0.671597633136095	0.730769230769231	0.307692307692308	0	0.730769230769231
Botryllus_schlosseri	0.99112426035503	1	1	0.99112426035503	1	1	1	0.93491124260355	0.730769230769231		1	0	1	0.994082840236686	0.813609467455621	1	0.973372781065089	1	1	1	0	1	1	0.686390532544379	0.680473372781065	1	0.970414201183432	1	0.526627218934911	1	1	1	0.997041420118343	1	1	0.994082840236686	1	1	0.952662721893491	0	0.884615384615385	1	0.994082840236686	0	1	0.997041420118343	1	1	1	1	0.961538461538462	1	0.792899408284024	1	1	1	0.994082840236686	1	1	1	1	0.994082840236686	0.920118343195266	0.99112426035503	1	0.99112426035503	1	0.952662721893491	1	1	1	0	0.93491124260355	1	0.334319526627219	0	0.994082840236686
