	Acanthoeca_like_sp_10tr	Acropora_cervicornis	Aiptasia_pallida	Amoebidium	Amphimedon_queenslandica	Aphrocallistes_vastus	Aurelia_aurita	Beroe_abyssicola	Bolocera_tuediae	Botryllus_schlosseri	Branchiostoma_floridae	Buddenbrockia_plumatellae	Capitella_teleta	Capsaspora_owczarzaki_atcc30864	Chondrilla_nucula	Ciona_intestinalis	Clytia_hemisphaerica	Corticium_candelabrum	Craspedacusta_sowerbyi	Crassostrea_gigas	Cyanea_capillata	Daphnia_pulex	Ectopleura_larynx	Edwardsiella_lineata	Enteromyxum_leei	Ephydatia_muelleri	Eunicella_cavolinii	Euplectella_aspergillum	Euplokamis_dunlapae	Gorgonia_ventalina	Helobdella_robusta	Homo_sapiens	Hormathia_digitata	Hydra_magnipapillata	Hydractinia_polyclina	Ilyanassa_obsoleta	Ixodes_scapularis	Kudoa_iwatai	Latimeria_menadoensis	Leucetta_chagosensis	Ministeria_vibrans_atcc50519	Mnemiopsis_leidyi	Monosiga_brevicollis_mx1	Monosiga_ovata	Montastraea_faveolata	Myxobolus_cerebralis	Nanomia_bijuga	Nasonia_vitripennis	Nematostella_vectensis	Octopus_vulgaris	Oscarella	Oscarella_carmela	Patiria_miniata	Pediculus_humanus_corporis	Petromyzon_marinus	Petrosia_ficiformis	Pleurobrachia_pileus	Pocillopora_damicornis	Polypodium_hydriforme	Porites_australiensis	Saccoglossus_kowalevskii	Salpingoeca_sp_ATCC50818	Sarcotragus_fasciculatus	Sphaeroforma_arctica_jp610	Sphaeromyxa_zaharoni	Stephanoeca_diplocostata	Stomolophus_meleagris	Strigamia_maritima	Strongylocentrotus_purpuratus	Sycon_ciliatum	Sycon_coactum	Tetracapsuloides_bryosalmonae	Thelohanellus_kitauei	Trichoplax_adhaerens	Tripedalia_cystophora	Urticina_eques	Vallicula_multiformis
Acanthoeca_like_sp_10tr		0.932409012131716	0.932409012131716	0.932409012131716	0.932409012131716	0.932409012131716	0.277296360485269	0.0831889081455806	0.79896013864818	0.466204506065858	0.932409012131716	0	0.932409012131716	0.932409012131716	0.674176776429809	0.932409012131716	0.69844020797227	0.932409012131716	0.932409012131716	0.932409012131716	0	0.932409012131716	0.932409012131716	0.932409012131716	0.745233968804159	0.894280762564991	0.705372616984402	0.620450606585789	0.294627383015598	0.932409012131716	0.530329289428076	0.932409012131716	0.901213171577123	0.876949740034662	0.915077989601387	0.932409012131716	0.932409012131716	0.932409012131716	0.932409012131716	0	0.429809358752166	0.932409012131716	0.896013864818024	0.852686308492201	0.906412478336222	0.932409012131716	0.922010398613518	0.927209705372617	0.932409012131716	0.925476603119584	0.932409012131716	0.918544194107452	0.859618717504333	0.932409012131716	0.804159445407279	0.902946273830156	0.497400346620451	0.896013864818024	0.932409012131716	0.124783362218371	0.932409012131716	0.932409012131716	0.760831889081456	0.932409012131716	0.932409012131716	0.575389948006932	0.535528596187175	0.81629116117851	0.932409012131716	0.932409012131716	0.932409012131716	0	0.766031195840555	0.932409012131716	0.133448873483536	0	0.932409012131716
Acropora_cervicornis	0.932409012131716		0.989601386481802	0.987868284228769	0.989601386481802	0.989601386481802	0.277296360485269	0.0831889081455806	0.814558058925477	0.480069324090121	0.989601386481802	0	0.989601386481802	0.987868284228769	0.717504332755633	0.989601386481802	0.740034662045061	0.989601386481802	0.989601386481802	0.989601386481802	0	0.987868284228769	0.989601386481802	0.989601386481802	0.78682842287695	0.951473136915078	0.748700173310225	0.636048526863085	0.296360485268631	0.989601386481802	0.540727902946274	0.989601386481802	0.95840554592721	0.934142114384749	0.972270363951473	0.989601386481802	0.989601386481802	0.989601386481802	0.989601386481802	0	0.429809358752166	0.989601386481802	0.939341421143847	0.909878682842288	0.963604852686308	0.989601386481802	0.979202772963605	0.984402079722704	0.989601386481802	0.982668977469671	0.989601386481802	0.965337954939341	0.894280762564991	0.989601386481802	0.861351819757366	0.960138648180243	0.512998266897747	0.953206239168111	0.989601386481802	0.138648180242634	0.989601386481802	0.987868284228769	0.818024263431542	0.989601386481802	0.989601386481802	0.577123050259965	0.551126516464471	0.856152512998267	0.975736568457539	0.989601386481802	0.989601386481802	0	0.788561525129983	0.989601386481802	0.147313691507799	0	0.989601386481802
Aiptasia_pallida	0.932409012131716	0.989601386481802		0.998266897746967	1	1	0.277296360485269	0.0831889081455806	0.824956672443674	0.490467937608319	1	0	1	0.998266897746967	0.717504332755633	1	0.740034662045061	1	1	1	0	0.998266897746967	1	1	0.78682842287695	0.961871750433276	0.748700173310225	0.646447140381282	0.296360485268631	1	0.540727902946274	1	0.968804159445407	0.944540727902946	0.982668977469671	1	1	1	1	0	0.429809358752166	1	0.939341421143847	0.920277296360485	0.974003466204506	1	0.989601386481802	0.994800693240901	1	0.993067590987868	1	0.975736568457539	0.904679376083189	1	0.871750433275563	0.97053726169844	0.523396880415945	0.963604852686308	1	0.149046793760832	1	0.998266897746967	0.82842287694974	1	1	0.577123050259965	0.561525129982669	0.856152512998267	0.975736568457539	1	1	0	0.79896013864818	1	0.157712305025997	0	1
Amoebidium	0.932409012131716	0.987868284228769	0.998266897746967		0.998266897746967	0.998266897746967	0.277296360485269	0.0831889081455806	0.824956672443674	0.490467937608319	0.998266897746967	0	0.998266897746967	0.996533795493934	0.7157712305026	0.998266897746967	0.738301559792028	0.998266897746967	0.998266897746967	0.998266897746967	0	0.996533795493934	0.998266897746967	0.998266897746967	0.785095320623917	0.960138648180243	0.746967071057192	0.646447140381282	0.296360485268631	0.998266897746967	0.540727902946274	0.998266897746967	0.967071057192374	0.942807625649913	0.980935875216638	0.998266897746967	0.998266897746967	0.998266897746967	0.998266897746967	0	0.429809358752166	0.998266897746967	0.937608318890815	0.918544194107452	0.972270363951473	0.998266897746967	0.987868284228769	0.993067590987868	0.998266897746967	0.991334488734835	0.998266897746967	0.974003466204506	0.904679376083189	0.998266897746967	0.87001733102253	0.968804159445407	0.523396880415945	0.961871750433276	0.998266897746967	0.149046793760832	0.998266897746967	0.996533795493934	0.826689774696707	0.998266897746967	0.998266897746967	0.577123050259965	0.561525129982669	0.854419410745234	0.974003466204506	0.998266897746967	0.998266897746967	0	0.79896013864818	0.998266897746967	0.157712305025997	0	0.998266897746967
Amphimedon_queenslandica	0.932409012131716	0.989601386481802	1	0.998266897746967		1	0.277296360485269	0.0831889081455806	0.824956672443674	0.490467937608319	1	0	1	0.998266897746967	0.717504332755633	1	0.740034662045061	1	1	1	0	0.998266897746967	1	1	0.78682842287695	0.961871750433276	0.748700173310225	0.646447140381282	0.296360485268631	1	0.540727902946274	1	0.968804159445407	0.944540727902946	0.982668977469671	1	1	1	1	0	0.429809358752166	1	0.939341421143847	0.920277296360485	0.974003466204506	1	0.989601386481802	0.994800693240901	1	0.993067590987868	1	0.975736568457539	0.904679376083189	1	0.871750433275563	0.97053726169844	0.523396880415945	0.963604852686308	1	0.149046793760832	1	0.998266897746967	0.82842287694974	1	1	0.577123050259965	0.561525129982669	0.856152512998267	0.975736568457539	1	1	0	0.79896013864818	1	0.157712305025997	0	1
Aphrocallistes_vastus	0.932409012131716	0.989601386481802	1	0.998266897746967	1		0.277296360485269	0.0831889081455806	0.824956672443674	0.490467937608319	1	0	1	0.998266897746967	0.717504332755633	1	0.740034662045061	1	1	1	0	0.998266897746967	1	1	0.78682842287695	0.961871750433276	0.748700173310225	0.646447140381282	0.296360485268631	1	0.540727902946274	1	0.968804159445407	0.944540727902946	0.982668977469671	1	1	1	1	0	0.429809358752166	1	0.939341421143847	0.920277296360485	0.974003466204506	1	0.989601386481802	0.994800693240901	1	0.993067590987868	1	0.975736568457539	0.904679376083189	1	0.871750433275563	0.97053726169844	0.523396880415945	0.963604852686308	1	0.149046793760832	1	0.998266897746967	0.82842287694974	1	1	0.577123050259965	0.561525129982669	0.856152512998267	0.975736568457539	1	1	0	0.79896013864818	1	0.157712305025997	0	1
Aurelia_aurita	0.277296360485269	0.277296360485269	0.277296360485269	0.277296360485269	0.277296360485269	0.277296360485269		0.0831889081455806	0.185441941074523	0.140381282495667	0.277296360485269	0	0.277296360485269	0.277296360485269	0.237435008665511	0.277296360485269	0.187175043327556	0.277296360485269	0.277296360485269	0.277296360485269	0	0.277296360485269	0.277296360485269	0.277296360485269	0.254766031195841	0.240901213171577	0.268630849220104	0.185441941074523	0.136915077989601	0.277296360485269	0.102253032928943	0.277296360485269	0.277296360485269	0.270363951473137	0.277296360485269	0.277296360485269	0.277296360485269	0.277296360485269	0.277296360485269	0	0.235701906412478	0.277296360485269	0.277296360485269	0.221837088388215	0.277296360485269	0.277296360485269	0.277296360485269	0.27209705372617	0.277296360485269	0.270363951473137	0.277296360485269	0.277296360485269	0.220103986135182	0.277296360485269	0.277296360485269	0.277296360485269	0.136915077989601	0.266897746967071	0.277296360485269	0	0.277296360485269	0.277296360485269	0.261698440207972	0.277296360485269	0.277296360485269	0.155979202772964	0.136915077989601	0.218370883882149	0.277296360485269	0.277296360485269	0.277296360485269	0	0.240901213171577	0.277296360485269	0	0	0.277296360485269
Beroe_abyssicola	0.0831889081455806	0.0831889081455806	0.0831889081455806	0.0831889081455806	0.0831889081455806	0.0831889081455806	0.0831889081455806		0.0831889081455806	0	0.0831889081455806	0	0.0831889081455806	0.0831889081455806	0.0433275563258232	0.0831889081455806	0.0467937608318891	0.0831889081455806	0.0831889081455806	0.0831889081455806	0	0.0831889081455806	0.0831889081455806	0.0831889081455806	0.0779896013864818	0.0831889081455806	0.0745233968804159	0.0831889081455806	0.0831889081455806	0.0831889081455806	0.0831889081455806	0.0831889081455806	0.0831889081455806	0.0762564991334489	0.0831889081455806	0.0831889081455806	0.0831889081455806	0.0831889081455806	0.0831889081455806	0	0.0606585788561525	0.0831889081455806	0.0831889081455806	0.0831889081455806	0.0831889081455806	0.0831889081455806	0.0831889081455806	0.0831889081455806	0.0831889081455806	0.0831889081455806	0.0831889081455806	0.0831889081455806	0.0831889081455806	0.0831889081455806	0.0831889081455806	0.0831889081455806	0.0831889081455806	0.0831889081455806	0.0831889081455806	0	0.0831889081455806	0.0831889081455806	0.0831889081455806	0.0831889081455806	0.0831889081455806	0	0.0831889081455806	0.0831889081455806	0.0831889081455806	0.0831889081455806	0.0831889081455806	0	0.0606585788561525	0.0831889081455806	0	0	0.0831889081455806
Bolocera_tuediae	0.79896013864818	0.814558058925477	0.824956672443674	0.824956672443674	0.824956672443674	0.824956672443674	0.185441941074523	0.0831889081455806		0.379549393414211	0.824956672443674	0	0.824956672443674	0.824956672443674	0.542461005199307	0.824956672443674	0.578856152512998	0.824956672443674	0.824956672443674	0.824956672443674	0	0.824956672443674	0.824956672443674	0.824956672443674	0.630849220103986	0.78682842287695	0.5736568457539	0.551126516464471	0.282495667244367	0.824956672443674	0.523396880415945	0.824956672443674	0.793760831889081	0.76949740034662	0.807625649913345	0.824956672443674	0.824956672443674	0.824956672443674	0.824956672443674	0	0.305025996533795	0.824956672443674	0.764298093587522	0.793760831889081	0.79896013864818	0.824956672443674	0.814558058925477	0.824956672443674	0.824956672443674	0.824956672443674	0.824956672443674	0.811091854419411	0.809358752166378	0.824956672443674	0.696707105719237	0.802426343154246	0.509532062391681	0.79896013864818	0.824956672443674	0.149046793760832	0.824956672443674	0.824956672443674	0.653379549393414	0.824956672443674	0.824956672443674	0.466204506065858	0.547660311958406	0.743500866551127	0.800693240901213	0.824956672443674	0.824956672443674	0	0.670710571923744	0.824956672443674	0.157712305025997	0	0.824956672443674
Botryllus_schlosseri	0.466204506065858	0.480069324090121	0.490467937608319	0.490467937608319	0.490467937608319	0.490467937608319	0.140381282495667	0	0.379549393414211		0.490467937608319	0	0.490467937608319	0.490467937608319	0.266897746967071	0.490467937608319	0.409012131715771	0.490467937608319	0.490467937608319	0.490467937608319	0	0.490467937608319	0.490467937608319	0.490467937608319	0.30155979202773	0.452339688041594	0.266897746967071	0.369150779896014	0.0225303292894281	0.490467937608319	0.164644714038128	0.490467937608319	0.488734835355286	0.461005199306759	0.490467937608319	0.490467937608319	0.490467937608319	0.490467937608319	0.490467937608319	0	0.209705372616984	0.490467937608319	0.429809358752166	0.435008665511265	0.464471403812825	0.490467937608319	0.487001733102253	0.48526863084922	0.490467937608319	0.483535528596187	0.490467937608319	0.490467937608319	0.433275563258232	0.490467937608319	0.422876949740035	0.461005199306759	0.249566724436742	0.454072790294627	0.490467937608319	0.149046793760832	0.490467937608319	0.490467937608319	0.47313691507799	0.490467937608319	0.490467937608319	0.266897746967071	0.287694974003466	0.369150779896014	0.466204506065858	0.490467937608319	0.490467937608319	0	0.422876949740035	0.490467937608319	0.157712305025997	0	0.490467937608319
