	Acanthoeca_like_sp_10tr	Acropora_cervicornis	Aiptasia_pallida	Amoebidium	Amphimedon_queenslandica	Aphrocallistes_vastus	Aurelia_aurita	Beroe_abyssicola	Bolocera_tuediae	Botryllus_schlosseri	Branchiostoma_floridae	Buddenbrockia_plumatellae	Capitella_teleta	Capsaspora_owczarzaki_atcc30864	Chondrilla_nucula	Ciona_intestinalis	Clytia_hemisphaerica	Corticium_candelabrum	Craspedacusta_sowerbyi	Crassostrea_gigas	Cyanea_capillata	Daphnia_pulex	Ectopleura_larynx	Edwardsiella_lineata	Enteromyxum_leei	Ephydatia_muelleri	Eunicella_cavolinii	Euplectella_aspergillum	Euplokamis_dunlapae	Gorgonia_ventalina	Helobdella_robusta	Homo_sapiens	Hormathia_digitata	Hydra_magnipapillata	Hydractinia_polyclina	Ilyanassa_obsoleta	Ixodes_scapularis	Kudoa_iwatai	Latimeria_menadoensis	Leucetta_chagosensis	Ministeria_vibrans_atcc50519	Mnemiopsis_leidyi	Monosiga_brevicollis_mx1	Monosiga_ovata	Montastraea_faveolata	Myxobolus_cerebralis	Nanomia_bijuga	Nasonia_vitripennis	Nematostella_vectensis	Octopus_vulgaris	Oscarella	Oscarella_carmela	Patiria_miniata	Pediculus_humanus_corporis	Petromyzon_marinus	Petrosia_ficiformis	Pleurobrachia_pileus	Pocillopora_damicornis	Polypodium_hydriforme	Porites_australiensis	Saccoglossus_kowalevskii	Salpingoeca_sp_ATCC50818	Sarcotragus_fasciculatus	Sphaeroforma_arctica_jp610	Sphaeromyxa_zaharoni	Stephanoeca_diplocostata	Stomolophus_meleagris	Strigamia_maritima	Strongylocentrotus_purpuratus	Sycon_ciliatum	Sycon_coactum	Tetracapsuloides_bryosalmonae	Thelohanellus_kitauei	Trichoplax_adhaerens	Tripedalia_cystophora	Urticina_eques	Vallicula_multiformis
Acanthoeca_like_sp_10tr		0.992753623188406	0.992753623188406	0.992753623188406	0.992753623188406	0.992753623188406	0.456521739130435	0.985507246376812	0.992753623188406	0.601449275362319	0.992753623188406	0	0.992753623188406	0.992753623188406	0.992753623188406	0.992753623188406	0.992753623188406	0.992753623188406	0.992753623188406	0.992753623188406	0	0.992753623188406	0.992753623188406	0.992753623188406	0	0.992753623188406	0.702898550724638	0.992753623188406	0.985507246376812	0.992753623188406	0.992753623188406	0.992753623188406	0.992753623188406	0.992753623188406	0.992753623188406	0.992753623188406	0.992753623188406	0.985507246376812	0.992753623188406	0	0.992753623188406	0.985507246376812	0.717391304347826	0.804347826086957	0.992753623188406	0.985507246376812	0.992753623188406	0.992753623188406	0.992753623188406	0.992753623188406	0.768115942028985	0.992753623188406	0.659420289855073	0.876811594202899	0.992753623188406	0.992753623188406	0.985507246376812	0.949275362318841	0.992753623188406	0.992753623188406	0.992753623188406	0.992753623188406	0.876811594202899	0.992753623188406	0	0.992753623188406	0.992753623188406	0.942028985507246	0.992753623188406	0	0.992753623188406	0	0	0.992753623188406	0.536231884057971	0.855072463768116	0.985507246376812
Acropora_cervicornis	0.992753623188406		1	1	1	1	0.456521739130435	0.992753623188406	1	0.601449275362319	1	0	1	1	1	1	1	1	1	1	0	1	1	1	0	1	0.702898550724638	1	0.992753623188406	1	1	1	1	1	1	1	1	0.992753623188406	1	0	1	0.992753623188406	0.717391304347826	0.804347826086957	1	0.992753623188406	1	1	1	1	0.768115942028985	1	0.659420289855073	0.876811594202899	1	1	0.992753623188406	0.956521739130435	1	1	1	1	0.876811594202899	1	0	0.992753623188406	1	0.949275362318841	1	0	1	0	0	1	0.543478260869565	0.86231884057971	0.992753623188406
Aiptasia_pallida	0.992753623188406	1		1	1	1	0.456521739130435	0.992753623188406	1	0.601449275362319	1	0	1	1	1	1	1	1	1	1	0	1	1	1	0	1	0.702898550724638	1	0.992753623188406	1	1	1	1	1	1	1	1	0.992753623188406	1	0	1	0.992753623188406	0.717391304347826	0.804347826086957	1	0.992753623188406	1	1	1	1	0.768115942028985	1	0.659420289855073	0.876811594202899	1	1	0.992753623188406	0.956521739130435	1	1	1	1	0.876811594202899	1	0	0.992753623188406	1	0.949275362318841	1	0	1	0	0	1	0.543478260869565	0.86231884057971	0.992753623188406
Amoebidium	0.992753623188406	1	1		1	1	0.456521739130435	0.992753623188406	1	0.601449275362319	1	0	1	1	1	1	1	1	1	1	0	1	1	1	0	1	0.702898550724638	1	0.992753623188406	1	1	1	1	1	1	1	1	0.992753623188406	1	0	1	0.992753623188406	0.717391304347826	0.804347826086957	1	0.992753623188406	1	1	1	1	0.768115942028985	1	0.659420289855073	0.876811594202899	1	1	0.992753623188406	0.956521739130435	1	1	1	1	0.876811594202899	1	0	0.992753623188406	1	0.949275362318841	1	0	1	0	0	1	0.543478260869565	0.86231884057971	0.992753623188406
Amphimedon_queenslandica	0.992753623188406	1	1	1		1	0.456521739130435	0.992753623188406	1	0.601449275362319	1	0	1	1	1	1	1	1	1	1	0	1	1	1	0	1	0.702898550724638	1	0.992753623188406	1	1	1	1	1	1	1	1	0.992753623188406	1	0	1	0.992753623188406	0.717391304347826	0.804347826086957	1	0.992753623188406	1	1	1	1	0.768115942028985	1	0.659420289855073	0.876811594202899	1	1	0.992753623188406	0.956521739130435	1	1	1	1	0.876811594202899	1	0	0.992753623188406	1	0.949275362318841	1	0	1	0	0	1	0.543478260869565	0.86231884057971	0.992753623188406
Aphrocallistes_vastus	0.992753623188406	1	1	1	1		0.456521739130435	0.992753623188406	1	0.601449275362319	1	0	1	1	1	1	1	1	1	1	0	1	1	1	0	1	0.702898550724638	1	0.992753623188406	1	1	1	1	1	1	1	1	0.992753623188406	1	0	1	0.992753623188406	0.717391304347826	0.804347826086957	1	0.992753623188406	1	1	1	1	0.768115942028985	1	0.659420289855073	0.876811594202899	1	1	0.992753623188406	0.956521739130435	1	1	1	1	0.876811594202899	1	0	0.992753623188406	1	0.949275362318841	1	0	1	0	0	1	0.543478260869565	0.86231884057971	0.992753623188406
Aurelia_aurita	0.456521739130435	0.456521739130435	0.456521739130435	0.456521739130435	0.456521739130435	0.456521739130435		0.456521739130435	0.456521739130435	0.456521739130435	0.456521739130435	0	0.456521739130435	0.456521739130435	0.456521739130435	0.456521739130435	0.456521739130435	0.456521739130435	0.456521739130435	0.456521739130435	0	0.456521739130435	0.456521739130435	0.456521739130435	0	0.456521739130435	0.311594202898551	0.456521739130435	0.456521739130435	0.456521739130435	0.456521739130435	0.456521739130435	0.456521739130435	0.456521739130435	0.456521739130435	0.456521739130435	0.456521739130435	0.456521739130435	0.456521739130435	0	0.456521739130435	0.456521739130435	0.333333333333333	0.456521739130435	0.456521739130435	0.456521739130435	0.456521739130435	0.456521739130435	0.456521739130435	0.456521739130435	0.456521739130435	0.456521739130435	0.333333333333333	0.456521739130435	0.456521739130435	0.456521739130435	0.456521739130435	0.41304347826087	0.456521739130435	0.456521739130435	0.456521739130435	0.456521739130435	0.456521739130435	0.456521739130435	0	0.456521739130435	0.456521739130435	0.456521739130435	0.456521739130435	0	0.456521739130435	0	0	0.456521739130435	0.101449275362319	0.355072463768116	0.456521739130435
Beroe_abyssicola	0.985507246376812	0.992753623188406	0.992753623188406	0.992753623188406	0.992753623188406	0.992753623188406	0.456521739130435		0.992753623188406	0.601449275362319	0.992753623188406	0	0.992753623188406	0.992753623188406	0.992753623188406	0.992753623188406	0.992753623188406	0.992753623188406	0.992753623188406	0.992753623188406	0	0.992753623188406	0.992753623188406	0.992753623188406	0	0.992753623188406	0.702898550724638	0.992753623188406	0.992753623188406	0.992753623188406	0.992753623188406	0.992753623188406	0.992753623188406	0.992753623188406	0.992753623188406	0.992753623188406	0.992753623188406	0.985507246376812	0.992753623188406	0	0.992753623188406	0.992753623188406	0.717391304347826	0.804347826086957	0.992753623188406	0.985507246376812	0.992753623188406	0.992753623188406	0.992753623188406	0.992753623188406	0.768115942028985	0.992753623188406	0.659420289855073	0.876811594202899	0.992753623188406	0.992753623188406	0.992753623188406	0.949275362318841	0.992753623188406	0.992753623188406	0.992753623188406	0.992753623188406	0.876811594202899	0.992753623188406	0	0.985507246376812	0.992753623188406	0.949275362318841	0.992753623188406	0	0.992753623188406	0	0	0.992753623188406	0.543478260869565	0.855072463768116	0.992753623188406
Bolocera_tuediae	0.992753623188406	1	1	1	1	1	0.456521739130435	0.992753623188406		0.601449275362319	1	0	1	1	1	1	1	1	1	1	0	1	1	1	0	1	0.702898550724638	1	0.992753623188406	1	1	1	1	1	1	1	1	0.992753623188406	1	0	1	0.992753623188406	0.717391304347826	0.804347826086957	1	0.992753623188406	1	1	1	1	0.768115942028985	1	0.659420289855073	0.876811594202899	1	1	0.992753623188406	0.956521739130435	1	1	1	1	0.876811594202899	1	0	0.992753623188406	1	0.949275362318841	1	0	1	0	0	1	0.543478260869565	0.86231884057971	0.992753623188406
Botryllus_schlosseri	0.601449275362319	0.601449275362319	0.601449275362319	0.601449275362319	0.601449275362319	0.601449275362319	0.456521739130435	0.601449275362319	0.601449275362319		0.601449275362319	0	0.601449275362319	0.601449275362319	0.601449275362319	0.601449275362319	0.601449275362319	0.601449275362319	0.601449275362319	0.601449275362319	0	0.601449275362319	0.601449275362319	0.601449275362319	0	0.601449275362319	0.420289855072464	0.601449275362319	0.601449275362319	0.601449275362319	0.601449275362319	0.601449275362319	0.601449275362319	0.601449275362319	0.601449275362319	0.601449275362319	0.601449275362319	0.601449275362319	0.601449275362319	0	0.601449275362319	0.601449275362319	0.478260869565217	0.601449275362319	0.601449275362319	0.601449275362319	0.601449275362319	0.601449275362319	0.601449275362319	0.601449275362319	0.601449275362319	0.601449275362319	0.442028985507246	0.601449275362319	0.601449275362319	0.601449275362319	0.601449275362319	0.557971014492754	0.601449275362319	0.601449275362319	0.601449275362319	0.601449275362319	0.601449275362319	0.601449275362319	0	0.601449275362319	0.601449275362319	0.601449275362319	0.601449275362319	0	0.601449275362319	0	0	0.601449275362319	0.210144927536232	0.463768115942029	0.601449275362319
