	chang.fas	rpl14a	rpl34	tribe320	cct	stbproptase2a	cct	tribe1200	rpl20	rpl4B	rps19	rpl39	nsf1	nsf1	ef1	hsp90	tribe1244	nsf1	tribe965	rps10	tribe832	tif2a	cct	rps22a	ar21	orf2	psmb	cpn60	tribe572	cct	wrs	psmb	if2p	cct	rpl12b	vata	nsf1	rpl1	tribe1381	rpl37a	rps15	rpl6	rps5	tribe1099	mcm	rps25	rpl22	pyrdehydroe1b	rpl25	tribe1007	psmb	rpl23a	tribe495	rpl30	mcm	pace2	rpl27	l12e	ef2	hsp70	nsf1	rpl32	psma	l12e	l12e	rpl3	xpb	tribe896	tribe508	ef2	pace5	srp54	rps11	rpl19a	rpl24	rpl36	psma	nsf2	vatpased	psmb	psmb	vate	crfg	suca	psmb	u2snrnp	rps13a	w09c	rpl9	mra1	rrp46	if2g	cct	sra	rps4	psmb	rps20	rps29	rpl18	tribe942	rpl21	tribe1121	tribe629	rla2	rps16	rpo	vatb	rpl16b	vatc	tribe333	rps24	tribe1294	tribe1374	rpl43b	rps28a	pace2	cct	rpl42	yif1p	rps7	rpp0	dihydrolatransacylase	tribe852	if1a	fpps	stcproptase2a	rpl35	psma	rps18	rps1	if2b	rps8	rpl11b	rpo	ornamtrans	mcm	rpl17	tribe893	if4a	tribe801	rps23	psma	rps2	srs	rpl38	rps27	rps6	tribe717	tribe542	l12e	rpl33a	tribe961	psma	rpl24	mcm	ef1	arp23	topo1	tribe768	tribe629	rps14	tribe930	mcm	vacaatpasepl21	nsf1	glcn	rf1	rpl7	pyrdehydroe1b	sap40	tribe585	grc5	if4a	tribe340	pace2	rpl5	psma	rpl26	rps9	atpsynthalpha	nsf2	nsf2	fibri	psma	if6	cct	mcm	rps26	rpl13	rpo	ef2	rps17	arc20	rpl2	hsp70	tribe765	tribe1381	rps3	rpl31	rpl15a	hsp90
Eunicella_cavolinii	0.3242				0.0094	0.1711	0.0094	0.7215	0.5390	0.6250			0.0007	0.0007	0.0512	0.1623	0.0756	0.0007	0.0000	0.5109	0.2983	0.0662	0.0094	0.0543		0.0000	0.0000	0.2490	0.1088	0.0094	0.0296	0.0000	0.0000	0.0094		0.0000	0.0007		0.0000		0.7536	0.3917	0.6809	0.0000	0.0129			0.0000		0.3694	0.0000	0.2558		0.0000	0.0129	0.1573		0.0957	0.5021	0.0079	0.0007	0.1240	0.0106	0.0957	0.0957	0.6931	0.2513	0.0000	0.5120	0.5021	0.3805	0.0939	0.3185	0.8023		0.0779	0.0106	0.0596	0.0000	0.0000	0.0000	0.5581	0.0409	0.1359	0.0000	0.0368		0.0000	0.4971	0.2682	0.0000	0.0632	0.0094	0.1901	0.1548	0.0000		0.3333	0.2229	0.0000		0.0000	0.0000	0.0000	0.5072	0.9402	0.0000	0.4343	0.0683	0.0000	0.1316	0.0000	0.0056	0.6437		0.1573	0.0094		0.2971			0.4626	0.0000	0.6435	0.0000			0.0106	0.7517		0.0000			0.9402	0.0000	0.0129	0.6205	0.0000	0.0399	0.5594	0.6224	0.0106	0.7824	0.0000	0.0308	0.0714	0.6682	0.0114	0.0723	0.0957		0.3472	0.0106		0.0129	0.0512	0.5228	0.0000	0.0000	0.0000	0.2910	0.2745	0.0129	0.0000	0.0007	0.0000	0.0000	0.8122	0.0000		0.0979		0.0399		0.1573	0.7079	0.0106	0.3858	0.8430		0.0596	0.0596	0.1150	0.0106	0.0388	0.0094	0.0129			0.9402	0.5021	0.6602	0.3155	0.3911	0.0079	0.1026	0.0000	0.7108			0.1623
Stephanoeca_diplocostata	0.0470	0.0000	0.0280	0.0000	0.0000	0.0973	0.0000	0.0000	0.0000	0.0000	0.0000	0.0392	0.0201	0.0201	0.0017	0.0023	0.0000	0.0201		0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0056	0.0000	0.0000	0.0000	0.0000	0.0030	0.0000	0.0000	0.0000	0.0000	0.0256	0.0201	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2432	0.0021	0.0000	0.0000	0.0583	0.0000	0.0000	0.0000	0.0000	0.0268	0.0000	0.0021	0.0000	0.0000	0.0000	0.0011	0.0000	0.0201	0.0000	0.1383	0.0000	0.0000	0.0000	0.4229	0.0376	0.0000	0.0011	0.1951	0.0501	0.0000	0.0000	0.0000	0.0000	0.1383	0.0007	0.0000	0.0000	0.0000	0.0047	0.0733	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0023	0.0000	0.2135	0.0000	0.0000	0.0206	0.0000	0.0000	0.1019	0.0000	0.0123	0.0000	0.0000	0.0000	0.0090	0.0000	0.0000	0.0000	0.0722	0.0000	0.0000	0.3315	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0170	0.1649	0.0000	0.0085	0.0000	0.0000	0.1383	0.0067	0.0000	0.0000	0.0000	0.0000	0.0090	0.0000	0.0021	0.0181	0.5093	0.0000	0.0000	0.0000	0.1383	0.0000	0.0125	0.0154	0.0119	0.0000	0.1818	0.4217	0.0000	0.0000	0.5903	0.1383	0.0000	0.0021	0.0017	0.0000	0.0000	0.0000	0.0000	0.0000	0.2451	0.0021	0.1608	0.0201	0.1333	0.0000	0.0000	0.0583	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1383	0.0394	0.0000	0.0000	0.0007	0.0007	0.0044	0.1383	0.0086	0.0000	0.0021	0.0000	0.0000	0.0090	0.0011	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0023
Mnemiopsis_leidyi	0.0171	0.0000	0.1028	0.0000	0.0000	0.0034	0.0000	0.0000	0.0130	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0698	0.0000	0.0000	0.0543	0.0000	0.0000	0.0000	0.0155	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0180	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3305	0.0000	0.0000	0.0078	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3305	0.0000	0.0543	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2611	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0132	0.0000	0.0173	0.0056	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0123	0.0000	0.0000	0.0000	0.0236	0.0000	0.0000	0.0036	0.0000	0.0000	0.0000	0.0506	0.0345	0.0000	0.0000	0.0000	0.0476	0.0072	0.0000	0.0000	0.0000	0.0000	0.0174	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0061	0.0236	0.1114	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0154	0.0238	0.0000	0.0000	0.0000	0.0000	0.0000	0.0208	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4105	0.0395	0.0047	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0236	0.3305	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Sphaeroforma_arctica_jp610	0.0180	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0015	0.0015	0.0000	0.0000	0.0000	0.0015	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0196	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0015	0.0000	0.0000	0.0123	0.0072	0.0000	0.0000	0.0090	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0011	0.0000	0.0015	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0269	0.0000	0.0011	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0066	0.0000	0.0173	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0138	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0562	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0063	0.0038	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0067	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0422	0.0000	0.0000	0.0000		0.0000	0.0000	0.0000	0.0769	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0179	0.0000	0.0000	0.0000	0.0098	0.0000	0.0000	0.0015	0.0000	0.0000	0.0000	0.0000	0.0000		0.0191	0.0000	0.0000	0.0000	0.0000	0.0000	0.0551	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0303	0.0000	0.0000	0.0011	0.0000	0.0000	0.0121	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Beroe_abyssicola	0.0886	0.0000	0.0187	0.0000	0.0000	0.0034	0.0000	0.0000	0.0130	0.0000	0.0000	0.0000	0.0216	0.0216	0.0000	0.0000	0.0000	0.0216	0.0000	0.0543	0.0000	0.0588	0.0000	0.0543	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0651	0.0000	0.0000	0.0000	0.0000	0.0000	0.0216	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000		0.0215	0.0216	0.0078	0.0000	0.0000	0.0000	0.0000	0.9168	0.0000	0.0000		0.0000	0.2693	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0132	0.0000	0.0173	0.0056	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0123		0.0000	0.0000		0.0000	0.0000	0.0899	0.0000	0.0000	0.0000	0.0506	0.0000	0.0000	0.0000	0.0000	0.0095	0.0072	0.0063	0.0000	0.0000	0.0000	0.0174	0.0000	0.0000	0.0000	0.0000	0.0134	0.0045	0.0000	0.0000	0.0061		0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0154	0.0238	0.0000	0.0000	0.0000	0.0000	0.0000	0.0486	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000		0.0000	0.0000	0.0000	0.0000	0.0216	0.0000	0.0000	0.0047	0.0000	0.6598	0.0000	0.0048	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000			0.0000	0.0000	0.0000	0.0215	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Patiria_miniata	0.0524	0.0000	0.0000	0.0000	0.0004	0.0000	0.0004	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0004	0.0000		0.0000	0.0000	0.0000	0.0000	0.0004	0.2071	0.0000	0.0702	0.0004	0.0000	0.0119	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0604	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0043	0.0000	0.0000	0.2616	0.0000	0.0000	0.0000	0.0011	0.0000	0.0000	0.0000	0.0953	0.0000	0.0000	0.2616	0.0780	0.0000	0.0000	0.0000	0.0000	0.0000	0.0011	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0894	0.0000	0.0000	0.0004	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2324	0.0487	0.0000	0.0899	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0043	0.0004	0.0000	0.3406	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0011	0.0000	0.0000	0.0000	0.0000	0.0000	0.2324	0.3125	0.0000	0.0000	0.0000	0.0000	0.0350	0.0070	0.0011	0.0000	0.0075	0.0000	0.0000	0.0000	0.0000		0.0000	0.0000	0.0000	0.0011	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2211	0.0000	0.0000	0.0604	0.0000	0.0052	0.0000	0.0000	0.0000	0.0043	0.0075	0.0011	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0011	0.2155	0.0004	0.0000	0.0000	0.0000	0.2324	0.2616	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Latimeria_menadoensis	0.0045	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0130	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0473	0.0000	0.0000	0.0000	0.1013	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0361	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0059	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0059	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2937	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000		0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0059	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Ectopleura_larynx	0.0180	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0155	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000		0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1901	0.0952	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0476	0.0000	0.0063	0.0000	0.0000	0.0000		0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000		0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0037	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Tetracapsuloides_bryosalmonae	0.9257								0.0065	0.4257									0.0000										0.4014																		0.0000					0.3178																				0.4656			0.0000																				0.1468				0.0361																																	0.2874							0.3021				0.2870											0.0000										0.0000			0.5802						0.3021						0.0058													0.0000								0.0197	
Corticium_candelabrum	0.0192	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0506	0.0000	0.0304	0.0155	0.0196	0.0000	0.0000	0.0460	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0257	0.0000	0.1318	0.0850	0.0787	0.0000	0.0000	0.1088	0.0000	0.0000	0.0000	0.0171	0.0000	0.0000	0.0000	0.0000	0.0279	0.0240	0.0000	0.0072	0.0333	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1481	0.0000	0.0000	0.0000	0.0000	0.1240	0.0181	0.0000	0.0000	0.0370	0.0000	0.0215	0.0000	0.0000	0.0000	0.0188	0.0074	0.1412	0.0059	0.0000	0.0181	0.0312	0.1232	0.0000	0.0000	0.0326	0.0474	0.0000	0.0000	0.1350	0.4106	0.0000	0.0289	0.0000	0.0000	0.0000	0.0000	0.0994	0.0040	0.0000	0.0000	0.0000	0.0060	0.0000	0.0345	0.1358	0.0000	0.0000	0.0145	0.0000	0.0000	0.0000	0.0000	0.0000	0.2632	0.2681	0.0955	0.0230	0.0000	0.0000	0.0000	0.0095	0.0000	0.0000	0.0267	0.0068	0.0000	0.0000	0.0000	0.0103	0.0000	0.0181	0.0067	0.0545	0.0000	0.0000	0.0121	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0140	0.0000	0.0181	0.0000	0.0000	0.0154	0.0238	0.2009	0.2045	0.0000	0.0000	0.0323	0.0694	0.0181	0.0059	0.0000	0.0460	0.0000	0.0000	0.0000	0.0000	0.0000	0.0294	0.0000	0.1469	0.0000	0.0000	0.0074	0.0047	0.0000	0.0000	0.0773	0.0000	0.0000	0.0000	0.0000	0.0674	0.0181	0.0079	0.0407	0.0000	0.0312	0.0312	0.1770	0.0181	0.0043	0.0000	0.0000	0.1515	0.0000	0.0000	0.0000	0.0097	0.0000	0.0000	0.0000	0.0000	0.0240	0.0686	0.0000	0.0591	0.0000
