gene_id	tree_supported	tr1_log-likelihood	tr2_log-likelihood	tr3_log-likelihood
Gene_0017.faa.mafft.aa.ali	tr3	-19981.777259	-19984.275873	-19981.653618
Gene_0030.faa.muscle.aa.ali	tr2	-24191.417011	-24185.096559	-24193.838214
Gene_0035.faa.prank.best.fas.aa.ali	tr2	-31241.176015	-31232.956229	-31239.170893
Gene_0041.faa.prank.best.fas.aa.ali	tr2	-11673.770949	-11673.464521	-11673.522285
Gene_0045.faa.prank.best.fas.aa.ali	tr2	-10062.373136	-10061.348807	-10062.159446
Gene_0059.faa.muscle.aa.ali	tr1	-18011.148125	-18013.001087	-18012.971559
Gene_0088.faa.prank.best.fas.aa.ali	tr2	-9841.704142	-9841.61709500001	-9844.55066099999
Gene_0131.faa.mafft.aa.ali	tr2	-23489.779088	-23483.639774	-23489.554653
Gene_0157.faa.mafft.aa.ali	tr2	-13671.313959	-13664.821858	-13671.359941
Gene_0169.faa.muscle.aa.ali	tr2	-6718.861083	-6718.416936	-6719.020118
Gene_0270.faa.prank.best.fas.aa.ali	tr2	-16893.424498	-16889.928083	-16893.29564
Gene_0366.faa.mafft.aa.ali	tr2	-19363.122981	-19356.927676	-19361.80964
Gene_0380.faa.muscle.aa.ali	tr2	-20187.346739	-20182.007863	-20185.545138
Gene_0401.faa.muscle.aa.ali	tr2	-17553.837782	-17550.103995	-17553.875995
Gene_0411.faa.muscle.aa.ali	tr2	-5032.618543	-5029.625834	-5032.548088
Gene_0448.faa.mafft.aa.ali	tr2	-15603.925705	-15595.928806	-15602.92697
Gene_0536.faa.muscle.aa.ali	tr2	-25231.188647	-25226.329707	-25230.23556
Gene_0563.faa.prank.best.fas.aa.ali	tr3	-21489.855846	-21493.759435	-21489.850457
Gene_0565.faa.mafft.aa.ali	tr2	-33221.804658	-33214.550838	-33220.356088
Gene_0615.faa.prank.best.fas.aa.ali	tr2	-13810.220799	-13807.557787	-13809.515657
Gene_0626.faa.muscle.aa.ali	tr2	-9707.746035	-9702.317596	-9708.953253
Gene_0639.faa.mafft.aa.ali	tr3	-12571.291325	-12569.831224	-12568.702665
Gene_0644.faa.muscle.aa.ali	tr1	-15050.218732	-15053.116994	-15051.893363
Gene_0668.faa.muscle.aa.ali	tr2	-9551.963204	-9550.142506	-9553.04280800001
Gene_0691.faa.mafft.aa.ali	tr2	-17175.944202	-17171.274485	-17174.200093
Gene_0695.faa.prank.best.fas.aa.ali	tr2	-25323.556757	-25315.777773	-25322.501167
Gene_0709.faa.muscle.aa.ali	tr1	-10145.431443	-10147.37923	-10146.307425
Gene_0802.faa.prank.best.fas.aa.ali	tr2	-13249.140078	-13246.07021	-13249.221477
Gene_0808.faa.prank.best.fas.aa.ali	tr1	-17981.894307	-17986.216581	-17985.042147
Gene_0835.faa.muscle.aa.ali	tr3	-12115.810329	-12115.791666	-12114.833632
Gene_0904.faa.muscle.aa.ali	tr2	-21441.305891	-21438.450806	-21440.047458
Gene_0911.faa.muscle.aa.ali	tr2	-12620.323163	-12618.579886	-12621.3559
Gene_0912.faa.prank.best.fas.aa.ali	tr1	-1974.300229	-1974.395468	-1974.759572
Gene_0930.faa.prank.best.fas.aa.ali	tr2	-30440.771676	-30439.916276	-30442.428763
Gene_0941.faa.prank.best.fas.aa.ali	tr2	-16302.490766	-16301.47052	-16302.204301
Gene_0958.faa.mafft.aa.ali	tr2	-16973.835161	-16972.466323	-16973.584074
Gene_0964.faa.prank.best.fas.aa.ali	tr2	-7459.128469	-7456.772986	-7458.922266
Gene_0983.faa.prank.best.fas.aa.ali	tr1	-12506.407673	-12509.50668	-12507.813396
Gene_0989.faa.muscle.aa.ali	tr2	-21537.31444	-21528.696819	-21536.544285
Gene_1021.faa.prank.best.fas.aa.ali	tr3	-43561.644942	-43563.808524	-43557.776653
