	Abylopsis_tetragona	Acropora_digitifera	Agalma_elegans	Aiptasia_pallida	Allomyces_macrogynus	Amoebidium_parasiticum	Amphimedon_queenslandica	Aphrocallistes_vastus	Aurelia_aurita	Beroe_abyssicola	Bolinopsis_infundibulum	Bolocera_tuediae	Capitella_teleta	Capsaspora_owczarzaki	Chondrilla_nucula	Coeloplana_astericola	Corticium_candelabrum	Craseoa_lathetica	Crella_elegans	Danio_rerio	Daphnia_pulex	Drosophila_melanogaster	Dryodora_glandiformis	Ephydatia_muelleri	Eunicella_verrucosa	Euplokamis_dunlapae	Hemithiris_psittacea	Homo_sapiens	Hormathia_digitata	Hyalonema_populiferum	Hydra_oligactis	Hydra_viridissima	Hydra_vulgaris	Ircinia_fasciculata	Kirkpatrickia_variolosa	Latrunculia_apicalis	Lithobius_forficatus	Lottia_gigantea	Mertensiidae_sp	Ministeria_vibrans	Mnemiopsis_leidyi	Monosiga_ovata	Mortierella_verticillata	Nanomia_bijuga	Nematostella_vectensis	Oscarella_carmela	Periphylla_periphylla	Petromyzon_marinus	Petrosia_ficiformis	Physalia_physalis	Platygyra_carnosa	Pleurobrachia_atlantica	Pleurobrachia_bachei	Priapulus_caudatus	Pseudospongosorites_suberitoides	Rhizopus_oryzae	Rossella_fibulata	Saccoglossus_kowalevskii	Salpingoeca_rosetta	Sphaeroforma_arctica	Spizellomyces_punctatus	Spongilla_alba	Strongylocentrotus_purpuratus	Sycon_ciliatum	Sycon_coactum	Sympagella_nux	Tethya_wilhelma	Trichoplax_adhaerens	Tubulanus_polymorphus	Vallicula_sp
Abylopsis_tetragona		0.113940367970803	0.108415783570221	0.159493077528334	0.0288617682018315	0.0213617263489194	0.0503741650344031	0.0711164682838632	0.217819295866606	0.136624646342893	0.239783704150135	0.243148678285035	0.0227512430314901	0.0261496994960909	0.163075686806288	0.215776873754876	0.186362647112986	0.158304454823967	0.219309259538279	0.00996099308589892	0.0279242629702175	0.00537391391693034	0.157618067065106	0.0286106507290777	0.113320944871344	0.225587196357123	0.110558652671053	0.00281251569484205	0.213098287378836	0.230559322317647	0.227579394974302	0.216446520348886	0.0960440627458859	0.252573954095726	0.0999614953208444	0.0810439790400616	0.106892337568848	0.0208762325682621	0.22138516397971	0.155023186513318	0.153516481676795	0.231965580165068	0.0180637168734201	0.174392714245057	0.0591130530862337	0.0364789982086954	0.2307769574607	0.154855774864815	0.172936232903085	0.176502101016189	0.138315503992768	0.112015134013025	0.192071384326921	0.218924212746723	0.24813754541041	0.0907371134883565	0.114208226608407	0.240922103359952	0.0425058175547855	0.123114526308741	0.047092896723754	0.206267892119934	0.0681030586108181	0.0185659518189276	0.111278522759614	0.059330688229287	0.265029380744312	0.0449667687877723	0.0889458088493797	0.192456431118477
Acropora_digitifera	0.113940367970803		0.0813453200073661	0.154336798754457	0.0266017109470477	0.0266351932767482	0.0701454807225487	0.061674451308322	0.231848392011116	0.12442033716706	0.215843838414277	0.259270420035826	0.0268193460901009	0.016791388344801	0.186814658563943	0.211089347596806	0.195687475934576	0.127299817521303	0.214454321731706	0.0135938258584032	0.0254633117372307	0.0057254783787856	0.170257646527045	0.0275894396732125	0.120737280900005	0.210503406827047	0.0844089531749619	0.00515627877387709	0.217434249075051	0.242378584701924	0.236033683223679	0.219208812549177	0.114057556124755	0.247333969497598	0.130999614953208	0.0679021646326151	0.128555404885072	0.0234878542849011	0.224348350158204	0.158053337351213	0.159509818693185	0.241240185492107	0.0151340130246263	0.154604657392061	0.0791354862471331	0.0485828603954263	0.234878542849011	0.150452848509199	0.164599132807661	0.167612542480706	0.159442854033784	0.104715986138316	0.177858135369059	0.212612793598179	0.247869686772806	0.0868364220782482	0.136005223243433	0.237389717576549	0.0362948453953426	0.104950362446219	0.0393417373980882	0.206200927460533	0.0698273985903939	0.0347546582291196	0.10235548189443	0.0895987142785395	0.267423367317898	0.0659267071802856	0.0852962349120252	0.191753302194767
Agalma_elegans	0.108415783570221	0.0813453200073661		0.126044230157534	0.0346207289103176	0.0328629066010413	0.0553128086652269	0.0449667687877723	0.217551437229002	0.113505097684697	0.232049285989319	0.251686672358663	0.0328461654361911	0.0196541275341938	0.177473088577503	0.198935261915524	0.193544606833743	0.180720874558452	0.22808162991981	0.0136273081881037	0.0291463680042857	0.00624445448914335	0.131736226206619	0.0275224750138115	0.0848274822962182	0.197897309694809	0.0946880283930156	0.00408484422346107	0.234928766343562	0.211591582542313	0.211223276915608	0.207757855791606	0.0797381681817421	0.254733564361408	0.074782783386068	0.0745651482430147	0.0725227261312842	0.0118694858788274	0.20466074029431	0.135285353154873	0.190045703380041	0.23546448361877	0.0196039040396431	0.177339159258701	0.074113136792058	0.0440460047210085	0.218120636833911	0.150151507541895	0.157534361240855	0.152344600137278	0.125709406860529	0.105419115062026	0.174459678904458	0.200441966752047	0.25485075251536	0.0798553563356938	0.115848860763732	0.233957778782248	0.0434768051161	0.112584333617933	0.044749133644719	0.200860495873303	0.0621097215944285	0.027555957343512	0.115011802521219	0.0650394254432223	0.266653273734786	0.0393584785629384	0.072639914285236	0.199504461520433
Aiptasia_pallida	0.159493077528334	0.154336798754457	0.126044230157534		0.046021462173338	0.0356921634607336	0.10237222305928	0.0933822175346961	0.334086685751595	0.172484221452129	0.349070028292569	0.379990959770981	0.0373495387809084	0.0352234108449266	0.260978018850552	0.3143990758877	0.291463680042857	0.190414009006747	0.323154705104381	0.0105971573502084	0.0674334120168081	0.0130581085831952	0.237925434851757	0.0459712386787873	0.145330052065023	0.305275141044314	0.165017661928917	0.00837058242512514	0.34851756985251	0.365158287713659	0.356737481793983	0.340950563340197	0.121239515845513	0.376073527196022	0.156764267657744	0.1137394739926	0.173823514640149	0.029096144509735	0.310849948939447	0.229889675723637	0.23347228500159	0.3745668223595	0.0273383222004587	0.239047092896724	0.0883766092444712	0.0562837962265414	0.337970635996853	0.218589389449718	0.259354125860077	0.215274638809368	0.190531197160698	0.182361508713776	0.241926573250967	0.328177054559456	0.393400632816031	0.116685919006244	0.155776538931579	0.3545443891986	0.071635444394221	0.167461871997054	0.062411062561733	0.30368473038354	0.117405789094805	0.0334153650410996	0.145095675757119	0.119916963822343	0.413054760350225	0.0657592955317831	0.120620092746053	0.263623122896891
Allomyces_macrogynus	0.0288617682018315	0.0266017109470477	0.0346207289103176	0.046021462173338		0.0261999229906417	0.0214119498434701	0.0158371419483368	0.0801232149732978	0.0506085413423066	0.076791723168098	0.0865015987812432	0.00346542112400181	0.0263673346391442	0.0507089883314081	0.0619088276162255	0.0500226005725478	0.0470594143940535	0.0679858704568664	0.00185826929837778	0.00641186613764586	0.0027957745299918	0.0588954179431805	0.0158706242780373	0.0228516900205916	0.0675840825004604	0.0401118309811997	0.00185826929837778	0.0696934692715919	0.0690907873369829	0.0701287395576984	0.0661945658178896	0.0351062226909748	0.0762894882225905	0.0399946428272479	0.0354075636582793	0.0248271474729212	0.00930808765673916	0.0716521855590712	0.0568864781611505	0.0462725796460918	0.0725394672961345	0.029096144509735	0.0537056568396029	0.0286106507290777	0.0214956556677214	0.0702459277116502	0.0508094353205096	0.0622436509132305	0.0445817219962165	0.0581420655249192	0.0332312122277468	0.0483150017578223	0.0775450755863593	0.0843922120101117	0.0546766444009174	0.0291798503339862	0.0800729914787471	0.0242077243734619	0.0599668524935965	0.0507424706611086	0.0685215877320744	0.0399109370029967	0.012639579461939	0.0380024442100681	0.0259320643530377	0.0838564947349037	0.0184989871595266	0.0181474226976713	0.060335158120302
Amoebidium_parasiticum	0.0213617263489194	0.0266351932767482	0.0328629066010413	0.0356921634607336	0.0261999229906417		0.0158204007834865	0.0113170274387692	0.0491018365057841	0.0210771265464651	0.0550616911924732	0.0700617748982974	0.00329800947549931	0.0181139403679708	0.047226826042556	0.0495036244621901	0.0550282088627727	0.0456364153817823	0.0546264209063667	0.00786834747961763	0.0115011802521219	0.00343193879430131	0.0375504327591114	0.0090904525136859	0.0217467731404751	0.0506252825071568	0.0321262953476303	0.00220983376023304	0.057857465722465	0.0553128086652269	0.0529355632564914	0.0533875747074481	0.0239063834061574	0.0587782297892287	0.0268360872549512	0.0191686337535366	0.0160882594210905	0.00678017176435136	0.0530192690807426	0.0413674183449684	0.0434600639512497	0.0636331675958013	0.0133427083856495	0.043075017159694	0.0240068303952589	0.0222992315805334	0.0562670550616912	0.0412000066964659	0.0484991545711751	0.0320258483585288	0.0384042321664741	0.0209599383925134	0.0497882242646443	0.0602849346257513	0.0681867644350694	0.0273048398707582	0.0399779016623977	0.0703463747007517	0.0229521370096931	0.0531699395643949	0.0217300319756249	0.0510270704635629	0.0293305208176385	0.0134933788693017	0.0254800529020809	0.0208594914034118	0.0706811979977567	0.0178460817303668	0.0223494550750841	0.0515795289036211
Amphimedon_queenslandica	0.0503741650344031	0.0701454807225487	0.0553128086652269	0.10237222305928	0.0214119498434701	0.0158204007834865		0.0566688430180972	0.142149230743475	0.0899167964106942	0.148025379605913	0.162071216915273	0.0175112584333618	0.0219978906132289	0.129459427786985	0.125491771717476	0.12108884536186	0.0903855490265013	0.147791003298009	0.00641186613764586	0.0352903755043276	0.00465404382836958	0.114710461553915	0.0330470594143941	0.0537056568396029	0.123934843386403	0.0581420655249192	0.0027622922002913	0.148594579210821	0.149649272596387	0.149933872398842	0.128287546247468	0.0605193109336548	0.150067801717644	0.0705137863492542	0.0654579545644786	0.0628463328478396	0.0151340130246263	0.140341184939648	0.0977684027254616	0.0993922957159359	0.149532084442436	0.013711014012355	0.0891299616627325	0.0386553496392279	0.028560427234527	0.145932733999632	0.0958766510973834	0.116217166390437	0.0912226072690138	0.0847772588016674	0.0788341452798286	0.116049754741935	0.141529807644016	0.161602464299466	0.058594076975876	0.100614400750004	0.144359064503708	0.0387390554634792	0.0689066345236301	0.0266184521118979	0.137260810607202	0.0391743257495857	0.0223996785696349	0.0609545812197613	0.075318500661276	0.166440660941188	0.0283930155860245	0.045753603535734	0.109872264912193
Aphrocallistes_vastus	0.0711164682838632	0.061674451308322	0.0449667687877723	0.0933822175346961	0.0158371419483368	0.0113170274387692	0.0566688430180972		0.140240737950547	0.0978353673848626	0.140257479115397	0.157651549394807	0.0251452296050759	0.0273718045301592	0.110140123549797	0.126964994224298	0.104782950797717	0.0787002159610266	0.125994006662984	0.00373327976160581	0.0476620963286625	0.00480471431202183	0.110659099660154	0.0485493780657258	0.0671320710495036	0.127199370532202	0.0641688848710093	0.00242746890328629	0.130765238645305	0.148109085430164	0.145949475164482	0.131870155525421	0.0569701839854017	0.145614651867477	0.0816634021395209	0.0716187032293707	0.0678017176435136	0.0109152394823632	0.135302094319723	0.0935831115128991	0.120017410811444	0.148427167562319	0.013309226055949	0.0986724256273751	0.0239900892304087	0.0186496576431788	0.135620176451878	0.0901511727185978	0.112785227596136	0.0865518222757939	0.0758207356067835	0.0813620611722164	0.119130129074381	0.138834480103126	0.151792141697219	0.0365459628680964	0.134665930055413	0.13647397585924	0.0382368205179716	0.0603184169554518	0.0333316592168483	0.122009609428624	0.0355917164716321	0.0188840339510823	0.0807426380727571	0.118778564612526	0.15986138315504	0.0309209314784123	0.0596152880317413	0.105569785545678
Aurelia_aurita	0.217819295866606	0.231848392011116	0.217551437229002	0.334086685751595	0.0801232149732978	0.0491018365057841	0.142149230743475	0.140240737950547		0.266402156262033	0.516146853498066	0.594713140140291	0.0647213433110676	0.0524165871461336	0.403110508429177	0.464684512748397	0.416972192925184	0.318952672726968	0.48226273584116	0.0309209314784123	0.077327440443306	0.0182980931813236	0.337049871930089	0.0689066345236301	0.209783536738486	0.4749133644719	0.203405152930541	0.0116183684060737	0.539551001958716	0.533490700282926	0.526174811243366	0.488138884703598	0.172199621649674	0.552374734234008	0.219259036043728	0.165771014347178	0.211758994190816	0.0481308489444696	0.480421207707632	0.336731789797934	0.378115949307753	0.542396999983259	0.0399779016623977	0.345453936684915	0.134917047528167	0.0938509701505031	0.501180252121943	0.337970635996853	0.37588937438267	0.342909279627676	0.283160062277133	0.232819379572431	0.369058979123767	0.478043962298897	0.582240972326854	0.172216362814525	0.24679825222239	0.531816583797901	0.114861132037567	0.265280498217066	0.100296318617849	0.460114174744279	0.14918051998058	0.0415850534880217	0.22205481057372	0.167712989469807	0.628011317027439	0.0953409338221753	0.14650193360454	0.440593976528887
Beroe_abyssicola	0.136624646342893	0.12442033716706	0.113505097684697	0.172484221452129	0.0506085413423066	0.0210771265464651	0.0899167964106942	0.0978353673848626	0.266402156262033		0.275040597324762	0.283980379354796	0.0345202819212161	0.0366966333517486	0.203304705941439	0.269834095056334	0.180302345437196	0.170341352351297	0.222640751343478	0.00982706376709691	0.0463060619757923	0.00539065508178059	0.206585974252088	0.0483484840875228	0.139403679708034	0.249744697236034	0.110726064319555	0.00380024442100681	0.254951199504462	0.251050508094353	0.256390939681583	0.239365175028878	0.10168583530042	0.265163310063114	0.137411481090854	0.109503959285487	0.109520700450337	0.016523529707197	0.263104146786533	0.186061306145682	0.210386218673095	0.252975742052132	0.0256809468802839	0.201061389851506	0.060067299482698	0.0528351162673899	0.246413205430834	0.173287797364941	0.199688614333785	0.190480973666148	0.137193845947801	0.167545577821305	0.214521286391107	0.246446687760534	0.272964692883331	0.0839234593943047	0.153918269633201	0.255085128823264	0.0500895652319488	0.146217333802086	0.0738955016490047	0.211675288366565	0.0800897326435973	0.0326787537876885	0.137495186915106	0.0948219577118176	0.294125525254047	0.0645204493328646	0.110726064319555	0.254716823196558
