	Abylopsis_tetragona	Acropora_digitifera	Agalma_elegans	Aiptasia_pallida	Allomyces_macrogynus	Amoebidium_parasiticum	Amphimedon_queenslandica	Aphrocallistes_vastus	Aurelia_aurita	Beroe_abyssicola	Bolinopsis_infundibulum	Bolocera_tuediae	Capitella_teleta	Capsaspora_owczarzaki	Chondrilla_nucula	Coeloplana_astericola	Corticium_candelabrum	Craseoa_lathetica	Crella_elegans	Danio_rerio	Daphnia_pulex	Drosophila_melanogaster	Dryodora_glandiformis	Ephydatia_muelleri	Eunicella_verrucosa	Euplokamis_dunlapae	Hemithiris_psittacea	Homo_sapiens	Hormathia_digitata	Hyalonema_populiferum	Hydra_oligactis	Hydra_viridissima	Hydra_vulgaris	Ircinia_fasciculata	Kirkpatrickia_variolosa	Latrunculia_apicalis	Lithobius_forficatus	Lottia_gigantea	Mertensiidae_sp	Ministeria_vibrans	Mnemiopsis_leidyi	Monosiga_ovata	Mortierella_verticillata	Nanomia_bijuga	Nematostella_vectensis	Oscarella_carmela	Periphylla_periphylla	Petromyzon_marinus	Petrosia_ficiformis	Physalia_physalis	Platygyra_carnosa	Pleurobrachia_atlantica	Pleurobrachia_bachei	Priapulus_caudatus	Pseudospongosorites_suberitoides	Rhizopus_oryzae	Rossella_fibulata	Saccoglossus_kowalevskii	Salpingoeca_rosetta	Sphaeroforma_arctica	Spizellomyces_punctatus	Spongilla_alba	Strongylocentrotus_purpuratus	Sycon_ciliatum	Sycon_coactum	Sympagella_nux	Tethya_wilhelma	Trichoplax_adhaerens	Tubulanus_polymorphus	Vallicula_sp
Abylopsis_tetragona		0.202380952380952	0	0	0.00992063492063492	0	0	0	0.202380952380952	0	0.202380952380952	0.202380952380952	0	0	0.0297619047619048	0.202380952380952	0.202380952380952	0	0.202380952380952	0	0	0	0.202380952380952	0	0	0.202380952380952	0	0	0.202380952380952	0.202380952380952	0.202380952380952	0.202380952380952	0	0.202380952380952	0	0	0.202380952380952	0.202380952380952	0.202380952380952	0	0	0.202380952380952	0.00595238095238095	0.202380952380952	0	0	0.202380952380952	0.202380952380952	0	0.202380952380952	0.202380952380952	0.00396825396825397	0.202380952380952	0.202380952380952	0.202380952380952	0.202380952380952	0	0.202380952380952	0.00793650793650794	0.202380952380952	0.00595238095238095	0.202380952380952	0.19047619047619	0.0297619047619048	0	0	0.202380952380952	0	0	0.192460317460317
Acropora_digitifera	0.202380952380952		0	0	0.0158730158730159	0.00396825396825397	0	0	0.650793650793651	0	0.759920634920635	0.759920634920635	0	0	0.0297619047619048	0.759920634920635	0.410714285714286	0	0.759920634920635	0	0	0.00396825396825397	0.759920634920635	0	0	0.759920634920635	0	0	0.56547619047619	0.759920634920635	0.759920634920635	0.392857142857143	0	0.759920634920635	0	0	0.759920634920635	0.759920634920635	0.759920634920635	0	0	0.541666666666667	0.00992063492063492	0.561507936507937	0	0	0.470238095238095	0.759920634920635	0	0.587301587301587	0.698412698412698	0.00396825396825397	0.759920634920635	0.759920634920635	0.755952380952381	0.759920634920635	0	0.634920634920635	0.00793650793650794	0.759920634920635	0.00793650793650794	0.759920634920635	0.531746031746032	0.0297619047619048	0	0	0.759920634920635	0.0595238095238095	0	0.75
Agalma_elegans	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aiptasia_pallida	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Allomyces_macrogynus	0.00992063492063492	0.0158730158730159	0	0		0	0	0	0.0138888888888889	0	0.0158730158730159	0.0158730158730159	0	0	0	0.0158730158730159	0.0138888888888889	0	0.0158730158730159	0	0	0	0.0158730158730159	0	0	0.0158730158730159	0	0	0.0138888888888889	0.0158730158730159	0.0158730158730159	0.0138888888888889	0	0.0158730158730159	0	0	0.0158730158730159	0.0158730158730159	0.0158730158730159	0	0	0.0138888888888889	0.00396825396825397	0.0138888888888889	0	0	0.0138888888888889	0.0158730158730159	0	0.0138888888888889	0.0158730158730159	0	0.0158730158730159	0.0158730158730159	0.0158730158730159	0.0158730158730159	0	0.0138888888888889	0	0.0158730158730159	0.00198412698412698	0.0158730158730159	0.0158730158730159	0	0	0	0.0158730158730159	0.00595238095238095	0	0.0158730158730159
Amoebidium_parasiticum	0	0.00396825396825397	0	0	0		0	0	0.00396825396825397	0	0.00396825396825397	0.00396825396825397	0	0	0	0.00396825396825397	0	0	0.00396825396825397	0	0	0	0.00396825396825397	0	0	0.00396825396825397	0	0	0	0.00396825396825397	0.00396825396825397	0	0	0.00396825396825397	0	0	0.00396825396825397	0.00396825396825397	0.00396825396825397	0	0	0	0	0	0	0	0	0.00396825396825397	0	0	0.00396825396825397	0	0.00396825396825397	0.00396825396825397	0.00396825396825397	0.00396825396825397	0	0.00396825396825397	0	0.00396825396825397	0	0.00396825396825397	0.00396825396825397	0	0	0	0.00396825396825397	0	0	0.00396825396825397
Amphimedon_queenslandica	0	0	0	0	0	0		0	0.0416666666666667	0	0.0416666666666667	0.0416666666666667	0	0	0.0198412698412698	0.0416666666666667	0	0	0.0416666666666667	0	0	0	0.0416666666666667	0	0	0.0376984126984127	0	0	0	0.0416666666666667	0.0416666666666667	0.0416666666666667	0.0416666666666667	0.0416666666666667	0	0	0	0	0.0416666666666667	0	0	0.0416666666666667	0	0	0	0	0	0.0416666666666667	0.0416666666666667	0	0	0	0.0416666666666667	0	0.00992063492063492	0.0416666666666667	0	0.0396825396825397	0	0.0416666666666667	0	0.0416666666666667	0	0	0.0257936507936508	0	0.0416666666666667	0.0218253968253968	0	0.00595238095238095
Aphrocallistes_vastus	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aurelia_aurita	0.202380952380952	0.650793650793651	0	0	0.0138888888888889	0.00396825396825397	0.0416666666666667	0		0	0.732142857142857	0.732142857142857	0	0	0.0496031746031746	0.732142857142857	0.410714285714286	0	0.732142857142857	0	0	0.00396825396825397	0.732142857142857	0	0	0.71031746031746	0	0	0.56547619047619	0.732142857142857	0.732142857142857	0.456349206349206	0.0634920634920635	0.732142857142857	0	0	0.650793650793651	0.650793650793651	0.732142857142857	0	0	0.613095238095238	0.00793650793650794	0.561507936507937	0	0	0.470238095238095	0.732142857142857	0.0634920634920635	0.587301587301587	0.650793650793651	0.00396825396825397	0.732142857142857	0.650793650793651	0.660714285714286	0.732142857142857	0	0.68452380952381	0.00793650793650794	0.71031746031746	0.00595238095238095	0.732142857142857	0.521825396825397	0.0297619047619048	0.0257936507936508	0	0.732142857142857	0.0992063492063492	0	0.646825396825397
Beroe_abyssicola	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
