	Abylopsis_tetragona	Acropora_digitifera	Agalma_elegans	Aiptasia_pallida	Allomyces_macrogynus	Amoebidium_parasiticum	Amphimedon_queenslandica	Aphrocallistes_vastus	Aurelia_aurita	Beroe_abyssicola	Bolinopsis_infundibulum	Bolocera_tuediae	Capitella_teleta	Capsaspora_owczarzaki	Chondrilla_nucula	Coeloplana_astericola	Corticium_candelabrum	Craseoa_lathetica	Crella_elegans	Danio_rerio	Daphnia_pulex	Drosophila_melanogaster	Dryodora_glandiformis	Ephydatia_muelleri	Eunicella_verrucosa	Euplokamis_dunlapae	Hemithiris_psittacea	Homo_sapiens	Hormathia_digitata	Hyalonema_populiferum	Hydra_oligactis	Hydra_viridissima	Hydra_vulgaris	Ircinia_fasciculata	Kirkpatrickia_variolosa	Latrunculia_apicalis	Lithobius_forficatus	Lottia_gigantea	Mertensiidae_sp	Ministeria_vibrans	Mnemiopsis_leidyi	Monosiga_ovata	Mortierella_verticillata	Nanomia_bijuga	Nematostella_vectensis	Oscarella_carmela	Periphylla_periphylla	Petromyzon_marinus	Petrosia_ficiformis	Physalia_physalis	Platygyra_carnosa	Pleurobrachia_atlantica	Pleurobrachia_bachei	Priapulus_caudatus	Pseudospongosorites_suberitoides	Rhizopus_oryzae	Rossella_fibulata	Saccoglossus_kowalevskii	Salpingoeca_rosetta	Sphaeroforma_arctica	Spizellomyces_punctatus	Spongilla_alba	Strongylocentrotus_purpuratus	Sycon_ciliatum	Sycon_coactum	Sympagella_nux	Tethya_wilhelma	Trichoplax_adhaerens	Tubulanus_polymorphus	Vallicula_sp
Abylopsis_tetragona		0.558200659601895	0.557497530678185	0.446687760534378	0.660120871210219	0.670299499439171	0.604054710126731	0.629116233907555	0.276580784490985	0.550633653089582	0.277635477876551	0.137696080893309	0.664289421257931	0.672961344650361	0.358043292652303	0.316943732944938	0.325347797699764	0.486096462591867	0.257361927242898	0.702961512062009	0.66020457703447	0.711633435454439	0.451693368824603	0.662464634289254	0.601962064520449	0.333818827113991	0.581136055446738	0.715182562402692	0.227244571677297	0.259236937706126	0.262350794368272	0.340063281603134	0.633552642592872	0.218572648284868	0.575142718430348	0.61336279778347	0.562837962265414	0.686488205849363	0.301156814491152	0.451157651549395	0.39400331475064	0.192506654613028	0.687927946026485	0.46352937237373	0.616861701237172	0.64684512748397	0.290258316173639	0.37525321011836	0.383121557597978	0.501916863375354	0.478881020541409	0.536303215977768	0.378785595901763	0.29566571242027	0.17188153951752	0.553948403729931	0.505733848961211	0.237992399511158	0.605661861952355	0.463864195670735	0.647447809418579	0.312490583094772	0.57591281201346	0.691225955501984	0.532837794853766	0.590912895719284	0.108030736778665	0.628245693335342	0.618401888403395	0.349538780908376
Acropora_digitifera	0.558200659601895		0.519779686270571	0.430884100915742	0.647213433110676	0.664925585522241	0.613178644970117	0.609026836087255	0.279962499790735	0.52778196306899	0.243048231295934	0.14317044179934	0.657710143471783	0.652955652654312	0.371134883565198	0.301608825942109	0.324025245676594	0.444444444444444	0.241859608591566	0.695946963989754	0.647096244956724	0.701337619071535	0.453685567441783	0.650796042388629	0.598731019704351	0.308087656739156	0.544338975105888	0.706878944636968	0.220933152528753	0.260408819245643	0.260157701772889	0.332178192958666	0.640918755126982	0.20268528284198	0.595533457217953	0.589573602531264	0.573853648736879	0.678452446721243	0.293472619824887	0.443540421542531	0.389349270922271	0.191133879095307	0.674350861332932	0.433093934675975	0.626236753553312	0.648301608825942	0.283712520717191	0.360202902917985	0.364137076657794	0.482379923995112	0.489360989737666	0.518356687258299	0.353924966099141	0.278706912426967	0.160966300035156	0.539400331475064	0.516883464751477	0.223812632882996	0.588803508948153	0.435052650963454	0.629049269248154	0.301776237590612	0.566989771148277	0.696767281067417	0.513267373143823	0.610533540923777	0.0997773425074917	0.638558250883096	0.604104933621281	0.338188271139906
Agalma_elegans	0.557497530678185	0.519779686270571		0.407412987795691	0.660053906550818	0.675974754323406	0.603167428389667	0.597140609043577	0.270487000485494	0.521688179063499	0.264075134347848	0.140408149599049	0.668558418294745	0.660639847320577	0.366614769055631	0.294276195737699	0.326703832052634	0.502686956958465	0.260308372256542	0.700801901796327	0.655600756700651	0.706678050658765	0.419985602598229	0.6555505332061	0.567642676577436	0.30030301508379	0.559439505800814	0.710628965563424	0.243249125274137	0.234443272562905	0.240168750941691	0.325548691677967	0.611420822660841	0.214906333182663	0.544138081127685	0.601058041618536	0.522642425459964	0.671655533792041	0.278606465437865	0.425593892823063	0.424706611085999	0.190179632698843	0.68364220782482	0.460649892019487	0.626035859575109	0.648586208628396	0.271776070178963	0.364723017427553	0.36189376056786	0.471933437128555	0.460448998041284	0.523881271658882	0.355347965111412	0.271357541057707	0.172768821254583	0.537240721209382	0.501548557748648	0.225202149565567	0.600806924145782	0.44750807761204	0.639278120971657	0.301257261480254	0.564093549629183	0.694390035658681	0.530745149247485	0.590795707565332	0.103828704401252	0.616811477742621	0.596270068471364	0.350760885942444
Aiptasia_pallida	0.446687760534378	0.430884100915742	0.407412987795691		0.509567575711918	0.516916947081178	0.488339778681801	0.483668993688581	0.225135184906166	0.418780238729011	0.219208812549177	0.106825372909447	0.511174727537542	0.514322066529389	0.288232635226759	0.247852945607955	0.262735841159828	0.35049302730484	0.193494383339193	0.535884686856511	0.532000736611253	0.551604640650897	0.364287747141446	0.512112232769156	0.466258182244321	0.245793782331375	0.467882075234795	0.553027639663168	0.194950864681165	0.226122913632331	0.223795891718146	0.296854335124638	0.491035106222691	0.174359231915357	0.46423250129744	0.478345303266201	0.462056149866908	0.526995128321029	0.222908609981082	0.358311151289907	0.306246128605628	0.167394907337653	0.529489561883716	0.360470761555589	0.478412267925602	0.498936936032009	0.229739005239985	0.271273835233456	0.301826461085162	0.372976411698726	0.363383724239533	0.438936601208712	0.260927795356001	0.237205564763196	0.149431637453334	0.412184219778012	0.379589171814575	0.183901695879999	0.467078499321983	0.34049855188924	0.495052985786751	0.242194431888571	0.45750255302764	0.538362379254348	0.398941958381464	0.483786181842533	0.0883431269147707	0.481325230609546	0.482363182830261	0.252992483216982
Allomyces_macrogynus	0.660120871210219	0.647213433110676	0.660053906550818	0.509567575711918		0.85148912661343	0.751443925468334	0.750188338104565	0.315236134130213	0.640968978621532	0.29099492742705	0.157400431922053	0.821355029882979	0.84953041032595	0.422028024709959	0.339427117338824	0.365359181691862	0.55120285269449	0.282389968694022	0.871210218807025	0.815043610734435	0.885406726600037	0.529322150235213	0.82607603837075	0.687844240202233	0.352167143789865	0.687040664289421	0.890579746538764	0.26019118410259	0.274119833257998	0.281251569484205	0.366162757604674	0.748966233070497	0.218639612944269	0.691527296469288	0.744077812934224	0.657124202702024	0.851271491470377	0.32777526660305	0.529372373729764	0.463110843252473	0.209431972276631	0.875311804195336	0.519193745500812	0.762710729412553	0.808213215475533	0.306078716957126	0.447558301106591	0.448780406140659	0.546347914887918	0.575059012606097	0.633870724725026	0.4113806438652	0.330638005792443	0.184487636649758	0.694239365175029	0.597056903219326	0.25349471816249	0.763715199303568	0.577067952388127	0.82744881388847	0.351095709239449	0.724072120938175	0.861651013677532	0.635913146836757	0.733865702375571	0.103209281301793	0.778129342239633	0.723954932784223	0.393768938442737
Amoebidium_parasiticum	0.670299499439171	0.664925585522241	0.675974754323406	0.516916947081178	0.85148912661343		0.763531046490215	0.763346893676862	0.301893425744563	0.629116233907555	0.28694356553329	0.158639278120972	0.838866288316341	0.858955686136641	0.436224532502972	0.344700584266653	0.388043460063951	0.567458523764083	0.286709189225386	0.894898967070129	0.837811594930775	0.903721560946211	0.525655835133009	0.836974536688263	0.704417993403981	0.352887013878426	0.696733798737716	0.908609981082484	0.266033850635327	0.278020524668106	0.281737063264862	0.371034436576097	0.755445063867544	0.218807024592771	0.696047410978856	0.745517553111345	0.666063984732058	0.866422245659853	0.326821020206586	0.531531983995446	0.477976997639496	0.218204342658162	0.877237038153115	0.526241775902767	0.775785579160598	0.826695461470209	0.309778514389031	0.455627542564412	0.452714579880468	0.551470711332094	0.572999849329516	0.639278120971657	0.430532536453886	0.331056534913699	0.18596085915658	0.684546230726734	0.625533624629602	0.261446771466359	0.780138282021663	0.58794970954079	0.816115045284851	0.351279862052802	0.731170374834681	0.880183483166759	0.641069425610634	0.74647179950781	0.10771265464651	0.795155106892338	0.7458356352435	0.40269197930792
Amphimedon_queenslandica	0.604054710126731	0.613178644970117	0.603167428389667	0.488339778681801	0.751443925468334	0.763531046490215		0.713441481258266	0.29968359198433	0.60269867577386	0.284650025948806	0.155391492140023	0.757822309276279	0.767582408383975	0.423199906249477	0.325431503524015	0.358846868565115	0.516950429410878	0.284616543619105	0.798185257730233	0.766343562185057	0.809686437982355	0.507558635929888	0.765673915591047	0.641119649105185	0.330939346759748	0.627492340917081	0.813905211524618	0.26151373612576	0.277099760601343	0.283478144409288	0.350677180118193	0.696800763397117	0.214839368523262	0.644467882075235	0.696549645924363	0.617564830160883	0.779518858922204	0.318885708067567	0.492675740378015	0.438652001406258	0.208846031506872	0.782348115781896	0.477039492407882	0.695176870406643	0.737699429126279	0.304186965329048	0.415046958967405	0.425175363701806	0.515410242244655	0.524115647966786	0.601895099861048	0.401536838933253	0.31704417993404	0.184119331023053	0.620578239833928	0.590912895719284	0.240202233271391	0.700667972477525	0.508429176502101	0.7257462374232	0.342256374198517	0.645756951768704	0.793832554869168	0.58128672593039	0.70567358076775	0.108214889592018	0.710444812750071	0.673982555706226	0.365727487318568
Aphrocallistes_vastus	0.629116233907555	0.609026836087255	0.597140609043577	0.483668993688581	0.750188338104565	0.763346893676862	0.713441481258266		0.302094319722766	0.614936467279393	0.281201345989654	0.155291045150922	0.769775500979358	0.77727554283227	0.408199822543653	0.331223946562202	0.346860194532336	0.509584316876768	0.267138767515444	0.799825891885557	0.783034503540756	0.814156328997372	0.507826494567492	0.785495454773743	0.65886528384645	0.338523094436911	0.637838380794536	0.817889608758977	0.248003616091608	0.279878793966484	0.283812967706293	0.358579009927511	0.697570856980229	0.21470543920446	0.659936718396866	0.70702961512062	0.626839435487921	0.779619305911305	0.318165837979007	0.492809669696817	0.463596337033131	0.21206033515812	0.786265548356855	0.490901176903889	0.684830830529188	0.732107880066295	0.298193628312658	0.413640701119984	0.42606264543887	0.5150586777828	0.519478345303266	0.608742236284801	0.408936433797064	0.318668072924514	0.17862822895217	0.602849346257513	0.629283645556058	0.236636365158288	0.704484958063382	0.504160179465287	0.736778665059515	0.331324393551303	0.646493563022115	0.79463613078198	0.605394003314751	0.753452865250364	0.105954832337234	0.717291949173824	0.692163460733598	0.365744228483418
Aurelia_aurita	0.276580784490985	0.279962499790735	0.270487000485494	0.225135184906166	0.315236134130213	0.301893425744563	0.29968359198433	0.302094319722766		0.28426497915725	0.15785244337301	0.0931143588970921	0.310113337686036	0.303082048448931	0.201931930423719	0.169705188086987	0.159811159660489	0.250598496643396	0.124169219694306	0.32777526660305	0.313461570656086	0.32841143086736	0.234978989838113	0.306614434232334	0.302278472536119	0.186998811377296	0.277836371854754	0.327842231262451	0.157551102405705	0.166022131819932	0.164800026785864	0.215609462106373	0.313562017645188	0.122227244571677	0.298294075301759	0.301943649239114	0.27155843503591	0.317596638374098	0.164046674367603	0.236720070982539	0.222456598530126	0.106791890579747	0.31369594696399	0.238444410962115	0.296519511827633	0.308070915574306	0.16451542698341	0.162221887398925	0.189928515226089	0.272177858135369	0.227579394974302	0.260961277685701	0.159627006847136	0.158639278120972	0.109838782582492	0.239281469204627	0.242177690723721	0.132740696097634	0.281870992583664	0.209883983727588	0.304505047461202	0.170190681867644	0.26084408953175	0.318098873319606	0.2474678988164	0.303149013108332	0.0748664892103193	0.282473674518273	0.279811829307083	0.201530142467313
Beroe_abyssicola	0.550633653089582	0.52778196306899	0.521688179063499	0.418780238729011	0.640968978621532	0.629116233907555	0.60269867577386	0.614936467279393	0.28426497915725		0.271993705322016	0.137629116233908	0.635159794418496	0.642609612776857	0.357373646058293	0.330102288517235	0.278388830294812	0.457234694390036	0.219794753318936	0.661928917014046	0.637687710310883	0.670751510890128	0.459762610282423	0.641303801918538	0.587146133627978	0.31707766226374	0.540404801366079	0.675271625399695	0.228198818073762	0.238829457753671	0.250263673346391	0.322083270553965	0.598295749418244	0.190263338523094	0.571694038471197	0.600924112299734	0.524567659417742	0.641236837259136	0.301977131568815	0.441297105452597	0.409974386017779	0.172618150770931	0.654646510304187	0.449299382251017	0.576917281904475	0.622302579813503	0.264995898414612	0.352786566889324	0.368975273299516	0.474997070296151	0.436860696767281	0.550934994056887	0.360336832236787	0.28228952170492	0.155810021261279	0.506236083906718	0.504545226256843	0.211256759245308	0.572346943900357	0.446068337434919	0.633351748614669	0.276999313612241	0.547000820317078	0.664440091741583	0.518155793280096	0.585505499472653	0.0962282155592386	0.606900708151273	0.599283478144409	0.370900507257295
