	Abeoforma_whisleri	Acanthoeca_sp_10tr	Acanthoeca_spectabilis_VA_02	Aiptasia_pallida	Alatina_alata	Amoebidium_parasiticum_JAP72	Amphimedon_queenslandica	Antipathes_caribbeana	Aphrocallistes_vastus	Aplysia_californica	Atolla_vanhoeffeni	Aurelia_aurita	Beroe_abyssicola	Beroe_sp	Bolinopsis_infundibulum	Bolocera_tuedia	Branchiostoma_floridae	Capitella_teleta	Capsaspora_owczarzaki_atcc30864	Cestum_veneris	Choanoeca_perplexa_11	Chondrilla_nucula	Clathrina_coriacea	Clytia_hemisphaerica	Codosiga_hollandica_17	Coeloplana_species	Corticium_candelabrum	Craspedacusta_sowerbyi	Crassostrea_gigas	Creolimax_fragrantissima	Daphnia_pulex	Diaphanoeca_grandis_RI_01	Didymoeca_costata_10	Dryodora_glandiformis	Edwardsiella_lineata	Ephydatia_muelleri	Euplectella_aspergillum	Euplokamis_dunlapae	Gorgonia_ventalina	Grantia_compressa	Helobdella_robusta	Homo_sapiens	Hormiphora_californensis	Hyalonema_populiferum	Hydra_magnipapillata	Hydractinia_polyclina	Ircinia_fasciculata	Ixodes_scapularis	Kirkpatrickia_variolosa	Lampea_pancerina	Latrunculia_apicalis	Leuconia_nivea	Leucosolenia_complicata	Liriope_tetraphylla	Lucernariopsis_campanulata	Ministeria_vibrans	Mnemiopsis_leidyi	Monosiga_brevicollis_mx1	Montastraea_faveolata	Mycale_phyllophila	Mylnosiga_fluctuans_19	Nanomia_bijuga	Nematostella_vectensis	Oscarella_carmela	Oscarella_species	Pelagia_noctiluca	Pennatula_rubra	Periphylla_periphylla	Petrosia_ficiformis	Pirum_gemmata	Plakina_jani	Pleraplysilla_spinifera	Pleurobrachia_species	Plumapathes_pennacea	Porites_australiensis	Rossella_fibulata	Saccoglossus_kowalevskii	Salpingoeca_dolichothecata_16	Salpingoeca_helianthica_18	Salpingoeca_infusionum_12	Salpingoeca_macrocollata_06	Salpingoeca_punica_03	Salpingoeca_qvevrii_09	Salpingoeca_roanoka_13	Salpingoeca_rosetta	Salpingoeca_urceolata_04	Sphaeroforma_arctica_JP610	Spongilla_lacustris	Stephanoeca_diplocostata_AUFR	Stomolophus_meleagris	Strongylocentrotus_purpuratus	Sycon_ciliatum	Sycon_coactum	Sympagella_nux	Tribolium_castaneum	Trichoplax_adhaerens	Vallicula_multiformis
Abeoforma_whisleri		0.0719424460431655	0.0719424460431655	0	1	1	0.00719424460431655	0.00479616306954436	0.136690647482014	0.0911270983213429	0.752997601918465	0.00239808153477218	0.0695443645083933	0.47242206235012	0.429256594724221	0.601918465227818	0	0.00239808153477218	0.0431654676258993	0.24220623501199	0.0215827338129496	1	0.54916067146283	1	0.0695443645083933	0.0455635491606715	0.0191846522781775	1	0.280575539568345	1	0.00719424460431655	0.103117505995204	0.079136690647482	0.65947242206235	0.793764988009592	0.0143884892086331	0.474820143884892	0.0407673860911271	0.0143884892086331	0.278177458033573	0.0503597122302158	0	0.383693045563549	1	1	1	0.724220623501199	0.0359712230215827	0.501199040767386	0.079136690647482	0	0.177458033573141	1	1	1	0.827338129496403	0.0551558752997602	0.0647482014388489	0.00479616306954436	0.422062350119904	0.0503597122302158	1	0.0119904076738609	0.0287769784172662	0.151079136690647	0.79136690647482	0.73621103117506	0.851318944844125	0.0911270983213429	1	0.026378896882494	0	0.0407673860911271	0	0	0.0767386091127098	0.122302158273381	0.00239808153477218	0.0671462829736211	0.0815347721822542	0.0887290167865707	0.0935251798561151	0.0143884892086331	0.112709832134293	0.158273381294964	0.00479616306954436	1	0.800959232613909	0.129496402877698	0.0815347721822542	0.00239808153477218	1	0.256594724220624	0.0695443645083933	0.0383693045563549	0.0119904076738609	0.0887290167865707
Acanthoeca_sp_10tr	0.0719424460431655		0.0383693045563549	0	0.0719424460431655	0.0719424460431655	0	0	0.0311750599520384	0.00239808153477218	0.0431654676258993	0	0.00959232613908873	0.0431654676258993	0.0407673860911271	0.0431654676258993	0	0.00239808153477218	0.0215827338129496	0.0287769784172662	0	0.0719424460431655	0.0287769784172662	0.0719424460431655	0.0287769784172662	0.00239808153477218	0	0.0719424460431655	0.00719424460431655	0.0719424460431655	0	0.0407673860911271	0.0311750599520384	0.0431654676258993	0.0431654676258993	0.00239808153477218	0.0311750599520384	0.0311750599520384	0	0.0287769784172662	0.00959232613908873	0	0.0335731414868106	0.0719424460431655	0.0719424460431655	0.0719424460431655	0.0431654676258993	0.00239808153477218	0.0623501199040767	0.0119904076738609	0	0.0479616306954436	0.0719424460431655	0.0719424460431655	0.0719424460431655	0.0431654676258993	0	0.0287769784172662	0	0.0191846522781775	0.026378896882494	0.0719424460431655	0	0	0.0335731414868106	0.0719424460431655	0.0431654676258993	0.0719424460431655	0.0335731414868106	0.0719424460431655	0.00239808153477218	0	0	0	0	0.0335731414868106	0.00239808153477218	0.00239808153477218	0.0287769784172662	0.0287769784172662	0.0311750599520384	0.0239808153477218	0	0.0311750599520384	0.0311750599520384	0	0.0719424460431655	0.0431654676258993	0.0383693045563549	0.0335731414868106	0.00239808153477218	0.0719424460431655	0.0623501199040767	0.0335731414868106	0.0143884892086331	0.00239808153477218	0.0287769784172662
Acanthoeca_spectabilis_VA_02	0.0719424460431655	0.0383693045563549		0	0.0719424460431655	0.0719424460431655	0.00719424460431655	0.00479616306954436	0.0383693045563549	0.0119904076738609	0.0407673860911271	0.00239808153477218	0.0167865707434053	0.0311750599520384	0.0215827338129496	0.0431654676258993	0	0	0.0215827338129496	0.0407673860911271	0.0215827338129496	0.0719424460431655	0.0407673860911271	0.0719424460431655	0.0503597122302158	0.0119904076738609	0	0.0719424460431655	0.0143884892086331	0.0719424460431655	0.00719424460431655	0.0575539568345324	0.0383693045563549	0.0431654676258993	0.0359712230215827	0.0119904076738609	0.0407673860911271	0.00959232613908873	0.00719424460431655	0.0407673860911271	0.0383693045563549	0	0.0143884892086331	0.0719424460431655	0.0719424460431655	0.0719424460431655	0.0431654676258993	0.00719424460431655	0.0551558752997602	0.026378896882494	0	0.0287769784172662	0.0719424460431655	0.0719424460431655	0.0719424460431655	0.0383693045563549	0	0.0383693045563549	0.00479616306954436	0.0191846522781775	0.0359712230215827	0.0719424460431655	0.0119904076738609	0.0119904076738609	0.026378896882494	0.0575539568345324	0.0431654676258993	0.0623501199040767	0	0.0719424460431655	0.0119904076738609	0	0	0	0	0.0383693045563549	0.00239808153477218	0	0.0335731414868106	0.0383693045563549	0.0503597122302158	0.0479616306954436	0.0119904076738609	0.0407673860911271	0.0407673860911271	0.00479616306954436	0.0719424460431655	0.0431654676258993	0.0575539568345324	0.0143884892086331	0	0.0719424460431655	0.0431654676258993	0.0311750599520384	0.026378896882494	0.00959232613908873	0.0287769784172662
Aiptasia_pallida	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alatina_alata	1	0.0719424460431655	0.0719424460431655	0		1	0.00719424460431655	0.00479616306954436	0.136690647482014	0.0911270983213429	0.752997601918465	0.00239808153477218	0.0695443645083933	0.47242206235012	0.429256594724221	0.601918465227818	0	0.00239808153477218	0.0431654676258993	0.24220623501199	0.0215827338129496	1	0.54916067146283	1	0.0695443645083933	0.0455635491606715	0.0191846522781775	1	0.280575539568345	1	0.00719424460431655	0.103117505995204	0.079136690647482	0.65947242206235	0.793764988009592	0.0143884892086331	0.474820143884892	0.0407673860911271	0.0143884892086331	0.278177458033573	0.0503597122302158	0	0.383693045563549	1	1	1	0.724220623501199	0.0359712230215827	0.501199040767386	0.079136690647482	0	0.177458033573141	1	1	1	0.827338129496403	0.0551558752997602	0.0647482014388489	0.00479616306954436	0.422062350119904	0.0503597122302158	1	0.0119904076738609	0.0287769784172662	0.151079136690647	0.79136690647482	0.73621103117506	0.851318944844125	0.0911270983213429	1	0.026378896882494	0	0.0407673860911271	0	0	0.0767386091127098	0.122302158273381	0.00239808153477218	0.0671462829736211	0.0815347721822542	0.0887290167865707	0.0935251798561151	0.0143884892086331	0.112709832134293	0.158273381294964	0.00479616306954436	1	0.800959232613909	0.129496402877698	0.0815347721822542	0.00239808153477218	1	0.256594724220624	0.0695443645083933	0.0383693045563549	0.0119904076738609	0.0887290167865707
Amoebidium_parasiticum_JAP72	1	0.0719424460431655	0.0719424460431655	0	1		0.00719424460431655	0.00479616306954436	0.136690647482014	0.0911270983213429	0.752997601918465	0.00239808153477218	0.0695443645083933	0.47242206235012	0.429256594724221	0.601918465227818	0	0.00239808153477218	0.0431654676258993	0.24220623501199	0.0215827338129496	1	0.54916067146283	1	0.0695443645083933	0.0455635491606715	0.0191846522781775	1	0.280575539568345	1	0.00719424460431655	0.103117505995204	0.079136690647482	0.65947242206235	0.793764988009592	0.0143884892086331	0.474820143884892	0.0407673860911271	0.0143884892086331	0.278177458033573	0.0503597122302158	0	0.383693045563549	1	1	1	0.724220623501199	0.0359712230215827	0.501199040767386	0.079136690647482	0	0.177458033573141	1	1	1	0.827338129496403	0.0551558752997602	0.0647482014388489	0.00479616306954436	0.422062350119904	0.0503597122302158	1	0.0119904076738609	0.0287769784172662	0.151079136690647	0.79136690647482	0.73621103117506	0.851318944844125	0.0911270983213429	1	0.026378896882494	0	0.0407673860911271	0	0	0.0767386091127098	0.122302158273381	0.00239808153477218	0.0671462829736211	0.0815347721822542	0.0887290167865707	0.0935251798561151	0.0143884892086331	0.112709832134293	0.158273381294964	0.00479616306954436	1	0.800959232613909	0.129496402877698	0.0815347721822542	0.00239808153477218	1	0.256594724220624	0.0695443645083933	0.0383693045563549	0.0119904076738609	0.0887290167865707
Amphimedon_queenslandica	0.00719424460431655	0	0.00719424460431655	0	0.00719424460431655	0.00719424460431655		0.00479616306954436	0.00719424460431655	0.00719424460431655	0.00719424460431655	0.00239808153477218	0	0	0	0.00719424460431655	0	0	0	0.00719424460431655	0.00719424460431655	0.00719424460431655	0.00719424460431655	0.00719424460431655	0.00719424460431655	0.00719424460431655	0	0.00719424460431655	0	0.00719424460431655	0.00719424460431655	0.00719424460431655	0.00719424460431655	0.00719424460431655	0.00479616306954436	0.00719424460431655	0.00719424460431655	0.00719424460431655	0.00479616306954436	0.00719424460431655	0.00719424460431655	0	0	0.00719424460431655	0.00719424460431655	0.00719424460431655	0.00719424460431655	0.00719424460431655	0.00719424460431655	0.00719424460431655	0	0	0.00719424460431655	0.00719424460431655	0.00719424460431655	0.00719424460431655	0	0.00719424460431655	0.00479616306954436	0.00239808153477218	0.00479616306954436	0.00719424460431655	0.00719424460431655	0.00719424460431655	0.00719424460431655	0.00719424460431655	0.00719424460431655	0.00239808153477218	0	0.00719424460431655	0.00719424460431655	0	0	0	0	0.00719424460431655	0	0	0.00479616306954436	0.00719424460431655	0.00719424460431655	0.00719424460431655	0.00719424460431655	0.00719424460431655	0.00719424460431655	0.00479616306954436	0.00719424460431655	0.00719424460431655	0.00719424460431655	0	0	0.00719424460431655	0	0	0.00719424460431655	0.00719424460431655	0
Antipathes_caribbeana	0.00479616306954436	0	0.00479616306954436	0	0.00479616306954436	0.00479616306954436	0.00479616306954436		0.00479616306954436	0.00479616306954436	0.00479616306954436	0.00239808153477218	0	0	0	0.00479616306954436	0	0	0	0.00479616306954436	0.00479616306954436	0.00479616306954436	0.00479616306954436	0.00479616306954436	0.00479616306954436	0.00479616306954436	0	0.00479616306954436	0	0.00479616306954436	0.00479616306954436	0.00479616306954436	0.00479616306954436	0.00479616306954436	0.00479616306954436	0.00479616306954436	0.00479616306954436	0.00479616306954436	0.00479616306954436	0.00479616306954436	0.00479616306954436	0	0	0.00479616306954436	0.00479616306954436	0.00479616306954436	0.00479616306954436	0.00479616306954436	0.00479616306954436	0.00479616306954436	0	0	0.00479616306954436	0.00479616306954436	0.00479616306954436	0.00479616306954436	0	0.00479616306954436	0.00479616306954436	0.00239808153477218	0.00479616306954436	0.00479616306954436	0.00479616306954436	0.00479616306954436	0.00479616306954436	0.00479616306954436	0.00479616306954436	0.00239808153477218	0	0.00479616306954436	0.00479616306954436	0	0	0	0	0.00479616306954436	0	0	0.00479616306954436	0.00479616306954436	0.00479616306954436	0.00479616306954436	0.00479616306954436	0.00479616306954436	0.00479616306954436	0.00479616306954436	0.00479616306954436	0.00479616306954436	0.00479616306954436	0	0	0.00479616306954436	0	0	0.00479616306954436	0.00479616306954436	0
Aphrocallistes_vastus	0.136690647482014	0.0311750599520384	0.0383693045563549	0	0.136690647482014	0.136690647482014	0.00719424460431655	0.00479616306954436		0.0287769784172662	0.0119904076738609	0.00239808153477218	0.0215827338129496	0.0215827338129496	0.00479616306954436	0.0287769784172662	0	0	0.0431654676258993	0.13189448441247	0.00719424460431655	0.136690647482014	0.134292565947242	0.136690647482014	0.052757793764988	0.0335731414868106	0.0191846522781775	0.136690647482014	0	0.136690647482014	0.00719424460431655	0.0647482014388489	0.0647482014388489	0.0119904076738609	0.00959232613908873	0.00719424460431655	0.13189448441247	0.00719424460431655	0.00719424460431655	0.13189448441247	0.00959232613908873	0	0.0167865707434053	0.136690647482014	0.136690647482014	0.136690647482014	0.0143884892086331	0.00719424460431655	0.13189448441247	0.0383693045563549	0	0.0335731414868106	0.136690647482014	0.136690647482014	0.136690647482014	0.0359712230215827	0.0167865707434053	0.0623501199040767	0.00479616306954436	0.00719424460431655	0.0335731414868106	0.136690647482014	0.00719424460431655	0.00719424460431655	0.00719424460431655	0.136690647482014	0.0119904076738609	0.0599520383693046	0	0.136690647482014	0.00959232613908873	0	0.0167865707434053	0	0	0.0743405275779376	0.00239808153477218	0	0.0575539568345324	0.079136690647482	0.0551558752997602	0.0407673860911271	0.00719424460431655	0.0671462829736211	0.0887290167865707	0.00479616306954436	0.136690647482014	0.0119904076738609	0.0551558752997602	0.0119904076738609	0	0.136690647482014	0.0599520383693046	0.0671462829736211	0.0335731414868106	0.00719424460431655	0.0863309352517986
Aplysia_californica	0.0911270983213429	0.00239808153477218	0.0119904076738609	0	0.0911270983213429	0.0911270983213429	0.00719424460431655	0.00479616306954436	0.0287769784172662		0.0239808153477218	0.00239808153477218	0	0.0143884892086331	0.0143884892086331	0.0839328537170264	0	0.00239808153477218	0	0.0767386091127098	0.00719424460431655	0.0911270983213429	0.0767386091127098	0.0911270983213429	0.00959232613908873	0.00959232613908873	0	0.0911270983213429	0.0119904076738609	0.0911270983213429	0.00719424460431655	0.0215827338129496	0.0119904076738609	0.0599520383693046	0.0191846522781775	0.0143884892086331	0.079136690647482	0.0119904076738609	0.00479616306954436	0.0767386091127098	0.00719424460431655	0	0.0143884892086331	0.0911270983213429	0.0911270983213429	0.0911270983213429	0.0359712230215827	0.00959232613908873	0.0911270983213429	0.00719424460431655	0	0.0143884892086331	0.0911270983213429	0.0911270983213429	0.0911270983213429	0.0215827338129496	0	0.00959232613908873	0.00479616306954436	0.00719424460431655	0.00719424460431655	0.0911270983213429	0.0119904076738609	0.0215827338129496	0.0311750599520384	0.079136690647482	0.0359712230215827	0.0167865707434053	0.00239808153477218	0.0911270983213429	0.0143884892086331	0	0	0	0	0.00959232613908873	0.0119904076738609	0.00239808153477218	0.00479616306954436	0.00959232613908873	0.0119904076738609	0.0335731414868106	0.0143884892086331	0.0215827338129496	0.0191846522781775	0.00479616306954436	0.0911270983213429	0.026378896882494	0.0431654676258993	0.00239808153477218	0.00239808153477218	0.0911270983213429	0.0143884892086331	0.00239808153477218	0.0119904076738609	0.0119904076738609	0
