	Abeoforma_whisleri	Acanthoeca_sp_10tr	Acanthoeca_spectabilis_VA_02	Aiptasia_pallida	Alatina_alata	Amoebidium_parasiticum_JAP72	Amphimedon_queenslandica	Antipathes_caribbeana	Aphrocallistes_vastus	Aplysia_californica	Atolla_vanhoeffeni	Aurelia_aurita	Beroe_abyssicola	Beroe_sp	Bolinopsis_infundibulum	Bolocera_tuedia	Branchiostoma_floridae	Capitella_teleta	Capsaspora_owczarzaki_atcc30864	Cestum_veneris	Choanoeca_perplexa_11	Chondrilla_nucula	Clathrina_coriacea	Clytia_hemisphaerica	Codosiga_hollandica_17	Coeloplana_species	Corticium_candelabrum	Craspedacusta_sowerbyi	Crassostrea_gigas	Creolimax_fragrantissima	Daphnia_pulex	Diaphanoeca_grandis_RI_01	Didymoeca_costata_10	Dryodora_glandiformis	Edwardsiella_lineata	Ephydatia_muelleri	Euplectella_aspergillum	Euplokamis_dunlapae	Gorgonia_ventalina	Grantia_compressa	Helobdella_robusta	Homo_sapiens	Hormiphora_californensis	Hyalonema_populiferum	Hydra_magnipapillata	Hydractinia_polyclina	Ircinia_fasciculata	Ixodes_scapularis	Kirkpatrickia_variolosa	Lampea_pancerina	Latrunculia_apicalis	Leuconia_nivea	Leucosolenia_complicata	Liriope_tetraphylla	Lucernariopsis_campanulata	Ministeria_vibrans	Mnemiopsis_leidyi	Monosiga_brevicollis_mx1	Montastraea_faveolata	Mycale_phyllophila	Mylnosiga_fluctuans_19	Nanomia_bijuga	Nematostella_vectensis	Oscarella_carmela	Oscarella_species	Pelagia_noctiluca	Pennatula_rubra	Periphylla_periphylla	Petrosia_ficiformis	Pirum_gemmata	Plakina_jani	Pleraplysilla_spinifera	Pleurobrachia_species	Plumapathes_pennacea	Porites_australiensis	Rossella_fibulata	Saccoglossus_kowalevskii	Salpingoeca_dolichothecata_16	Salpingoeca_helianthica_18	Salpingoeca_infusionum_12	Salpingoeca_macrocollata_06	Salpingoeca_punica_03	Salpingoeca_qvevrii_09	Salpingoeca_roanoka_13	Salpingoeca_rosetta	Salpingoeca_urceolata_04	Sphaeroforma_arctica_JP610	Spongilla_lacustris	Stephanoeca_diplocostata_AUFR	Stomolophus_meleagris	Strongylocentrotus_purpuratus	Sycon_ciliatum	Sycon_coactum	Sympagella_nux	Tribolium_castaneum	Trichoplax_adhaerens	Vallicula_multiformis
Abeoforma_whisleri		0.556666666666667	0.546666666666667	0.0133333333333333	0.00333333333333333	1	0.893333333333333	0	1	1	0.2	0	0.88	1	0.906666666666667	0.33	1	1	1	1	1	0.506666666666667	1	0.243333333333333	0.666666666666667	0.0266666666666667	1	0.0166666666666667	1	1	0	0.0566666666666667	0.486666666666667	0.656666666666667	0.0266666666666667	0.743333333333333	1	0.74	0.74	0.146666666666667	1	1	0.163333333333333	1	0.88	0	0.226666666666667	0	0.0366666666666667	0	0.273333333333333	1	1	0.0166666666666667	0.476666666666667	1	0.213333333333333	0.206666666666667	0	0.513333333333333	0.01	0.00333333333333333	0	1	0.55	1	0.54	0.253333333333333	0.513333333333333	0.893333333333333	1	1	0.06	0	0	0.0266666666666667	1	0.0366666666666667	0.123333333333333	0.346666666666667	0.13	0.246666666666667	0.0233333333333333	0.316666666666667	0.106666666666667	0.0266666666666667	1	1	0.953333333333333	0	1	1	0.523333333333333	1	0	0.106666666666667	0.553333333333333
Acanthoeca_sp_10tr	0.556666666666667		0.513333333333333	0.0133333333333333	0	0.556666666666667	0.54	0	0.556666666666667	0.556666666666667	0.2	0	0.526666666666667	0.556666666666667	0.54	0.33	0.556666666666667	0.556666666666667	0.556666666666667	0.556666666666667	0.556666666666667	0.0633333333333333	0.556666666666667	0.143333333333333	0.543333333333333	0.00333333333333333	0.556666666666667	0.0166666666666667	0.556666666666667	0.556666666666667	0	0.02	0.0433333333333333	0.556666666666667	0.0133333333333333	0.543333333333333	0.556666666666667	0.296666666666667	0.543333333333333	0.0333333333333333	0.556666666666667	0.556666666666667	0.0733333333333333	0.556666666666667	0.526666666666667	0	0.0566666666666667	0	0.0266666666666667	0	0.273333333333333	0.556666666666667	0.556666666666667	0.0166666666666667	0.133333333333333	0.556666666666667	0	0.0666666666666667	0	0.513333333333333	0.01	0.00333333333333333	0	0.556666666666667	0.526666666666667	0.556666666666667	0.513333333333333	0.0433333333333333	0.513333333333333	0.556666666666667	0.556666666666667	0.556666666666667	0	0	0	0.0266666666666667	0.556666666666667	0.0266666666666667	0.05	0.03	0.04	0.0566666666666667	0.00333333333333333	0.06	0.0266666666666667	0.0133333333333333	0.556666666666667	0.556666666666667	0.543333333333333	0	0.556666666666667	0.556666666666667	0.08	0.556666666666667	0	0.0166666666666667	0.2
Acanthoeca_spectabilis_VA_02	0.546666666666667	0.513333333333333		0.0133333333333333	0	0.546666666666667	0.533333333333333	0	0.546666666666667	0.546666666666667	0.2	0	0.533333333333333	0.546666666666667	0.546666666666667	0.313333333333333	0.546666666666667	0.546666666666667	0.546666666666667	0.546666666666667	0.546666666666667	0.0533333333333333	0.546666666666667	0.143333333333333	0.546666666666667	0.02	0.546666666666667	0.0166666666666667	0.546666666666667	0.546666666666667	0	0.02	0.0333333333333333	0.526666666666667	0.0133333333333333	0.526666666666667	0.546666666666667	0.286666666666667	0.526666666666667	0.0333333333333333	0.546666666666667	0.546666666666667	0.0566666666666667	0.546666666666667	0.533333333333333	0	0.0266666666666667	0	0.02	0	0.26	0.546666666666667	0.546666666666667	0.0166666666666667	0.123333333333333	0.546666666666667	0.0133333333333333	0.07	0	0.513333333333333	0.01	0.00333333333333333	0	0.546666666666667	0.526666666666667	0.546666666666667	0.513333333333333	0.0333333333333333	0.513333333333333	0.546666666666667	0.546666666666667	0.546666666666667	0.0133333333333333	0	0	0.0266666666666667	0.546666666666667	0	0.0233333333333333	0.0333333333333333	0.0233333333333333	0.0266666666666667	0.0133333333333333	0.0566666666666667	0.03	0.0266666666666667	0.546666666666667	0.546666666666667	0.546666666666667	0	0.546666666666667	0.546666666666667	0.07	0.546666666666667	0	0.0133333333333333	0.193333333333333
Aiptasia_pallida	0.0133333333333333	0.0133333333333333	0.0133333333333333		0	0.0133333333333333	0.0133333333333333	0	0.0133333333333333	0.0133333333333333	0.0133333333333333	0	0.0133333333333333	0.0133333333333333	0.0133333333333333	0	0.0133333333333333	0.0133333333333333	0.0133333333333333	0.0133333333333333	0.0133333333333333	0.0133333333333333	0.0133333333333333	0.0133333333333333	0.0133333333333333	0	0.0133333333333333	0.0133333333333333	0.0133333333333333	0.0133333333333333	0	0	0	0.0133333333333333	0	0.0133333333333333	0.0133333333333333	0	0.0133333333333333	0	0.0133333333333333	0.0133333333333333	0	0.0133333333333333	0.0133333333333333	0	0	0	0.0133333333333333	0	0.0133333333333333	0.0133333333333333	0.0133333333333333	0.0133333333333333	0	0.0133333333333333	0	0	0	0.0133333333333333	0	0	0	0.0133333333333333	0.0133333333333333	0.0133333333333333	0.0133333333333333	0	0.0133333333333333	0.0133333333333333	0.0133333333333333	0.0133333333333333	0	0	0	0.0133333333333333	0.0133333333333333	0	0	0	0	0	0	0	0	0	0.0133333333333333	0.0133333333333333	0.0133333333333333	0	0.0133333333333333	0.0133333333333333	0	0.0133333333333333	0	0	0
Alatina_alata	0.00333333333333333	0	0	0		0.00333333333333333	0	0	0.00333333333333333	0.00333333333333333	0	0	0	0.00333333333333333	0	0	0.00333333333333333	0.00333333333333333	0.00333333333333333	0.00333333333333333	0.00333333333333333	0.00333333333333333	0.00333333333333333	0	0.00333333333333333	0	0.00333333333333333	0	0.00333333333333333	0.00333333333333333	0	0.00333333333333333	0.00333333333333333	0.00333333333333333	0	0.00333333333333333	0.00333333333333333	0.00333333333333333	0.00333333333333333	0.00333333333333333	0.00333333333333333	0.00333333333333333	0.00333333333333333	0.00333333333333333	0	0	0.00333333333333333	0	0	0	0	0.00333333333333333	0.00333333333333333	0	0	0.00333333333333333	0	0.00333333333333333	0	0	0	0	0	0.00333333333333333	0	0.00333333333333333	0	0.00333333333333333	0	0.00333333333333333	0.00333333333333333	0.00333333333333333	0.00333333333333333	0	0	0	0.00333333333333333	0	0	0.00333333333333333	0.00333333333333333	0.00333333333333333	0	0.00333333333333333	0.00333333333333333	0	0.00333333333333333	0.00333333333333333	0.00333333333333333	0	0.00333333333333333	0.00333333333333333	0.00333333333333333	0.00333333333333333	0	0.00333333333333333	0
Amoebidium_parasiticum_JAP72	1	0.556666666666667	0.546666666666667	0.0133333333333333	0.00333333333333333		0.893333333333333	0	1	1	0.2	0	0.88	1	0.906666666666667	0.33	1	1	1	1	1	0.506666666666667	1	0.243333333333333	0.666666666666667	0.0266666666666667	1	0.0166666666666667	1	1	0	0.0566666666666667	0.486666666666667	0.656666666666667	0.0266666666666667	0.743333333333333	1	0.74	0.74	0.146666666666667	1	1	0.163333333333333	1	0.88	0	0.226666666666667	0	0.0366666666666667	0	0.273333333333333	1	1	0.0166666666666667	0.476666666666667	1	0.213333333333333	0.206666666666667	0	0.513333333333333	0.01	0.00333333333333333	0	1	0.55	1	0.54	0.253333333333333	0.513333333333333	0.893333333333333	1	1	0.06	0	0	0.0266666666666667	1	0.0366666666666667	0.123333333333333	0.346666666666667	0.13	0.246666666666667	0.0233333333333333	0.316666666666667	0.106666666666667	0.0266666666666667	1	1	0.953333333333333	0	1	1	0.523333333333333	1	0	0.106666666666667	0.553333333333333
Amphimedon_queenslandica	0.893333333333333	0.54	0.533333333333333	0.0133333333333333	0	0.893333333333333		0	0.893333333333333	0.893333333333333	0.2	0	0.88	0.893333333333333	0.893333333333333	0.33	0.893333333333333	0.893333333333333	0.893333333333333	0.893333333333333	0.893333333333333	0.4	0.893333333333333	0.243333333333333	0.56	0.00666666666666667	0.893333333333333	0.0166666666666667	0.893333333333333	0.893333333333333	0	0.02	0.38	0.55	0.0133333333333333	0.636666666666667	0.893333333333333	0.633333333333333	0.633333333333333	0.0866666666666667	0.893333333333333	0.893333333333333	0.0566666666666667	0.893333333333333	0.88	0	0.12	0	0.0266666666666667	0	0.273333333333333	0.893333333333333	0.893333333333333	0.0166666666666667	0.423333333333333	0.893333333333333	0.2	0.123333333333333	0	0.513333333333333	0.01	0.00333333333333333	0	0.893333333333333	0.536666666666667	0.893333333333333	0.54	0.146666666666667	0.513333333333333	0.786666666666667	0.893333333333333	0.893333333333333	0.00666666666666667	0	0	0.0266666666666667	0.893333333333333	0.0366666666666667	0.123333333333333	0.24	0.0233333333333333	0.14	0.00333333333333333	0.21	0.0533333333333333	0.0133333333333333	0.893333333333333	0.893333333333333	0.893333333333333	0	0.893333333333333	0.893333333333333	0.416666666666667	0.893333333333333	0	0	0.553333333333333
Antipathes_caribbeana	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aphrocallistes_vastus	1	0.556666666666667	0.546666666666667	0.0133333333333333	0.00333333333333333	1	0.893333333333333	0		1	0.2	0	0.88	1	0.906666666666667	0.33	1	1	1	1	1	0.506666666666667	1	0.243333333333333	0.666666666666667	0.0266666666666667	1	0.0166666666666667	1	1	0	0.0566666666666667	0.486666666666667	0.656666666666667	0.0266666666666667	0.743333333333333	1	0.74	0.74	0.146666666666667	1	1	0.163333333333333	1	0.88	0	0.226666666666667	0	0.0366666666666667	0	0.273333333333333	1	1	0.0166666666666667	0.476666666666667	1	0.213333333333333	0.206666666666667	0	0.513333333333333	0.01	0.00333333333333333	0	1	0.55	1	0.54	0.253333333333333	0.513333333333333	0.893333333333333	1	1	0.06	0	0	0.0266666666666667	1	0.0366666666666667	0.123333333333333	0.346666666666667	0.13	0.246666666666667	0.0233333333333333	0.316666666666667	0.106666666666667	0.0266666666666667	1	1	0.953333333333333	0	1	1	0.523333333333333	1	0	0.106666666666667	0.553333333333333
Aplysia_californica	1	0.556666666666667	0.546666666666667	0.0133333333333333	0.00333333333333333	1	0.893333333333333	0	1		0.2	0	0.88	1	0.906666666666667	0.33	1	1	1	1	1	0.506666666666667	1	0.243333333333333	0.666666666666667	0.0266666666666667	1	0.0166666666666667	1	1	0	0.0566666666666667	0.486666666666667	0.656666666666667	0.0266666666666667	0.743333333333333	1	0.74	0.74	0.146666666666667	1	1	0.163333333333333	1	0.88	0	0.226666666666667	0	0.0366666666666667	0	0.273333333333333	1	1	0.0166666666666667	0.476666666666667	1	0.213333333333333	0.206666666666667	0	0.513333333333333	0.01	0.00333333333333333	0	1	0.55	1	0.54	0.253333333333333	0.513333333333333	0.893333333333333	1	1	0.06	0	0	0.0266666666666667	1	0.0366666666666667	0.123333333333333	0.346666666666667	0.13	0.246666666666667	0.0233333333333333	0.316666666666667	0.106666666666667	0.0266666666666667	1	1	0.953333333333333	0	1	1	0.523333333333333	1	0	0.106666666666667	0.553333333333333
