	Abeoforma_whisleri	Acanthoeca_sp_10tr	Acanthoeca_spectabilis_VA_02	Aiptasia_pallida	Alatina_alata	Amoebidium_parasiticum_JAP72	Amphimedon_queenslandica	Antipathes_caribbeana	Aphrocallistes_vastus	Aplysia_californica	Atolla_vanhoeffeni	Aurelia_aurita	Beroe_abyssicola	Beroe_sp	Bolinopsis_infundibulum	Bolocera_tuedia	Branchiostoma_floridae	Capitella_teleta	Capsaspora_owczarzaki_atcc30864	Cestum_veneris	Choanoeca_perplexa_11	Chondrilla_nucula	Clathrina_coriacea	Clytia_hemisphaerica	Codosiga_hollandica_17	Coeloplana_species	Corticium_candelabrum	Craspedacusta_sowerbyi	Crassostrea_gigas	Creolimax_fragrantissima	Daphnia_pulex	Diaphanoeca_grandis_RI_01	Didymoeca_costata_10	Dryodora_glandiformis	Edwardsiella_lineata	Ephydatia_muelleri	Euplectella_aspergillum	Euplokamis_dunlapae	Gorgonia_ventalina	Grantia_compressa	Helobdella_robusta	Homo_sapiens	Hormiphora_californensis	Hyalonema_populiferum	Hydra_magnipapillata	Hydractinia_polyclina	Ircinia_fasciculata	Ixodes_scapularis	Kirkpatrickia_variolosa	Lampea_pancerina	Latrunculia_apicalis	Leuconia_nivea	Leucosolenia_complicata	Liriope_tetraphylla	Lucernariopsis_campanulata	Ministeria_vibrans	Mnemiopsis_leidyi	Monosiga_brevicollis_mx1	Montastraea_faveolata	Mycale_phyllophila	Mylnosiga_fluctuans_19	Nanomia_bijuga	Nematostella_vectensis	Oscarella_carmela	Oscarella_species	Pelagia_noctiluca	Pennatula_rubra	Periphylla_periphylla	Petrosia_ficiformis	Pirum_gemmata	Plakina_jani	Pleraplysilla_spinifera	Pleurobrachia_species	Plumapathes_pennacea	Porites_australiensis	Rossella_fibulata	Saccoglossus_kowalevskii	Salpingoeca_dolichothecata_16	Salpingoeca_helianthica_18	Salpingoeca_infusionum_12	Salpingoeca_macrocollata_06	Salpingoeca_punica_03	Salpingoeca_qvevrii_09	Salpingoeca_roanoka_13	Salpingoeca_rosetta	Salpingoeca_urceolata_04	Sphaeroforma_arctica_JP610	Spongilla_lacustris	Stephanoeca_diplocostata_AUFR	Stomolophus_meleagris	Strongylocentrotus_purpuratus	Sycon_ciliatum	Sycon_coactum	Sympagella_nux	Tribolium_castaneum	Trichoplax_adhaerens	Vallicula_multiformis
Abeoforma_whisleri		0	0	0	0	0.0689655172413793	0	0	0.0689655172413793	0	0	0	0	0	0	0	0	0	0.0344827586206897	0	0	0	0	0	0.0431034482758621	0	0.0431034482758621	0	0	0	0	0	0	0	0	0	0	0	0	0.0474137931034483	0	0	0	0	0	0	0	0	0.0646551724137931	0	0	0	0.0431034482758621	0	0	0.0344827586206897	0	0	0	0.0689655172413793	0.0344827586206897	0	0	0.0689655172413793	0	0	0.021551724137931	0.0689655172413793	0	0.0689655172413793	0.0689655172413793	0	0	0	0	0	0	0	0.0387931034482759	0	0.0344827586206897	0	0.0344827586206897	0	0	0	0	0.0689655172413793	0	0	0	0	0	0	0	0	0
Acanthoeca_sp_10tr	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acanthoeca_spectabilis_VA_02	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aiptasia_pallida	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alatina_alata	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amoebidium_parasiticum_JAP72	0.0689655172413793	0	0	0	0		0	0	1	0	0	0.00431034482758621	0	0.224137931034483	0.120689655172414	0	0	0	0.112068965517241	0.0387931034482759	0	0.0603448275862069	0.0646551724137931	0.0560344827586207	0.0646551724137931	0.00862068965517241	0.5	0	0	0	0.00431034482758621	0	0	0	0	0.21551724137931	0.0517241379310345	0	0.0129310344827586	0.0732758620689655	0	0	0.181034482758621	0.0344827586206897	0.271551724137931	0.0387931034482759	0	0	0.0905172413793103	0	0	0.0129310344827586	0.0689655172413793	0.0732758620689655	0.0689655172413793	0.637931034482759	0	0.288793103448276	0	0.392241379310345	0.0560344827586207	0.0603448275862069	0.0474137931034483	0.357758620689655	0	0.00431034482758621	0.0646551724137931	0.353448275862069	0	1	1	0.392241379310345	0	0	0.0474137931034483	0.0775862068965517	0	0	0.0387931034482759	0	0.0344827586206897	0	0.0517241379310345	0	0	0	0	0.202586206896552	0	0.00431034482758621	0.0474137931034483	0.0948275862068965	0.0301724137931034	0.0775862068965517	0	0.0560344827586207	0.0646551724137931
Amphimedon_queenslandica	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Antipathes_caribbeana	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aphrocallistes_vastus	0.0689655172413793	0	0	0	0	1	0	0		0	0	0.00431034482758621	0	0.224137931034483	0.120689655172414	0	0	0	0.112068965517241	0.0387931034482759	0	0.0603448275862069	0.0646551724137931	0.0560344827586207	0.0646551724137931	0.00862068965517241	0.5	0	0	0	0.00431034482758621	0	0	0	0	0.21551724137931	0.0517241379310345	0	0.0129310344827586	0.0732758620689655	0	0	0.181034482758621	0.0344827586206897	0.271551724137931	0.0387931034482759	0	0	0.0905172413793103	0	0	0.0129310344827586	0.0689655172413793	0.0732758620689655	0.0689655172413793	0.637931034482759	0	0.288793103448276	0	0.392241379310345	0.0560344827586207	0.0603448275862069	0.0474137931034483	0.357758620689655	0	0.00431034482758621	0.0646551724137931	0.353448275862069	0	1	1	0.392241379310345	0	0	0.0474137931034483	0.0775862068965517	0	0	0.0387931034482759	0	0.0344827586206897	0	0.0517241379310345	0	0	0	0	0.202586206896552	0	0.00431034482758621	0.0474137931034483	0.0948275862068965	0.0301724137931034	0.0775862068965517	0	0.0560344827586207	0.0646551724137931
Aplysia_californica	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
