	Abeoforma_whisleri	Acanthoeca_sp_10tr	Acanthoeca_spectabilis_VA_02	Aiptasia_pallida	Alatina_alata	Amoebidium_parasiticum_JAP72	Amphimedon_queenslandica	Antipathes_caribbeana	Aphrocallistes_vastus	Aplysia_californica	Atolla_vanhoeffeni	Aurelia_aurita	Beroe_abyssicola	Beroe_sp	Bolinopsis_infundibulum	Bolocera_tuedia	Branchiostoma_floridae	Capitella_teleta	Capsaspora_owczarzaki_atcc30864	Cestum_veneris	Choanoeca_perplexa_11	Chondrilla_nucula	Clathrina_coriacea	Clytia_hemisphaerica	Codosiga_hollandica_17	Coeloplana_species	Corticium_candelabrum	Craspedacusta_sowerbyi	Crassostrea_gigas	Creolimax_fragrantissima	Daphnia_pulex	Diaphanoeca_grandis_RI_01	Didymoeca_costata_10	Dryodora_glandiformis	Edwardsiella_lineata	Ephydatia_muelleri	Euplectella_aspergillum	Euplokamis_dunlapae	Gorgonia_ventalina	Grantia_compressa	Helobdella_robusta	Homo_sapiens	Hormiphora_californensis	Hyalonema_populiferum	Hydra_magnipapillata	Hydractinia_polyclina	Ircinia_fasciculata	Ixodes_scapularis	Kirkpatrickia_variolosa	Lampea_pancerina	Latrunculia_apicalis	Leuconia_nivea	Leucosolenia_complicata	Liriope_tetraphylla	Lucernariopsis_campanulata	Ministeria_vibrans	Mnemiopsis_leidyi	Monosiga_brevicollis_mx1	Montastraea_faveolata	Mycale_phyllophila	Mylnosiga_fluctuans_19	Nanomia_bijuga	Nematostella_vectensis	Oscarella_carmela	Oscarella_species	Pelagia_noctiluca	Pennatula_rubra	Periphylla_periphylla	Petrosia_ficiformis	Pirum_gemmata	Plakina_jani	Pleraplysilla_spinifera	Pleurobrachia_species	Plumapathes_pennacea	Porites_australiensis	Rossella_fibulata	Saccoglossus_kowalevskii	Salpingoeca_dolichothecata_16	Salpingoeca_helianthica_18	Salpingoeca_infusionum_12	Salpingoeca_macrocollata_06	Salpingoeca_punica_03	Salpingoeca_qvevrii_09	Salpingoeca_roanoka_13	Salpingoeca_rosetta	Salpingoeca_urceolata_04	Sphaeroforma_arctica_JP610	Spongilla_lacustris	Stephanoeca_diplocostata_AUFR	Stomolophus_meleagris	Strongylocentrotus_purpuratus	Sycon_ciliatum	Sycon_coactum	Sympagella_nux	Tribolium_castaneum	Trichoplax_adhaerens	Vallicula_multiformis
Abeoforma_whisleri		0.26378376225002	0.234246773165485	0.192365150187236	0.246302585451358	0.51338289777707	0.168559776113457	0.26504362202215	0.467696797067963	0.0798840729822325	0.453014202055613	0.219643853079436	0.198054437893395	0.569309716357262	0.396990279658991	0.415248286989085	0.129914947016174	0.0733308102940005	0.275523364672138	0.46348647518126	0.214694048283005	0.443530395984384	0.553892618118078	0.307941100310732	0.268541849255039	0.0857401800653334	0.376389331527368	0.243314775715082	0.124392478686957	0.571799557804159	0.178753186997052	0.234834375746952	0.244338100549757	0.276128396143734	0.276145825033862	0.280953708867819	0.378520635805912	0.364216496693491	0.308548621623775	0.463937136483149	0.174286411441319	0.128356306270417	0.176457553183013	0.603744223567843	0.253020177675086	0.198358198549916	0.450419787267947	0.295098498127639	0.305827224922317	0.0918153931957613	0.356697175523863	0.496815492789419	0.49917337263963	0.277836427376305	0.298915425065732	0.582179706796271	0.0660131662815712	0.270929607202613	0.20507081109075	0.321607840012748	0.252589435104773	0.203708867819297	0.27356385945343	0.3793323241176	0.195265815472871	0.34801011871564	0.609152159190503	0.510589295673652	0.233723906461637	0.596640705919847	0.364901203091387	0.387680762489045	0.0766447892598199	0.272545514301649	0.265384730300374	0.347026631344116	0.0753824396462433	0.206923253127241	0.229986654449845	0.244890845350968	0.203629192892997	0.249504521552068	0.207724982073142	0.193199247071946	0.218555792367142	0.213511373595729	0.566550972034101	0.353863735957294	0.210765078479802	0.216158075053781	0.135957792207792	0.475387917297427	0.497811429368178	0.31404868137997	0.187512449207234	0.117376105489602	0.0805115130268504
Acanthoeca_sp_10tr	0.26378376225002		0.232912218149948	0.0858547127718907	0.120503346346905	0.225255955700741	0.0869602023743128	0.120605429846227	0.218909349852601	0.0470505338220062	0.215906601067644	0.111191339335511	0.0960207353995698	0.271679049478129	0.193684766154091	0.194498944307227	0.0646711417416939	0.0413413273842722	0.129807883833957	0.233285694366983	0.148215281650864	0.2051106485539	0.256993964624333	0.145145307146841	0.172102820492391	0.0443017488646323	0.182697095848936	0.112812226117441	0.0674946219424747	0.262837622500199	0.0833001354473747	0.208860349772926	0.201786710222293	0.139358915624253	0.129875109553024	0.12950910286033	0.202805055374074	0.181350091626165	0.147326408254322	0.210797446418612	0.0920618874990041	0.0712791809417576	0.0883968408891722	0.286894470560115	0.120784698430404	0.0952538642339256	0.205703230818262	0.137110588797705	0.152836427376305	0.0487361564815553	0.184298063899291	0.22946876742889	0.228246255278464	0.136998545932595	0.140626244920723	0.280555334236316	0.0325721058083021	0.16942375109553	0.0902044657796192	0.164887259979285	0.164984363795713	0.0976715002788622	0.116432455581229	0.184200960082862	0.111066847263166	0.159456915783603	0.28727541630149	0.23982650784798	0.11864592462752	0.262693211696279	0.169822125727034	0.176447593817226	0.0421679547446419	0.118762947175524	0.118964624332722	0.183155226675165	0.0400167317345231	0.140138235997132	0.15484572942395	0.161125109553024	0.142802366345311	0.158976376384352	0.138918213688152	0.131936698271054	0.133931061270018	0.145436618596128	0.262137977053621	0.169177256792287	0.197952354394072	0.102738327623297	0.0635855708708469	0.218575711098717	0.230310333837941	0.162905346187555	0.0937300812684248	0.0661127599394471	0.0426136363636364
Acanthoeca_spectabilis_VA_02	0.234246773165485	0.232912218149948		0.0775162337662338	0.0998824794837065	0.205887479085332	0.0799214206039359	0.106859015217911	0.196214445064138	0.0420882798183412	0.188906760417497	0.0903389172177516	0.0847691419010437	0.23546181579157	0.165698948290973	0.166617699784878	0.0582050235041033	0.0355524460202374	0.118235100788782	0.203656581148912	0.137815213927177	0.177406182774281	0.220448071866784	0.122226316628157	0.155605131065254	0.041129690861286	0.156810214325552	0.0987869492470719	0.0580929806389929	0.233888235997132	0.0774415385228269	0.198470241415027	0.18940970838977	0.121815492789419	0.108910644570154	0.113427216954824	0.177590431041351	0.15498267070353	0.123799896422596	0.18222900565692	0.0812360568878974	0.0668821209465381	0.0798815831407856	0.24830690781611	0.109092402995777	0.0861435343797307	0.180005577244841	0.122968289379332	0.128575412317744	0.0445283244362999	0.15531132977452	0.197539040713887	0.197148135606725	0.118058322046052	0.124574237112581	0.242127121344913	0.0271442514540674	0.152916102302605	0.0792815313520835	0.136525476057685	0.152370827025735	0.0885860688391363	0.103191478766632	0.157330591187953	0.0918925782806151	0.13344803202932	0.248914429129153	0.205698251135368	0.10248685363716	0.232239960959286	0.147684945422675	0.155373575810692	0.0361549876503864	0.103627201019839	0.105604135128675	0.151790693968608	0.0359582901760816	0.128645127878257	0.142707752370329	0.151285256154888	0.130751533742331	0.145832503386184	0.130101685124691	0.122470321089953	0.123055433829974	0.132910226276791	0.232994382917696	0.148436877539638	0.19248217273524	0.083581487530874	0.056018942713728	0.189514281730539	0.197257688630388	0.147124731097124	0.0821398693331209	0.0575477053621225	0.0391178989721934
Aiptasia_pallida	0.192365150187236	0.0858547127718907	0.0775162337662338		0.101622878655087	0.16786760019122	0.0675294797227313	0.197252708947494	0.182194147876663	0.029803402119353	0.175220101983906	0.0882972472312963	0.0730220699545853	0.221073022069955	0.154940343398932	0.235180463708071	0.0494756393912836	0.0257350011951239	0.0823515058561071	0.178541550474066	0.0733681579157039	0.171027208987332	0.213780276471994	0.127029220779221	0.0979204844235519	0.0283841924946219	0.138298243167875	0.0922038084614772	0.0409504222771094	0.19695143813242	0.0591785515098399	0.0794881881921759	0.0821473388574616	0.106380965660107	0.224924806788304	0.107877360369692	0.154006652856346	0.139824515974823	0.175648354712772	0.184009242291451	0.0602292646004302	0.049224165405147	0.0660032069157836	0.22835331846068	0.0951418213688152	0.0793064297665525	0.168049358616843	0.100646860807904	0.116773563859453	0.0373277029718748	0.141549976097522	0.198014600430245	0.205852621305075	0.111285953310493	0.116835809895626	0.204630109154649	0.0236036969165804	0.0891861206278384	0.149041909011234	0.120993845111943	0.0947309975300773	0.0827598398533981	0.21489074575731	0.142553382200621	0.0724593657875866	0.135711297904549	0.24642956736515	0.195285734204446	0.0935856704645048	0.195382838020875	0.13839036730141	0.153892120149789	0.027684547048044	0.198918412875468	0.177488347542029	0.130684308023265	0.030189327543622	0.0758331009481316	0.0747525097601785	0.0829241693888933	0.0682216556449685	0.0859294080152976	0.0734279141104295	0.0655201776750857	0.0731938690144212	0.0662123535973229	0.197501693092184	0.134267189865349	0.0660305951716995	0.0946040156162856	0.052789618357103	0.19493715640188	0.196070034260218	0.117184387698191	0.0608093976575572	0.0415728826388336	0.0283966417018564
Alatina_alata	0.246302585451358	0.120503346346905	0.0998824794837065	0.101622878655087		0.210426460043024	0.0788557684646642	0.120752330491594	0.221463927177117	0.0421430563301729	0.268641442912915	0.181086168432794	0.0996135766074416	0.274275954107242	0.197115767667915	0.203818420842961	0.065657118954665	0.0371359851804637	0.105360130666879	0.23185154569357	0.0959584893633973	0.216994661779938	0.257800673253127	0.190883694526333	0.120336526969963	0.0434303043582185	0.190970838976974	0.179470261333758	0.0548512070751335	0.245448569835073	0.0772025137439248	0.104043004541471	0.105502051629352	0.133594932674687	0.142585750139431	0.145907198629591	0.188376424189308	0.175065731814198	0.154434905585212	0.224349653414071	0.0806111066847263	0.063391363237989	0.0888499920325074	0.28644878894112	0.14571548083818	0.143270456537328	0.221217432873875	0.136804338299737	0.165801031790296	0.0443913831567206	0.183309596844873	0.243603597322922	0.243551310652538	0.188192175922237	0.218959146681539	0.260380148992112	0.0330401960003187	0.115727830451757	0.100014441080392	0.165183551111465	0.111746573978169	0.139861863596526	0.127385268106127	0.200726037765915	0.107929647040076	0.233325531830133	0.296652159190503	0.282599494064218	0.122154111226197	0.255012050832603	0.190771651661222	0.193199247071946	0.0379949804796431	0.12771143733567	0.127445024300853	0.17414947016174	0.0361475181260457	0.0982018365070512	0.0972357780256553	0.10572862720102	0.0934885666480759	0.110924926300693	0.0937649390486814	0.085677934029161	0.0935732212572703	0.0931300294797227	0.243230121105888	0.178937435264122	0.0869626922157597	0.192063879372162	0.0747350808700502	0.230746056091148	0.240575950123496	0.150742470719465	0.0926395307146841	0.0566638116484742	0.0404325352561549
Amoebidium_parasiticum_JAP72	0.51338289777707	0.225255955700741	0.205887479085332	0.16786760019122	0.210426460043024		0.138958051151303	0.226423691339336	0.404758584973309	0.0672182495418692	0.396761214245877	0.19042058401721	0.171520197593817	0.49072534061031	0.342124133535176	0.354301948051948	0.108933053143176	0.0631448689347462	0.258756772368736	0.405358636762011	0.189342482670704	0.38124203250737	0.479102760736196	0.27226416221815	0.238907756354075	0.073704286511035	0.323778981754442	0.215309039120389	0.104802406182774	0.516291032587045	0.162917795394789	0.206181280376066	0.216389630308342	0.240443988526811	0.236440323480201	0.239739363397339	0.324065313520835	0.313483487371524	0.269722034100868	0.393439765755717	0.150921739303641	0.11017299418373	0.152841407059198	0.520454047486256	0.222245737391443	0.176375388415266	0.388666739702016	0.261595191618198	0.269814158234404	0.0789279738666242	0.308309596844873	0.430306848059916	0.4313625408334	0.244619452633256	0.256710122699386	0.507190662098638	0.0558695522269142	0.240705421878735	0.169752410166521	0.283119870926619	0.2367216755637	0.180013046769182	0.232720500358537	0.320360429447853	0.170648753087403	0.301721476376384	0.527664628316469	0.442536949247072	0.202386762010995	0.516726754840252	0.308824994024381	0.339084037128516	0.0643673810851725	0.23199595649749	0.218197255198789	0.300967054417975	0.0668920803123257	0.191060473269062	0.199677814516772	0.213312186279978	0.186660923432396	0.2299418373038	0.186708230419887	0.169471058083021	0.185684905585212	0.187131503465859	0.513721516213848	0.308080531431758	0.18580690781611	0.188239482909728	0.110125687196239	0.402943490558521	0.433214982869891	0.269537785833798	0.160906003505697	0.101695084057047	0.0707837024938252
Amphimedon_queenslandica	0.168559776113457	0.0869602023743128	0.0799214206039359	0.0675294797227313	0.0788557684646642	0.138958051151303		0.084378236793881	0.142986614612381	0.0311429368177834	0.13701846466417	0.0726660226276791	0.0619621942474703	0.173153533582981	0.120590490797546	0.13449127559557	0.0375567683849892	0.0226301689108438	0.0806484543064298	0.144746932515337	0.0724170384829894	0.159180543382997	0.167143056330173	0.0917083300135447	0.0840744761373596	0.0278314476934109	0.112625488008924	0.0727905147000239	0.0420957493426819	0.165985280057366	0.0559741255676839	0.0772498207314158	0.0790425065731814	0.0805164927097442	0.0885337821687515	0.107598498127639	0.129314895227472	0.114089514779699	0.0970116922954346	0.133714445064138	0.0586507051230978	0.0433033224444267	0.0570746354872122	0.184400147398614	0.0783080033463469	0.0614567564337503	0.153999183332005	0.0914244880885985	0.116561927336467	0.0309586885507131	0.138611963190184	0.147017667914907	0.14744841048522	0.0874656401880328	0.0948554896024221	0.177473408493347	0.0225978009720341	0.090617779459804	0.0673477212971078	0.122744203649112	0.0771203489761772	0.0644370966456856	0.0879262608557087	0.123334296072026	0.0660729224762967	0.106383455501554	0.190213927177117	0.159270177675086	0.116066448888535	0.160422974264999	0.111146522189467	0.141547486256075	0.0257847980240618	0.0863203131224604	0.0819332124930284	0.113427216954824	0.026598976177197	0.0646885706318222	0.0699769938650307	0.0820701537726078	0.0631000517887021	0.0762414349454227	0.0677261771970361	0.0677137279898016	0.0755392996573978	0.0632170743367062	0.167364652218947	0.133545135845749	0.0684656601067644	0.069414289698032	0.0491619193689746	0.141223806867979	0.150090132260378	0.102377300613497	0.0698276033782169	0.0401312644410804	0.0265168114094494
Antipathes_caribbeana	0.26504362202215	0.120605429846227	0.106859015217911	0.197252708947494	0.120752330491594	0.226423691339336	0.084378236793881		0.242801868377022	0.0361126603457892	0.231784319974504	0.115770157756354	0.102451995856904	0.301706537327703	0.207528284598837	0.271609333917616	0.0645740379252649	0.0358313082622899	0.111547386662417	0.237725081666799	0.0991529559397658	0.230385029081348	0.287581666799458	0.158931559238308	0.127982830053382	0.0386547884630707	0.193371046131782	0.127484861764003	0.0606500478049558	0.270249880487611	0.0752728866225799	0.104234722332882	0.110456836108677	0.14285963269859	0.249912855549359	0.147846785116724	0.20070611903434	0.189066110270098	0.254755597163573	0.241950342602183	0.0746877738825592	0.0609139709983268	0.0880308341964784	0.312609553023663	0.12593867022548	0.101954027567525	0.236228686957215	0.132486953230818	0.160933391761613	0.0439606405864075	0.191785017130109	0.257464544657796	0.267473707274321	0.139109931479563	0.151120926619393	0.286394012429289	0.032696597880647	0.116166042546411	0.207993884949406	0.167598697314955	0.123466257668712	0.10981196717393	0.241728746713409	0.195567086287945	0.100758903673014	0.179007150824635	0.33584724324755	0.260950322683452	0.122042068361087	0.269582602979842	0.180426360449367	0.20875328659071	0.0381667795394789	0.301761313839535	0.243785355748546	0.177321528165086	0.0427406182774281	0.0969096087961119	0.101055194805195	0.10998874591666	0.0957891801450084	0.119537287865509	0.0970814078559477	0.0901969962552785	0.103898593737551	0.0924129551430165	0.269908772209386	0.184801011871564	0.0928959843837144	0.119527328499721	0.0699296868775396	0.257813122460362	0.255948231216636	0.158555593179826	0.0811090749741056	0.0507056210660505	0.0413637359572942
Aphrocallistes_vastus	0.467696797067963	0.218909349852601	0.196214445064138	0.182194147876663	0.221463927177117	0.404758584973309	0.142986614612381	0.242801868377022		0.07119701617401	0.398877579475739	0.199630507529281	0.175506433750299	0.509063022866704	0.362047844793244	0.375824137518923	0.115747749183332	0.0631398892518524	0.204906481555255	0.425690682017369	0.180132559158633	0.406887399410406	0.496402179109234	0.26963239980878	0.230795852920086	0.0801828539558601	0.340742271532149	0.216999641462832	0.10082612939208	0.471073022069955	0.146407656760418	0.197728268663851	0.201978428013704	0.24859572942395	0.256560732212573	0.249795833001354	0.38206865986774	0.324969125966058	0.281043343159908	0.42454286511035	0.147371225400367	0.116293024460202	0.15675543781372	0.548185901521791	0.217173930364114	0.176407756354075	0.416047526093538	0.253388674209226	0.282460062943192	0.0843035415504741	0.335030575252968	0.456124014022787	0.463488965022707	0.243616046530157	0.274014520755318	0.49841148115688	0.0585386622579874	0.231572683451518	0.182360967253605	0.295023802884232	0.223532985419488	0.176325591586328	0.243431798263087	0.34205690781611	0.176340530635009	0.306957612939208	0.545110947334874	0.457550693171859	0.21344663771811	0.471862301808621	0.319117998565851	0.361482650784798	0.070089036730141	0.250286331766393	0.239584993227631	0.337458170663692	0.0686972153613258	0.183852382280296	0.192798382598996	0.209918532387858	0.175150386423393	0.21312544817146	0.173942813321648	0.167272528085412	0.189651223010119	0.179318381005498	0.468458688550713	0.320310632618915	0.174632499402438	0.199570751334555	0.120570572065971	0.43890427057605	0.44359762170345	0.348234204445861	0.153541052505776	0.0994243486574775	0.0747350808700502
Aplysia_californica	0.0798840729822325	0.0470505338220062	0.0420882798183412	0.029803402119353	0.0421430563301729	0.0672182495418692	0.0311429368177834	0.0361126603457892	0.07119701617401		0.0679403035614692	0.0366380168910844	0.0338444147876663	0.0858895705521472	0.0648977173133615	0.0663019878894112	0.0333265277667118	0.0279932873874592	0.0402632260377659	0.0738312684248267	0.037875468090192	0.064957473508087	0.080377061588718	0.0434327941996654	0.0451209067006613	0.0149166401083579	0.0579958768225639	0.0386000119512389	0.0395212532865907	0.081029400047805	0.035803920006374	0.0434626722970281	0.042912417337264	0.0451682136881523	0.0439606405864075	0.0417048442355191	0.0663617440841367	0.0573261094733487	0.0479020595968449	0.0606276392319337	0.0458105927814517	0.0348677396223408	0.0288622420524261	0.0927490837383475	0.0415654131144929	0.0277467930842164	0.0662920285236236	0.0531431758425623	0.0481983507290256	0.016480260537009	0.053392159987252	0.067873077842403	0.0680075292805354	0.0459525137439248	0.047802465938969	0.0825980001593499	0.0112092661939288	0.0445407736435344	0.0307296231375986	0.0497744203649112	0.0414832483467453	0.0331870966456856	0.0388738945103976	0.0553242769500438	0.0320666679945821	0.0493611066847263	0.0897463349533902	0.0794010437415345	0.0379675922237272	0.0786690303561469	0.0506359055055374	0.0567484662576687	0.0134003266671978	0.0361699266990678	0.0399295872838818	0.0557251414229942	0.0258893713648315	0.0326941080392001	0.0394490478846307	0.0402208987331687	0.0327837423312883	0.0393071269221576	0.0317205800334635	0.031852541630149	0.0355225679228747	0.0319820133853876	0.0815547565931001	0.0586507051230978	0.0399594653812445	0.0349573739144291	0.0326642299418373	0.0681245518285396	0.0655724643454705	0.054716755637001	0.0406815194008446	0.0241464823520038	0.0147149629511593
