	Abeoforma_whisleri	Acanthoeca_sp_10tr	Acanthoeca_spectabilis_VA_02	Aiptasia_pallida	Alatina_alata	Amoebidium_parasiticum_JAP72	Amphimedon_queenslandica	Antipathes_caribbeana	Aphrocallistes_vastus	Aplysia_californica	Atolla_vanhoeffeni	Aurelia_aurita	Beroe_abyssicola	Beroe_sp	Bolinopsis_infundibulum	Bolocera_tuedia	Branchiostoma_floridae	Capitella_teleta	Capsaspora_owczarzaki_atcc30864	Cestum_veneris	Choanoeca_perplexa_11	Chondrilla_nucula	Clathrina_coriacea	Clytia_hemisphaerica	Codosiga_hollandica_17	Coeloplana_species	Corticium_candelabrum	Craspedacusta_sowerbyi	Crassostrea_gigas	Creolimax_fragrantissima	Daphnia_pulex	Diaphanoeca_grandis_RI_01	Didymoeca_costata_10	Dryodora_glandiformis	Edwardsiella_lineata	Ephydatia_muelleri	Euplectella_aspergillum	Euplokamis_dunlapae	Gorgonia_ventalina	Grantia_compressa	Helobdella_robusta	Homo_sapiens	Hormiphora_californensis	Hyalonema_populiferum	Hydra_magnipapillata	Hydractinia_polyclina	Ircinia_fasciculata	Ixodes_scapularis	Kirkpatrickia_variolosa	Lampea_pancerina	Latrunculia_apicalis	Leuconia_nivea	Leucosolenia_complicata	Liriope_tetraphylla	Lucernariopsis_campanulata	Ministeria_vibrans	Mnemiopsis_leidyi	Monosiga_brevicollis_mx1	Montastraea_faveolata	Mycale_phyllophila	Mylnosiga_fluctuans_19	Nanomia_bijuga	Nematostella_vectensis	Oscarella_carmela	Oscarella_species	Pelagia_noctiluca	Pennatula_rubra	Periphylla_periphylla	Petrosia_ficiformis	Pirum_gemmata	Plakina_jani	Pleraplysilla_spinifera	Pleurobrachia_species	Plumapathes_pennacea	Porites_australiensis	Rossella_fibulata	Saccoglossus_kowalevskii	Salpingoeca_dolichothecata_16	Salpingoeca_helianthica_18	Salpingoeca_infusionum_12	Salpingoeca_macrocollata_06	Salpingoeca_punica_03	Salpingoeca_qvevrii_09	Salpingoeca_roanoka_13	Salpingoeca_rosetta	Salpingoeca_urceolata_04	Sphaeroforma_arctica_JP610	Spongilla_lacustris	Stephanoeca_diplocostata_AUFR	Stomolophus_meleagris	Strongylocentrotus_purpuratus	Sycon_ciliatum	Sycon_coactum	Sympagella_nux	Tribolium_castaneum	Trichoplax_adhaerens	Vallicula_multiformis
Abeoforma_whisleri		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acanthoeca_sp_10tr	0		0.924187725631769	0.924187725631769	0.837545126353791	0	0.862815884476534	0.888086642599278	0	0.913357400722022	0	0	0.592057761732852	0	0	0.501805054151625	0.913357400722022	0.924187725631769	0	0	0.898916967509025	0.783393501805054	0	0	0.870036101083033	0.837545126353791	0	0	0.891696750902527	0	0	0.84115523465704	0	0	0.830324909747292	0	0	0.72202166064982	0	0	0	0.92057761732852	0.902527075812274	0	0	0	0.700361010830325	0	0.891696750902527	0.909747292418773	0.245487364620939	0	0	0	0.592057761732852	0	0.92057761732852	0.884476534296029	0.902527075812274	0.252707581227437	0	0.884476534296029	0.888086642599278	0	0	0.808664259927798	0	0.819494584837545	0.909747292418773	0	0	0.870036101083033	0.902527075812274	0.530685920577617	0.866425992779783	0	0.501805054151625	0.88086642599278	0	0.635379061371841	0.859205776173285	0	0	0.884476534296029	0.924187725631769	0.819494584837545	0	0	0.913357400722022	0.891696750902527	0.725631768953069	0	0	0.176895306859206	0	0.924187725631769	0.855595667870036
Acanthoeca_spectabilis_VA_02	0	0.924187725631769		0.956678700361011	0.870036101083033	0	0.895306859205776	0.92057761732852	0	0.945848375451264	0	0	0.592057761732852	0	0	0.501805054151625	0.945848375451264	0.956678700361011	0	0	0.913357400722022	0.783393501805054	0	0	0.902527075812274	0.870036101083033	0	0	0.924187725631769	0	0	0.848375451263538	0	0	0.862815884476534	0	0	0.754512635379061	0	0	0	0.953068592057762	0.935018050541516	0	0	0	0.732851985559567	0	0.902527075812274	0.942238267148014	0.267148014440433	0	0	0	0.624548736462094	0	0.953068592057762	0.916967509025271	0.935018050541516	0.252707581227437	0	0.916967509025271	0.92057761732852	0	0	0.84115523465704	0	0.819494584837545	0.942238267148014	0	0	0.902527075812274	0.935018050541516	0.563176895306859	0.898916967509025	0	0.501805054151625	0.888086642599278	0	0.635379061371841	0.866425992779783	0	0	0.884476534296029	0.956678700361011	0.819494584837545	0	0	0.945848375451264	0.924187725631769	0.75812274368231	0	0	0.176895306859206	0	0.956678700361011	0.888086642599278
Aiptasia_pallida	0	0.924187725631769	0.956678700361011		0.913357400722022	0	0.938628158844765	0.963898916967509	0	0.989169675090253	0	0	0.631768953068592	0	0	0.530685920577617	0.989169675090253	1	0	0	0.916967509025271	0.815884476534296	0	0	0.906137184115523	0.913357400722022	0	0	0.967509025270758	0	0	0.888086642599278	0	0	0.906137184115523	0	0	0.779783393501805	0	0	0	0.996389891696751	0.978339350180505	0	0	0	0.776173285198556	0	0.927797833935018	0.985559566787004	0.270758122743682	0	0	0	0.628158844765343	0	0.996389891696751	0.92057761732852	0.978339350180505	0.256317689530686	0	0.924187725631769	0.963898916967509	0	0	0.884476534296029	0	0.844765342960289	0.985559566787004	0	0	0.945848375451264	0.978339350180505	0.566787003610108	0.942238267148014	0	0.541516245487365	0.927797833935018	0	0.63898916967509	0.906137184115523	0	0	0.927797833935018	1	0.859205776173285	0	0	0.963898916967509	0.967509025270758	0.8014440433213	0	0	0.176895306859206	0	1	0.927797833935018
Alatina_alata	0	0.837545126353791	0.870036101083033	0.913357400722022		0	0.851985559566787	0.906137184115523	0	0.902527075812274	0	0	0.548736462093863	0	0	0.501805054151625	0.902527075812274	0.913357400722022	0	0	0.833935018050541	0.776173285198556	0	0	0.848375451263538	0.848375451263538	0	0	0.895306859205776	0	0	0.851985559566787	0	0	0.870036101083033	0	0	0.747292418772563	0	0	0	0.913357400722022	0.891696750902527	0	0	0	0.689530685920578	0	0.84115523465704	0.902527075812274	0.270758122743682	0	0	0	0.624548736462094	0	0.909747292418773	0.844765342960289	0.909747292418773	0.256317689530686	0	0.873646209386282	0.902527075812274	0	0	0.859205776173285	0	0.787003610108303	0.913357400722022	0	0	0.909747292418773	0.891696750902527	0.563176895306859	0.898916967509025	0	0.458483754512635	0.84115523465704	0	0.55956678700361	0.830324909747292	0	0	0.84115523465704	0.913357400722022	0.823104693140794	0	0	0.877256317689531	0.909747292418773	0.768953068592058	0	0	0.173285198555957	0	0.913357400722022	0.891696750902527
Amoebidium_parasiticum_JAP72	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amphimedon_queenslandica	0	0.862815884476534	0.895306859205776	0.938628158844765	0.851985559566787	0		0.902527075812274	0	0.927797833935018	0	0	0.577617328519856	0	0	0.469314079422383	0.927797833935018	0.938628158844765	0	0	0.855595667870036	0.76173285198556	0	0	0.844765342960289	0.851985559566787	0	0	0.906137184115523	0	0	0.826714801444043	0	0	0.844765342960289	0	0	0.71841155234657	0	0	0	0.935018050541516	0.916967509025271	0	0	0	0.768953068592058	0	0.866425992779783	0.924187725631769	0.270758122743682	0	0	0	0.566787003610108	0	0.935018050541516	0.859205776173285	0.916967509025271	0.202166064981949	0	0.862815884476534	0.902527075812274	0	0	0.823104693140794	0	0.783393501805054	0.924187725631769	0	0	0.884476534296029	0.916967509025271	0.505415162454874	0.88086642599278	0	0.487364620938628	0.866425992779783	0	0.584837545126354	0.851985559566787	0	0	0.866425992779783	0.938628158844765	0.805054151624549	0	0	0.902527075812274	0.906137184115523	0.740072202166065	0	0	0.140794223826715	0	0.938628158844765	0.866425992779783
Antipathes_caribbeana	0	0.888086642599278	0.92057761732852	0.963898916967509	0.906137184115523	0	0.902527075812274		0	0.953068592057762	0	0	0.595667870036101	0	0	0.494584837545126	0.953068592057762	0.963898916967509	0	0	0.88086642599278	0.812274368231047	0	0	0.870036101083033	0.895306859205776	0	0	0.931407942238267	0	0	0.88086642599278	0	0	0.870036101083033	0	0	0.743682310469314	0	0	0	0.96028880866426	0.942238267148014	0	0	0	0.740072202166065	0	0.891696750902527	0.949458483754513	0.270758122743682	0	0	0	0.628158844765343	0	0.96028880866426	0.884476534296029	0.942238267148014	0.256317689530686	0	0.902527075812274	0.927797833935018	0	0	0.870036101083033	0	0.808664259927798	0.949458483754513	0	0	0.909747292418773	0.942238267148014	0.566787003610108	0.942238267148014	0	0.505415162454874	0.891696750902527	0	0.602888086642599	0.870036101083033	0	0	0.891696750902527	0.963898916967509	0.823104693140794	0	0	0.927797833935018	0.963898916967509	0.765342960288809	0	0	0.169675090252708	0	0.963898916967509	0.891696750902527
Aphrocallistes_vastus	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aplysia_californica	0	0.913357400722022	0.945848375451264	0.989169675090253	0.902527075812274	0	0.927797833935018	0.953068592057762	0		0	0	0.620938628158845	0	0	0.51985559566787	0.978339350180505	0.989169675090253	0	0	0.906137184115523	0.805054151624549	0	0	0.895306859205776	0.913357400722022	0	0	0.967509025270758	0	0	0.88086642599278	0	0	0.895306859205776	0	0	0.768953068592058	0	0	0	0.985559566787004	0.978339350180505	0	0	0	0.765342960288809	0	0.92057761732852	0.974729241877256	0.270758122743682	0	0	0	0.620938628158845	0	0.985559566787004	0.909747292418773	0.967509025270758	0.245487364620939	0	0.913357400722022	0.953068592057762	0	0	0.884476534296029	0	0.833935018050541	0.974729241877256	0	0	0.935018050541516	0.978339350180505	0.555956678700361	0.931407942238267	0	0.541516245487365	0.916967509025271	0	0.628158844765343	0.895306859205776	0	0	0.916967509025271	0.989169675090253	0.848375451263538	0	0	0.953068592057762	0.956678700361011	0.790613718411552	0	0	0.176895306859206	0	0.989169675090253	0.916967509025271
Atolla_vanhoeffeni	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aurelia_aurita	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
