	Abeoforma_whisleri	Acanthoeca_sp_10tr	Acanthoeca_spectabilis_VA_02	Aiptasia_pallida	Alatina_alata	Amoebidium_parasiticum_JAP72	Amphimedon_queenslandica	Antipathes_caribbeana	Aphrocallistes_vastus	Aplysia_californica	Atolla_vanhoeffeni	Aurelia_aurita	Beroe_abyssicola	Beroe_sp	Bolinopsis_infundibulum	Bolocera_tuedia	Branchiostoma_floridae	Capitella_teleta	Capsaspora_owczarzaki_atcc30864	Cestum_veneris	Choanoeca_perplexa_11	Chondrilla_nucula	Clathrina_coriacea	Clytia_hemisphaerica	Codosiga_hollandica_17	Coeloplana_species	Corticium_candelabrum	Craspedacusta_sowerbyi	Crassostrea_gigas	Creolimax_fragrantissima	Daphnia_pulex	Diaphanoeca_grandis_RI_01	Didymoeca_costata_10	Dryodora_glandiformis	Edwardsiella_lineata	Ephydatia_muelleri	Euplectella_aspergillum	Euplokamis_dunlapae	Gorgonia_ventalina	Grantia_compressa	Helobdella_robusta	Homo_sapiens	Hormiphora_californensis	Hyalonema_populiferum	Hydra_magnipapillata	Hydractinia_polyclina	Ircinia_fasciculata	Ixodes_scapularis	Kirkpatrickia_variolosa	Lampea_pancerina	Latrunculia_apicalis	Leuconia_nivea	Leucosolenia_complicata	Liriope_tetraphylla	Lucernariopsis_campanulata	Ministeria_vibrans	Mnemiopsis_leidyi	Monosiga_brevicollis_mx1	Montastraea_faveolata	Mycale_phyllophila	Mylnosiga_fluctuans_19	Nanomia_bijuga	Nematostella_vectensis	Oscarella_carmela	Oscarella_species	Pelagia_noctiluca	Pennatula_rubra	Periphylla_periphylla	Petrosia_ficiformis	Pirum_gemmata	Plakina_jani	Pleraplysilla_spinifera	Pleurobrachia_species	Plumapathes_pennacea	Porites_australiensis	Rossella_fibulata	Saccoglossus_kowalevskii	Salpingoeca_dolichothecata_16	Salpingoeca_helianthica_18	Salpingoeca_infusionum_12	Salpingoeca_macrocollata_06	Salpingoeca_punica_03	Salpingoeca_qvevrii_09	Salpingoeca_roanoka_13	Salpingoeca_rosetta	Salpingoeca_urceolata_04	Sphaeroforma_arctica_JP610	Spongilla_lacustris	Stephanoeca_diplocostata_AUFR	Stomolophus_meleagris	Strongylocentrotus_purpuratus	Sycon_ciliatum	Sycon_coactum	Sympagella_nux	Tribolium_castaneum	Trichoplax_adhaerens	Vallicula_multiformis
Abeoforma_whisleri		0.295	0.295	0.295	0.265	0.245	0.295	0.295	0	0.295	0	0	0	0	0	0	0.295	0.295	0.295	0	0	0.295	0.135	0	0	0.255	0	0.16	0	0	0	0.295	0.295	0	0.015	0.295	0	0	0	0.295	0	0	0.295	0	0	0.235	0.2	0	0.295	0.29	0.295	0.295	0.295	0.295	0	0.295	0.295	0.295	0.285	0.295	0.295	0.21	0	0.295	0.295	0	0	0.26	0.23	0.27	0.295	0.225	0.295	0.295	0.295	0.245	0.295	0.295	0.295	0.295	0.295	0.295	0.295	0.295	0.295	0.295	0	0	0.295	0.295	0	0.295	0.295	0.25	0	0.295	0.255
Acanthoeca_sp_10tr	0.295		1	0.99	0.85	0.53	1	0.995	0	0.785	0.315	0	0	0	0	0	1	1	0.995	0	0.37	0.99	0.65	0	0	0.915	0.365	0.82	0	0	0	1	0.99	0	0.465	0.995	0	0	0	0.995	0	0	1	0	0	0.93	0.44	0	0.99	0.995	0.935	0.995	0.995	0.995	0	0.785	0.465	0.99	0.885	0.99	1	0.7	0	0.985	0.735	0.19	0	0.305	0.835	0.47	0.975	0.65	0.92	0.995	0.92	0.95	0.995	1	0.99	0.99	1	0.99	0.99	1	1	0.99	0	0	0.99	0.995	0	0.995	0.995	0.675	0	0.865	0.96
Acanthoeca_spectabilis_VA_02	0.295	1		0.99	0.85	0.53	1	0.995	0	0.785	0.315	0	0	0	0	0	1	1	0.995	0	0.37	0.99	0.65	0	0	0.915	0.365	0.82	0	0	0	1	0.99	0	0.465	0.995	0	0	0	0.995	0	0	1	0	0	0.93	0.44	0	0.99	0.995	0.935	0.995	0.995	0.995	0	0.785	0.465	0.99	0.885	0.99	1	0.7	0	0.985	0.735	0.19	0	0.305	0.835	0.47	0.975	0.65	0.92	0.995	0.92	0.95	0.995	1	0.99	0.99	1	0.99	0.99	1	1	0.99	0	0	0.99	0.995	0	0.995	0.995	0.675	0	0.865	0.96
Aiptasia_pallida	0.295	0.99	0.99		0.84	0.53	0.99	0.985	0	0.785	0.315	0	0	0	0	0	0.99	0.99	0.99	0	0.37	0.99	0.65	0	0	0.905	0.365	0.81	0	0	0	0.99	0.98	0	0.465	0.985	0	0	0	0.985	0	0	0.99	0	0	0.93	0.44	0	0.99	0.985	0.935	0.985	0.985	0.985	0	0.785	0.465	0.98	0.875	0.98	0.99	0.7	0	0.985	0.735	0.19	0	0.305	0.835	0.47	0.975	0.65	0.91	0.985	0.915	0.94	0.985	0.99	0.98	0.98	0.99	0.98	0.98	0.99	0.99	0.98	0	0	0.98	0.985	0	0.985	0.985	0.675	0	0.865	0.95
Alatina_alata	0.265	0.85	0.85	0.84		0.465	0.85	0.845	0	0.69	0.28	0	0	0	0	0	0.85	0.85	0.845	0	0.305	0.84	0.56	0	0	0.8	0.315	0.725	0	0	0	0.85	0.85	0	0.445	0.845	0	0	0	0.85	0	0	0.85	0	0	0.78	0.36	0	0.84	0.845	0.785	0.85	0.85	0.845	0	0.655	0.355	0.85	0.76	0.84	0.85	0.605	0	0.835	0.61	0.19	0	0.245	0.75	0.39	0.835	0.52	0.835	0.845	0.775	0.82	0.845	0.85	0.85	0.85	0.85	0.85	0.85	0.85	0.85	0.85	0	0	0.85	0.85	0	0.85	0.85	0.615	0	0.715	0.81
Amoebidium_parasiticum_JAP72	0.245	0.53	0.53	0.53	0.465		0.53	0.53	0	0.495	0.12	0	0	0	0	0	0.53	0.53	0.53	0	0.11	0.53	0.36	0	0	0.495	0.125	0.395	0	0	0	0.53	0.53	0	0.215	0.525	0	0	0	0.525	0	0	0.53	0	0	0.47	0.34	0	0.53	0.525	0.53	0.525	0.525	0.53	0	0.45	0.33	0.53	0.515	0.525	0.53	0.385	0	0.525	0.405	0.075	0	0.245	0.48	0.335	0.525	0.33	0.53	0.53	0.515	0.48	0.53	0.53	0.53	0.53	0.53	0.53	0.53	0.53	0.53	0.53	0	0	0.53	0.525	0	0.525	0.525	0.42	0	0.475	0.495
Amphimedon_queenslandica	0.295	1	1	0.99	0.85	0.53		0.995	0	0.785	0.315	0	0	0	0	0	1	1	0.995	0	0.37	0.99	0.65	0	0	0.915	0.365	0.82	0	0	0	1	0.99	0	0.465	0.995	0	0	0	0.995	0	0	1	0	0	0.93	0.44	0	0.99	0.995	0.935	0.995	0.995	0.995	0	0.785	0.465	0.99	0.885	0.99	1	0.7	0	0.985	0.735	0.19	0	0.305	0.835	0.47	0.975	0.65	0.92	0.995	0.92	0.95	0.995	1	0.99	0.99	1	0.99	0.99	1	1	0.99	0	0	0.99	0.995	0	0.995	0.995	0.675	0	0.865	0.96
Antipathes_caribbeana	0.295	0.995	0.995	0.985	0.845	0.53	0.995		0	0.785	0.31	0	0	0	0	0	0.995	0.995	0.99	0	0.365	0.985	0.645	0	0	0.91	0.36	0.815	0	0	0	0.995	0.985	0	0.46	0.99	0	0	0	0.99	0	0	0.995	0	0	0.925	0.44	0	0.985	0.99	0.93	0.99	0.99	0.99	0	0.78	0.465	0.985	0.885	0.985	0.995	0.695	0	0.98	0.73	0.185	0	0.305	0.83	0.47	0.97	0.645	0.915	0.995	0.92	0.945	0.99	0.995	0.985	0.985	0.995	0.985	0.985	0.995	0.995	0.985	0	0	0.985	0.99	0	0.99	0.99	0.67	0	0.86	0.955
Aphrocallistes_vastus	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aplysia_californica	0.295	0.785	0.785	0.785	0.69	0.495	0.785	0.785	0		0.275	0	0	0	0	0	0.785	0.785	0.785	0	0.265	0.785	0.54	0	0	0.7	0.28	0.64	0	0	0	0.785	0.785	0	0.35	0.785	0	0	0	0.785	0	0	0.785	0	0	0.725	0.375	0	0.785	0.78	0.785	0.785	0.785	0.78	0	0.675	0.43	0.785	0.695	0.775	0.785	0.595	0	0.785	0.625	0.13	0	0.305	0.66	0.4	0.785	0.54	0.735	0.785	0.735	0.735	0.78	0.785	0.785	0.785	0.785	0.785	0.785	0.785	0.785	0.785	0	0	0.785	0.785	0	0.785	0.785	0.57	0	0.735	0.745
