	Abeoforma_whisleri	Acanthoeca_sp_10tr	Acanthoeca_spectabilis_VA_02	Aiptasia_pallida	Alatina_alata	Amoebidium_parasiticum_JAP72	Amphimedon_queenslandica	Antipathes_caribbeana	Aphrocallistes_vastus	Aplysia_californica	Atolla_vanhoeffeni	Aurelia_aurita	Beroe_abyssicola	Beroe_sp	Bolinopsis_infundibulum	Bolocera_tuedia	Branchiostoma_floridae	Capitella_teleta	Capsaspora_owczarzaki_atcc30864	Cestum_veneris	Choanoeca_perplexa_11	Chondrilla_nucula	Clathrina_coriacea	Clytia_hemisphaerica	Codosiga_hollandica_17	Coeloplana_species	Corticium_candelabrum	Craspedacusta_sowerbyi	Crassostrea_gigas	Creolimax_fragrantissima	Daphnia_pulex	Diaphanoeca_grandis_RI_01	Didymoeca_costata_10	Dryodora_glandiformis	Edwardsiella_lineata	Ephydatia_muelleri	Euplectella_aspergillum	Euplokamis_dunlapae	Gorgonia_ventalina	Grantia_compressa	Helobdella_robusta	Homo_sapiens	Hormiphora_californensis	Hyalonema_populiferum	Hydra_magnipapillata	Hydractinia_polyclina	Ircinia_fasciculata	Ixodes_scapularis	Kirkpatrickia_variolosa	Lampea_pancerina	Latrunculia_apicalis	Leuconia_nivea	Leucosolenia_complicata	Liriope_tetraphylla	Lucernariopsis_campanulata	Ministeria_vibrans	Mnemiopsis_leidyi	Monosiga_brevicollis_mx1	Montastraea_faveolata	Mycale_phyllophila	Mylnosiga_fluctuans_19	Nanomia_bijuga	Nematostella_vectensis	Oscarella_carmela	Oscarella_species	Pelagia_noctiluca	Pennatula_rubra	Periphylla_periphylla	Petrosia_ficiformis	Pirum_gemmata	Plakina_jani	Pleraplysilla_spinifera	Pleurobrachia_species	Plumapathes_pennacea	Porites_australiensis	Rossella_fibulata	Saccoglossus_kowalevskii	Salpingoeca_dolichothecata_16	Salpingoeca_helianthica_18	Salpingoeca_infusionum_12	Salpingoeca_macrocollata_06	Salpingoeca_punica_03	Salpingoeca_qvevrii_09	Salpingoeca_roanoka_13	Salpingoeca_rosetta	Salpingoeca_urceolata_04	Sphaeroforma_arctica_JP610	Spongilla_lacustris	Stephanoeca_diplocostata_AUFR	Stomolophus_meleagris	Strongylocentrotus_purpuratus	Sycon_ciliatum	Sycon_coactum	Sympagella_nux	Tribolium_castaneum	Trichoplax_adhaerens	Vallicula_multiformis
Abeoforma_whisleri		0.225527348418453	0.237824675324675	0.214552127320532	0.202140267707752	0.194033343956657	0.243984543064298	0.190303561469206	0.13279818341168	0.265725838578599	0.136042446816987	0.212064775715082	0.226269321169628	0.0767593219663772	0.145369392877062	0.134665564496853	0.244699127559557	0.271445004382121	0.266007190662099	0.110997131702653	0.239878794518365	0.133246354872122	0.0870373874591666	0.19320422675484	0.22398115687993	0.265897637638435	0.161789897219345	0.211315333439567	0.238591546490319	0.150849533901681	0.257223030037447	0.234600330650944	0.234637678272648	0.191638116484742	0.184970321089953	0.184148673412477	0.156675762887419	0.16530804318381	0.185037546809019	0.135053979762569	0.249375049796829	0.248336785913473	0.22979742649988	0.0664065612301809	0.211795872838818	0.224484104852203	0.130388016891084	0.203168572225321	0.193824197275118	0.259247271133774	0.172767608158712	0.119141403075452	0.110212831646881	0.199615568480599	0.189559098876584	0.106692195840969	0.269799219185722	0.216093339176161	0.217380587204207	0.184681499482113	0.223241673970202	0.233664150266911	0.197237769898813	0.144756891881125	0.231709624731097	0.162001533742331	0.0558695522269142	0.100958090988766	0.222611744084137	0.165713887339654	0.172926958011314	0.155754521552068	0.266980718667835	0.194344574137519	0.197434467373118	0.180311827742809	0.263228527607362	0.238292765516692	0.242234184527129	0.232476495896741	0.240585909489284	0.232688132419728	0.240063042785435	0.240844852999761	0.228268663851486	0.245281750458131	0.146049119592064	0.171482849972114	0.244532308182615	0.210695362919289	0.238957553183013	0.120757310174488	0.117784439486893	0.200357541231774	0.241708827981834	0.260044020396781	0.26411242132101
Acanthoeca_sp_10tr	0.225527348418453		0.617667416938889	0.489218986534937	0.457518325233049	0.287083698510079	0.543562265954904	0.427042665923034	0.26518803282607	0.614069596048124	0.280112142458768	0.484789558600908	0.505412915305553	0.160305951716995	0.323241176001912	0.295093518444745	0.560632618914828	0.620632818102143	0.501469006453669	0.261973647518126	0.554577324515975	0.276003904071389	0.171316030595172	0.4115857302207	0.508719424747032	0.605636503067485	0.349274958170664	0.461990080471676	0.562870986375588	0.223064895227472	0.542947275117521	0.589803601306669	0.573263584574934	0.436045932595012	0.419876902238865	0.413881364034738	0.362137479085332	0.363618934746235	0.404992630069317	0.263091586327783	0.548327822484264	0.572436957214565	0.52291401083579	0.130734104852203	0.460737690223887	0.502557067165963	0.26684875707115	0.426357959525137	0.422010696358856	0.597345331049319	0.381545793163891	0.232971974344674	0.220463010915465	0.43995498366664	0.412447215361326	0.186245119910764	0.617535455342204	0.495764779698829	0.483691538522827	0.4091382160784	0.516813899290893	0.508804079356227	0.421283662656362	0.330802824476137	0.528687953151143	0.354625627440045	0.115170105967652	0.211372599792845	0.488711058879771	0.212943689745837	0.359025177276711	0.325698649509999	0.613681180782408	0.421739303641144	0.432191658035216	0.397617719703609	0.609040116325392	0.552685045016333	0.548270556130986	0.529888056728548	0.560936379571349	0.523337283881762	0.552433571030197	0.560759600828619	0.524821229384113	0.55838429208828	0.222813421241335	0.367973667436858	0.612896880726635	0.478452912118556	0.547762628475819	0.245122400605529	0.231460640586407	0.43039150266911	0.529103756672775	0.589957971476376	0.607391841287547
Acanthoeca_spectabilis_VA_02	0.237824675324675	0.617667416938889		0.522714823520038	0.478731774360609	0.309549537885427	0.578357800175285	0.455130567285475	0.284327444028364	0.650941658035216	0.294946617799379	0.505771452473906	0.535995637797785	0.165923034021194	0.337089674129551	0.309046589913154	0.596000816667995	0.656678252728866	0.531730539399251	0.274178850290813	0.586011572783045	0.290133754282527	0.17660445382838	0.430501055692773	0.534056051310653	0.644298761054896	0.365222392638037	0.489799119592064	0.595303661062863	0.235949824715162	0.57892299418373	0.621247808939527	0.602720898733169	0.460336825750936	0.440746753246753	0.43963379411999	0.378757170743367	0.379085829814357	0.423300434228348	0.276357461556848	0.579336307863915	0.609874213210103	0.556233069078161	0.133980858098956	0.490879710780018	0.535281053302526	0.282985419488487	0.454049976097522	0.439583997291053	0.634971814994821	0.394393375029878	0.242876563620429	0.231199207234483	0.462849075770855	0.438229523543941	0.189651223010119	0.653941916978727	0.521091446896662	0.514602920086049	0.422610748147558	0.546034678511672	0.541552963907258	0.449877001832523	0.345766771571986	0.55134800015935	0.37045105967652	0.118643434786073	0.21907865907099	0.514386303880169	0.224324754999602	0.37872231296311	0.346458947494224	0.64950252967891	0.448437873476217	0.460665484821927	0.40808750298781	0.646815990757709	0.583026252888216	0.577966895068122	0.56188251932117	0.590719862959127	0.552027726874353	0.585451358457493	0.593127539638276	0.555779917934826	0.5876922157597	0.235504143096168	0.389067604174966	0.649261015058561	0.501130388016891	0.582030316309457	0.257895287228109	0.240242311369612	0.456445203569437	0.559347860728229	0.62322723288981	0.645730419886862
Aiptasia_pallida	0.214552127320532	0.489218986534937	0.522714823520038		0.499081248506095	0.290138733965421	0.584574934268186	0.564133335989164	0.288916221814995	0.657265855310334	0.299869034339893	0.522338857461557	0.542857640825432	0.170143315273683	0.344940144211617	0.396218428810453	0.605880507529281	0.665469882877858	0.514456019440682	0.267672894590072	0.540173591745678	0.302363855469684	0.188545733407697	0.453913034817943	0.494980479643056	0.650162337662338	0.365319496454466	0.501825053780575	0.596770177675086	0.217622101824556	0.579269082144849	0.520874830690782	0.514067604174966	0.463511373595729	0.575369990439009	0.452693012508963	0.373782467532468	0.382536750059756	0.49375796749263	0.296746773165485	0.576938590550554	0.610825332642817	0.560963767827265	0.132636343717632	0.495538204127161	0.547053023663453	0.289638275834595	0.450337622500199	0.446391223806868	0.646380268504502	0.399241096326986	0.261961198310892	0.25851276790694	0.474685782009402	0.449100171301092	0.170763285793961	0.669010437415345	0.475970540196	0.602972372719305	0.425688192175922	0.50700392399012	0.554335809895626	0.580185343797307	0.34959863755876	0.550523862640427	0.391323400525855	0.134767647996176	0.227275217114174	0.524094195681619	0.206076707035296	0.388036809815951	0.363586566807426	0.659641164050673	0.562338160305952	0.551158772209386	0.405590192016572	0.659656103099355	0.548823300932197	0.528620727432077	0.512130507529281	0.54679905983587	0.510733706477572	0.547386662417337	0.554786471197514	0.524527428093379	0.539603418054338	0.218620528244761	0.393506991474783	0.541418512469126	0.530761991076408	0.597410066926938	0.281927236873556	0.257663731973548	0.44511393514461	0.556626464026771	0.625861485140626	0.65361823759063
Alatina_alata	0.202140267707752	0.457518325233049	0.478731774360609	0.499081248506095		0.266348298940323	0.529551928133216	0.421283662656362	0.261836706238547	0.603256214644251	0.326941080392001	0.548778483786152	0.503099852601386	0.156996952434069	0.320766273603697	0.298507091068441	0.55571269221576	0.610521571986296	0.471115349374552	0.254633594932675	0.496414628316469	0.281982013385388	0.166216835311927	0.451418213688152	0.451047227312565	0.598859154649032	0.351642797386662	0.522742211775954	0.544321667596207	0.199769938650307	0.530943749502032	0.479080352163174	0.471073022069955	0.424376045733408	0.426681638913234	0.424373555891961	0.341802943988527	0.351428671022229	0.406195223488168	0.270737889411202	0.530971137757948	0.558643235598757	0.517461258067086	0.12438251932117	0.479762568719624	0.544667755557326	0.276457055214724	0.42014580511513	0.429069396860808	0.587094653812445	0.374651422197434	0.241200900326667	0.2298621623775	0.485242709744243	0.484874213210103	0.160164030754522	0.612097641622181	0.436162955143017	0.487595609911561	0.403528603298542	0.45767020556131	0.545088538761852	0.426330571269222	0.341421998247152	0.519644849016015	0.422588339574536	0.118640944944626	0.248239682097044	0.486313341566409	0.199356624970122	0.374068799298861	0.336544398852681	0.60360230260537	0.424781889889252	0.434766154091307	0.382706059278145	0.599264998804876	0.504842741614214	0.484754700820652	0.468585670464505	0.505716675962075	0.469379929886065	0.501374392478687	0.508594932674687	0.478557485459326	0.500171799059836	0.197999661381563	0.371827941996654	0.496001314636284	0.561872559955382	0.553006234562983	0.251386841685921	0.235820352959924	0.412322723288981	0.522107302206995	0.574603119273365	0.599304836268026
Amoebidium_parasiticum_JAP72	0.194033343956657	0.287083698510079	0.309549537885427	0.290138733965421	0.266348298940323		0.314466974743048	0.251767787427297	0.169944127957932	0.353144171779141	0.179873615648156	0.282925663293761	0.299819237510955	0.0982591028603298	0.190587403394152	0.173803382200621	0.323801390327464	0.361343219663772	0.349324754999602	0.152953449924309	0.314611385546968	0.171042148036013	0.11233168671819	0.257611445303163	0.294431220619871	0.353945900725042	0.209263704087324	0.283393753485778	0.319085630627042	0.195425165325472	0.34147179507609	0.306031391920962	0.306773364672138	0.256037865508724	0.245348976177197	0.243018484582902	0.202304597243248	0.214659190502749	0.246295115927018	0.164640765676042	0.326094534300056	0.330237630467692	0.306265437016971	0.0832005417894988	0.28110558919608	0.302585451358457	0.168719125966058	0.269749422356784	0.257895287228109	0.346444008445542	0.224464186120628	0.152716914986854	0.142486156481555	0.266482750378456	0.247437953151143	0.13178730778424	0.35973976177197	0.285953310493188	0.282146342920883	0.246277687036889	0.307458071070034	0.310052485857701	0.256478567444825	0.185869153852283	0.307176718986535	0.215797048043981	0.0744661779937854	0.132989901203091	0.2913587562744	0.185884092900964	0.216934905585212	0.207241952832444	0.354787467134093	0.253879172974265	0.250331148912437	0.234336407457573	0.354822324914349	0.322514142299418	0.312009501234961	0.300981993466656	0.323701796669588	0.313209604812366	0.319130447773086	0.317200820651741	0.295481933710461	0.318986036969166	0.193303820412716	0.225783802087483	0.319658294159828	0.282860927416142	0.313209604812366	0.148397040076488	0.153272149629512	0.255930802326508	0.315186538921202	0.344447155605131	0.35446876742889
Amphimedon_queenslandica	0.243984543064298	0.543562265954904	0.578357800175285	0.584574934268186	0.529551928133216	0.314466974743048		0.504496653653095	0.302946478368257	0.711843179826309	0.314905186837702	0.559945422675484	0.585035554935862	0.175461616604255	0.363828081427775	0.348767030515497	0.647199426340531	0.715602840411123	0.565990757708549	0.287116066448889	0.592460262130508	0.343754979682894	0.19514630308342	0.471829933869811	0.534372261174408	0.702847382678671	0.392884531113059	0.535649549836666	0.651153294558203	0.239893733567046	0.629302446020237	0.571874253047566	0.56420056170823	0.490884690462911	0.492216755637001	0.505651940084455	0.402328499721138	0.410039538682177	0.468359094892837	0.299689765755717	0.628597820890766	0.658142279499641	0.605272986216238	0.14192096247311	0.531942175922237	0.582441140148195	0.328825890367301	0.494353039598438	0.499417377101426	0.693249043900884	0.449540873237192	0.264202055613099	0.253346346904629	0.504103258704486	0.480357640825432	0.196844374950203	0.721242331288344	0.53063998884551	0.574515974822723	0.480676340530635	0.542631065253765	0.589250856505458	0.50645864871325	0.383617341247709	0.597375209146682	0.415233347940403	0.131789797625687	0.244497450402358	0.599812763923193	0.224354633096964	0.414030754521552	0.404479722731256	0.710979204844235	0.502977850370488	0.50884142697793	0.441570890765676	0.709303541550474	0.590916560433432	0.577083001354474	0.564514281730539	0.594915245797148	0.554283523225241	0.594922715321488	0.610217811329774	0.5801106485539	0.589845928611266	0.241721277189069	0.446022727272727	0.597091367221735	0.558810054975699	0.647020157756354	0.281451677157199	0.264921619791252	0.48354463787746	0.618882459564975	0.677657656760417	0.704976197115768
Antipathes_caribbeana	0.190303561469206	0.427042665923034	0.455130567285475	0.564133335989164	0.421283662656362	0.251767787427297	0.504496653653095		0.252596904629113	0.56664807585053	0.259506214644251	0.452884730300374	0.475360529041511	0.153849792845192	0.300601047725281	0.335720261333758	0.524051868377022	0.578639152258784	0.446724862560752	0.229929388096566	0.469031352083499	0.26479463787746	0.16542008604892	0.38888833559079	0.428115787586646	0.563505895944546	0.323465261732133	0.440179069396861	0.519542765516692	0.193993506493506	0.498436379571349	0.448694327145247	0.445450063739941	0.403063002947972	0.503431001513824	0.395735399569755	0.323554896024221	0.334851306668791	0.475938172257191	0.257760835789977	0.494470062146443	0.525588100549757	0.486064357421719	0.119965540594375	0.429408015297586	0.472773583778185	0.260890566488726	0.385250677236874	0.393624014022787	0.556086168432794	0.352549099673333	0.224484104852203	0.223206816189945	0.405582722492232	0.386458250338618	0.15560015138236	0.581176300693172	0.406023424428332	0.564997310971237	0.375366006692694	0.438812146442515	0.484460899529918	0.510096307067166	0.305685303959844	0.481896362839614	0.3376922157597	0.127258286192335	0.19601276790694	0.455623555891961	0.183349434308023	0.333145765277667	0.321520695562107	0.573196358855868	0.568254023583778	0.520528742729663	0.355300374472154	0.575280356146921	0.472972771093937	0.457996374790853	0.442268046370807	0.477439546649669	0.447414548641543	0.474113118476615	0.482536252091467	0.458305115130269	0.468876981913792	0.194100569675723	0.347113775794757	0.471356863994901	0.458758266273604	0.517623097761135	0.247876165245797	0.220614891243726	0.389558102940005	0.479999103657079	0.538067185881603	0.569658294159828
Aphrocallistes_vastus	0.13279818341168	0.26518803282607	0.284327444028364	0.288916221814995	0.261836706238547	0.169944127957932	0.302946478368257	0.252596904629113		0.341573878575412	0.166440921042148	0.276586526969963	0.288256413831567	0.101047725280854	0.194962054816349	0.179776511831727	0.31506702653175	0.345789180145008	0.279925404350251	0.157736435343797	0.289852402199028	0.181138455103179	0.114082045255358	0.239430623057924	0.270770257350012	0.344875408333997	0.210677934029161	0.269535295992351	0.299560294000478	0.134658094972512	0.309412596605848	0.282029320372879	0.27681310254163	0.248640546569994	0.249920325073699	0.237525894351048	0.244758883754283	0.210595769261413	0.242067365150187	0.180194805194805	0.306994960560911	0.320808600908294	0.294630407935623	0.0953833359891642	0.260484722332882	0.287068759461397	0.180550852521711	0.245993845111943	0.254992132101028	0.336270516293522	0.235636104692853	0.162985021113855	0.159063520834993	0.249930284439487	0.249193291371205	0.107459067006613	0.346859811967174	0.261271512230101	0.279205840172098	0.242632559158633	0.278720321089953	0.290815970838977	0.251640805513505	0.192016572384671	0.297319436698271	0.205484124770935	0.0763634371763206	0.132454585292009	0.286869572145646	0.125470580033463	0.211678850290813	0.214091506652856	0.344960062943192	0.256620488407298	0.25616982710541	0.255278463867421	0.34107840012748	0.299756991474783	0.289581009481316	0.282039279738666	0.296642199824715	0.280844155844156	0.290815970838977	0.299453230818261	0.283899191299498	0.295623854672934	0.132491932913712	0.22246484343877	0.292934825910286	0.278643136005099	0.308105429846227	0.168808760258147	0.148105728627201	0.319078161102701	0.292272528085412	0.326627360369692	0.342871085969245
Aplysia_californica	0.265725838578599	0.614069596048124	0.650941658035216	0.657265855310334	0.603256214644251	0.353144171779141	0.711843179826309	0.56664807585053	0.341573878575412		0.356244024380527	0.634334415584416	0.667334774121584	0.198614652218947	0.418552306589116	0.390994741454864	0.753386184367779	0.831382957533264	0.636022528085411	0.326617401003904	0.668335690383236	0.35994890845351	0.218797306987491	0.533971396701458	0.605835690383236	0.800349573739144	0.448671918572225	0.611876045733408	0.758995797147638	0.265354852203012	0.719549239104454	0.648504103258704	0.638487471117839	0.565953410086846	0.558060612700183	0.550175284837861	0.449792347223329	0.463693132021353	0.529666460839774	0.337019958569038	0.726174707194646	0.760123695323082	0.687477591426978	0.16068689745837	0.605616584335909	0.659148175444188	0.351535734204446	0.566488725997928	0.541470799139511	0.789187614532707	0.474738068679786	0.295474464186121	0.28432246434547	0.573007130905904	0.543721615807505	0.212385965261732	0.820270795155765	0.594979981674767	0.64831487530874	0.518123555891961	0.617410963269859	0.668417855150984	0.567823281013465	0.426024320771253	0.673785953310493	0.468627997769102	0.141739204047486	0.275045315114333	0.632130905903912	0.253017687833639	0.463937136483149	0.430097701378376	0.809011732132898	0.563244462592622	0.57725480041431	0.494285813879372	0.819010935383635	0.669339096486336	0.6569720540196	0.633082025336627	0.67501593498526	0.627766213847502	0.669334116803442	0.684773623615648	0.650510915464903	0.669027866305474	0.266328380208748	0.481545295195602	0.679002171141742	0.634770137837622	0.740939466974743	0.318769420763286	0.290820950521871	0.54630109154649	0.700153374233129	0.772089873316867	0.803591347303004
