Basefrequencies
File	Taxon	p(A)	p(V)	p(L)	p(I)	p(P)	p(M)	p(F)	p(W)	p(G)	p(S)	p(T)	p(C)	p(N)	p(Q)	p(Y)	p(D)	p(E)	p(K)	p(R)	p(H)	p(Hydrophobic)	p(Hydrophilic)	p(Polar)	p(Nonpolar)	p(Positive)	p(Neutral)	p(Negative)	p(gap)	p(Ambiguity) [X]	RCFV Value (taxon specific)	Absolute Deviation (A)	Absolute Deviation (V)	Absolute Deviation (L)	Absolute Deviation (I)	Absolute Deviation (P)	Absolute Deviation (M)	Absolute Deviation (F)	Absolute Deviation (W)	Absolute Deviation (G)	Absolute Deviation (S)	Absolute Deviation (T)	Absolute Deviation (C)	Absolute Deviation (N)	Absolute Deviation (Q)	Absolute Deviation (Y)	Absolute Deviation (D)	Absolute Deviation (E)	Absolute Deviation (K)	Absolute Deviation (R)	Absolute Deviation (H)	Absolute Deviation (Hydrophobic)	Absolute Deviation (Hydrophilic)	Absolute Deviation (Polar)	Absolute Deviation (Nonpolar)	Absolute Deviation (Positive)	Absolute Deviation (Neutral)	Absolute Deviation (Negative)	Absolute Deviation (Gap)	Absolute Deviation (Ambiguity) [X]	p_uninformative sites
sup.fas	Chondrilla_nucula	0.0645	0.0198	0.0606	0.0482	0.0367	0.0375	0.0550	0.0130	0.0595	0.0661	0.0256	0.0542	0.0737	0.0255	0.0591	0.0668	0.1107	0.0377	0.0459	0.0399	0.3587	0.6413	0.5070	0.4930	0.1210	0.7580	0.1210	0.0000	0.0000	0.0002	0.0040	0.0008	0.0016	0.0011	0.0016	0.0013	0.0005	0.0002	0.0008	0.0021	0.0002	0.0003	0.0019	0.0002	0.0005	0.0020	0.0008	0.0002	0.0013	0.0009	0.0062	0.0062	0.0025	0.0025	0.0018	0.0037	0.0019	0.0000	0.0000	0.6006
sup.fas	Hormiphora_californensis	0.0664	0.0222	0.0603	0.0511	0.0388	0.0370	0.0559	0.0138	0.0609	0.0609	0.0244	0.0521	0.0728	0.0254	0.0587	0.0644	0.1130	0.0358	0.0465	0.0393	0.3621	0.6379	0.5048	0.4952	0.1169	0.7666	0.1165	0.0000	0.0000	0.0003	0.0021	0.0016	0.0013	0.0018	0.0005	0.0008	0.0004	0.0006	0.0022	0.0031	0.0010	0.0024	0.0010	0.0001	0.0009	0.0004	0.0015	0.0021	0.0007	0.0003	0.0028	0.0028	0.0003	0.0003	0.0023	0.0049	0.0026	0.0000	0.0000	0.2369
sup.fas	Salpingoeca_infusionum_12	0.0790	0.0199	0.0607	0.0533	0.0344	0.0339	0.0563	0.0132	0.0578	0.0569	0.0253	0.0545	0.0758	0.0261	0.0529	0.0610	0.1110	0.0401	0.0479	0.0399	0.3692	0.6308	0.4943	0.5057	0.1132	0.7712	0.1156	0.0000	0.0000	0.0005	0.0105	0.0007	0.0017	0.0040	0.0039	0.0023	0.0008	0.0000	0.0009	0.0071	0.0001	0.0000	0.0040	0.0008	0.0067	0.0038	0.0005	0.0022	0.0007	0.0009	0.0043	0.0043	0.0102	0.0102	0.0060	0.0095	0.0035	0.0000	0.0000	0.3027
sup.fas	Euplokamis_dunlapae	0.0657	0.0217	0.0595	0.0509	0.0411	0.0372	0.0504	0.0128	0.0594	0.0689	0.0269	0.0547	0.0700	0.0249	0.0626	0.0657	0.1063	0.0378	0.0452	0.0383	0.3580	0.6420	0.5125	0.4875	0.1193	0.7603	0.1204	0.0000	0.0000	0.0004	0.0028	0.0011	0.0005	0.0016	0.0028	0.0010	0.0051	0.0004	0.0007	0.0049	0.0015	0.0002	0.0018	0.0004	0.0030	0.0009	0.0052	0.0001	0.0020	0.0007	0.0069	0.0069	0.0080	0.0080	0.0001	0.0014	0.0013	0.0000	0.0000	0.4892
sup.fas	Kirkpatrickia_variolosa	0.0660	0.0212	0.0596	0.0482	0.0368	0.0367	0.0542	0.0134	0.0603	0.0634	0.0262	0.0532	0.0727	0.0261	0.0577	0.0652	0.1140	0.0392	0.0468	0.0388	0.3629	0.6371	0.5048	0.4952	0.1177	0.7639	0.1184	0.0000	0.0000	0.0002	0.0025	0.0006	0.0006	0.0011	0.0015	0.0005	0.0013	0.0002	0.0016	0.0006	0.0008	0.0013	0.0009	0.0008	0.0019	0.0004	0.0025	0.0013	0.0004	0.0002	0.0020	0.0020	0.0003	0.0003	0.0015	0.0022	0.0007	0.0000	0.0000	0.4023
sup.fas	Sycon_coactum	0.0719	0.0216	0.0598	0.0481	0.0358	0.0350	0.0603	0.0131	0.0595	0.0591	0.0264	0.0548	0.0766	0.0264	0.0520	0.0623	0.1115	0.0392	0.0470	0.0397	0.3616	0.6384	0.5020	0.4980	0.1194	0.7635	0.1171	0.0000	0.0000	0.0004	0.0034	0.0010	0.0008	0.0012	0.0025	0.0012	0.0048	0.0001	0.0008	0.0049	0.0010	0.0003	0.0048	0.0011	0.0076	0.0025	0.0000	0.0013	0.0002	0.0007	0.0033	0.0033	0.0025	0.0025	0.0002	0.0018	0.0020	0.0000	0.0000	0.6703
sup.fas	Beroe_sp	0.0647	0.0203	0.0586	0.0504	0.0412	0.0350	0.0521	0.0115	0.0593	0.0759	0.0266	0.0548	0.0700	0.0239	0.0632	0.0688	0.1040	0.0387	0.0431	0.0379	0.3511	0.6489	0.5204	0.4796	0.1280	0.7484	0.1236	0.0000	0.0000	0.0005	0.0038	0.0003	0.0004	0.0011	0.0029	0.0012	0.0034	0.0017	0.0006	0.0119	0.0012	0.0003	0.0018	0.0014	0.0036	0.0040	0.0075	0.0008	0.0041	0.0011	0.0138	0.0138	0.0159	0.0159	0.0088	0.0133	0.0045	0.0000	0.0000	0.7828
sup.fas	Clytia_hemisphaerica	0.0614	0.0204	0.0568	0.0492	0.0415	0.0371	0.0521	0.0128	0.0584	0.0730	0.0257	0.0553	0.0669	0.0243	0.0645	0.0683	0.1077	0.0384	0.0482	0.0381	0.3583	0.6417	0.5180	0.4820	0.1251	0.7512	0.1237	0.0000	0.0000	0.0005	0.0071	0.0002	0.0022	0.0001	0.0032	0.0009	0.0034	0.0004	0.0003	0.0090	0.0003	0.0008	0.0049	0.0010	0.0049	0.0035	0.0038	0.0005	0.0010	0.0009	0.0066	0.0066	0.0135	0.0135	0.0059	0.0105	0.0046	0.0000	0.0000	0.4050
sup.fas	Pennatula_rubra	0.0662	0.0201	0.0597	0.0486	0.0412	0.0380	0.0520	0.0118	0.0567	0.0730	0.0247	0.0537	0.0708	0.0230	0.0644	0.0698	0.1053	0.0372	0.0466	0.0372	0.3562	0.6438	0.5133	0.4867	0.1250	0.7514	0.1236	0.0000	0.0000	0.0005	0.0023	0.0005	0.0007	0.0007	0.0029	0.0018	0.0035	0.0014	0.0020	0.0090	0.0007	0.0008	0.0010	0.0023	0.0048	0.0050	0.0062	0.0007	0.0006	0.0018	0.0087	0.0087	0.0088	0.0088	0.0058	0.0103	0.0045	0.0000	0.0000	0.8436
sup.fas	Clathrina_coriacea	0.0704	0.0200	0.0610	0.0475	0.0361	0.0335	0.0626	0.0131	0.0589	0.0597	0.0263	0.0538	0.0756	0.0257	0.0524	0.0640	0.1108	0.0404	0.0479	0.0405	0.3613	0.6387	0.5021	0.4979	0.1223	0.7599	0.1178	0.0000	0.0000	0.0004	0.0019	0.0006	0.0020	0.0018	0.0022	0.0027	0.0071	0.0001	0.0002	0.0043	0.0009	0.0007	0.0038	0.0004	0.0072	0.0008	0.0007	0.0025	0.0007	0.0015	0.0036	0.0036	0.0024	0.0024	0.0031	0.0018	0.0013	0.0000	0.0000	0.7571
