	Abylopsis_tetragona	Acropora_digitifera	Agalma_elegans	Aiptasia_pallida	Allomyces_macrogynus	Amoebidium_parasiticum	Amphimedon_queenslandica	Aphrocallistes_vastus	Aurelia_aurita	Beroe_abyssicola	Bolinopsis_infundibulum	Bolocera_tuediae	Capitella_teleta	Capsaspora_owczarzaki	Chondrilla_nucula	Coeloplana_astericola	Corticium_candelabrum	Craseoa_lathetica	Crella_elegans	Danio_rerio	Daphnia_pulex	Drosophila_melanogaster	Dryodora_glandiformis	Ephydatia_muelleri	Eunicella_verrucosa	Euplokamis_dunlapae	Hemithiris_psittacea	Homo_sapiens	Hormathia_digitata	Hyalonema_populiferum	Hydra_oligactis	Hydra_viridissima	Hydra_vulgaris	Ircinia_fasciculata	Kirkpatrickia_variolosa	Latrunculia_apicalis	Lithobius_forficatus	Lottia_gigantea	Mertensiidae_sp	Ministeria_vibrans	Mnemiopsis_leidyi	Monosiga_ovata	Mortierella_verticillata	Nanomia_bijuga	Nematostella_vectensis	Oscarella_carmela	Periphylla_periphylla	Petromyzon_marinus	Petrosia_ficiformis	Physalia_physalis	Platygyra_carnosa	Pleurobrachia_atlantica	Pleurobrachia_bachei	Priapulus_caudatus	Pseudospongosorites_suberitoides	Rhizopus_oryzae	Rossella_fibulata	Saccoglossus_kowalevskii	Salpingoeca_rosetta	Sphaeroforma_arctica	Spizellomyces_punctatus	Spongilla_alba	Strongylocentrotus_purpuratus	Sycon_ciliatum	Sycon_coactum	Sympagella_nux	Tethya_wilhelma	Trichoplax_adhaerens	Tubulanus_polymorphus	Vallicula_sp
Abylopsis_tetragona		0.111340294787504	0.136242533625543	0.149134115422629	0.0392763525417902	0.0412100898113532	0.0476988526492201	0.100189076533024	0.190150831507026	0.124554166129517	0.241008121696532	0.237484422671995	0.0188002234540845	0.0284689098018994	0.150831507025912	0.209831979717245	0.189205448841906	0.180997808431095	0.212045034592411	0.0310472261613167	0.023054445447123	0.0136006187959263	0.172295990718061	0.0552619139701775	0.0750504920287053	0.233015340982339	0.097460358385974	0.0216148854797817	0.203171329122083	0.231274977439732	0.236624983885523	0.222315328090757	0.128357182759658	0.240664346181943	0.094839070087233	0.0994155816251987	0.0811739933823213	0.0218727171157234	0.230050277169009	0.135597954535688	0.148274676636157	0.222938421210949	0.0193158867259679	0.179708650251386	0.0679601220403077	0.019767092088866	0.220660908426797	0.165227106699325	0.171243178204632	0.167848394998066	0.129130677667483	0.145631902367754	0.198315499978514	0.216105882858493	0.245111941901938	0.100296506381333	0.129388509303425	0.228653689140991	0.0645223668944179	0.139594344892785	0.0351295603970607	0.232026986377895	0.0766834257230029	0.0801211808688926	0.145374070731812	0.113531863693008	0.260345494392162	0.0421769584461347	0.0589145288126853	0.210025353444201
Acropora_digitifera	0.111340294787504		0.095526621116411	0.159683726526578	0.0461948347728933	0.0669717674358644	0.0689914485840746	0.111018005242577	0.237699282368613	0.123974044948649	0.248399295260195	0.273000730522969	0.0271582656525289	0.0249022388380388	0.189506252417172	0.223454084482833	0.219758497701001	0.147178892183404	0.255790468823858	0.0288341712861501	0.0363112887284603	0.0209703063899274	0.174444587684242	0.0760388466331486	0.0937003136951571	0.224377981178291	0.0721928580636844	0.017833354819303	0.238236431610159	0.265115379657084	0.273430449916205	0.245584633234498	0.136199561686219	0.255403721369945	0.140389325770272	0.120085084439861	0.106957156976494	0.0292853766490482	0.24287740105711	0.154656009625714	0.179708650251386	0.260238064543853	0.0285763396502084	0.147286322031713	0.0742555111512183	0.0408448283271024	0.237248077005715	0.169030123329466	0.168084740664346	0.156654204804263	0.172253018778737	0.150229899875381	0.2275793906579	0.223905289845731	0.274096514975721	0.121718018134158	0.163529715096042	0.246014352627734	0.0500408233423574	0.163250397490439	0.0563576984229298	0.237248077005715	0.0852778135877272	0.098255339263461	0.155902195866099	0.141871857676937	0.295174251213957	0.0858794207382579	0.0724936616389498	0.207339607236475
Agalma_elegans	0.136242533625543	0.095526621116411		0.131880881784195	0.0276954148940742	0.0612564995058227	0.046452666408835	0.0985991147780499	0.188152636328478	0.122470027072322	0.23741996476301	0.245498689355851	0.0336900004297194	0.0225817541145632	0.167010442181256	0.202118516608655	0.188346010055434	0.19281509174509	0.218469339521293	0.0367410081216965	0.0283185080142667	0.0120106570409523	0.164840359245413	0.0619225645653388	0.0610201538395428	0.201817713033389	0.0719135404580809	0.0244080615358171	0.231274977439732	0.217932190279747	0.238773580851704	0.229856903442052	0.12921662154613	0.234411929010356	0.0715912509131537	0.0811525074126595	0.0535215504275708	0.0127411800094538	0.209273344506038	0.108375230974174	0.188002234540845	0.223561514331142	0.0172962055777577	0.1808259206738	0.0816466847148812	0.0278458166817068	0.213592024408062	0.171737355506854	0.148639938120407	0.151970263417988	0.118645524472519	0.141012418890465	0.20562072966353	0.191289587899102	0.24560611920416	0.0771990889948863	0.159382922951313	0.205126552361308	0.0507068884018736	0.123544325555412	0.0334321687937777	0.230372566713936	0.0606119204159684	0.08768424218985	0.163314855399424	0.120622233681406	0.253018778737484	0.0472261613166602	0.053607494306218	0.21404322977096
Aiptasia_pallida	0.149134115422629	0.159683726526578	0.131880881784195		0.0618795926260152	0.0592368183576125	0.0800567229599072	0.105818400584418	0.298225258905934	0.149391947058571	0.360405655107215	0.379785999742168	0.0264277426840273	0.0348502427914572	0.254651712431782	0.303446349533754	0.296291521636371	0.204052253878218	0.341906235228396	0.0282540501052813	0.0569593055734605	0.0293713205276954	0.224893644450174	0.0862876541618323	0.107429848309054	0.286300545743629	0.127476258003524	0.0254823600189077	0.364187185767694	0.364767306948563	0.361050234197069	0.347256241674187	0.132332087147093	0.355614283872631	0.152142151175283	0.146598771002535	0.13063469554381	0.0250741265953332	0.306733702892012	0.194533969318035	0.23017919298698	0.364036783980061	0.0338618881870139	0.211164109836277	0.0979545356881956	0.020218297451764	0.317175884147652	0.222659103605346	0.253018778737484	0.190945812384513	0.164518069700486	0.212410296076662	0.264556744445877	0.308001375102058	0.402432211765717	0.140947960981479	0.149520862876542	0.330282325641356	0.0677882342830132	0.210906278200335	0.0545528769713377	0.33803876068927	0.126058184005844	0.0953547333591165	0.191225129990116	0.126101155945168	0.413841261656139	0.0744273989085127	0.0856645610416398	0.263375016114477
Allomyces_macrogynus	0.0392763525417902	0.0461948347728933	0.0276954148940742	0.0618795926260152		0.0427141076876799	0.0140733101284861	0.0302952172231533	0.0817541145631902	0.052017532551244	0.0794980877487001	0.087125606978643	0.00302952172231533	0.0212711099651927	0.0540586996691161	0.0726440634265824	0.0590219586609944	0.0566370160285334	0.0720209703063899	0.0025783163594173	0.0173391775170813	0.0159425894890636	0.0582054918138456	0.0212711099651927	0.0245584633234498	0.0682394396459112	0.051566327188346	0.0025783163594173	0.0782519015083151	0.0783163594173005	0.0711615315199175	0.0725151476086116	0.0409952301147351	0.0746637445747927	0.0531348029736582	0.0509217480984917	0.0233767349920502	0.00979760216578574	0.0794121438700529	0.0524257659748184	0.0573890249666967	0.0763611361780757	0.0316058613725237	0.0480856001031327	0.0296721241029608	0.0115164797387306	0.0713549052468738	0.0568518757251515	0.0589145288126853	0.0426066778393709	0.0605689484766447	0.0480211421941472	0.0583558936014782	0.0784667612049332	0.0870826350393193	0.0620085084439861	0.0366335782733875	0.0804434704138198	0.0228395857505049	0.075652099179236	0.0561213527566499	0.0791113402947875	0.0372351854239182	0.0301448154355206	0.0509217480984917	0.0373426152722272	0.0879420738257918	0.0168664861845215	0.0198100640281896	0.05861372523742
Amoebidium_parasiticum	0.0412100898113532	0.0669717674358644	0.0612564995058227	0.0592368183576125	0.0427141076876799		0.0184564479394955	0.0435520605044906	0.0843539168922693	0.0389755489665249	0.0993511237162133	0.108461174852821	0.0150616647329294	0.0236130806583301	0.0822053199260883	0.0775643504791371	0.0869322332516867	0.0726010914872588	0.0950969017231748	0.0100984057410511	0.0250956125649951	0.0167160843968888	0.065424777620214	0.0289845730737828	0.0257616776245112	0.0753298096343088	0.0398779596923209	0.0027716900863736	0.0975892742039448	0.088371793219028	0.101456748743071	0.100232048472348	0.0687765888874565	0.0926045292424047	0.0522968501568476	0.0457221434403335	0.0201968114821022	0.00827209831979717	0.0978685918095484	0.0515878131580078	0.0781659576296678	0.0946242103906149	0.0236990245369774	0.0681964677065876	0.0389325770272012	0.0234411929010356	0.0922177817884921	0.0596665377508487	0.0658115250741266	0.0466245541661295	0.0624597138068841	0.0452924240470972	0.102810364831765	0.0950324438141893	0.107752137853981	0.0468394138627476	0.0702376348244596	0.102745906922779	0.0271797516221907	0.106871213097847	0.0343130935499119	0.100833655622878	0.0359675132138713	0.0639852176528727	0.0768553134802974	0.0515448412186842	0.113918611146921	0.0238064543852864	0.027373125349147	0.0839241974990331
Amphimedon_queenslandica	0.0476988526492201	0.0689914485840746	0.046452666408835	0.0800567229599072	0.0140733101284861	0.0184564479394955		0.0466030681964677	0.116346525718706	0.0669287954965408	0.132826264449315	0.144858407459929	0.017489579304714	0.0166731124575652	0.101650122470027	0.108353745004512	0.123307979889132	0.0922177817884921	0.132675862661682	0.0207124747539856	0.0337114863993812	0.0137295346138971	0.0881999054617335	0.0338833741566757	0.0398994456619827	0.099952730866744	0.0385673155429505	0.0159640754587255	0.126681277126037	0.135877272141292	0.136135103777233	0.0998238150487731	0.0469038717717331	0.125241717158695	0.0489020669502815	0.05588500709037	0.0370418116969619	0.0175325512440376	0.112865798633492	0.0719565123974045	0.0873619526449229	0.129775256757337	0.00709036998839758	0.0663057023763482	0.0376434188474926	0.014202225946457	0.121159382922951	0.0855356452236689	0.103046710498045	0.0707962700356667	0.0611490696575136	0.0847836362855056	0.113983069055906	0.112629452967212	0.139315027287181	0.0550255683038976	0.0752223797859997	0.128228266941687	0.032830561643247	0.0711400455502557	0.0119891710712904	0.121760990073482	0.0470113016200421	0.0339263460959993	0.0742340251815564	0.0554552876971338	0.152142151175283	0.0350221305487517	0.03203558076576	0.106892699067509
Aphrocallistes_vastus	0.100189076533024	0.111018005242577	0.0985991147780499	0.105818400584418	0.0302952172231533	0.0435520605044906	0.0466030681964677		0.161445576038847	0.113811181298612	0.194061277985475	0.204374543423145	0.0409092862360878	0.0251600704739805	0.135060805294143	0.168084740664346	0.157792961196339	0.137338318078295	0.17193072923381	0.041231575781015	0.0463022646212024	0.0299299557389025	0.149391947058571	0.0980404795668429	0.0525976537321129	0.166151003394783	0.076447080056723	0.0395556701473938	0.177645997163852	0.216320742555112	0.222379785999742	0.202977955395127	0.137918439259164	0.18129861200636	0.0961497142366035	0.103949121223841	0.0649091143483305	0.0227751278415195	0.199389798461605	0.114627648145761	0.167354217695845	0.171415065961927	0.0241717158695372	0.134179880538009	0.0543165313050578	0.0246658931717588	0.165441966395943	0.150960422843883	0.134974861415496	0.117055562717545	0.118129861200636	0.169416870783378	0.202849039577156	0.159447380860298	0.203751450302952	0.0637273860169309	0.215783593313566	0.164281724034206	0.0584203515104637	0.112027845816682	0.0415538653259422	0.195715697649435	0.0643934510764471	0.0987280305960208	0.153689140990933	0.217352069098878	0.217094237462937	0.0429934252932835	0.049073954707576	0.152292552962915
Aurelia_aurita	0.190150831507026	0.237699282368613	0.188152636328478	0.298225258905934	0.0817541145631902	0.0843539168922693	0.116346525718706	0.161445576038847		0.221090627820034	0.473357397619355	0.530982768252331	0.0459584891066134	0.0451635082291264	0.363714494435134	0.414657728503287	0.390034807270852	0.308882299858193	0.444995917665764	0.0607838081732629	0.0677237763740278	0.0383309698766705	0.31691805251171	0.0902625585492673	0.150487731511323	0.418804520648017	0.157664045378368	0.0358600833655623	0.494048386403678	0.494177302221649	0.489342959047742	0.442202741609729	0.177216277770616	0.479309011215676	0.190709466718233	0.184779339091573	0.15270078638649	0.048730179192987	0.425980834515062	0.252180825920674	0.329444372824546	0.489815650380302	0.0370203257273001	0.278458166817068	0.119139701774741	0.0513944394310515	0.433243092260754	0.308753384040222	0.327768467190924	0.273065188431954	0.236496068067552	0.244789652357011	0.369150444759572	0.416054316531305	0.522560268144901	0.178312062223368	0.230458510592583	0.448670018477934	0.110932061363929	0.295582484637532	0.0848051222551674	0.446521421511753	0.148940741695673	0.11378969532895	0.262021400025783	0.202934983455803	0.571505307034506	0.0917021185166087	0.109406557517941	0.398607709165915
Beroe_abyssicola	0.124554166129517	0.123974044948649	0.122470027072322	0.149391947058571	0.052017532551244	0.0389755489665249	0.0669287954965408	0.113811181298612	0.221090627820034		0.265523613080658	0.251213957285892	0.0251600704739805	0.0349147007004426	0.184048816123072	0.260109148725882	0.1753684843797	0.18058957500752	0.193502642774268	0.0271582656525289	0.0283829659232521	0.0108289287095527	0.223497056422156	0.059064930600318	0.0847836362855056	0.245326801598556	0.067465944738086	0.0193588586652916	0.212088006531735	0.235206909887843	0.250913153710627	0.227471960809591	0.135404580808732	0.217416527007864	0.120364402045464	0.121159382922951	0.0755446693309269	0.0154913841261656	0.255683038975549	0.13430879635598	0.200657470671651	0.219371750247089	0.024988182716686	0.187529543208285	0.07451334278716	0.0209488204202656	0.212216922349706	0.154978299170642	0.175647801985304	0.170491169266469	0.127046538610287	0.192256456533883	0.220961712002063	0.213957285892312	0.239160328305616	0.0824846375316918	0.136715224958102	0.208628765416183	0.0626530875338404	0.151562029994414	0.0554767736667956	0.222659103605346	0.0782089295689914	0.0680460659189549	0.161467062008508	0.128894332001203	0.263933651325684	0.0569593055734605	0.0754802114219415	0.25190150831507
