	Abylopsis_tetragona	Acropora_digitifera	Agalma_elegans	Aiptasia_pallida	Allomyces_macrogynus	Amoebidium_parasiticum	Amphimedon_queenslandica	Aphrocallistes_vastus	Aurelia_aurita	Beroe_abyssicola	Bolinopsis_infundibulum	Bolocera_tuediae	Capitella_teleta	Capsaspora_owczarzaki	Chondrilla_nucula	Coeloplana_astericola	Corticium_candelabrum	Craseoa_lathetica	Crella_elegans	Danio_rerio	Daphnia_pulex	Drosophila_melanogaster	Dryodora_glandiformis	Ephydatia_muelleri	Eunicella_verrucosa	Euplokamis_dunlapae	Hemithiris_psittacea	Homo_sapiens	Hormathia_digitata	Hyalonema_populiferum	Hydra_oligactis	Hydra_viridissima	Hydra_vulgaris	Ircinia_fasciculata	Kirkpatrickia_variolosa	Latrunculia_apicalis	Lithobius_forficatus	Lottia_gigantea	Mertensiidae_sp	Ministeria_vibrans	Mnemiopsis_leidyi	Monosiga_ovata	Mortierella_verticillata	Nanomia_bijuga	Nematostella_vectensis	Oscarella_carmela	Periphylla_periphylla	Petromyzon_marinus	Petrosia_ficiformis	Physalia_physalis	Platygyra_carnosa	Pleurobrachia_atlantica	Pleurobrachia_bachei	Priapulus_caudatus	Pseudospongosorites_suberitoides	Rhizopus_oryzae	Rossella_fibulata	Saccoglossus_kowalevskii	Salpingoeca_rosetta	Sphaeroforma_arctica	Spizellomyces_punctatus	Spongilla_alba	Strongylocentrotus_purpuratus	Sycon_ciliatum	Sycon_coactum	Sympagella_nux	Tethya_wilhelma	Trichoplax_adhaerens	Tubulanus_polymorphus	Vallicula_sp
Abylopsis_tetragona		0.513557646856603	0.5740406514546	0.419578015555842	0.662885136006188	0.633621245326802	0.607773623823643	0.580529414292467	0.295625456576855	0.547333591164969	0.252051910102703	0.144600575823987	0.672274504748399	0.672338962657385	0.355184564479395	0.300825061235014	0.313845558850071	0.478277684671909	0.234325985131709	0.67062008508444	0.650724077177603	0.689892999871084	0.439280649735723	0.617356366292811	0.611275836878518	0.343603626831679	0.599888272957759	0.685918095483649	0.220854282153754	0.241889046452666	0.237548880580981	0.310579691461476	0.587662756220188	0.236839843582141	0.567680804434704	0.580421984444158	0.574169567272571	0.676765072407718	0.287589703923338	0.493876498646384	0.38371793219028	0.182222508701818	0.681728331399596	0.490997378711701	0.612221219543638	0.658351596407546	0.302049761505737	0.362855055648661	0.403141248764557	0.530058871556873	0.476494349189979	0.487881913110739	0.314833913454514	0.316380903270165	0.186261870998238	0.530896824373684	0.455846332344979	0.269090284044519	0.610287482274075	0.413132224657299	0.642301577070173	0.276545915517167	0.56952859782562	0.623802157191354	0.482596364573933	0.546882385802071	0.117098534656869	0.609728847062868	0.607451334278716	0.347922306733703
Acropora_digitifera	0.513557646856603		0.4933608353745	0.390163723088823	0.629839714666323	0.619419019380345	0.58910231618753	0.551394439431051	0.303210003867475	0.506789566413132	0.219479180095398	0.140152980103992	0.640668643375876	0.628808388122556	0.353895406299686	0.274483262429633	0.304434704138198	0.404494864853251	0.238107515792188	0.628443126638305	0.624017016887972	0.657298783894117	0.401465343130936	0.598169395384814	0.589961754974002	0.295002363456663	0.534656869064501	0.642172661252202	0.215955481070861	0.23576554509905	0.234390443040694	0.293885093034249	0.555541231575781	0.211615315199175	0.573267156546775	0.561127583687852	0.559988827295776	0.644213828370074	0.260452924240471	0.472970650165442	0.375188002234541	0.179558248463753	0.651024880752868	0.418611146921061	0.57855270508358	0.639465429074814	0.278673026513687	0.326694168707834	0.360018907653302	0.478900777792102	0.479652786730265	0.452516007047398	0.304133900562932	0.284216406686434	0.175282540501053	0.512354432555541	0.450023634566628	0.246487043960294	0.555842035151046	0.396824373683984	0.623565811525074	0.241803102574019	0.538159082119376	0.601972412014954	0.453160586137252	0.535258476215032	0.111963387907696	0.613467405784023	0.581066563534012	0.305272656955008
Agalma_elegans	0.5740406514546	0.4933608353745		0.397941644106399	0.646921060547462	0.649284517210262	0.602144299772249	0.574556314726484	0.289244123587298	0.540866314296764	0.244080615358171	0.148231704696833	0.682781143913025	0.662068669159039	0.366980361823729	0.288728460315414	0.308602982252589	0.485711830174896	0.236367152249581	0.67193072923381	0.651605001933737	0.683919900305101	0.427441880452065	0.619633879076963	0.592862360878346	0.30802286107172	0.569958317218856	0.684328133728675	0.244574792660393	0.224163121481672	0.235314339736152	0.313738129001762	0.584139057195651	0.226204288599545	0.540049847449615	0.557775772420609	0.542133986506811	0.663250397490439	0.262429633449358	0.46227063727386	0.419062352283959	0.178462464011001	0.675325512440376	0.487731511323106	0.621524644407202	0.662047183189377	0.290597739675992	0.364982166645181	0.376154870869322	0.509797602165786	0.461626058184006	0.47887929182244	0.31775600532852	0.287181470499764	0.18237291048945	0.503416269176228	0.481457608181857	0.241180009453827	0.592088865970521	0.392699067508917	0.636221047655881	0.270508358042198	0.549073954707576	0.626982080701302	0.496154011430536	0.549589617979459	0.105388681191182	0.610394912122384	0.597761161961239	0.347557045249452
Aiptasia_pallida	0.419578015555842	0.390163723088823	0.397941644106399		0.513751020583559	0.479910618366207	0.468394138627476	0.414421382837007	0.23196252846891	0.400434016587169	0.199712088006532	0.115164797387306	0.508164668471488	0.506982940140088	0.287267414378411	0.222702075544669	0.249194276137682	0.329594774612178	0.19244983026084	0.49608955352155	0.512891581797086	0.533926346095999	0.320140947960981	0.476644750977612	0.471917837652013	0.225151476086116	0.458166817068454	0.518048214515921	0.21013278329251	0.203644020454643	0.190236775385673	0.263783249538052	0.419900305100769	0.180052425765975	0.4532465300159	0.455867818314641	0.451892913927206	0.508229126380474	0.192535774139487	0.381075157921877	0.293885093034249	0.151583515964075	0.524536977353788	0.350715482789738	0.470478277684672	0.48706544626359	0.226827381719737	0.248549697047828	0.313179493790555	0.381418933436466	0.340144385716127	0.382922951312793	0.209337802415023	0.236539040006876	0.171844785355163	0.399810923466976	0.304241330411241	0.19898156503803	0.441815994155816	0.312706802457995	0.489987538137596	0.210820334321688	0.447166000601607	0.467298354174724	0.356710068325384	0.387714322547377	0.0988569464139917	0.470241932018392	0.462464011000816	0.229534613897125
Allomyces_macrogynus	0.662885136006188	0.629839714666323	0.646921060547462	0.513751020583559		0.816552791027459	0.75557560912724	0.692063082806927	0.36865626745735	0.656224485411027	0.271969403979202	0.175669287954965	0.837931330840961	0.846568690645009	0.43983928494693	0.345064672768682	0.36508959649349	0.535344420093679	0.275729448670018	0.823578703106871	0.826436337071892	0.873662498388552	0.506617678655838	0.764793090112157	0.742211335997594	0.360255253319582	0.735421769584461	0.848309054187615	0.277362382364316	0.270357956254566	0.253512956039706	0.342207038803661	0.681728331399596	0.252266769799321	0.70740406514546	0.713355678741782	0.697799836706631	0.846117485282111	0.318379098448713	0.592131837909845	0.474259808345151	0.217072751493275	0.875445833870483	0.540801856387779	0.755360749430622	0.831528511881741	0.334171286150144	0.435907352498818	0.47224012719694	0.586244682222509	0.589360147823471	0.571698680761463	0.356301834901809	0.360169309440935	0.20966009195995	0.674036354260668	0.544518929139272	0.302307593141678	0.750032228954493	0.53061750676808	0.844720897254093	0.30505779725839	0.711507885350866	0.755253319582313	0.569571569764943	0.652120665205621	0.12612264191483	0.765845902625585	0.749774397318551	0.377938206351253
Amoebidium_parasiticum	0.633621245326802	0.619419019380345	0.649284517210262	0.479910618366207	0.816552791027459		0.7287611189893	0.674122298139315	0.34005844183748	0.611984873877358	0.260624811997765	0.165807227880194	0.818765845902626	0.817713033389197	0.436788277254953	0.318787331872287	0.361802243135233	0.520110867603455	0.267607752137854	0.799901164539556	0.802995144170856	0.843238365347428	0.482639336513257	0.741308925271797	0.712216922349706	0.336147995359031	0.692535774139487	0.817304799965622	0.265502127110997	0.249215762107344	0.25261054531391	0.338726311718448	0.678312062223368	0.239009926517984	0.6753684843797	0.676958446134674	0.663422285247733	0.813394353487173	0.305637918439259	0.560096257144085	0.463839113059172	0.204138197756865	0.836341369085987	0.529715096042284	0.733423574405913	0.812255597095097	0.323836534742813	0.407524386575566	0.447939495509432	0.559064930600318	0.560053285204761	0.537772334665463	0.369558678183146	0.345537364101242	0.199131966825663	0.62766963173048	0.546925357741395	0.293412401701689	0.723174766877229	0.530638992737742	0.791715010098406	0.295582484637532	0.67904258519187	0.757896093850715	0.5643075071978	0.635125263203128	0.12090155128701	0.741588242877401	0.726139830690559	0.372051050663916
Amphimedon_queenslandica	0.607773623823643	0.58910231618753	0.602144299772249	0.468394138627476	0.75557560912724	0.7287611189893		0.644836921490267	0.339714666322891	0.607601736066349	0.261763568389841	0.169868076146276	0.788857376133385	0.778436680847407	0.423896695457866	0.317240342056637	0.365841605431653	0.507391173563663	0.272850328735336	0.778178849211465	0.779274633664217	0.807915431223411	0.473078080013751	0.713871342013665	0.694018306046152	0.32843453225044	0.658888745649091	0.798160800996949	0.262257745692063	0.264384856688582	0.254952516007047	0.305981693953848	0.624102960766619	0.239310730093249	0.639637316832109	0.654784925443685	0.647930901121568	0.790318422070388	0.288298740922178	0.548128572042456	0.440698723733402	0.206952859782562	0.787396330196382	0.49548794637102	0.699798031885179	0.770680245799493	0.320441751536247	0.401057109707361	0.452838296592325	0.55090026212883	0.526406256714365	0.544927162562846	0.348394998066263	0.33079798891324	0.198358471917838	0.603519401830605	0.51957371836191	0.286558377379571	0.69648919255726	0.462571440849126	0.737054703278759	0.28417343474711	0.657749989257015	0.695500837952817	0.529349834558034	0.606699325340553	0.126788706974346	0.720467534699841	0.698465901766147	0.362683167891367
Aphrocallistes_vastus	0.580529414292467	0.551394439431051	0.574556314726484	0.414421382837007	0.692063082806927	0.674122298139315	0.644836921490267		0.305079283228052	0.57474968845344	0.243264148511022	0.149649778694512	0.732542649649779	0.707189205448842	0.377572944867002	0.297236904301491	0.32059215332388	0.472777276438486	0.232370761892484	0.718963516823514	0.712130978471058	0.744381418933436	0.454535688195608	0.698294014008852	0.626982080701302	0.3148983713635	0.617034076747884	0.742017962270637	0.233488032314898	0.265093893687422	0.261462764814576	0.329401400885222	0.63538309483907	0.215633191525934	0.607150530703451	0.623114606162176	0.596063770357956	0.71582656525289	0.29508830733531	0.511065274375833	0.440956555369344	0.168858235572171	0.724743242662541	0.4836276911177	0.636736710927764	0.701409479609815	0.284989901594259	0.386747453912595	0.405032014094796	0.517425121395729	0.503652614842508	0.549825963645739	0.357526535172532	0.297881483391345	0.183060461518628	0.532486786128658	0.580400498474496	0.24287740105711	0.642344549009497	0.423724807700572	0.686884964118431	0.278393708908083	0.59539770529844	0.680568089037858	0.52907051695243	0.688861673327317	0.11200635984702	0.648704396029393	0.635769842292983	0.328348588371793
Aurelia_aurita	0.295625456576855	0.303210003867475	0.289244123587298	0.23196252846891	0.36865626745735	0.34005844183748	0.339714666322891	0.305079283228052		0.307163422285248	0.147694555455288	0.101392290834085	0.362726139830691	0.352326930514374	0.231360921318379	0.168944179450819	0.177968286708779	0.26945554552877	0.130570237634824	0.363650036526148	0.35868677753427	0.377916720381591	0.247196080959134	0.315650380301663	0.350006445790899	0.19268617592712	0.323385329379915	0.363456662799192	0.175024708865111	0.168084740664346	0.153560225172962	0.19376047441021	0.299815220660908	0.138777878045636	0.326844570495466	0.329079111340295	0.308989729706502	0.366915903914744	0.146813630699153	0.273752739461132	0.228180997808431	0.112393107300932	0.362726139830691	0.253040264707146	0.326694168707834	0.353272313179494	0.177925314769456	0.16967470241932	0.222959907180611	0.298569034420523	0.24715310901981	0.250333032529758	0.148962227665335	0.179622706372739	0.127003566670964	0.272205749645481	0.220209703063899	0.152399982811224	0.319990546173349	0.232413733831808	0.355270508358042	0.154333720080787	0.305079283228052	0.320764041081174	0.262537063297667	0.299578874994628	0.091551716728976	0.322547376563104	0.321236732413734	0.199798031885179
Beroe_abyssicola	0.547333591164969	0.506789566413132	0.540866314296764	0.400434016587169	0.656224485411027	0.611984873877358	0.607601736066349	0.57474968845344	0.307163422285248		0.257165570882214	0.138928279833269	0.65923252116368	0.659382922951313	0.369000042971939	0.331700399639036	0.28060676378325	0.45846762064372	0.196381762708951	0.647329293971037	0.636650767049117	0.667719479180095	0.471079884835203	0.601757552318336	0.601607150530703	0.336513256843281	0.550492028705255	0.664260238064544	0.21036912895879	0.226419148296163	0.23243521980147	0.296334493575695	0.575308323664647	0.194190193803446	0.57380430578832	0.582763955137295	0.549138412616561	0.650981908813545	0.293820635125263	0.47318550986206	0.416698895621159	0.159254007133342	0.667998796785699	0.479416441063985	0.599372609685875	0.64013149413433	0.27420394482403	0.333204417515362	0.388144041940613	0.513299815220661	0.455008379528168	0.515104636672253	0.318078294873448	0.294830475699368	0.160908426797301	0.493683124919428	0.443771217395041	0.229663529715096	0.589016372308882	0.405698079154312	0.643246959735293	0.247776202140003	0.551652271066993	0.592325211636801	0.479287525246014	0.542843023505651	0.101284860985776	0.605109363585579	0.604615186283357	0.370396630999957
