	Abylopsis_tetragona	Acropora_digitifera	Agalma_elegans	Aiptasia_pallida	Allomyces_macrogynus	Amoebidium_parasiticum	Amphimedon_queenslandica	Aphrocallistes_vastus	Aurelia_aurita	Beroe_abyssicola	Bolinopsis_infundibulum	Bolocera_tuediae	Capitella_teleta	Capsaspora_owczarzaki	Chondrilla_nucula	Coeloplana_astericola	Corticium_candelabrum	Craseoa_lathetica	Crella_elegans	Danio_rerio	Daphnia_pulex	Drosophila_melanogaster	Dryodora_glandiformis	Ephydatia_muelleri	Eunicella_verrucosa	Euplokamis_dunlapae	Hemithiris_psittacea	Homo_sapiens	Hormathia_digitata	Hyalonema_populiferum	Hydra_oligactis	Hydra_viridissima	Hydra_vulgaris	Ircinia_fasciculata	Kirkpatrickia_variolosa	Latrunculia_apicalis	Lithobius_forficatus	Lottia_gigantea	Mertensiidae_sp	Ministeria_vibrans	Mnemiopsis_leidyi	Monosiga_ovata	Mortierella_verticillata	Nanomia_bijuga	Nematostella_vectensis	Oscarella_carmela	Periphylla_periphylla	Petromyzon_marinus	Petrosia_ficiformis	Physalia_physalis	Platygyra_carnosa	Pleurobrachia_atlantica	Pleurobrachia_bachei	Priapulus_caudatus	Pseudospongosorites_suberitoides	Rhizopus_oryzae	Rossella_fibulata	Saccoglossus_kowalevskii	Salpingoeca_rosetta	Sphaeroforma_arctica	Spizellomyces_punctatus	Spongilla_alba	Strongylocentrotus_purpuratus	Sycon_ciliatum	Sycon_coactum	Sympagella_nux	Tethya_wilhelma	Trichoplax_adhaerens	Tubulanus_polymorphus	Vallicula_sp
Abylopsis_tetragona		0	0.710097719869707	0.710097719869707	0.687296416938111	0.690553745928339	0	0	0	0.697068403908795	0	0	0.710097719869707	0.661237785016287	0.58957654723127	0	0	0	0	0	0.710097719869707	0.710097719869707	0.710097719869707	0	0.576547231270358	0.609120521172638	0.710097719869707	0	0.495114006514658	0	0	0.710097719869707	0.710097719869707	0	0	0	0.710097719869707	0.543973941368078	0.710097719869707	0.680781758957655	0.697068403908795	0	0.684039087947883	0.697068403908795	0.306188925081433	0	0.599348534201954	0	0	0.710097719869707	0	0	0	0.615635179153095	0	0.517915309446254	0	0	0.403908794788274	0.52442996742671	0.671009771986971	0	0	0	0	0	0	0.680781758957655	0.710097719869707	0
Acropora_digitifera	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Agalma_elegans	0.710097719869707	0		0.990228013029316	0.964169381107492	0.96742671009772	0	0	0	0.977198697068404	0	0	0.990228013029316	0.938110749185668	0.866449511400652	0	0	0	0	0	0.990228013029316	0.990228013029316	0.928338762214984	0	0.856677524429967	0.622149837133551	0.990228013029316	0	0.495114006514658	0	0	0.990228013029316	0.990228013029316	0	0	0	0.990228013029316	0.824104234527687	0.990228013029316	0.853420195439739	0.889250814332248	0	0.957654723127036	0.977198697068404	0.55700325732899	0	0.879478827361563	0	0	0.990228013029316	0	0	0	0.895765472312704	0	0.543973941368078	0	0	0.677524429967427	0.794788273615635	0.95114006514658	0	0	0	0	0	0	0.960912052117264	0.990228013029316	0
Aiptasia_pallida	0.710097719869707	0	0.990228013029316		0.964169381107492	0.96742671009772	0	0	0	0.977198697068404	0	0	0.990228013029316	0.938110749185668	0.866449511400652	0	0	0	0	0	0.990228013029316	0.990228013029316	0.928338762214984	0	0.856677524429967	0.622149837133551	0.990228013029316	0	0.495114006514658	0	0	0.990228013029316	0.990228013029316	0	0	0	0.990228013029316	0.824104234527687	0.990228013029316	0.853420195439739	0.889250814332248	0	0.957654723127036	0.977198697068404	0.55700325732899	0	0.879478827361563	0	0	0.990228013029316	0	0	0	0.895765472312704	0	0.543973941368078	0	0	0.677524429967427	0.794788273615635	0.95114006514658	0	0	0	0	0	0	0.960912052117264	0.990228013029316	0
Allomyces_macrogynus	0.687296416938111	0	0.964169381107492	0.964169381107492		0.957654723127036	0	0	0	0.973941368078176	0	0	0.973941368078176	0.938110749185668	0.859934853420195	0	0	0	0	0	0.964169381107492	0.973941368078176	0.915309446254072	0	0.850162866449511	0.622149837133551	0.973941368078176	0	0.472312703583062	0	0	0.964169381107492	0.964169381107492	0	0	0	0.96742671009772	0.811074918566775	0.973941368078176	0.840390879478827	0.889250814332248	0	0.947882736156352	0.964169381107492	0.553745928338762	0	0.872964169381108	0	0	0.964169381107492	0	0	0	0.889250814332248	0	0.537459283387622	0	0	0.677524429967427	0.771986970684039	0.93485342019544	0	0	0	0	0	0	0.947882736156352	0.973941368078176	0
Amoebidium_parasiticum	0.690553745928339	0	0.96742671009772	0.96742671009772	0.957654723127036		0	0	0	0.964169381107492	0	0	0.977198697068404	0.928338762214984	0.846905537459283	0	0	0	0	0	0.96742671009772	0.977198697068404	0.9185667752443	0	0.833876221498371	0.612377850162866	0.977198697068404	0	0.488599348534202	0	0	0.96742671009772	0.96742671009772	0	0	0	0.970684039087948	0.814332247557003	0.977198697068404	0.850162866449511	0.879478827361563	0	0.957654723127036	0.954397394136808	0.543973941368078	0	0.856677524429967	0	0	0.96742671009772	0	0	0	0.872964169381108	0	0.543973941368078	0	0	0.671009771986971	0.775244299674267	0.947882736156352	0	0	0	0	0	0	0.938110749185668	0.977198697068404	0
Amphimedon_queenslandica	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aphrocallistes_vastus	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aurelia_aurita	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Beroe_abyssicola	0.697068403908795	0	0.977198697068404	0.977198697068404	0.973941368078176	0.964169381107492	0	0	0		0	0	0.986970684039088	0.947882736156352	0.866449511400652	0	0	0	0	0	0.977198697068404	0.986970684039088	0.925081433224756	0	0.856677524429967	0.631921824104234	0.986970684039088	0	0.482084690553746	0	0	0.977198697068404	0.977198697068404	0	0	0	0.980456026058632	0.820846905537459	0.986970684039088	0.850162866449511	0.899022801302932	0	0.954397394136808	0.977198697068404	0.55700325732899	0	0.879478827361563	0	0	0.977198697068404	0	0	0	0.895765472312704	0	0.543973941368078	0	0	0.677524429967427	0.781758957654723	0.944625407166124	0	0	0	0	0	0	0.960912052117264	0.986970684039088	0
Bolinopsis_infundibulum	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bolocera_tuediae	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Capitella_teleta	0.710097719869707	0	0.990228013029316	0.990228013029316	0.973941368078176	0.977198697068404	0	0	0	0.986970684039088	0	0		0.947882736156352	0.866449511400652	0	0	0	0	0	0.990228013029316	1	0.938110749185668	0	0.856677524429967	0.631921824104234	1	0	0.495114006514658	0	0	0.990228013029316	0.990228013029316	0	0	0	0.993485342019544	0.833876221498371	1	0.863192182410424	0.899022801302932	0	0.96742671009772	0.977198697068404	0.55700325732899	0	0.879478827361563	0	0	0.990228013029316	0	0	0	0.895765472312704	0	0.543973941368078	0	0	0.677524429967427	0.794788273615635	0.95114006514658	0	0	0	0	0	0	0.960912052117264	1	0
Capsaspora_owczarzaki	0.661237785016287	0	0.938110749185668	0.938110749185668	0.938110749185668	0.928338762214984	0	0	0	0.947882736156352	0	0	0.947882736156352		0.840390879478827	0	0	0	0	0	0.938110749185668	0.947882736156352	0.889250814332248	0	0.824104234527687	0.596091205211726	0.947882736156352	0	0.472312703583062	0	0	0.938110749185668	0.938110749185668	0	0	0	0.941368078175896	0.785016286644951	0.947882736156352	0.827361563517915	0.863192182410424	0	0.931596091205212	0.938110749185668	0.54071661237785	0	0.846905537459283	0	0	0.938110749185668	0	0	0	0.863192182410424	0	0.52442996742671	0	0	0.667752442996743	0.752442996742671	0.908794788273616	0	0	0	0	0	0	0.925081433224756	0.947882736156352	0
