Basefrequencies
File	Taxon	p(A)	p(V)	p(L)	p(I)	p(P)	p(M)	p(F)	p(W)	p(G)	p(S)	p(T)	p(C)	p(N)	p(Q)	p(Y)	p(D)	p(E)	p(K)	p(R)	p(H)	p(Hydrophobic)	p(Hydrophilic)	p(Polar)	p(Nonpolar)	p(Positive)	p(Neutral)	p(Negative)	p(gap)	p(Ambiguity) [X]	RCFV Value (taxon specific)	Absolute Deviation (A)	Absolute Deviation (V)	Absolute Deviation (L)	Absolute Deviation (I)	Absolute Deviation (P)	Absolute Deviation (M)	Absolute Deviation (F)	Absolute Deviation (W)	Absolute Deviation (G)	Absolute Deviation (S)	Absolute Deviation (T)	Absolute Deviation (C)	Absolute Deviation (N)	Absolute Deviation (Q)	Absolute Deviation (Y)	Absolute Deviation (D)	Absolute Deviation (E)	Absolute Deviation (K)	Absolute Deviation (R)	Absolute Deviation (H)	Absolute Deviation (Hydrophobic)	Absolute Deviation (Hydrophilic)	Absolute Deviation (Polar)	Absolute Deviation (Nonpolar)	Absolute Deviation (Positive)	Absolute Deviation (Neutral)	Absolute Deviation (Negative)	Absolute Deviation (Gap)	Absolute Deviation (Ambiguity) [X]	p_uninformative sites
Datset20_Uncertain_LBAgenesHeteroRemoved_LBAtaxa.phy	Coeloplana_astericola	0.0621	0.0225	0.0502	0.0507	0.0421	0.0379	0.0505	0.0126	0.0672	0.0712	0.0227	0.0563	0.0723	0.0259	0.0687	0.0612	0.1015	0.0371	0.0483	0.0391	0.3548	0.6452	0.5227	0.4773	0.1217	0.7607	0.1176	0.1340	0.4961	0.0008	0.0067	0.0017	0.0022	0.0014	0.0046	0.0013	0.0049	0.0006	0.0038	0.0061	0.0030	0.0027	0.0010	0.0005	0.0059	0.0017	0.0034	0.0019	0.0003	0.0002	0.0096	0.0096	0.0126	0.0126	0.0022	0.0039	0.0017	0.0211	0.2198	0.6301
Datset20_Uncertain_LBAgenesHeteroRemoved_LBAtaxa.phy	Hyalonema_populiferum	0.0551	0.0203	0.0485	0.0499	0.0478	0.0428	0.0492	0.0125	0.0684	0.0735	0.0209	0.0536	0.0620	0.0238	0.0819	0.0614	0.1042	0.0340	0.0524	0.0378	0.3648	0.6352	0.5247	0.4753	0.1227	0.7623	0.1150	0.1932	0.5173	0.0015	0.0137	0.0005	0.0039	0.0022	0.0103	0.0062	0.0062	0.0007	0.0050	0.0084	0.0048	0.0000	0.0113	0.0016	0.0191	0.0015	0.0007	0.0050	0.0044	0.0015	0.0004	0.0004	0.0146	0.0146	0.0032	0.0023	0.0009	0.0803	0.2410	0.7105
Datset20_Uncertain_LBAgenesHeteroRemoved_LBAtaxa.phy	Allomyces_macrogynus	0.1104	0.0138	0.0524	0.0572	0.0290	0.0328	0.0633	0.0156	0.0496	0.0463	0.0249	0.0557	0.0858	0.0281	0.0459	0.0521	0.1108	0.0382	0.0431	0.0449	0.3957	0.6043	0.4661	0.5339	0.1096	0.7826	0.1078	0.0360	0.0615	0.0025	0.0416	0.0070	0.0000	0.0051	0.0085	0.0038	0.0079	0.0024	0.0138	0.0188	0.0008	0.0021	0.0125	0.0027	0.0169	0.0108	0.0059	0.0008	0.0049	0.0056	0.0313	0.0313	0.0440	0.0440	0.0099	0.0180	0.0081	0.0769	0.2148	0.0975
Datset20_Uncertain_LBAgenesHeteroRemoved_LBAtaxa.phy	Hydra_vulgaris	0.0589	0.0213	0.0470	0.0488	0.0453	0.0375	0.0483	0.0127	0.0696	0.0709	0.0244	0.0524	0.0687	0.0239	0.0719	0.0644	0.1055	0.0385	0.0535	0.0364	0.3634	0.6366	0.5209	0.4791	0.1192	0.7639	0.1169	0.0893	0.1725	0.0011	0.0099	0.0005	0.0054	0.0033	0.0078	0.0009	0.0071	0.0005	0.0062	0.0058	0.0013	0.0012	0.0046	0.0015	0.0091	0.0015	0.0006	0.0005	0.0055	0.0029	0.0010	0.0010	0.0108	0.0108	0.0003	0.0007	0.0010	0.0236	0.1038	0.2618
Datset20_Uncertain_LBAgenesHeteroRemoved_LBAtaxa.phy	Mnemiopsis_leidyi	0.0610	0.0211	0.0494	0.0530	0.0416	0.0391	0.0527	0.0125	0.0679	0.0669	0.0257	0.0522	0.0744	0.0259	0.0638	0.0598	0.1065	0.0391	0.0495	0.0380	0.3570	0.6430	0.5192	0.4808	0.1196	0.7684	0.1120	0.1900	0.2956	0.0006	0.0078	0.0003	0.0030	0.0009	0.0041	0.0025	0.0027	0.0007	0.0045	0.0018	0.0000	0.0014	0.0011	0.0005	0.0010	0.0031	0.0016	0.0001	0.0015	0.0013	0.0074	0.0074	0.0091	0.0091	0.0001	0.0038	0.0039	0.0771	0.0193	0.4856
Datset20_Uncertain_LBAgenesHeteroRemoved_LBAtaxa.phy	Pleurobrachia_bachei	0.0623	0.0217	0.0519	0.0563	0.0384	0.0366	0.0550	0.0125	0.0679	0.0618	0.0263	0.0488	0.0753	0.0259	0.0627	0.0621	0.1069	0.0373	0.0489	0.0415	0.3611	0.6389	0.5117	0.4883	0.1168	0.7723	0.1109	0.1391	0.4655	0.0005	0.0065	0.0009	0.0005	0.0042	0.0009	0.0000	0.0004	0.0007	0.0045	0.0033	0.0006	0.0048	0.0020	0.0005	0.0001	0.0008	0.0020	0.0017	0.0009	0.0022	0.0033	0.0033	0.0016	0.0016	0.0027	0.0077	0.0050	0.0262	0.1892	0.6046
Datset20_Uncertain_LBAgenesHeteroRemoved_LBAtaxa.phy	Craseoa_lathetica	0.0600	0.0215	0.0519	0.0510	0.0408	0.0390	0.0488	0.0125	0.0646	0.0713	0.0257	0.0543	0.0710	0.0246	0.0716	0.0628	0.1040	0.0375	0.0508	0.0362	0.3607	0.6393	0.5163	0.4837	0.1201	0.7628	0.1171	0.2093	0.2145	0.0008	0.0088	0.0007	0.0005	0.0011	0.0033	0.0024	0.0066	0.0007	0.0012	0.0062	0.0000	0.0007	0.0023	0.0008	0.0088	0.0001	0.0009	0.0015	0.0028	0.0031	0.0037	0.0037	0.0062	0.0062	0.0006	0.0018	0.0012	0.0964	0.0618	0.4238
Datset20_Uncertain_LBAgenesHeteroRemoved_LBAtaxa.phy	Saccoglossus_kowalevskii	0.0619	0.0227	0.0550	0.0548	0.0393	0.0367	0.0556	0.0132	0.0593	0.0697	0.0271	0.0574	0.0689	0.0260	0.0662	0.0638	0.0961	0.0399	0.0468	0.0396	0.3508	0.6492	0.5253	0.4747	0.1253	0.7535	0.1212	0.2187	0.4619	0.0007	0.0069	0.0019	0.0026	0.0027	0.0018	0.0001	0.0002	0.0000	0.0041	0.0046	0.0014	0.0038	0.0044	0.0006	0.0034	0.0009	0.0088	0.0009	0.0012	0.0003	0.0136	0.0136	0.0152	0.0152	0.0058	0.0111	0.0053	0.1058	0.1856	0.6807
Datset20_Uncertain_LBAgenesHeteroRemoved_LBAtaxa.phy	Aphrocallistes_vastus	0.0607	0.0207	0.0498	0.0503	0.0373	0.0384	0.0572	0.0124	0.0731	0.0627	0.0231	0.0489	0.0665	0.0260	0.0638	0.0640	0.1143	0.0410	0.0501	0.0395	0.3640	0.6360	0.5197	0.4803	0.1199	0.7672	0.1129	0.0384	0.2024	0.0009	0.0081	0.0001	0.0026	0.0018	0.0002	0.0018	0.0018	0.0008	0.0097	0.0024	0.0026	0.0047	0.0068	0.0006	0.0010	0.0011	0.0094	0.0020	0.0021	0.0002	0.0004	0.0004	0.0096	0.0096	0.0004	0.0026	0.0030	0.0745	0.0739	0.2408
Datset20_Uncertain_LBAgenesHeteroRemoved_LBAtaxa.phy	Dryodora_glandiformis	0.0641	0.0220	0.0519	0.0520	0.0375	0.0379	0.0536	0.0130	0.0683	0.0666	0.0257	0.0567	0.0759	0.0247	0.0634	0.0587	0.1055	0.0385	0.0471	0.0369	0.3557	0.6443	0.5164	0.4836	0.1202	0.7644	0.1154	0.1316	0.3225	0.0005	0.0047	0.0012	0.0005	0.0001	0.0000	0.0013	0.0018	0.0002	0.0049	0.0015	0.0000	0.0031	0.0026	0.0007	0.0006	0.0042	0.0006	0.0005	0.0009	0.0024	0.0087	0.0087	0.0063	0.0063	0.0007	0.0002	0.0005	0.0187	0.0462	0.4541
