	Abeoforma_whisleri	Acanthoeca_sp_10tr	Acanthoeca_spectabilis_VA_02	Aiptasia_pallida	Alatina_alata	Amoebidium_parasiticum_JAP72	Amphimedon_queenslandica	Antipathes_caribbeana	Aphrocallistes_vastus	Aplysia_californica	Atolla_vanhoeffeni	Aurelia_aurita	Beroe_abyssicola	Beroe_sp	Bolinopsis_infundibulum	Bolocera_tuedia	Branchiostoma_floridae	Capitella_teleta	Capsaspora_owczarzaki_atcc30864	Cestum_veneris	Choanoeca_perplexa_11	Chondrilla_nucula	Clathrina_coriacea	Clytia_hemisphaerica	Codosiga_hollandica_17	Coeloplana_species	Corticium_candelabrum	Craspedacusta_sowerbyi	Crassostrea_gigas	Creolimax_fragrantissima	Daphnia_pulex	Diaphanoeca_grandis_RI_01	Didymoeca_costata_10	Dryodora_glandiformis	Edwardsiella_lineata	Ephydatia_muelleri	Euplectella_aspergillum	Euplokamis_dunlapae	Gorgonia_ventalina	Grantia_compressa	Helobdella_robusta	Homo_sapiens	Hormiphora_californensis	Hyalonema_populiferum	Hydra_magnipapillata	Hydractinia_polyclina	Ircinia_fasciculata	Ixodes_scapularis	Kirkpatrickia_variolosa	Lampea_pancerina	Latrunculia_apicalis	Leuconia_nivea	Leucosolenia_complicata	Liriope_tetraphylla	Lucernariopsis_campanulata	Ministeria_vibrans	Mnemiopsis_leidyi	Monosiga_brevicollis_mx1	Montastraea_faveolata	Mycale_phyllophila	Mylnosiga_fluctuans_19	Nanomia_bijuga	Nematostella_vectensis	Oscarella_carmela	Oscarella_species	Pelagia_noctiluca	Pennatula_rubra	Periphylla_periphylla	Petrosia_ficiformis	Pirum_gemmata	Plakina_jani	Pleraplysilla_spinifera	Pleurobrachia_species	Plumapathes_pennacea	Porites_australiensis	Rossella_fibulata	Saccoglossus_kowalevskii	Salpingoeca_dolichothecata_16	Salpingoeca_helianthica_18	Salpingoeca_infusionum_12	Salpingoeca_macrocollata_06	Salpingoeca_punica_03	Salpingoeca_qvevrii_09	Salpingoeca_roanoka_13	Salpingoeca_rosetta	Salpingoeca_urceolata_04	Sphaeroforma_arctica_JP610	Spongilla_lacustris	Stephanoeca_diplocostata_AUFR	Stomolophus_meleagris	Strongylocentrotus_purpuratus	Sycon_ciliatum	Sycon_coactum	Sympagella_nux	Tribolium_castaneum	Trichoplax_adhaerens	Vallicula_multiformis
Abeoforma_whisleri		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acanthoeca_sp_10tr	0		0.894484412470024	0.928057553956835	0	0	0.920863309352518	0.92326139088729	0.822541966426859	0.839328537170264	0.218225419664269	0.925659472422062	0.86810551558753	0.498800959232614	0.539568345323741	0.369304556354916	0.928057553956835	0.928057553956835	0.906474820143885	0.71462829736211	0.906474820143885	0	0.407673860911271	0	0.887290167865707	0.884892086330935	0.908872901678657	0	0.654676258992806	0	0.920863309352518	0.865707434052758	0.880095923261391	0.311750599520384	0.177458033573141	0.916067146282974	0.484412470023981	0.918465227817746	0.913669064748201	0.678657074340528	0.887290167865707	0.928057553956835	0.577937649880096	0	0	0	0.247002398081535	0.894484412470024	0.489208633093525	0.860911270983213	0.928057553956835	0.798561151079137	0	0	0	0.143884892086331	0.872901678657074	0.892086330935252	0.92326139088729	0.525179856115108	0.904076738609113	0	0.916067146282974	0.899280575539568	0.810551558752998	0.20863309352518	0.235011990407674	0.148681055155875	0.870503597122302	0	0.904076738609113	0.928057553956835	0.887290167865707	0.928057553956835	0.928057553956835	0.884892086330935	0.808153477218225	0.928057553956835	0.88968824940048	0.875299760191847	0.870503597122302	0.858513189448441	0.913669064748201	0.84652278177458	0.800959232613909	0.92326139088729	0	0.170263788968825	0.836930455635492	0.880095923261391	0.928057553956835	0	0.733812949640288	0.892086330935252	0.904076738609113	0.918465227817746	0.86810551558753
Acanthoeca_spectabilis_VA_02	0	0.894484412470024		0.928057553956835	0	0	0.928057553956835	0.928057553956835	0.829736211031175	0.848920863309353	0.215827338129496	0.928057553956835	0.875299760191847	0.486810551558753	0.520383693045564	0.369304556354916	0.928057553956835	0.925659472422062	0.906474820143885	0.726618705035971	0.928057553956835	0	0.419664268585132	0	0.908872901678657	0.894484412470024	0.908872901678657	0	0.661870503597122	0	0.928057553956835	0.882494004796163	0.887290167865707	0.311750599520384	0.170263788968825	0.925659472422062	0.49400479616307	0.896882494004796	0.920863309352518	0.690647482014389	0.916067146282974	0.928057553956835	0.558752997601918	0	0	0	0.247002398081535	0.899280575539568	0.482014388489209	0.875299760191847	0.928057553956835	0.779376498800959	0	0	0	0.139088729016787	0.872901678657074	0.90167865707434	0.928057553956835	0.525179856115108	0.913669064748201	0	0.928057553956835	0.911270983213429	0.803357314148681	0.194244604316547	0.235011990407674	0.139088729016787	0.836930455635492	0	0.913669064748201	0.928057553956835	0.887290167865707	0.928057553956835	0.928057553956835	0.88968824940048	0.808153477218225	0.925659472422062	0.894484412470024	0.884892086330935	0.88968824940048	0.882494004796163	0.925659472422062	0.856115107913669	0.810551558752998	0.928057553956835	0	0.170263788968825	0.856115107913669	0.860911270983213	0.925659472422062	0	0.71462829736211	0.88968824940048	0.916067146282974	0.925659472422062	0.86810551558753
Aiptasia_pallida	0	0.928057553956835	0.928057553956835		0	0	0.992805755395683	0.995203836930456	0.863309352517986	0.908872901678657	0.247002398081535	0.997601918465228	0.930455635491607	0.52757793764988	0.570743405275779	0.398081534772182	1	0.997601918465228	0.956834532374101	0.75779376498801	0.97841726618705	0	0.45083932853717	0	0.930455635491607	0.954436450839328	0.980815347721823	0	0.719424460431655	0	0.992805755395683	0.896882494004796	0.920863309352518	0.34052757793765	0.206235011990408	0.985611510791367	0.525179856115108	0.959232613908873	0.985611510791367	0.721822541966427	0.949640287769784	1	0.616306954436451	0	0	0	0.275779376498801	0.964028776978417	0.498800959232614	0.920863309352518	1	0.822541966426859	0	0	0	0.172661870503597	0.94484412470024	0.935251798561151	0.995203836930456	0.577937649880096	0.949640287769784	0	0.988009592326139	0.971223021582734	0.848920863309353	0.20863309352518	0.26378896882494	0.148681055155875	0.908872901678657	0	0.973621103117506	1	0.959232613908873	1	1	0.92326139088729	0.877697841726619	0.997601918465228	0.932853717026379	0.918465227817746	0.911270983213429	0.906474820143885	0.985611510791367	0.887290167865707	0.841726618705036	0.995203836930456	0	0.199040767386091	0.870503597122302	0.918465227817746	0.997601918465228	0	0.743405275779377	0.930455635491607	0.961630695443645	0.988009592326139	0.911270983213429
Alatina_alata	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amoebidium_parasiticum_JAP72	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amphimedon_queenslandica	0	0.920863309352518	0.928057553956835	0.992805755395683	0	0		0.992805755395683	0.863309352517986	0.908872901678657	0.247002398081535	0.992805755395683	0.92326139088729	0.520383693045564	0.563549160671463	0.398081534772182	0.992805755395683	0.990407673860911	0.949640287769784	0.75779376498801	0.97841726618705	0	0.45083932853717	0	0.930455635491607	0.954436450839328	0.973621103117506	0	0.712230215827338	0	0.992805755395683	0.896882494004796	0.920863309352518	0.34052757793765	0.203836930455636	0.985611510791367	0.525179856115108	0.959232613908873	0.983213429256595	0.721822541966427	0.949640287769784	0.992805755395683	0.609112709832134	0	0	0	0.275779376498801	0.964028776978417	0.498800959232614	0.920863309352518	0.992805755395683	0.815347721822542	0	0	0	0.172661870503597	0.937649880095923	0.935251798561151	0.992805755395683	0.573141486810552	0.947242206235012	0	0.988009592326139	0.971223021582734	0.848920863309353	0.20863309352518	0.26378896882494	0.143884892086331	0.90167865707434	0	0.973621103117506	0.992805755395683	0.952038369304556	0.992805755395683	0.992805755395683	0.92326139088729	0.870503597122302	0.990407673860911	0.930455635491607	0.918465227817746	0.911270983213429	0.906474820143885	0.985611510791367	0.887290167865707	0.841726618705036	0.992805755395683	0	0.199040767386091	0.870503597122302	0.911270983213429	0.990407673860911	0	0.73621103117506	0.92326139088729	0.961630695443645	0.988009592326139	0.904076738609113
Antipathes_caribbeana	0	0.92326139088729	0.928057553956835	0.995203836930456	0	0	0.992805755395683		0.863309352517986	0.908872901678657	0.247002398081535	0.995203836930456	0.925659472422062	0.522781774580336	0.565947242206235	0.398081534772182	0.995203836930456	0.992805755395683	0.952038369304556	0.75779376498801	0.97841726618705	0	0.45083932853717	0	0.930455635491607	0.954436450839328	0.976019184652278	0	0.71462829736211	0	0.992805755395683	0.896882494004796	0.920863309352518	0.34052757793765	0.206235011990408	0.985611510791367	0.525179856115108	0.959232613908873	0.985611510791367	0.721822541966427	0.949640287769784	0.995203836930456	0.611510791366906	0	0	0	0.275779376498801	0.964028776978417	0.498800959232614	0.920863309352518	0.995203836930456	0.817745803357314	0	0	0	0.172661870503597	0.940047961630695	0.935251798561151	0.995203836930456	0.575539568345324	0.949640287769784	0	0.988009592326139	0.971223021582734	0.848920863309353	0.20863309352518	0.26378896882494	0.146282973621103	0.904076738609113	0	0.973621103117506	0.995203836930456	0.954436450839328	0.995203836930456	0.995203836930456	0.92326139088729	0.872901678657074	0.992805755395683	0.932853717026379	0.918465227817746	0.911270983213429	0.906474820143885	0.985611510791367	0.887290167865707	0.841726618705036	0.995203836930456	0	0.199040767386091	0.870503597122302	0.913669064748201	0.992805755395683	0	0.738609112709832	0.925659472422062	0.961630695443645	0.988009592326139	0.906474820143885
Aphrocallistes_vastus	0	0.822541966426859	0.829736211031175	0.863309352517986	0	0	0.863309352517986	0.863309352517986		0.800959232613909	0.122302158273381	0.863309352517986	0.815347721822542	0.412470023980815	0.438848920863309	0.290167865707434	0.863309352517986	0.860911270983213	0.863309352517986	0.752997601918465	0.848920863309353	0	0.448441247002398	0	0.84652278177458	0.851318944844125	0.863309352517986	0	0.58273381294964	0	0.863309352517986	0.824940047961631	0.848920863309353	0.215827338129496	0.079136690647482	0.856115107913669	0.520383693045564	0.829736211031175	0.856115107913669	0.717026378896882	0.822541966426859	0.863309352517986	0.496402877697842	0	0	0	0.15347721822542	0.834532374100719	0.49400479616307	0.822541966426859	0.863309352517986	0.719424460431655	0	0	0	0.0719424460431655	0.824940047961631	0.860911270983213	0.863309352517986	0.448441247002398	0.84652278177458	0	0.858513189448441	0.841726618705036	0.719424460431655	0.20863309352518	0.139088729016787	0.0719424460431655	0.772182254196643	0	0.84652278177458	0.863309352517986	0.839328537170264	0.863309352517986	0.863309352517986	0.860911270983213	0.743405275779377	0.860911270983213	0.853717026378897	0.860911270983213	0.829736211031175	0.810551558752998	0.856115107913669	0.817745803357314	0.793764988009592	0.863309352517986	0	0.0743405275779376	0.788968824940048	0.793764988009592	0.860911270983213	0	0.666666666666667	0.860911270983213	0.858513189448441	0.858513189448441	0.860911270983213
Aplysia_californica	0	0.839328537170264	0.848920863309353	0.908872901678657	0	0	0.908872901678657	0.908872901678657	0.800959232613909		0.179856115107914	0.908872901678657	0.839328537170264	0.45083932853717	0.49400479616307	0.390887290167866	0.908872901678657	0.908872901678657	0.865707434052758	0.743405275779377	0.894484412470024	0	0.436450839328537	0	0.848920863309353	0.872901678657074	0.88968824940048	0	0.640287769784173	0	0.908872901678657	0.827338129496403	0.841726618705036	0.309352517985612	0.134292565947242	0.908872901678657	0.513189448441247	0.880095923261391	0.899280575539568	0.707434052757794	0.865707434052758	0.908872901678657	0.539568345323741	0	0	0	0.220623501199041	0.882494004796163	0.498800959232614	0.836930455635492	0.908872901678657	0.745803357314149	0	0	0	0.103117505995204	0.853717026378897	0.853717026378897	0.908872901678657	0.49400479616307	0.865707434052758	0	0.908872901678657	0.90167865707434	0.788968824940048	0.196642685851319	0.20863309352518	0.0743405275779376	0.820143884892086	0	0.896882494004796	0.908872901678657	0.86810551558753	0.908872901678657	0.908872901678657	0.841726618705036	0.798561151079137	0.908872901678657	0.84652278177458	0.836930455635492	0.832134292565947	0.848920863309353	0.908872901678657	0.817745803357314	0.76978417266187	0.908872901678657	0	0.134292565947242	0.822541966426859	0.829736211031175	0.908872901678657	0	0.666666666666667	0.841726618705036	0.882494004796163	0.908872901678657	0.820143884892086
