	Abeoforma_whisleri	Acanthoeca_sp_10tr	Acanthoeca_spectabilis_VA_02	Aiptasia_pallida	Alatina_alata	Amoebidium_parasiticum_JAP72	Amphimedon_queenslandica	Antipathes_caribbeana	Aphrocallistes_vastus	Aplysia_californica	Atolla_vanhoeffeni	Aurelia_aurita	Beroe_abyssicola	Beroe_sp	Bolinopsis_infundibulum	Bolocera_tuedia	Branchiostoma_floridae	Capitella_teleta	Capsaspora_owczarzaki_atcc30864	Cestum_veneris	Choanoeca_perplexa_11	Chondrilla_nucula	Clathrina_coriacea	Clytia_hemisphaerica	Codosiga_hollandica_17	Coeloplana_species	Corticium_candelabrum	Craspedacusta_sowerbyi	Crassostrea_gigas	Creolimax_fragrantissima	Daphnia_pulex	Diaphanoeca_grandis_RI_01	Didymoeca_costata_10	Dryodora_glandiformis	Edwardsiella_lineata	Ephydatia_muelleri	Euplectella_aspergillum	Euplokamis_dunlapae	Gorgonia_ventalina	Grantia_compressa	Helobdella_robusta	Homo_sapiens	Hormiphora_californensis	Hyalonema_populiferum	Hydra_magnipapillata	Hydractinia_polyclina	Ircinia_fasciculata	Ixodes_scapularis	Kirkpatrickia_variolosa	Lampea_pancerina	Latrunculia_apicalis	Leuconia_nivea	Leucosolenia_complicata	Liriope_tetraphylla	Lucernariopsis_campanulata	Ministeria_vibrans	Mnemiopsis_leidyi	Monosiga_brevicollis_mx1	Montastraea_faveolata	Mycale_phyllophila	Mylnosiga_fluctuans_19	Nanomia_bijuga	Nematostella_vectensis	Oscarella_carmela	Oscarella_species	Pelagia_noctiluca	Pennatula_rubra	Periphylla_periphylla	Petrosia_ficiformis	Pirum_gemmata	Plakina_jani	Pleraplysilla_spinifera	Pleurobrachia_species	Plumapathes_pennacea	Porites_australiensis	Rossella_fibulata	Saccoglossus_kowalevskii	Salpingoeca_dolichothecata_16	Salpingoeca_helianthica_18	Salpingoeca_infusionum_12	Salpingoeca_macrocollata_06	Salpingoeca_punica_03	Salpingoeca_qvevrii_09	Salpingoeca_roanoka_13	Salpingoeca_rosetta	Salpingoeca_urceolata_04	Sphaeroforma_arctica_JP610	Spongilla_lacustris	Stephanoeca_diplocostata_AUFR	Stomolophus_meleagris	Strongylocentrotus_purpuratus	Sycon_ciliatum	Sycon_coactum	Sympagella_nux	Tribolium_castaneum	Trichoplax_adhaerens	Vallicula_multiformis
Abeoforma_whisleri		0.25531914893617	0.25531914893617	0.263297872340426	0.263297872340426	0.263297872340426	0.26063829787234	0	0.263297872340426	0.263297872340426	0	0.263297872340426	0	0	0.194148936170213	0.263297872340426	0.263297872340426	0.263297872340426	0.263297872340426	0.263297872340426	0.263297872340426	0.106382978723404	0	0.263297872340426	0.263297872340426	0.263297872340426	0.26063829787234	0.263297872340426	0.263297872340426	0	0.263297872340426	0.263297872340426	0.263297872340426	0.263297872340426	0.257978723404255	0.263297872340426	0.263297872340426	0.0957446808510638	0.252659574468085	0.263297872340426	0.263297872340426	0.263297872340426	0.263297872340426	0	0.263297872340426	0.263297872340426	0.0398936170212766	0.263297872340426	0.263297872340426	0.263297872340426	0.106382978723404	0.263297872340426	0.263297872340426	0.188829787234043	0.263297872340426	0	0.263297872340426	0.263297872340426	0.263297872340426	0.25531914893617	0.263297872340426	0.0877659574468085	0.263297872340426	0.263297872340426	0.263297872340426	0	0	0	0.106382978723404	0	0	0	0.263297872340426	0.263297872340426	0.263297872340426	0	0.00531914893617021	0.263297872340426	0.247340425531915	0.263297872340426	0.263297872340426	0.263297872340426	0.263297872340426	0.263297872340426	0.263297872340426	0.263297872340426	0	0.263297872340426	0.25531914893617	0.263297872340426	0.263297872340426	0	0.263297872340426	0.263297872340426	0.263297872340426	0.263297872340426	0.263297872340426
Acanthoeca_sp_10tr	0.25531914893617		0.710106382978723	0.688829787234043	0.468085106382979	0.667553191489362	0.699468085106383	0	0.648936170212766	0.710106382978723	0	0.702127659574468	0	0	0.49468085106383	0.651595744680851	0.664893617021277	0.710106382978723	0.672872340425532	0.579787234042553	0.648936170212766	0.465425531914894	0.335106382978723	0.662234042553192	0.662234042553192	0.710106382978723	0.502659574468085	0.710106382978723	0.707446808510638	0.23936170212766	0.704787234042553	0.686170212765957	0.680851063829787	0.627659574468085	0.694148936170213	0.707446808510638	0.574468085106383	0.146276595744681	0.686170212765957	0.625	0.702127659574468	0.710106382978723	0.680851063829787	0	0.704787234042553	0.704787234042553	0.24468085106383	0.707446808510638	0.702127659574468	0.710106382978723	0.502659574468085	0.696808510638298	0.672872340425532	0.473404255319149	0.569148936170213	0	0.688829787234043	0.672872340425532	0.688829787234043	0.48936170212766	0.683510638297872	0.515957446808511	0.699468085106383	0.707446808510638	0.710106382978723	0.242021276595745	0	0	0.502659574468085	0	0	0	0.678191489361702	0.667553191489362	0.707446808510638	0	0.0585106382978723	0.680851063829787	0.595744680851064	0.678191489361702	0.648936170212766	0.646276595744681	0.699468085106383	0.683510638297872	0.659574468085106	0.688829787234043	0	0.542553191489362	0.683510638297872	0.547872340425532	0.704787234042553	0	0.683510638297872	0.662234042553192	0.683510638297872	0.640957446808511	0.710106382978723
Acanthoeca_spectabilis_VA_02	0.25531914893617	0.710106382978723		0.856382978723404	0.521276595744681	0.667553191489362	0.86436170212766	0.0531914893617021	0.803191489361702	0.805851063829787	0	0.75531914893617	0	0	0.49468085106383	0.651595744680851	0.832446808510638	0.877659574468085	0.835106382978723	0.579787234042553	0.795212765957447	0.465425531914894	0.335106382978723	0.771276595744681	0.795212765957447	0.853723404255319	0.502659574468085	0.867021276595745	0.867021276595745	0.23936170212766	0.867021276595745	0.853723404255319	0.832446808510638	0.627659574468085	0.859042553191489	0.86968085106383	0.574468085106383	0.146276595744681	0.800531914893617	0.625	0.86436170212766	0.867021276595745	0.787234042553192	0	0.872340425531915	0.872340425531915	0.24468085106383	0.779255319148936	0.856382978723404	0.877659574468085	0.502659574468085	0.843085106382979	0.811170212765957	0.640957446808511	0.569148936170213	0	0.856382978723404	0.837765957446808	0.856382978723404	0.61968085106383	0.773936170212766	0.654255319148936	0.843085106382979	0.861702127659574	0.765957446808511	0.367021276595745	0	0	0.664893617021277	0	0	0	0.845744680851064	0.824468085106383	0.861702127659574	0	0.0585106382978723	0.848404255319149	0.595744680851064	0.805851063829787	0.816489361702128	0.803191489361702	0.827127659574468	0.840425531914894	0.816489361702128	0.840425531914894	0	0.654255319148936	0.845744680851064	0.696808510638298	0.867021276595745	0	0.827127659574468	0.829787234042553	0.837765957446808	0.795212765957447	0.86436170212766
Aiptasia_pallida	0.263297872340426	0.688829787234043	0.856382978723404		0.537234042553192	0.670212765957447	0.936170212765957	0.0691489361702128	0.914893617021277	0.906914893617021	0	0.813829787234043	0	0	0.539893617021277	0.757978723404255	0.928191489361702	0.970744680851064	0.946808510638298	0.601063829787234	0.811170212765957	0.465425531914894	0.36968085106383	0.821808510638298	0.832446808510638	0.925531914893617	0.547872340425532	0.965425531914894	0.970744680851064	0.242021276595745	0.938829787234043	0.86968085106383	0.893617021276596	0.662234042553192	0.960106382978723	0.970744680851064	0.595744680851064	0.146276595744681	0.86968085106383	0.627659574468085	0.925531914893617	0.968085106382979	0.882978723404255	0	0.978723404255319	0.973404255319149	0.234042553191489	0.840425531914894	0.965425531914894	0.978723404255319	0.542553191489362	0.946808510638298	0.922872340425532	0.742021276595745	0.577127659574468	0	0.957446808510638	0.88031914893617	0.978723404255319	0.638297872340426	0.808510638297872	0.75531914893617	0.952127659574468	0.941489361702128	0.821808510638298	0.422872340425532	0	0	0.715425531914894	0	0	0	0.949468085106383	0.946808510638298	0.933510638297872	0	0.0824468085106383	0.933510638297872	0.595744680851064	0.875	0.832446808510638	0.808510638297872	0.922872340425532	0.86968085106383	0.845744680851064	0.906914893617021	0	0.691489361702128	0.888297872340426	0.765957446808511	0.968085106382979	0	0.909574468085106	0.917553191489362	0.904255319148936	0.872340425531915	0.938829787234043
Alatina_alata	0.263297872340426	0.468085106382979	0.521276595744681	0.537234042553192		0.486702127659574	0.539893617021277	0.0691489361702128	0.521276595744681	0.558510638297872	0	0.555851063829787	0	0	0.420212765957447	0.452127659574468	0.513297872340426	0.558510638297872	0.518617021276596	0.462765957446808	0.515957446808511	0.26063829787234	0.109042553191489	0.48936170212766	0.50531914893617	0.558510638297872	0.465425531914894	0.558510638297872	0.555851063829787	0.050531914893617	0.555851063829787	0.558510638297872	0.558510638297872	0.454787234042553	0.553191489361702	0.555851063829787	0.452127659574468	0.167553191489362	0.476063829787234	0.486702127659574	0.550531914893617	0.558510638297872	0.534574468085106	0	0.553191489361702	0.558510638297872	0.0904255319148936	0.48936170212766	0.537234042553192	0.558510638297872	0.26063829787234	0.553191489361702	0.531914893617021	0.454787234042553	0.481382978723404	0	0.558510638297872	0.521276595744681	0.537234042553192	0.396276595744681	0.529255319148936	0.36436170212766	0.550531914893617	0.558510638297872	0.558510638297872	0.0691489361702128	0	0	0.321808510638298	0	0	0	0.529255319148936	0.515957446808511	0.555851063829787	0	0.0585106382978723	0.558510638297872	0.436170212765957	0.545212765957447	0.537234042553192	0.50531914893617	0.558510638297872	0.526595744680851	0.507978723404255	0.558510638297872	0	0.398936170212766	0.529255319148936	0.550531914893617	0.558510638297872	0	0.555851063829787	0.531914893617021	0.547872340425532	0.50531914893617	0.558510638297872
Amoebidium_parasiticum_JAP72	0.263297872340426	0.667553191489362	0.667553191489362	0.670212765957447	0.486702127659574		0.680851063829787	0	0.63563829787234	0.688829787234043	0	0.688829787234043	0	0	0.513297872340426	0.632978723404255	0.643617021276596	0.688829787234043	0.654255319148936	0.601063829787234	0.632978723404255	0.462765957446808	0.311170212765957	0.678191489361702	0.672872340425532	0.688829787234043	0.521276595744681	0.688829787234043	0.688829787234043	0.236702127659574	0.688829787234043	0.675531914893617	0.678191489361702	0.606382978723404	0.683510638297872	0.688829787234043	0.595744680851064	0.164893617021277	0.667553191489362	0.646276595744681	0.683510638297872	0.688829787234043	0.662234042553192	0	0.686170212765957	0.688829787234043	0.242021276595745	0.688829787234043	0.683510638297872	0.688829787234043	0.462765957446808	0.688829787234043	0.664893617021277	0.457446808510638	0.590425531914894	0	0.672872340425532	0.664893617021277	0.670212765957447	0.51063829787234	0.678191489361702	0.497340425531915	0.683510638297872	0.686170212765957	0.688829787234043	0.202127659574468	0	0	0.462765957446808	0	0	0	0.659574468085106	0.648936170212766	0.688829787234043	0	0.0585106382978723	0.670212765957447	0.61436170212766	0.662234042553192	0.667553191489362	0.662234042553192	0.688829787234043	0.675531914893617	0.651595744680851	0.680851063829787	0	0.547872340425532	0.651595744680851	0.569148936170213	0.686170212765957	0	0.688829787234043	0.656914893617021	0.680851063829787	0.638297872340426	0.688829787234043
Amphimedon_queenslandica	0.26063829787234	0.699468085106383	0.86436170212766	0.936170212765957	0.539893617021277	0.680851063829787		0.0611702127659574	0.875	0.877659574468085	0	0.813829787234043	0	0	0.521276595744681	0.723404255319149	0.898936170212766	0.944148936170213	0.909574468085106	0.598404255319149	0.821808510638298	0.462765957446808	0.36968085106383	0.800531914893617	0.843085106382979	0.898936170212766	0.529255319148936	0.938829787234043	0.941489361702128	0.242021276595745	0.938829787234043	0.872340425531915	0.867021276595745	0.672872340425532	0.930851063829787	0.944148936170213	0.593085106382979	0.159574468085106	0.848404255319149	0.638297872340426	0.928191489361702	0.938829787234043	0.848404255319149	0	0.949468085106383	0.944148936170213	0.24468085106383	0.843085106382979	0.936170212765957	0.949468085106383	0.537234042553192	0.920212765957447	0.890957446808511	0.715425531914894	0.587765957446808	0	0.928191489361702	0.890957446808511	0.936170212765957	0.640957446808511	0.819148936170213	0.731382978723404	0.922872340425532	0.933510638297872	0.821808510638298	0.412234042553192	0	0	0.710106382978723	0	0	0	0.914893617021277	0.904255319148936	0.920212765957447	0	0.0664893617021277	0.904255319148936	0.606382978723404	0.872340425531915	0.835106382978723	0.816489361702128	0.896276595744681	0.877659574468085	0.853723404255319	0.898936170212766	0	0.699468085106383	0.861702127659574	0.73936170212766	0.938829787234043	0	0.901595744680851	0.906914893617021	0.906914893617021	0.859042553191489	0.912234042553192
Antipathes_caribbeana	0	0	0.0531914893617021	0.0691489361702128	0.0691489361702128	0	0.0611702127659574		0.0691489361702128	0.0691489361702128	0	0.0691489361702128	0	0	0	0	0.0691489361702128	0.0691489361702128	0.0664893617021277	0	0.0478723404255319	0	0	0	0.0186170212765957	0.0691489361702128	0	0.0691489361702128	0.0691489361702128	0	0.0691489361702128	0.0691489361702128	0.0691489361702128	0	0.0691489361702128	0.0691489361702128	0	0	0	0	0.0691489361702128	0.0691489361702128	0.0691489361702128	0	0.0691489361702128	0.0691489361702128	0	0	0.0558510638297872	0.0691489361702128	0	0.0664893617021277	0.0691489361702128	0.0691489361702128	0	0	0.0691489361702128	0.0558510638297872	0.0691489361702128	0.0691489361702128	0.0398936170212766	0.0691489361702128	0.0691489361702128	0.0691489361702128	0.0691489361702128	0.0691489361702128	0	0	0.0611702127659574	0	0	0	0.0691489361702128	0.0691489361702128	0.0691489361702128	0	0	0.0691489361702128	0	0.0558510638297872	0.0691489361702128	0.0425531914893617	0.0691489361702128	0.0452127659574468	0.0452127659574468	0.0691489361702128	0	0	0.0691489361702128	0.0691489361702128	0.0691489361702128	0	0.0691489361702128	0.0691489361702128	0.0691489361702128	0.0691489361702128	0.0691489361702128
Aphrocallistes_vastus	0.263297872340426	0.648936170212766	0.803191489361702	0.914893617021277	0.521276595744681	0.63563829787234	0.875	0.0691489361702128		0.843085106382979	0	0.768617021276596	0	0	0.518617021276596	0.707446808510638	0.86436170212766	0.914893617021277	0.906914893617021	0.590425531914894	0.797872340425532	0.444148936170213	0.348404255319149	0.763297872340426	0.787234042553192	0.867021276595745	0.526595744680851	0.914893617021277	0.914893617021277	0.218085106382979	0.882978723404255	0.819148936170213	0.851063829787234	0.622340425531915	0.898936170212766	0.914893617021277	0.595744680851064	0.13031914893617	0.811170212765957	0.611702127659574	0.875	0.914893617021277	0.837765957446808	0	0.914893617021277	0.909574468085106	0.191489361702128	0.787234042553192	0.901595744680851	0.914893617021277	0.513297872340426	0.88563829787234	0.877659574468085	0.704787234042553	0.561170212765957	0	0.893617021276596	0.837765957446808	0.914893617021277	0.61968085106383	0.771276595744681	0.710106382978723	0.890957446808511	0.888297872340426	0.776595744680851	0.388297872340426	0	0	0.675531914893617	0	0	0	0.904255319148936	0.909574468085106	0.875	0	0.0611702127659574	0.877659574468085	0.582446808510638	0.853723404255319	0.795212765957447	0.763297872340426	0.867021276595745	0.813829787234043	0.800531914893617	0.875	0	0.63563829787234	0.835106382978723	0.742021276595745	0.904255319148936	0	0.848404255319149	0.877659574468085	0.856382978723404	0.845744680851064	0.877659574468085
Aplysia_californica	0.263297872340426	0.710106382978723	0.805851063829787	0.906914893617021	0.558510638297872	0.688829787234043	0.877659574468085	0.0691489361702128	0.843085106382979		0	0.832446808510638	0	0	0.561170212765957	0.757978723404255	0.877659574468085	0.920212765957447	0.875	0.601063829787234	0.76063829787234	0.465425531914894	0.36968085106383	0.776595744680851	0.779255319148936	0.898936170212766	0.569148936170213	0.914893617021277	0.917553191489362	0.242021276595745	0.88563829787234	0.819148936170213	0.843085106382979	0.683510638297872	0.912234042553192	0.917553191489362	0.595744680851064	0.167553191489362	0.816489361702128	0.646276595744681	0.867021276595745	0.917553191489362	0.888297872340426	0	0.922872340425532	0.922872340425532	0.25	0.824468085106383	0.906914893617021	0.928191489361702	0.542553191489362	0.912234042553192	0.86968085106383	0.686170212765957	0.590425531914894	0	0.906914893617021	0.829787234042553	0.906914893617021	0.611702127659574	0.808510638297872	0.699468085106383	0.917553191489362	0.893617021276596	0.840425531914894	0.38563829787234	0	0	0.643617021276596	0	0	0	0.893617021276596	0.875	0.893617021276596	0	0.101063829787234	0.882978723404255	0.617021276595745	0.824468085106383	0.781914893617021	0.757978723404255	0.912234042553192	0.813829787234043	0.789893617021277	0.856382978723404	0	0.640957446808511	0.835106382978723	0.715425531914894	0.922872340425532	0	0.88031914893617	0.845744680851064	0.851063829787234	0.800531914893617	0.888297872340426
Atolla_vanhoeffeni	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
