	Abylopsis_tetragona	Acanthoeca_sp	Acropora_digitifera	Agalma_elegans	Aiptasia_pallida	Amphimedon_queenslandica	Aphrocallistes_vastus	Beroe_abyssicola	Beroe_forskalii	Beroe_ovata	Beroe_sp_Antarctica	Beroe_sp_Queensland_Australia	Bolinopsis_ashleyi	Bolinopsis_infundibulum	Bolocera_tuediae	Callianira_Antarctica	Capitella_teleta	Cestum_veneris	Chondrilla_nucula	Cliona_varians	Coeloplana_astericola	Corticium_candelabrum	Craseo_lathetica	Crella_elegans	Ctenophora_sp_Florida_USA	Cydippida_sp	Cydippida_sp_Maryland_USA	Daphnia_pulex	Drosophila_melanogaster	Dryodora_glandiformis	Eunicella_verrucosa	Euplokamis_dunlapae	Eurhamphaea_vexilligera	Hemithris_psittacea	Homo_sapiens	Hormathia_digitata	Hormiphora_californica	Hormiphora_palmata	Hyalonema_populiferum	Hydra_oligactis	Hydra_viridissima	Hydra_vulgaris	Ircinia_fasciculata	Kirkpatrickia_variolosa	Latrunculia_apicalis	Lobata_sp_Punta_Arenas_Argentina	Lobatolampea_tetragona	Mertensiidae_sp_Antarctica	Mertensiidae_sp_Washington_USA	Mnemiopsis_leidyi	Monosiga_brevicolis	Monosiga_ovata	Mycale_phylophylla	Nanomia_bijuga	Nematostella_vectensis	Ocyropsis_crystallina	Ocyropsis_sp_Bimini_Bahamas	Ocyropsis_sp_Florida_USA	Oscarella_carmela	Periphyla_periphyla	Petrosia_ficiformis	Physalia_physalia	Pleurobrachia_bachei	Pleurobrachia_pileus	Pleurobrachia_sp_South_Carolina_USA	Pseudospongosorites_suberitoides	Rossella_fibulata	Salpingoeca_pyxidium	Salpingoeca_rosetta	Spongilla_lacustris	Strongylocentrotus_purpatus	Sycon_ciliatum	Sycon_coactum	Sympagella_nux	Trichoplax_adhaerens	Vallicula_sp
Abylopsis_tetragona		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acanthoeca_sp	0		0.0302114803625378	0	0	0	0	0	0	0.0302114803625378	0.0302114803625378	0.0302114803625378	0	0.0302114803625378	0.0302114803625378	0.0302114803625378	0	0.0302114803625378	0.0302114803625378	0	0.0302114803625378	0.0302114803625378	0.0302114803625378	0.0302114803625378	0.0302114803625378	0.0302114803625378	0.0120845921450151	0	0	0.0302114803625378	0	0.0302114803625378	0.0302114803625378	0	0	0.0302114803625378	0	0.0302114803625378	0.0302114803625378	0.0302114803625378	0.0302114803625378	0	0.0302114803625378	0.0302114803625378	0	0.0302114803625378	0.0302114803625378	0.0302114803625378	0.0302114803625378	0.0302114803625378	0	0.0302114803625378	0.0302114803625378	0	0	0.0302114803625378	0.0302114803625378	0.0302114803625378	0.0302114803625378	0.0302114803625378	0.0302114803625378	0.0302114803625378	0.0302114803625378	0.0302114803625378	0	0.0302114803625378	0	0.0302114803625378	0	0.0302114803625378	0	0	0	0	0	0.0302114803625378
Acropora_digitifera	0	0.0302114803625378		0	0	0.00906344410876133	0	0	0	1	1	0.172205438066465	0	1	1	0.389728096676737	0	0.205438066465257	0.117824773413897	0	1	1	0.413897280966767	0.187311178247734	1	1	0.262839879154079	0	0	0.664652567975831	0	1	0.670694864048338	0	0	1	0	0.722054380664653	0.441087613293051	0.235649546827795	1	0	1	1	0	1	1	0.157099697885196	1	1	0	1	0.178247734138973	0	0	0.0785498489425982	0.0785498489425982	1	0.211480362537764	1	0.48036253776435	0.268882175226586	1	0.0513595166163142	0	0.338368580060423	0	0.676737160120846	0	1	0	0.0120845921450151	0.0120845921450151	0	0	1
Agalma_elegans	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aiptasia_pallida	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amphimedon_queenslandica	0	0	0.00906344410876133	0	0		0	0	0	0.00906344410876133	0.00906344410876133	0	0	0.00906344410876133	0.00906344410876133	0.00906344410876133	0	0.00906344410876133	0	0	0.00906344410876133	0.00906344410876133	0.00906344410876133	0.00906344410876133	0.00906344410876133	0.00906344410876133	0	0	0	0.00906344410876133	0	0.00906344410876133	0.00906344410876133	0	0	0.00906344410876133	0	0.00906344410876133	0.00906344410876133	0	0.00906344410876133	0	0.00906344410876133	0.00906344410876133	0	0.00906344410876133	0.00906344410876133	0	0.00906344410876133	0.00906344410876133	0	0.00906344410876133	0	0	0	0	0	0.00906344410876133	0.00906344410876133	0.00906344410876133	0.00906344410876133	0.00906344410876133	0.00906344410876133	0	0	0.00906344410876133	0	0.00906344410876133	0	0.00906344410876133	0	0	0	0	0	0.00906344410876133
Aphrocallistes_vastus	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Beroe_abyssicola	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Beroe_forskalii	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Beroe_ovata	0	0.0302114803625378	1	0	0	0.00906344410876133	0	0	0		1	0.172205438066465	0	1	1	0.389728096676737	0	0.205438066465257	0.117824773413897	0	1	1	0.413897280966767	0.187311178247734	1	1	0.262839879154079	0	0	0.664652567975831	0	1	0.670694864048338	0	0	1	0	0.722054380664653	0.441087613293051	0.235649546827795	1	0	1	1	0	1	1	0.157099697885196	1	1	0	1	0.178247734138973	0	0	0.0785498489425982	0.0785498489425982	1	0.211480362537764	1	0.48036253776435	0.268882175226586	1	0.0513595166163142	0	0.338368580060423	0	0.676737160120846	0	1	0	0.0120845921450151	0.0120845921450151	0	0	1
