	Abylopsis_tetragona	Acanthoeca_sp	Acropora_digitifera	Agalma_elegans	Aiptasia_pallida	Amphimedon_queenslandica	Aphrocallistes_vastus	Beroe_abyssicola	Beroe_forskalii	Beroe_ovata	Beroe_sp_Antarctica	Beroe_sp_Queensland_Australia	Bolinopsis_ashleyi	Bolinopsis_infundibulum	Bolocera_tuediae	Callianira_Antarctica	Capitella_teleta	Cestum_veneris	Chondrilla_nucula	Cliona_varians	Coeloplana_astericola	Corticium_candelabrum	Craseo_lathetica	Crella_elegans	Ctenophora_sp_Florida_USA	Cydippida_sp	Cydippida_sp_Maryland_USA	Daphnia_pulex	Drosophila_melanogaster	Dryodora_glandiformis	Eunicella_verrucosa	Euplokamis_dunlapae	Eurhamphaea_vexilligera	Hemithris_psittacea	Homo_sapiens	Hormathia_digitata	Hormiphora_californica	Hormiphora_palmata	Hyalonema_populiferum	Hydra_oligactis	Hydra_viridissima	Hydra_vulgaris	Ircinia_fasciculata	Kirkpatrickia_variolosa	Latrunculia_apicalis	Lobata_sp_Punta_Arenas_Argentina	Lobatolampea_tetragona	Mertensiidae_sp_Antarctica	Mertensiidae_sp_Washington_USA	Mnemiopsis_leidyi	Monosiga_brevicolis	Monosiga_ovata	Mycale_phylophylla	Nanomia_bijuga	Nematostella_vectensis	Ocyropsis_crystallina	Ocyropsis_sp_Bimini_Bahamas	Ocyropsis_sp_Florida_USA	Oscarella_carmela	Periphyla_periphyla	Petrosia_ficiformis	Physalia_physalia	Pleurobrachia_bachei	Pleurobrachia_pileus	Pleurobrachia_sp_South_Carolina_USA	Pseudospongosorites_suberitoides	Rossella_fibulata	Salpingoeca_pyxidium	Salpingoeca_rosetta	Spongilla_lacustris	Strongylocentrotus_purpatus	Sycon_ciliatum	Sycon_coactum	Sympagella_nux	Trichoplax_adhaerens	Vallicula_sp
Abylopsis_tetragona		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acanthoeca_sp	0		0.743550834597876	0.344461305007587	0.975720789074355	0.975720789074355	0.975720789074355	0	0	0	0	0	0	0	0.849772382397572	0.614567526555387	0.975720789074355	0	0	0.743550834597876	0	0.666160849772382	0.512898330804249	0	0	0.68133535660091	0.881638846737481	0.974203338391502	0.975720789074355	0.975720789074355	0.975720789074355	0.485584218512898	0	0.975720789074355	0.975720789074355	0	0.975720789074355	0	0.975720789074355	0	0	0.975720789074355	0	0.975720789074355	0.975720789074355	0	0	0.362670713201821	0.869499241274659	0	0.916540212443096	0	0.523520485584218	0.257966616084977	0.933232169954476	0.790591805766313	0.39453717754173	0.81638846737481	0.814871016691957	0.860394537177542	0.760242792109256	0	0	0.975720789074355	0	0	0.38391502276176	0	0.968133535660091	0.92412746585736	0.629742033383915	0.974203338391502	0.974203338391502	0.975720789074355	0.942336874051593	0.57814871016692
Acropora_digitifera	0	0.743550834597876		0.112291350531108	0.752655538694992	0.752655538694992	0.752655538694992	0	0	0	0	0	0	0	0.625189681335357	0.619119878603945	0.752655538694992	0	0	0.752655538694992	0	0.558421851289833	0.282245827010622	0	0	0.687405159332322	0.657056145675266	0.75113808801214	0.752655538694992	0.752655538694992	0.752655538694992	0.254931714719272	0	0.752655538694992	0.752655538694992	0	0.752655538694992	0	0.752655538694992	0	0	0.752655538694992	0	0.752655538694992	0.752655538694992	0	0	0.130500758725341	0.752655538694992	0	0.693474962063733	0	0.292867981790592	0.25948406676783	0.710166919575114	0.562974203338392	0.16236722306525	0.696509863429439	0.587253414264036	0.752655538694992	0.532625189681335	0	0	0.752655538694992	0	0	0.151745068285281	0	0.742033383915023	0.752655538694992	0.408194233687405	0.75113808801214	0.75113808801214	0.752655538694992	0.75113808801214	0.535660091047041
Agalma_elegans	0	0.344461305007587	0.112291350531108		0.352048558421851	0.353566009104704	0.353566009104704	0	0	0	0	0	0	0	0.352048558421851	0.0819423368740516	0.353566009104704	0	0	0.112291350531108	0	0.233687405159332	0.353566009104704	0	0	0.115326251896813	0.353566009104704	0.352048558421851	0.353566009104704	0.353566009104704	0.353566009104704	0.353566009104704	0	0.353566009104704	0.353566009104704	0	0.353566009104704	0	0.353566009104704	0	0	0.353566009104704	0	0.353566009104704	0.353566009104704	0	0	0.352048558421851	0.247344461305008	0	0.339908952959029	0	0.353566009104704	0.0667678300455235	0.353566009104704	0.353566009104704	0.352048558421851	0.250379362670713	0.353566009104704	0.238239757207891	0.353566009104704	0	0	0.353566009104704	0	0	0.353566009104704	0	0.347496206373293	0.301972685887709	0.347496206373293	0.352048558421851	0.352048558421851	0.353566009104704	0.320182094081942	0.165402124430956
Aiptasia_pallida	0	0.975720789074355	0.752655538694992	0.352048558421851		0.998482549317147	0.998482549317147	0	0	0	0	0	0	0	0.8649468892261	0.623672230652504	0.998482549317147	0	0	0.758725341426404	0	0.678300455235205	0.522003034901366	0	0	0.690440060698027	0.896813353566009	0.992412746585736	0.998482549317147	0.998482549317147	0.998482549317147	0.494688922610015	0	0.998482549317147	0.998482549317147	0	0.998482549317147	0	0.998482549317147	0	0	0.998482549317147	0	0.998482549317147	0.998482549317147	0	0	0.370257966616085	0.892261001517451	0	0.931714719271624	0	0.532625189681335	0.25948406676783	0.949924127465857	0.802731411229135	0.402124430955994	0.833080424886191	0.828528072837633	0.883156297420334	0.772382397572079	0	0	0.998482549317147	0	0	0.391502276176024	0	0.983308042488619	0.946889226100152	0.641881638846737	0.996965098634294	0.996965098634294	0.998482549317147	0.963581183611533	0.587253414264036
Amphimedon_queenslandica	0	0.975720789074355	0.752655538694992	0.353566009104704	0.998482549317147		1	0	0	0	0	0	0	0	0.8649468892261	0.623672230652504	1	0	0	0.758725341426404	0	0.679817905918058	0.523520485584218	0	0	0.690440060698027	0.898330804248862	0.993930197268589	1	1	1	0.496206373292868	0	1	1	0	1	0	1	0	0	1	0	1	1	0	0	0.371775417298938	0.893778452200303	0	0.933232169954476	0	0.534142640364188	0.25948406676783	0.95144157814871	0.804248861911988	0.403641881638847	0.834597875569044	0.830045523520486	0.884673748103187	0.773899848254932	0	0	1	0	0	0.393019726858877	0	0.983308042488619	0.948406676783004	0.64339908952959	0.998482549317147	0.998482549317147	1	0.965098634294385	0.588770864946889
Aphrocallistes_vastus	0	0.975720789074355	0.752655538694992	0.353566009104704	0.998482549317147	1		0	0	0	0	0	0	0	0.8649468892261	0.623672230652504	1	0	0	0.758725341426404	0	0.679817905918058	0.523520485584218	0	0	0.690440060698027	0.898330804248862	0.993930197268589	1	1	1	0.496206373292868	0	1	1	0	1	0	1	0	0	1	0	1	1	0	0	0.371775417298938	0.893778452200303	0	0.933232169954476	0	0.534142640364188	0.25948406676783	0.95144157814871	0.804248861911988	0.403641881638847	0.834597875569044	0.830045523520486	0.884673748103187	0.773899848254932	0	0	1	0	0	0.393019726858877	0	0.983308042488619	0.948406676783004	0.64339908952959	0.998482549317147	0.998482549317147	1	0.965098634294385	0.588770864946889
Beroe_abyssicola	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Beroe_forskalii	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Beroe_ovata	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
