	Abylopsis_tetragona	Acanthoeca_sp	Acropora_digitifera	Agalma_elegans	Aiptasia_pallida	Amphimedon_queenslandica	Aphrocallistes_vastus	Beroe_abyssicola	Beroe_forskalii	Beroe_ovata	Beroe_sp_Antarctica	Beroe_sp_Queensland_Australia	Bolinopsis_ashleyi	Bolinopsis_infundibulum	Bolocera_tuediae	Callianira_Antarctica	Capitella_teleta	Cestum_veneris	Chondrilla_nucula	Cliona_varians	Coeloplana_astericola	Corticium_candelabrum	Craseo_lathetica	Crella_elegans	Ctenophora_sp_Florida_USA	Cydippida_sp	Cydippida_sp_Maryland_USA	Daphnia_pulex	Drosophila_melanogaster	Dryodora_glandiformis	Eunicella_verrucosa	Euplokamis_dunlapae	Eurhamphaea_vexilligera	Hemithris_psittacea	Homo_sapiens	Hormathia_digitata	Hormiphora_californica	Hormiphora_palmata	Hyalonema_populiferum	Hydra_oligactis	Hydra_viridissima	Hydra_vulgaris	Ircinia_fasciculata	Kirkpatrickia_variolosa	Latrunculia_apicalis	Lobata_sp_Punta_Arenas_Argentina	Lobatolampea_tetragona	Mertensiidae_sp_Antarctica	Mertensiidae_sp_Washington_USA	Mnemiopsis_leidyi	Monosiga_brevicolis	Monosiga_ovata	Mycale_phylophylla	Nanomia_bijuga	Nematostella_vectensis	Ocyropsis_crystallina	Ocyropsis_sp_Bimini_Bahamas	Ocyropsis_sp_Florida_USA	Oscarella_carmela	Periphyla_periphyla	Petrosia_ficiformis	Physalia_physalia	Pleurobrachia_bachei	Pleurobrachia_pileus	Pleurobrachia_sp_South_Carolina_USA	Pseudospongosorites_suberitoides	Rossella_fibulata	Salpingoeca_pyxidium	Salpingoeca_rosetta	Spongilla_lacustris	Strongylocentrotus_purpatus	Sycon_ciliatum	Sycon_coactum	Sympagella_nux	Trichoplax_adhaerens	Vallicula_sp
Abylopsis_tetragona		0.996649916247906	0	1	0.97319932998325	0.991624790619765	0.988274706867672	0	0	0	0	0.316582914572864	0	0	0.309882747068677	0.249581239530988	1	0.469011725293132	0.909547738693467	0.996649916247906	0.979899497487437	0.529313232830821	1	0.634840871021776	0	0	0.772194304857621	1	0.882747068676717	0.76214405360134	1	0	0	0.658291457286432	1	0.423785594639866	0.989949748743719	0	0.318257956448911	0	0	0.417085427135678	0.341708542713568	0.996649916247906	0.996649916247906	0.892797319932998	0	0	0.251256281407035	0.979899497487437	0.795644891122278	0.710217755443886	0.996649916247906	0.613065326633166	0.386934673366834	0.994974874371859	0.589614740368509	0.204355108877722	0.998324958123953	0.179229480737018	0.793969849246231	0	0	0.549413735343384	0	0	0.989949748743719	0	0.988274706867672	0.904522613065327	0	1	0.991624790619765	0.989949748743719	0.998324958123953	0
Acanthoeca_sp	0.996649916247906		0	0.996649916247906	0.969849246231156	0.989949748743719	0.986599664991625	0	0	0	0	0.316582914572864	0	0	0.309882747068677	0.249581239530988	0.996649916247906	0.469011725293132	0.906197654941373	0.994974874371859	0.976549413735343	0.529313232830821	0.996649916247906	0.634840871021776	0	0	0.768844221105528	0.996649916247906	0.879396984924623	0.758793969849246	0.996649916247906	0	0	0.654941373534338	0.996649916247906	0.423785594639866	0.986599664991625	0	0.318257956448911	0	0	0.417085427135678	0.341708542713568	0.994974874371859	0.994974874371859	0.889447236180904	0	0	0.251256281407035	0.976549413735343	0.795644891122278	0.710217755443886	0.994974874371859	0.613065326633166	0.386934673366834	0.991624790619765	0.586264656616415	0.204355108877722	0.994974874371859	0.179229480737018	0.793969849246231	0	0	0.549413735343384	0	0	0.988274706867672	0	0.988274706867672	0.90284757118928	0	0.996649916247906	0.988274706867672	0.988274706867672	0.994974874371859	0
Acropora_digitifera	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Agalma_elegans	1	0.996649916247906	0		0.97319932998325	0.991624790619765	0.988274706867672	0	0	0	0	0.316582914572864	0	0	0.309882747068677	0.249581239530988	1	0.469011725293132	0.909547738693467	0.996649916247906	0.979899497487437	0.529313232830821	1	0.634840871021776	0	0	0.772194304857621	1	0.882747068676717	0.76214405360134	1	0	0	0.658291457286432	1	0.423785594639866	0.989949748743719	0	0.318257956448911	0	0	0.417085427135678	0.341708542713568	0.996649916247906	0.996649916247906	0.892797319932998	0	0	0.251256281407035	0.979899497487437	0.795644891122278	0.710217755443886	0.996649916247906	0.613065326633166	0.386934673366834	0.994974874371859	0.589614740368509	0.204355108877722	0.998324958123953	0.179229480737018	0.793969849246231	0	0	0.549413735343384	0	0	0.989949748743719	0	0.988274706867672	0.904522613065327	0	1	0.991624790619765	0.989949748743719	0.998324958123953	0
Aiptasia_pallida	0.97319932998325	0.969849246231156	0	0.97319932998325		0.969849246231156	0.968174204355109	0	0	0	0	0.316582914572864	0	0	0.309882747068677	0.249581239530988	0.97319932998325	0.469011725293132	0.882747068676717	0.969849246231156	0.953098827470687	0.529313232830821	0.97319932998325	0.634840871021776	0	0	0.745393634840871	0.97319932998325	0.855946398659966	0.73534338358459	0.97319932998325	0	0	0.639865996649916	0.97319932998325	0.423785594639866	0.963149078726968	0	0.318257956448911	0	0	0.417085427135678	0.341708542713568	0.969849246231156	0.969849246231156	0.877721943048576	0	0	0.251256281407035	0.953098827470687	0.768844221105528	0.683417085427136	0.969849246231156	0.613065326633166	0.386934673366834	0.968174204355109	0.589614740368509	0.204355108877722	0.971524288107203	0.179229480737018	0.793969849246231	0	0	0.549413735343384	0	0	0.968174204355109	0	0.961474036850921	0.877721943048576	0	0.97319932998325	0.97319932998325	0.968174204355109	0.971524288107203	0
Amphimedon_queenslandica	0.991624790619765	0.989949748743719	0	0.991624790619765	0.969849246231156		0.988274706867672	0	0	0	0	0.316582914572864	0	0	0.309882747068677	0.249581239530988	0.991624790619765	0.469011725293132	0.901172529313233	0.991624790619765	0.971524288107203	0.529313232830821	0.991624790619765	0.634840871021776	0	0	0.763819095477387	0.991624790619765	0.874371859296482	0.753768844221106	0.991624790619765	0	0	0.654941373534338	0.991624790619765	0.423785594639866	0.981574539363484	0	0.318257956448911	0	0	0.417085427135678	0.341708542713568	0.991624790619765	0.991624790619765	0.889447236180904	0	0	0.251256281407035	0.971524288107203	0.78894472361809	0.705192629815745	0.991624790619765	0.613065326633166	0.386934673366834	0.986599664991625	0.586264656616415	0.204355108877722	0.989949748743719	0.179229480737018	0.793969849246231	0	0	0.549413735343384	0	0	0.989949748743719	0	0.983249581239531	0.899497487437186	0	0.991624790619765	0.988274706867672	0.989949748743719	0.989949748743719	0
Aphrocallistes_vastus	0.988274706867672	0.986599664991625	0	0.988274706867672	0.968174204355109	0.988274706867672		0	0	0	0	0.316582914572864	0	0	0.309882747068677	0.249581239530988	0.988274706867672	0.469011725293132	0.899497487437186	0.988274706867672	0.968174204355109	0.529313232830821	0.988274706867672	0.634840871021776	0	0	0.76214405360134	0.988274706867672	0.871021775544389	0.752093802345059	0.988274706867672	0	0	0.654941373534338	0.988274706867672	0.422110552763819	0.97822445561139	0	0.318257956448911	0	0	0.417085427135678	0.341708542713568	0.988274706867672	0.988274706867672	0.889447236180904	0	0	0.251256281407035	0.968174204355109	0.785594639865997	0.703517587939699	0.988274706867672	0.611390284757119	0.385259631490787	0.983249581239531	0.586264656616415	0.204355108877722	0.986599664991625	0.179229480737018	0.792294807370184	0	0	0.547738693467337	0	0	0.988274706867672	0	0.979899497487437	0.897822445561139	0	0.988274706867672	0.986599664991625	0.988274706867672	0.986599664991625	0
Beroe_abyssicola	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Beroe_forskalii	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Beroe_ovata	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
